,Concept_ID,it,ps
0,Auge::N,occhio,سترګه
1,Ohr::N,orecchio,غوږ
2,Nase::N,naso,پوزه
3,Mund::N,bocca,خوله
4,Zahn::N,dente,غاښ
5,Zunge::N,lingua,جبه
6,Lippe::N,labbro,شونډه
7,Wange::N,guancia,باړخو
8,Gesicht::N,viso,مخ
9,Gesicht::N,faccia,مخ
10,Stirn::N,fronte,تندی
11,Stirn::N,fronte,وچولی
12,Haar::N,capello,وېښته
13,Schnurrbart::N,baffi,برېت
14,Schnurrbart::N,mustacchi,برېت
15,Bart::N,barba,ږیره
16,Kinn::N,mento,زنه
17,Kiefer[Anatomie]::N,mascella,جامه
18,Kehle::N,gola,غاړه
19,Hals::N,collo,غاړه
20,Genick::N,nuca,ورمېږ
21,Kopf::N,capo,سر
22,Kopf::N,testa,سر
23,Rücken::N,dorso,شا
24,Rücken::N,schiena,شا
25,Bauch::N,ventre,نس
26,Bauch::N,ventre,ګېډه
27,Nabel::N,ombelico,نوم
28,Busen::N,seno,تی
29,Brust::N,petto,سینه
30,Schulter::N,spalla,اوږه
31,Arm::N,braccio,لاس
32,Ellenbogen::N,gomito,څنګل
33,Hand::N,mano,لاس
34,Handfläche::N,palma,ورغوی
35,Finger::N,dito,ګوته
36,Fingernagel::N,unghia,نوک
37,Nagel[Anatomie]::N,unghia,نوک
38,Zeh::N,dito del piede,ګوته
39,Fuß::N,piede,پښه
40,Ferse::N,tallone,پونده
41,Ferse::N,calcagno,پونده
42,Knie::N,ginocchio,زنګون
43,Oberschenkel::N,fèmore,پتون
44,Bein::N,gamba,پښه
45,Körper::N,corpo,ځان
46,Haut::N,pelle,پوټکی
47,Blut::N,sangue,وینه
48,Ader::N,vena,رګ
49,Sehne::N,tèndine,پله
50,Knochen::N,osso,هډوکی
51,Gehirn::N,cervello,ماغزه
52,Herz::N,cuore,زړه
53,Magen::N,stòmaco,معده
54,Leber::N,fegato,ينه
55,Leber::N,fegato,ځیګر
56,Atem::N,fiato,نفس
57,Atem::N,respiro,نفس
58,Hunger::N,fame,ولږه
59,Träne::N,làcrima,اوښکه
60,Geschmack::N,gusto,مزه
61,Geschmack::N,gusto,خوند
62,Geschmack::N,sapore,مزه
63,Geschmack::N,sapore,خوند
64,Geruch::N,odore,بوی
65,Schlaf::N,sonno,خوب
66,Traum::N,sogno,خوب
