,Concept_ID,br,uk
0,Auge::N,lagad,око
1,Ohr::N,skouarn,вухо
2,Nase::N,fri,ніс
3,Mund::N,genoù,рот
4,Zahn::N,dant,зуб
5,Zunge::N,teod,язик
6,Lippe::N,muzell,губа
7,Wange::N,chot,щока
8,Gesicht::N,dremm,обличчя
9,Stirn::N,tal,лоб
10,Haar::N,blev,волосся
11,Schnurrbart::N,mourenn,вуса
12,Bart::N,barv,борода
13,Kinn::N,groñj,підборіддя
14,Kiefer[Anatomie]::N,javed,щелепа
15,Kehle::N,gouzoug,горло
16,Hals::N,gouzoug,шия
17,Genick::N,choug,потилиця
18,Kopf::N,penn,голова
19,Rücken::N,kein,спина
20,Bauch::N,kof,живіт
21,Nabel::N,begel,пупок
22,Busen::N,bronn,груди
23,Brust::N,bruched,груди
24,Schulter::N,skoaz,плече
25,Arm::N,brec'h,рука
26,Ellenbogen::N,ilin,лікоть
27,Hand::N,dorn,рука
28,Handfläche::N,palv,долоня
29,Finger::N,biz,палець
30,Fingernagel::N,ivin,ніготь
31,Nagel[Anatomie]::N,ivin,ніготь
32,Zeh::N,biz-troad,палець на нозі
33,Fuß::N,troad,нога
34,Ferse::N,seul,п’ятка
35,Knie::N,glin,коліно
36,Oberschenkel::N,morzhed,стегно
37,Bein::N,gar,нога
38,Körper::N,korf,тіло
39,Haut::N,kroc'hen,шкіра
40,Blut::N,gwad,кров
41,Ader::N,gwazhi,вена
42,Sehne::N,stir,сухожилля
43,Knochen::N,askorn,кістка
44,Gehirn::N,empenn,мозок
45,Herz::N,kalon,серце
46,Magen::N,stomog,шлунок
47,Leber::N,avu,печінка
48,Atem::N,anal,дихання
49,Hunger::N,naon,голод
50,Träne::N,daer,сльоза
51,Geschmack::N,blaz,смак
52,Geruch::N,c'hwezh,запах
53,Schlaf::N,kousked,сон
54,Schlaf::N,kousked,сплячка
55,Traum::N,hune,сон
56,Himmel::N,oabl,небо
57,Sonne::N,heol,сонце
58,Mond::N,loar,місяць
59,Stern::N,steredenn,зірка
60,Luft::N,aer,повітря
61,Wind::N,avel,вітер
62,Welle::N,houlenn,хвиля
63,Wasser::N,dour,вода
64,Stein::N,maen,камінь
65,Boden::N,tachenn,ґрунт
66,Erde::N,douar,земля
67,Staub::N,poultr,пил
68,Rauch::N,moged,дим
69,Funke::N,ful,іскра
70,Feuer::N,tan,вогонь
71,Licht::N,gouloù,світло
72,Schatten::N,disheol,тінь
73,Wetter::N,amzer,погода
74,Nebel::N,brumenn,туман
75,Wolke::N,koumoulenn,хмара
76,Regen::N,glav,дощ
77,Schnee::N,erc'h,сніг
78,Eis::N,skorn,лід
79,Frost::N,rev,мороз
80,Kälte::N,yen,холод
81,Hitze::N,tommder,жар
82,Raureif::N,frim,іній
83,Regenbogen::N,gwareg-ar-glav,райдуга
84,Donner::N,kurun,грім
85,Strömung::N,red,струмина
86,Tropfen::N,bannac'h,крапля
87,Tropfen::N,takenn,крапля
88,Schaum::N,spoum,піна
89,Schmutz::N,fank,бруд
90,See::N,lenn,озеро
91,Sumpf::N,gwern,драговина
92,Moor::N,taouarc'heg,болото
93,Wiese::N,prad,луг
94,Wiese::N,prad,лука
95,Wald::N,koad,ліс
96,Hügel::N,torgenn,горб
97,Anhöhe::N,run,височина
98,Berg::N,menez,гора
99,Gipfel::N,barr,вершина
100,Höhle::N,kav,печера
101,Abhang::N,naou,схил
102,Quelle::N,feunteun,джерело
103,Bach::N,gwazh,струмок
104,Fluss::N,stêr,річка
105,Ufer::N,ribl,берег
106,Küste::N,aod,узбережжя
107,Festland::N,douar,суша
108,Meer::N,mor,море
109,Bucht::N,mor-bihan,бухта
110,Bucht::N,mor-bihan,затока
111,Insel::N,enez,острів
112,Blume::N,bleunienn,квітка
113,Gras::N,geot,трава
114,Wurzel::N,gwrizienn,корінь
115,Baum::N,gwezenn,дерево
116,Stamm::N,kef,стовбур
117,Rinde::N,rusk,кора
118,Ast::N,barr,гілка
119,Zweig::N,bod,галузь
120,Blatt::N,delienn,лист
121,Birke::N,bezvenn,береза
122,Kiefer[Baum]::N,pinenn,сосна
123,Weide[Baum]::N,halegenn,верба
124,Tanne::N,sapenn,ялиця
125,Horn::N,korn,ріг
126,Feder::N,pluñv,перо
127,Fell::N,kreoñ,хутро
128,Flügel::N,askell,крило
129,Klaue::N,skilf,кіготь
130,Kralle::N,skilf,лапа
131,Schwanz::N,lost,хвіст
132,Ei::N,vi,яйце
133,Nest::N,neizh,гніздо
134,Bau::N,douarenn,лігво
135,Tier::N,loen,тварина
136,Herde::N,tropell,стадо
137,Kuh::N,buoc'h,корова
138,Bulle::N,tarv,бик
139,Bulle::N,tarv,бугай
140,Pferd::N,marc'h,кінь
141,Schaf::N,dañvad,вівця
142,Schwein::N,pemoc'h,свиня
143,Hund::N,ki,собака
144,Katze::N,kazh,кішка
145,Bär::N,arzh,ведмідь
146,Eichhörnchen::N,gwiñver,білка
147,Elch::N,karv-dour,лось
148,Fuchs::N,louarn,лисиця
149,Hase::N,gad,заєць
150,Maus::N,logodenn,миша
151,Wolf::N,bleiz,вовк
152,Vogel::N,labous,птах
153,Schwarm::N,nijad,зграя
154,Huhn::N,yar,курка
155,Hahn::N,kilhog,півень
156,Gans::N,gwazenn,гуска
157,Adler::N,erer,орел
158,Ente::N,houad,качка
159,Eule::N,toud,сова
160,Kranich::N,garan,журавель
161,Krähe::N,bran,ворона
162,Kuckuck::N,koukoug,зозуля
163,Schwan::N,alarc'h,лебідь
164,Fisch::N,pesk,риба
165,Barsch::N,brell,окунь
166,Hecht::N,beked,щука
167,Schlange[Tier]::N,naer,змія
168,Wurm::N,preñv,черв’як
169,Spinne::N,kevnidenn,павук
170,Ameise::N,merion,мурашка
171,Laus::N,laouenn,воша
172,Mücke::N,moustik,комар
173,Fliege::N,kelienenn,муха
174,Schmetterling::N,balafenn,метелик
175,Beere::N,hog,ягода
176,Apfel::N,aval,яблуко
177,Pilz::N,kabell-touseg,гриб
178,Zwiebel::N,ognonenn,цибуля
179,Saat::N,had,сім’я
180,Korn::N,ed,зерно
181,Heu::N,foenn,сіно
182,Schale::N,peliadur,шкірка
183,Falle::N,pech,пастка
184,Schlinge::N,krouglas,петля
185,Asche::N,ludu,зола
186,Asche::N,ludu,попіл
187,Dreck::N,fank,бруд
188,Eisen::N,houarn,залізо
189,Gold::N,aour,золото
190,Silber::N,arc'hant,срібло
191,Kohle::N,glaou,вугілля
192,Glas::N,gwer,скло
193,Sand::N,traezh,пісок
194,Mensch::N,den,людина
195,Mann::N,den,чоловік
196,Frau::N,maouez,жінка
197,Kind::N,bugel,дитина
198,Junge::N,paotr,хлопець
199,Mädchen::N,plac'h,дівчина
200,Familie::N,familh,сім’я
201,Familie::N,familh,родина
202,Großvater::N,tad-kozh,дідусь
203,Großmutter::N,mamm-gozh,бабуся
204,Eltern::N,kerent,батьки
205,Vater::N,tad,батько
206,Mutter::N,mamm,мати
207,Sohn::N,mab,син
208,Tochter::N,merc'h,дочка
209,Bruder::N,breur,брат
210,Schwester::N,c'hoar,сестра
211,Onkel::N,eontr,дядько
212,Tante::N,moereb,тітка
213,Ehemann::N,gwaz,чоловік
214,Ehefrau::N,gwreg,жінка
215,Ehefrau::N,gwreg,дружина
216,Freude::N,levenez,радощі
217,Gelächter::N,c'hoarzherezh,сміх
218,Glück::N,chañs,щастя
219,Kummer::N,doan,горе
220,Wunsch::N,c'hoant,бажання
221,Lust::N,c'hoant,бажання
222,Geist::N,spered,дух
223,Gedanke::N,soñj,думка
224,Gedächtnis::N,eñvor,пам’ять
225,Verstand::N,skiant,розум
226,Sinn::N,ster,зміст
227,Sinn::N,ster,значення
228,Grund::N,kaoz,причина
229,Wahrheit::N,gwirionez,правда
230,Gespräch::N,kaozeadenn,розмова
231,Märchen::N,kaoz korriganez,байка
232,Erzählung::N,kontadenn,повість
233,Erzählung::N,kontadenn,оповідання
234,Nachricht::N,keloù,повідомлення
235,Neuigkeit::N,kelaouenn,новина
236,Name::N,anv,ім’я
237,Rätsel::N,divinatez,загадка
238,Rede::N,diskour,промова
239,Sprache::N,yezh,мова
240,Stimme::N,mouezh,голос
241,Wort::N,ger,слово
242,Zeichen::N,sin,знак
243,Ruf::N,galv,оклик
244,Lärm::N,trouz,шум
245,Ton::N,ton,тон
246,Lied::N,kanaouenn,пісня
247,Ruhe::N,sioulded,спокій
248,Leute::N,tud,люди
249,Volk::N,pobl,народ
250,Arbeit::N,labour,робота
251,Gast::N,kouviad,гість
252,Geschenk::N,prof,подарунок
253,Spiel::N,c'hoari,гра
254,Gesellschaft::N,kompagnunezh,товариство
255,Gesellschaft::N,kavandad,товариство
256,Hilfe::N,sikour,допомога
257,Freund::N,mignon,друг
258,Freund::N,mignon,приятель
259,Kamerad::N,kamarad,товариш
260,Angelegenheit::N,afer,справа
261,Anzahl::N,niver,число
262,Art::N,sort,рід
263,Stück::N,tamm,кусок
264,Teil::N,pezh,частина
265,Hälfte::N,hanterenn,половина
266,Kreis::N,kelc'h,круг
267,Kreis::N,kelc'h,коло
268,Kreuz::N,kroaz,хрест
269,Linie::N,linenn,лінія
270,Strich::N,tenn,штрих
271,Abstand::N,distok,проміжок
272,Entfernung::N,keid,відстань
273,Entfernung::N,kehid,відстань
274,Gegend::N,korn-bro,місцевість
275,Platz::N,plasenn,площа
276,Ort::N,lec'h,місце
277,Seite::N,tu,сторона
278,Mitte::N,kreiz,середина
279,Gegenstand::N,tra,предмет
280,Sache::N,tra,річ
281,Rand::N,kantenn,край
282,Kante::N,kantenn,ребро
283,Ecke::N,korn,ріг
284,Spitze::N,begell,кінчик
285,Ende::N,dibenn,кінець
286,Loch::N,toull,діра
287,Muster::N,tresadenn,узор
288,Größe::N,ment,розмір
289,Länge::N,hirder,довжина
290,Höhe::N,uhelder,висота
291,Gewicht::N,pouez,вага
292,Menge::N,bern,кількість
293,Haufen::N,bern,купа
294,Reihe::N,steud,ряд
295,Boot::N,bag,човен
296,Ruder::N,roeñv,весло
297,Schlitten::N,trainell,сани
298,Ski::N,ski,лижа
299,Last::N,karg,тягар
300,Last::N,karg,вантаж
301,Gang::N,kerzh,хід
302,Schritt::N,paz,крок
303,Norden::N,norzh,північ
304,Norden::N,hanternoz,північ
305,Süden::N,su,південь
306,Süden::N,kreisteiz,південь
307,Westen::N,kuzh-heol,захід
308,Osten::N,reter,схід
309,Osten::N,sav-heol,схід
310,Holz::N,koad,дрова
311,Brett::N,plankenn,дошка
312,Platte::N,plakenn,плита
313,Stütze::N,harp,підпірка
314,Stange::N,sparl,жердина
315,Stock::N,bazh,палиця
316,Stab::N,bazh,палиця
317,Rohr::N,tub,труба
318,Rohr::N,korz,труба
319,Haus::N,ti,дім
320,Haus::N,ti,хата
321,Heim::N,kêr,житло
322,Ofen::N,forn,піч
323,Fußboden::N,plañchod,підлога
324,Tisch::N,taol,стіл
325,Stuhl::N,kador,стілець
326,Wiege::N,kavell,колиска
327,Bett::N,gwele,ліжко
328,Bett::N,gwele,постіль
329,Regal::N,estajerenn,полиця
330,Kiste::N,kased,ящик
331,Fenster::N,prenestr,вікно
332,Tür::N,dor,двері
333,Tor::N,portal,ворота
334,Zaun::N,sklotur,паркан
335,Zaun::N,sklotur,огорожа
336,Dach::N,toenn,дах
337,Leiter::N,skeul,драбина
338,Besen::N,skubell,мітла
339,Spaten::N,pal,заступ
340,Schaufel::N,pal,совок
341,Schaufel::N,pal,лопата
342,Gabel::N,fourchetez,виделка
343,Löffel::N,loa,ложка
344,Messer::N,kontell,ніж
345,Nagel::N,tach,цвях
346,Netz::N,roued,сіть
347,Haken::N,krog,крюк
348,Griff::N,kemer,ручка
349,Griff::N,kemer,держак
350,Schloss::N,potenn,замок
351,Bild::N,skeudenn,картина
352,Figur::N,skeud,фігура
353,Figur::N,figur,фігура
354,Puppe::N,merc'hodenn,лялька
355,Beutel::N,sac'h,мішечок
356,Beutel::N,sac'h,торбинка
357,Bündel::N,feskenn,в’язка
358,Tasche::N,sac'h,сумка
359,Eimer::N,sailh,відро
360,Deckel::N,pallenn,кришка
361,Geschirr::N,listriaj,посуд
362,Sack::N,sac'h,мішок
363,Tasse::N,tas,чашка
364,Topf::N,pod,горщик
365,Kessel::N,chaodouron,котел
366,Essen::N,pred,їжа
367,Nahrung::N,boued,харч
368,Speise::N,meuz,страва
369,Fleisch::N,kig,м’ясо
370,Getreide::N,ed,хліб
371,Getreide::N,ed,збіжжя
372,Brei::N,yod,каша
373,Brot::N,bara,хліб
374,Scheibe::N,tailhenn,скибочка
375,Fett::N,lard,жир
376,Butter::N,amann,масло
377,Öl::N,eoul,олія
378,Salz::N,holen,сіль
379,Suppe::N,soubenn,суп
380,Honig::N,mel,мед
381,Milch::N,laezh,молоко
382,Tee::N,te,чай
383,Leder::N,lêr,шкіра
384,Wolle::N,gloan,шерсть
385,Stoff::N,danvez,тканина
386,Nadel::N,nadoz,голка
387,Faden::N,neudenn,нитка
388,Knopf::N,bouton,ґудзик
389,Knoten::N,skoulm,вузол
390,Farbe::N,liv,фарба
391,Kleidung::N,dilhad,одяг
392,Kleidung::N,dilhad,убрання
393,Hemd::N,roc'hed,сорочка
394,Kragen::N,gouzoug,комір
395,Ärmel::N,milgin,рукав
396,Hose::N,bragoù,брюки
397,Gürtel::N,gouriz,пояс
398,Mütze::N,boned,шапка
399,Schuh::N,botez,ботинок
400,Stiefel::N,botez,чобіт
401,Ring::N,gwalenn,кільце
402,Band::N,bagad,стрічка
403,Kamm::N,krib,гребінець
404,Spiegel::N,melezour,дзеркало
405,Riemen::N,lerenn,ремінь
406,Schnur::N,kordenn,вірьовка
407,Leine::N,roll,шворка
408,Decke::N,golo,ковдра
409,Kissen::N,goubenner,подушка
410,Tuch::N,mezher,хустка
411,Handtuch::N,toailhon,рушник
412,Kraft::N,nerzh,сила
413,Stärke::N,nerzhder,сила
414,Gesundheit::N,yec'hed,здоров’я
415,Krankheit::N,klañved,хвороба
416,Schmerz::N,poan,біль
417,Schmerz::N,droug,біль
418,Wunde::N,gloazadenn,рана
419,Fieber::N,terzhienn,гарячка
420,Arznei::N,louzoù,ліки
421,Brücke::N,pont,міст
422,Brunnen::N,puñs,колодязь
423,Weide::N,prad,пасовище
424,Pfad::N,gwenodenn,стежка
425,Weg::N,hent,шлях
426,Weg::N,hent,дорога
427,Straße::N,ru,вулиця
428,Straße::N,hent,вулиця
429,Dorf::N,kêr,село
430,Dorf::N,kêriadenn,село
431,Stadt::N,kêr,місто
432,Brief::N,lizher,лист
433,Buch::N,levr,книга
434,Buch::N,levr,книжка
435,Buchstabe::N,lizherenn,буква
436,Buchstabe::N,lizherenn,літера
437,Zeitung::N,kazetenn,газета
438,Leben::N,buhez,життя
439,Tod::N,marv,смерть
440,Grab::N,bez,могила
441,Kirche::N,iliz,церква
442,Sünde::N,pec'hed,гріх
443,Gott::N,doue,бог
444,Arbeiter::N,labourer,робітник
445,Arbeiter::N,micherour,робітник
446,Chef::N,penn,хазяїн
447,Meister::N,mestr,умілець
448,Arzt::N,mezeg,лікар
449,Arzt::N,medisin,лікар
450,Lehrer::N,skolaer,вчитель
451,Lehrer::N,kelenner,вчитель
452,Geld::N,arc'hant,гроші
453,Geschäft::N,stal,заняття
454,Laden::N,stal,магазин
455,Laden::N,stal,крамниця
456,Preis::N,priz,ціна
457,Ware::N,marc'hadourezh,товар
458,Nutzen::N,gounidegezh,вигода
459,Nutzen::N,gounidegezh,користь
460,Nutzen::N,lañs,вигода
461,Nutzen::N,lañs,користь
462,Nutzen::N,profit,вигода
463,Nutzen::N,profit,користь
464,Nutzen::N,spleit,вигода
465,Nutzen::N,spleit,користь
466,Reichtum::N,pinvidigezh,багатство
467,Welt::N,douar,світ
468,Land::N,bro,країна
469,Staat::N,stad,держава
470,König::N,roue,король
471,Macht::N,galloud,влада
472,Grenze::N,harzoù,кордон
473,Krieg::N,brezel,війна
474,Feind::N,eneber,ворог
475,Gewalt::N,tâerder,насильство
476,Kampf::N,kann,бій
477,Kampf::N,kann,боротьба
478,Bogen[Waffe]::N,gwareg,лук
479,Pfeil::N,saezh,стріла
480,Gewehr::N,fuzuilh,рушниця
481,Gewehr::N,fuzuilh,гвинтівка
482,Fehler::N,fazi,помилка
483,Lüge::N,gaou,брехня
484,Schaden::N,gwall,шкода
485,Schaden::N,gwall,збиток
486,Unglück::N,gwalleur,нещастя
487,Schuld::N,kablusted,провина
488,Schuld::N,pec'hedigezh,провина
489,Alter::N,oad,вік
490,Alter::N,oad,літа
491,Schluss::N,diwezh,кінець
492,Zeit::N,amzer,час
493,Tag::N,deizh,день
494,Morgen::N,beure,ранок
495,Morgen::N,mintin,ранок
496,Mittag::N,kreisteiz,південь
497,Abend::N,abardaez,вечір
498,Nacht::N,noz,ніч
499,Woche::N,sizhun,тиждень
500,Monat::N,miz,місяць
501,Jahr::N,bloaz,рік
502,Frühling::N,nevezamzer,весна
503,Sommer::N,hañv,літо
504,Herbst::N,diskaramzer,осінь
505,Winter::N,goañv,зима
506,Januar::N,Genver,січень
507,Februar::N,C'hwevrer,лютий
508,März::N,Meurzh,березень
509,April::N,Ebrel,квітень
510,Mai::N,Mae,травень
511,Juni::N,Mezheven,червень
512,Juli::N,Gouhere,липень
513,August::N,Eost,серпень
514,September::N,Gwengolo,вересень
515,Oktober::N,Here,жовтень
516,November::N,Du,листопад
517,Dezember::N,Kerzu,грудень
518,Montag::N,Lun,понеділок
519,Dienstag::N,Meurzh,вівторок
520,Mittwoch::N,Merc'her,середа
521,Donnerstag::N,Yaou,четвер
522,Freitag::N,Gwener,п’ятниця
523,Samstag::N,Sadorn,субота
524,Sonntag::N,Sul,неділя
525,groß::A,bras,великий
526,klein::A,bihan,малий
