,Concept_ID,mrj,ca
0,Auge::N,сӹнзӓ,ull
1,Ohr::N,пӹлӹш,orella
2,Nase::N,нер,nas
3,Mund::N,ышма,boca
4,Zahn::N,пӱ,dent
5,Zunge::N,йӹлмӹ,llēngua
6,Lippe::N,тӹрвӹ,llavi
7,Wange::N,шӹргӹ,galta
8,Gesicht::N,лицӓ,cara
9,Stirn::N,лепкӓ,front
10,Haar::N,ӱп,cabēll
11,Schnurrbart::N,öрш,bigoti
12,Bart::N,пандаш,barba
13,Kinn::N,онгылаш,mentó
14,Kinn::N,онгылаш,barbeta
15,Kiefer[Anatomie]::N,пӱ арата,queix
16,Kiefer[Anatomie]::N,пӱ арата,mandíbula
17,Kehle::N,логер,gola
18,Kehle::N,логер,gorja
19,Hals::N,шӱ,coll
20,Genick::N,ланга,nuca
21,Kopf::N,вуй,cap
22,Rücken::N,туп,esquena
23,Bauch::N,мӹшкӹр,panxa
24,Nabel::N,кӹлӹмдӹ,llombrígol
25,Busen::N,цӹзӹ,pit
26,Busen::N,цӹзӹ,mama
27,Brust::N,мел,pit
28,Schulter::N,ӹнгӹжӓ,espatlla
29,Arm::N,кид,braç
30,Ellenbogen::N,кӹнервуй,colze
31,Hand::N,лапа,mà
32,Handfläche::N,кид лапа,palma
33,Finger::N,парня,dit
34,Fingernagel::N,кӹч,ungla
35,Nagel[Anatomie]::N,кӹч,ungla
36,Zeh::N,парня,dit del peu
37,Fuß::N,ял лапа,peu
38,Ferse::N,ялгавал,taló
39,Ferse::N,ял кавал,taló
40,Knie::N,пылвуй,genoll
41,Oberschenkel::N,ӓрдӹ,cuixa
42,Bein::N,ял,cama
43,Körper::N,монгыр,cos
44,Haut::N,кавашты,pell
45,Blut::N,вӹр,sang
46,Ader::N,вӹршӓр,vena
47,Sehne::N,кукшышӱн,tendó
48,Knochen::N,лу,os
49,Gehirn::N,вим,cervell
50,Herz::N,шӱм,cor
51,Magen::N,шӱм,estómac
52,Leber::N,мокш,fetge
53,Atem::N,шӱлӹш,alè
54,Atem::N,шӱлӹш,hàlit
55,Hunger::N,шужымаш,fam
56,Hunger::N,шужымаш,gana
57,Träne::N,сӹнзӓвӹд,llàgrima
58,Geschmack::N,тот,gust
59,Geschmack::N,тот,sabor
60,Geruch::N,пыш,olor
61,Schlaf::N,ом,son
62,Traum::N,ом,somni
63,Himmel::N,пӹлгом,celm
64,Sonne::N,кечӹ,sol
65,Mond::N,тӹлзӹ,lluna
66,Stern::N,шӹдӹр,estel
67,Stern::N,шӹдӹр,estrella
68,Luft::N,юж,aire
69,Luft::N,воздух,aire
70,Wind::N,мардеж,vent
71,Welle::N,ко,ona
72,Welle::N,коэ,ona
73,Wasser::N,вӹд,āigua
74,Stein::N,кӱ,pedra
75,Boden::N,рок,sòl
76,Erde::N,свет,terra
77,Staub::N,пырак,pols
78,Rauch::N,шӹкш,fum
79,Funke::N,ип,guspira
80,Funke::N,ип,centella
81,Funke::N,тылип,guspira
82,Funke::N,тылип,centella
83,Feuer::N,тыл,foc
84,Licht::N,соты,llum
85,Licht::N,валгыды,llum
86,Schatten::N,ӹмӹл,ombra
87,Wetter::N,игечӹ,temps
88,Nebel::N,тӹтӹрӓ,boira
89,Wolke::N,пӹл,núvol
90,Regen::N,юр,pluja
91,Schnee::N,лым,neu
