,Concept_ID,hy,nl
0,Auge::N,աչք,oog
1,Ohr::N,ականջ,oor
2,Nase::N,քիթ,neus
3,Mund::N,բերան,mond
4,Zahn::N,ատամ,tand
5,Zunge::N,լեզու,tong
6,Lippe::N,շրթունք,lip
7,Wange::N,այտ,wang
8,Wange::N,թուշ,wang
9,Gesicht::N,դեմք,gelaat
10,Gesicht::N,դեմք,gezicht
11,Stirn::N,ճակատ,voorhoofd
12,Haar::N,մազ,haar
13,Schnurrbart::N,բեղ,snor
14,Bart::N,մորուք,baard
15,Kinn::N,կզակ,kin
16,Kiefer[Anatomie]::N,ծնոտ,kaak
17,Kehle::N,կոկորդ,keel
18,Kehle::N,կոկորդ,strot
19,Hals::N,վիզ,hals
20,Hals::N,պարանոց,hals
21,Genick::N,ծոծրակ,nek
22,Kopf::N,գլուխ,hoofd
23,Rücken::N,մեջք,rug
24,Bauch::N,փոր,buik
25,Bauch::N,որովայն,buik
26,Nabel::N,պորտ,navel
27,Busen::N,ծոց,boezem
28,Brust::N,կուրծք,borst
29,Schulter::N,ուս,schouder
30,Arm::N,թեւ,arm
31,Arm::N,բազուկ,arm
32,Ellenbogen::N,արմունկ,elleboog
33,Hand::N,ձեռք,hand
34,Handfläche::N,ափ,handpalm
35,Finger::N,մատ,vinger
36,Fingernagel::N,եղունգ,nagel
37,Nagel[Anatomie]::N,եղունգ,nagel
38,Zeh::N,ոտքի մատ,teen
39,Fuß::N,ոտք,voet
40,Ferse::N,գարշապար,hak
41,Ferse::N,գարշապար,hiel
42,Knie::N,ծունկ,knie
43,Oberschenkel::N,ազդր,dij
44,Bein::N,ոտք,been
45,Körper::N,մարմին,lichaam
46,Haut::N,մաշկ,huid
47,Blut::N,արյուն,bloed
48,Ader::N,երակ,ader
49,Sehne::N,ջիղ,pees
50,Sehne::N,ձգտան,pees
51,Knochen::N,ոսկոր,bot
52,Knochen::N,ոսկոր,been
53,Knochen::N,ոսկոր,knook
54,Gehirn::N,խելք,hersenen
55,Herz::N,սիրտ,hart
56,Magen::N,ստամոքս,maag
57,Leber::N,լյարդ,lever
58,Atem::N,շունչ,adem
59,Hunger::N,քաղց,honger
60,Träne::N,արտասուք,traan
61,Geschmack::N,համ,smaak
62,Geschmack::N,բուրմունք,smaak
63,Geruch::N,հոտ,geur
64,Geruch::N,բուրում,geur
65,Schlaf::N,քուն,slaap
66,Traum::N,երազ,droom
67,Himmel::N,երկինք,hemel
68,Sonne::N,արեւ,zon
69,Mond::N,լուսին,maan
70,Stern::N,աստղ,ster
71,Luft::N,օդ,lucht
72,Wind::N,քամի,wind
73,Welle::N,ալիք,golf
74,Wasser::N,ջուր,water
75,Stein::N,քար,steen
76,Boden::N,գետին,grond
77,Erde::N,հող,aarde
78,Staub::N,փոշի,stof
79,Rauch::N,ծուխ,rook
80,Funke::N,կայծ,vonk
81,Feuer::N,կրակ,vuur
82,Feuer::N,հրդեհ,vuur
83,Licht::N,լույս,licht
84,Schatten::N,ստվեր,schaduw
85,Wetter::N,եղանակ,weer
86,Nebel::N,մեգ,mist
87,Nebel::N,մեգ,nevel
88,Nebel::N,մառախուղ,mist
89,Nebel::N,մառախուղ,nevel
90,Wolke::N,ամպ,wolk
91,Regen::N,անձրև,regen
92,Schnee::N,ձյուն,sneeuw
93,Eis::N,սառույց,ijs
94,Frost::N,սառնամանիք,vorst
95,Kälte::N,դող,kou
96,Kälte::N,դող,koude
97,Hitze::N,շոգ,hitte
98,Raureif::N,ցօղեղեամ,rijp
99,Regenbogen::N,ծիածան,regenboog
100,Donner::N,որոտ,donder
101,Strömung::N,հոսանք,stroming
102,Tropfen::N,կաթիլ,druppel
103,Schaum::N,փրփուր,schuim
104,Schmutz::N,կեղտ,vuil
105,See::N,լիճ,meer
106,Sumpf::N,ճահիճ,moeras
107,Moor::N,ճահիճ,veen
108,Wiese::N,մարգագետին,wei
109,Wiese::N,մարգագետին,weide
110,Wald::N,անտառ,bos
111,Hügel::N,բլուր,heuvel
112,Anhöhe::N,բարձունք,hoogte
113,Berg::N,լեռ,berg
114,Gipfel::N,գագաթ,top
115,Gipfel::N,կատար,top
116,Höhle::N,քարայր,hol
117,Abhang::N,լանջ,helling
118,Abhang::N,զառիվայր,helling
119,Quelle::N,աղբյուր,bron
120,Bach::N,վտակ,beek
121,Fluss::N,գետ,stroom
122,Ufer::N,ծովափ,wal
123,Ufer::N,ծովափ,oever
124,Küste::N,ափ,kust
125,Küste::N,ծովափ,kust
126,Festland::N,ցամաք,vasteland
127,Meer::N,ծով,zee
128,Bucht::N,հաչիւն,baai
129,Bucht::N,հաչիւն,inham
130,Insel::N,վղզի,eiland
131,Blume::N,ծաղիկ,bloem
132,Gras::N,խոտ,gras
133,Wurzel::N,արմատ,wortel
134,Baum::N,ծառ,boom
135,Stamm::N,իրան,stam
136,Rinde::N,կեղեւ,schors
137,Rinde::N,հաչոց,schors
138,Ast::N,ճյուղ,tak
139,Zweig::N,ճյուղ,twijg
140,Blatt::N,տերեւ,blad
141,Birke::N,ցարասի,berk
142,Kiefer[Baum]::N,սոճի,den
143,Weide[Baum]::N,ուռենի,wilg
144,Tanne::N,եղեւին,spar
145,Feder::N,փետուր,veer
146,Feder::N,փետուր,pluim
147,Fell::N,մորթի,vel
148,Flügel::N,թեւ,vleugel
149,Klaue::N,չանչ,klauw
150,Kralle::N,ճանկ,klauw
151,Schwanz::N,պոչ,staart
152,Ei::N,ձու,ei
153,Nest::N,բույն,nest
154,Bau::N,որջ,hol
155,Bau::N,բայոց,hol
156,Tier::N,կենդանի,dier
157,Herde::N,հոտ,kudde
158,Kuh::N,կով,koe
159,Bulle::N,ցուլ,stier
160,Pferd::N,ձի,paard
161,Schaf::N,ոչխար,schaap
162,Schwein::N,խոզ,varken
163,Hund::N,շուն,hond
164,Katze::N,կատու,kat
165,Bär::N,արջ,beer
166,Eichhörnchen::N,սկյուռ,eekhoorntje
167,Elch::N,հիւսիսային եղջերու,eland
168,Fuchs::N,աղվես,vos
169,Hase::N,նապաստակ,haas
170,Maus::N,մուկ,muis
171,Wolf::N,գայլ,wolf
172,Vogel::N,թռչուն,vogel
173,Schwarm::N,երամ,zwerm
174,Huhn::N,հավ,kip
175,Huhn::N,հավ,hoen
176,Hahn::N,աքաղաղ,haan
177,Gans::N,սագ,gans
178,Adler::N,արծիվ,arend
179,Ente::N,բադ,eend
180,Eule::N,բու,uil
181,Kranich::N,կռունկ,kraanvogel
182,Krähe::N,ագռավ,kraai
183,Kuckuck::N,կուկու,koekoek
184,Schwan::N,կարապ,zwaan
185,Fisch::N,ձուկ,vis
186,Barsch::N,պերկես,baars
187,Hecht::N,գայլաձուկ,snoek
188,Schlange[Tier]::N,օձ,slang
189,Wurm::N,որդ,worm
190,Wurm::N,ճիճու,worm
191,Spinne::N,սարդ,spin
192,Ameise::N,միջյուն,mier
193,Laus::N,ոջիլ,luis
194,Mücke::N,մժղուկ,mug
195,Fliege::N,ճանճ,vlieg
196,Schmetterling::N,թիթեռ,vlinder
197,Beere::N,հատապտուղ,bes
198,Apfel::N,խնձոր,appel
199,Pilz::N,սունկ,paddestoel
200,Zwiebel::N,սոխ,ui
201,Saat::N,սերմ,zaad
202,Korn::N,հատիկ,graan
203,Korn::N,հատիկ,korrel
204,Heu::N,խոտ,hooi
205,Schale::N,կեղեւ,schil
206,Grube::N,փոս,kuil
207,Falle::N,ծուղակ,val
208,Schlinge::N,խեղդան,strop
209,Spur::N,հետք,spoor
210,Asche::N,մոխիր,as
211,Dreck::N,աղտ,drek
212,Eisen::N,երկաթ,ijzer
213,Gold::N,ոսկի,goud
214,Silber::N,արծաթ,zilver
215,Kohle::N,քարածուխ,kool
216,Glas::N,ապակի,glas
217,Lehm::N,կավ,klei
218,Sand::N,ավազ,zand
219,Mensch::N,մարդ,mens
220,Mann::N,մարդ,man
221,Mann::N,տղամարդ,man
222,Frau::N,կին,vrouw
223,Kind::N,զավակ,kind
224,Junge::N,տղա,jongen
225,Mädchen::N,աղջիկ,meisje
226,Familie::N,ընտանիք,gezin
227,Familie::N,ընտանիք,familie
228,Großvater::N,պապ,grootvader
229,Großmutter::N,տատ,grootmoeder
230,Eltern::N,ծնողներ,ouders
231,Vater::N,հայր,vader
232,Mutter::N,մայր,moeder
233,Sohn::N,որդի,zoon
234,Tochter::N,աղջիկ,dochter
235,Tochter::N,դուստր,dochter
236,Bruder::N,եղբայր,broer
237,Bruder::N,եղբայր,broeder
238,Schwester::N,քույր,zus
239,Schwester::N,քույր,zuster
240,Onkel::N,քեռի,oom
241,Onkel::N,հորեղբայր,oom
242,Tante::N,մորաքույր,tante
243,Ehemann::N,մարդ,echtgenoot
244,Ehemann::N,ամուսին,echtgenoot
245,Ehefrau::N,կին ամուսին,echtgenote
246,Freude::N,ուրախություն,vreugde
247,Gelächter::N,ծիծաղ,gelach
248,Glück::N,երջանկություն,geluk
249,Kummer::N,վիշտ,verdriet
250,Wunsch::N,ցանկություն,wens
251,Wunsch::N,ցանկություն,verlangen
252,Lust::N,փափագ,zin
253,Lust::N,փափագ,lust
254,Lust::N,իղձ,zin
255,Lust::N,իղձ,lust
256,Geist::N,ոգի,geest
257,Gedanke::N,միտք,gedachte
258,Gedächtnis::N,հիշողություն,geheugen
259,Verstand::N,խելք,verstand
260,Sinn::N,իմաստ,betekenis
261,Grund::N,պատճառ,reden
262,Wahrheit::N,ճշմարտություն,waarheid
263,Gespräch::N,զրույց,gesprek
264,Märchen::N,պայիկի պատմություն,sprookje
265,Erzählung::N,պատմվածք,verhaal
266,Erzählung::N,պատմություն,verhaal
267,Nachricht::N,հաղորդագրություն,tijding
268,Neuigkeit::N,լուր,nieuws
269,Neuigkeit::N,լուր,nieuwtje
270,Neuigkeit::N,նորություն,nieuws
271,Neuigkeit::N,նորություն,nieuwtje
272,Name::N,անուն,naam
273,Rätsel::N,բարդ խնդիր,raadsel
274,Rede::N,ճառ,rede
275,Rede::N,ելույթ,rede
276,Sprache::N,լեզու,taal
277,Stimme::N,ձայն,stem
278,Wort::N,բառ,woord
279,Zeichen::N,նշան,teken
280,Ruf::N,կոչ,roep
281,Ruf::N,կանչ,roep
282,Lärm::N,աղմուկ,lawaai
283,Laut::N,հնչյուն,klank
284,Laut::N,հնչյուն,geluid
285,Laut::N,ձայն,klank
286,Laut::N,ձայն,geluid
287,Ton::N,տոն,toon
288,Ton::N,տոն,klank
289,Lied::N,երգ,lied
290,Ruhe::N,անդորրություն,rust
291,Ruhe::N,անդորրություն,stilte
292,Leute::N,մարդիկ,lui
293,Leute::N,մարդիկ,mensen
294,Volk::N,ազգ,volk
295,Arbeit::N,գործ,werk
296,Arbeit::N,գործ,arbeid
297,Arbeit::N,աշխատանք,werk
298,Arbeit::N,աշխատանք,arbeid
299,Gast::N,հյուր,gast
300,Geschenk::N,նվեր,cadeau
301,Geschenk::N,նվեր,geschenk
302,Spiel::N,խաղ,spel
303,Gesellschaft::N,ընկերություն,gezelschap
304,Hilfe::N,օգնությթուն,hulp
305,Freund::N,ընկեր,vriend
306,Freund::N,բարեկամ,vriend
307,Kamerad::N,ուղեկից,maat
308,Kamerad::N,ուղեկից,metgezel
309,Angelegenheit::N,բան,zaak
310,Angelegenheit::N,բան,aangelegenheid
311,Angelegenheit::N,գործ,zaak
312,Angelegenheit::N,գործ,aangelegenheid
313,Anzahl::N,քանակ,tal
314,Anzahl::N,քանակ,aantal
315,Anzahl::N,գումար,tal
316,Anzahl::N,գումար,aantal
317,Art::N,տեսակ,slag
318,Art::N,տեսակ,soort
319,Stück::N,կտոր,stuk
320,Teil::N,մաս,deel
321,Hälfte::N,կես,helft
322,Kreis::N,շիջանակ,kring
323,Kreis::N,շիջանակ,cirkel
324,Kreuz::N,խաչ,kruis
325,Linie::N,գիծ,lijn
326,Strich::N,գիծ,haal
327,Strich::N,գիծ,streep
328,Abstand::N,անջրպետ,afstand
329,Entfernung::N,հեռավորություն,afstand
330,Gegend::N,շրջան,streek
331,Platz::N,տարածություն,ruimte
332,Ort::N,տեղ,oord
333,Ort::N,տեղ,plaats
334,Ort::N,վայր,oord
335,Ort::N,վայր,plaats
336,Seite::N,կողմ,zij
337,Seite::N,կողմ,kant
338,Seite::N,կողմ,zijde
339,Mitte::N,մեջտեղ,midden
