,Concept_ID,it,mn
0,Auge::N,occhio,нүд
1,Ohr::N,orecchio,чих
2,Nase::N,naso,хамар
3,Mund::N,bocca,ам
4,Zahn::N,dente,шүд
5,Zunge::N,lingua,хэл
6,Lippe::N,labbro,уруул
7,Wange::N,guancia,хацар
8,Gesicht::N,viso,царай
9,Gesicht::N,viso,нүүр
10,Gesicht::N,faccia,царай
11,Gesicht::N,faccia,нүүр
12,Stirn::N,fronte,дух
13,Haar::N,capello,үс
14,Schnurrbart::N,baffi,дээд сахал
15,Schnurrbart::N,baffi,живэр сахал
16,Schnurrbart::N,mustacchi,дээд сахал
17,Schnurrbart::N,mustacchi,живэр сахал
18,Bart::N,barba,сахал
19,Kinn::N,mento,эрүү
20,Kiefer[Anatomie]::N,mascella,эрүү
21,Kehle::N,gola,хоолой
22,Hals::N,collo,хүзүү
23,Genick::N,nuca,шил
24,Genick::N,nuca,хүзүү
25,Kopf::N,capo,толгой
26,Kopf::N,testa,толгой
27,Rücken::N,dorso,ар
28,Rücken::N,dorso,нуруу
29,Rücken::N,schiena,ар
30,Rücken::N,schiena,нуруу
31,Bauch::N,ventre,хэвлий
32,Bauch::N,ventre,гэдэс
33,Nabel::N,ombelico,хүйс
34,Busen::N,seno,хөх
35,Brust::N,petto,цээж
36,Schulter::N,spalla,мөр
37,Schulter::N,spalla,бугалга
38,Arm::N,braccio,гар
39,Ellenbogen::N,gomito,тохой
40,Hand::N,mano,гар
41,Hand::N,mano,алга
42,Handfläche::N,palma,алга
43,Finger::N,dito,хуруу
44,Fingernagel::N,unghia,хурууны хумс
45,Nagel[Anatomie]::N,unghia,хумс
46,Zeh::N,dito del piede,хуруу
47,Fuß::N,piede,хөл
48,Ferse::N,tallone,өсгий
49,Ferse::N,calcagno,өсгий
50,Knie::N,ginocchio,өвдөг
51,Oberschenkel::N,fèmore,гуя
52,Bein::N,gamba,хөл
53,Körper::N,corpo,бие
54,Haut::N,pelle,арьс
55,Blut::N,sangue,цус
56,Ader::N,vena,судас
57,Sehne::N,tèndine,бүлх
58,Sehne::N,tèndine,шандас
59,Knochen::N,osso,яс
60,Gehirn::N,cervello,тархи
61,Herz::N,cuore,зүрх
62,Magen::N,stòmaco,ходоод
63,Leber::N,fegato,элэг
64,Atem::N,fiato,амьсгаа
65,Atem::N,respiro,амьсгаа
66,Hunger::N,fame,өлсгөлөн
67,Träne::N,làcrima,нулимс
68,Geschmack::N,gusto,амт
69,Geschmack::N,sapore,амт
70,Geruch::N,odore,үнэр
71,Schlaf::N,sonno,нойр
72,Traum::N,sogno,зүүд
73,Himmel::N,cielo,тэнгэр
74,Himmel::N,cielo,огторгуй
75,Sonne::N,sole,нар
76,Mond::N,luna,сар
77,Stern::N,stella,од
78,Luft::N,aria,агаар
79,Wind::N,vento,салхи
80,Welle::N,onda,долгио
81,Welle::N,onda,давалгаа
82,Wasser::N,acqua,ус
83,Stein::N,sasso,чулуу
84,Stein::N,pietra,чулуу
85,Boden::N,suolo,хөрс
86,Boden::N,terreno,хөрс
87,Erde::N,terra,газар
88,Erde::N,terra,шороо
89,Staub::N,polvere,тоос
90,Rauch::N,fumo,утаа
91,Funke::N,scintilla,оч
92,Feuer::N,fuoco,гал
93,Licht::N,luce,гэрэл
94,Licht::N,luce,гэгээ
95,Schatten::N,ombra,сүүдэр
96,Wetter::N,tempo,тэнгэр
97,Wetter::N,tempo,цаг уур
98,Nebel::N,nebbia,будан
99,Wolke::N,nube,үүл
100,Wolke::N,nùvola,үүл
101,Regen::N,pioggia,бороо
102,Schnee::N,neve,цас
103,Eis::N,ghiaccio,мөс
104,Frost::N,gelo,хүйт
105,Kälte::N,freddo,хүйт
106,Hitze::N,caldo,халуун
107,Hitze::N,calura,халуун
108,Raureif::N,brina,цан
109,Raureif::N,brina,хяруу
110,Regenbogen::N,arcobaleno,солонго
111,Donner::N,tuono,тэнгэрийн дуу
