,Concept_ID,eu,nl
0,Auge::N,begi,oog
1,Ohr::N,belarri,oor
2,Nase::N,sudur,neus
3,Mund::N,aho,mond
4,Zahn::N,hortz,tand
5,Zunge::N,mihi,tong
6,Lippe::N,ezpain,lip
7,Wange::N,masail,wang
8,Gesicht::N,aurpegi,gelaat
9,Gesicht::N,aurpegi,gezicht
10,Stirn::N,bekoki,voorhoofd
11,Haar::N,ile,haar
12,Haar::N,bilo,haar
13,Schnurrbart::N,bibote,snor
14,Schnurrbart::N,sudurpeko,snor
15,Bart::N,bizar,baard
16,Kinn::N,kokots,kin
17,Kiefer[Anatomie]::N,masailezur,kaak
18,Kehle::N,eztarri,keel
19,Kehle::N,eztarri,strot
20,Hals::N,sama,hals
21,Genick::N,garondo,nek
22,Kopf::N,buru,hoofd
23,Rücken::N,bizkar,rug
24,Bauch::N,sabel,buik
25,Nabel::N,zilbor,navel
26,Busen::N,titi,boezem
27,Busen::N,ugatz,boezem
28,Brust::N,bular,borst
29,Schulter::N,besaburu,schouder
30,Arm::N,beso,arm
31,Ellenbogen::N,ukondo,elleboog
32,Hand::N,esku,hand
33,Handfläche::N,ahur,handpalm
34,Finger::N,hatz,vinger
35,Fingernagel::N,azazkal,nagel
36,Nagel[Anatomie]::N,azazkal,nagel
37,Zeh::N,behatz,teen
38,Fuß::N,oin,voet
39,Ferse::N,orpo,hak
40,Ferse::N,orpo,hiel
41,Ferse::N,oinburu,hak
42,Ferse::N,oinburu,hiel
43,Knie::N,belaun,knie
44,Oberschenkel::N,izter,dij
45,Bein::N,zango,been
46,Körper::N,soin,lichaam
47,Haut::N,azal,huid
48,Blut::N,odol,bloed
49,Ader::N,zain,ader
50,Sehne::N,gihar-zain,pees
51,Knochen::N,hezur,bot
52,Knochen::N,hezur,been
53,Knochen::N,hezur,knook
54,Gehirn::N,garun,hersenen
55,Gehirn::N,burmuin,hersenen
56,Herz::N,bihotz,hart
57,Magen::N,urdail,maag
58,Leber::N,gibel,lever
59,Atem::N,hats,adem
60,Atem::N,arnasa,adem
61,Hunger::N,gose,honger
62,Träne::N,malko,traan
63,Geschmack::N,dasta,smaak
64,Geruch::N,usain,geur
65,Schlaf::N,lo,slaap
66,Traum::N,amets,droom
67,Himmel::N,zeru,hemel
68,Sonne::N,eguzki,zon
69,Mond::N,ilargi,maan
70,Stern::N,izar,ster
71,Luft::N,aire,lucht
72,Wind::N,haize,wind
73,Welle::N,uhin,golf
74,Welle::N,olatu,golf
75,Wasser::N,ur,water
76,Stein::N,harri,steen
77,Boden::N,lur,grond
78,Boden::N,zoru,grond
79,Erde::N,lur,aarde
80,Staub::N,hauts,stof
81,Rauch::N,ke,rook
82,Funke::N,zirta,vonk
83,Funke::N,txinparta,vonk
84,Feuer::N,su,vuur
85,Licht::N,argi,licht
86,Schatten::N,itzal,schaduw
87,Schatten::N,geriza,schaduw
88,Wetter::N,eguraldi,weer
89,Nebel::N,laino,mist
90,Nebel::N,laino,nevel
91,Wolke::N,hodei,wolk
92,Regen::N,euri,regen
93,Schnee::N,elur,sneeuw
94,Eis::N,horma,ijs
95,Frost::N,izotzaldi,vorst
96,Kälte::N,hotz,kou
97,Kälte::N,hotz,koude
98,Hitze::N,bero,hitte
99,Raureif::N,antzigar,rijp
100,Regenbogen::N,ostadar,regenboog
101,Regenbogen::N,ortzadar,regenboog
102,Donner::N,ostots,donder
103,Donner::N,ihurtzuri,donder
104,Strömung::N,laster,stroming
105,Tropfen::N,xorta,druppel
106,Schaum::N,bits,schuim
107,Schmutz::N,lohi,vuil
108,Schmutz::N,zikin,vuil
109,See::N,laku,meer
110,See::N,aintzira,meer
111,Sumpf::N,zingira,moeras
