,Concept_ID,el,udm
0,Auge::N,μάτι,син
1,Auge::N,οφθαλμός,син
2,Ohr::N,αυτί,пель
3,Nase::N,μύτη,ныр
4,Mund::N,στόμα,ым
5,Zahn::N,δόντι,пинь
6,Zunge::N,γλώσσα,кыл
7,Lippe::N,χείλος,ымдур
8,Wange::N,παρειά,бам
9,Wange::N,μάγουλο,бам
10,Gesicht::N,πρόσωπο,ымныр
11,Stirn::N,μέτωπο,кымес
12,Haar::N,μαλλιά,йырси
13,Schnurrbart::N,μουστάκι,мыйык
14,Bart::N,γένια,туш
15,Kinn::N,πιγούνι,ангес
16,Kiefer[Anatomie]::N,σαγόνι,ан
17,Kiefer[Anatomie]::N,σαγόνι,анлы
18,Kehle::N,λαρύγγι,гульым
19,Hals::N,λαιμός,чырты
20,Genick::N,σβέρκος,йырбер
21,Kopf::N,κεφάλι,йыр
22,Rücken::N,ράχη,мыш
23,Bauch::N,κοιλιά,кӧт
24,Nabel::N,αφαλός,гогы
25,Busen::N,στήθος,ноны
26,Brust::N,στήθος,мӧля
27,Schulter::N,ώμος,пельпум
28,Arm::N,χέρι,суй
29,Arm::N,μπράτςο,суй
30,Ellenbogen::N,αγκώνας,гырпум
31,Hand::N,χέρι,ки
32,Handfläche::N,παλάμη,ки пыдэс
33,Handfläche::N,παλάμη,кырым пыдэс
34,Finger::N,δάχτυλο,чиньы
35,Fingernagel::N,νύχι,гижы
36,Fingernagel::N,νύχι,гиждӥнь
37,Nagel[Anatomie]::N,νύχι,гижы
38,Zeh::N,δάχτυλο του ποδιού,пыдчиньы
39,Fuß::N,πόδι,пыд
40,Ferse::N,φτέρνα,пыдбер
41,Knie::N,γόνατο,пыдес
42,Oberschenkel::N,μηρός,макес
43,Bein::N,πόδι,пыд
44,Körper::N,σώμα,мугор
45,Körper::N,σώμα,вылтыр
46,Körper::N,κορμί,мугор
47,Körper::N,κορμί,вылтыр
48,Haut::N,πετσί,ку
49,Blut::N,αίμα,вир
50,Ader::N,φλέβα,вирсэр
51,Sehne::N,νεύρο,вуж
52,Sehne::N,τένοντας,вуж
53,Knochen::N,οστό,лы
54,Knochen::N,κόκκαλο,лы
55,Gehirn::N,μυαλό,вим
56,Gehirn::N,εγκέφαλος,вим
57,Herz::N,καρδιά,сюлэм
58,Magen::N,στομάχι,ӝуш
59,Leber::N,ήπαρ,мус
60,Leber::N,συκωτί,мус
61,Atem::N,αναπνοή,лул
62,Atem::N,αναπνοή,шокан
63,Hunger::N,πείνα,кӧтсюман
64,Träne::N,δάκρυ,синкыли
65,Geschmack::N,γεύση,шӧм
66,Geruch::N,οσμή,зын
67,Geruch::N,μυρωδία,зын
68,Schlaf::N,ύπνος,вӧт
69,Traum::N,όνειρο,уйвӧт
70,Himmel::N,ουρανός,ин
71,Sonne::N,ήλιος,шунды
72,Mond::N,σελήνη,толэзь
73,Mond::N,φεγγάρι,толэзь
74,Stern::N,άστρο,кизили
75,Stern::N,αστέρι,кизили
76,Luft::N,αέρας,омыр
77,Wind::N,αέρας,тӧл
78,Wind::N,άνεμος,тӧл
79,Welle::N,κύμα,тулкым
80,Wasser::N,νερό,ву
81,Stein::N,πέτρα,из
82,Boden::N,χώμα,музъем
83,Erde::N,γη,му
84,Staub::N,σκόνη,пыль
85,Rauch::N,καπνός,ӵын
86,Funke::N,σπίθα,гизьы
87,Funke::N,σπινθήρας,гизьы
88,Feuer::N,φωτιά,тыл
89,Licht::N,φως,тыл
90,Schatten::N,σκιά,вужер
91,Schatten::N,ίσκιος,вужер
92,Wetter::N,καιρός,куазь
93,Nebel::N,ομίχλη,бус
94,Wolke::N,σύννεφο,пилем
95,Regen::N,βροχή,зор
96,Schnee::N,χιόνι,лымы
97,Eis::N,πάγος,йӧ
98,Frost::N,παγωνία,кезьыт
99,Kälte::N,κρύο,кезьыт
100,Kälte::N,ψύχος,кезьыт
101,Hitze::N,ζέστη,пӧсь
102,Raureif::N,πάχνη,гӧр
103,Regenbogen::N,ουράνιο τόξο,вуюись
104,Donner::N,βροντή,гудыри
105,Strömung::N,ρεύμα,бызён
106,Tropfen::N,στάλα,шапык
107,Schaum::N,αφρός,шукы
108,Schmutz::N,βρωμιά,нӧд
109,Schmutz::N,βρωμιά,дэри
110,See::N,λίμνη,ты
111,Sumpf::N,βάλτος,нюр
112,Moor::N,έλος,нюр
113,Wiese::N,λιβάδι,возь
114,Wiese::N,λιβάδι,возьвыл
115,Wald::N,δάσος,сик
116,Wald::N,δάσος,нюлэс
117,Hügel::N,λόφος,выр
118,Hügel::N,λόφος,вырйыл
119,Anhöhe::N,ύψωμα,выр
120,Anhöhe::N,ύψωμα,вырйыл
121,Berg::N,όρος,гурезь
122,Berg::N,βουνό,гурезь
123,Gipfel::N,κορυφή,йыл
124,Höhle::N,σπηλιά,гу
125,Abhang::N,πλαγιά,бам
126,Quelle::N,πηγή,ошмес
127,Quelle::N,βρύση,ошмес
128,Bach::N,ρυάκι,пичи шур
129,Fluss::N,ποτάμι,шур
130,Fluss::N,ποταμός,шур
131,Ufer::N,όχθη,ярдур
132,Küste::N,ακτή,вудур
133,Küste::N,ακρογιαλιά,вудур
134,Festland::N,στεριά,мувыр
135,Meer::N,θάλασσα,зарезь
136,Bucht::N,κόλπος,вукож
137,Insel::N,νησί,вумуӵ
138,Insel::N,νησί,шормуӵ
139,Insel::N,νήσος,вумуӵ
140,Insel::N,νήσος,шормуӵ
141,Blume::N,άνθος,сяська
142,Blume::N,λουλούδι,сяська
143,Gras::N,χόρτο,турын
144,Gras::N,χορτάρι,турын
145,Wurzel::N,ρίζα,выжы
146,Baum::N,δέντρο,пу
147,Stamm::N,κορμός,модос
148,Rinde::N,φλούδα,сул
149,Ast::N,κλαδί,ул
150,Zweig::N,κλαδί,вай
151,Zweig::N,κλάδος,вай
152,Blatt::N,φύλλο,куар
153,Birke::N,σημύδα,кызьпу
154,Kiefer[Baum]::N,πεύκο,пужым
155,Weide[Baum]::N,ιτιά,бадьпу
156,Tanne::N,έλατο,кыз
157,Horn::N,κέρας,сюр
158,Horn::N,κέρατο,сюр
159,Feder::N,φτερό,тылы
160,Fell::N,δέρμα,ку
161,Fell::N,τομάρι,ку
162,Flügel::N,πτερύγιο,бурд
163,Klaue::N,κουλό,гижы
164,Kralle::N,νύχι,пыд
165,Schwanz::N,ουρά,быж
166,Ei::N,αβγό,пуз
167,Ei::N,αβγό,кукей
168,Nest::N,φωλιά,кар
169,Nest::N,φωλιά,пузкар
170,Bau::N,φωλιά,кар
171,Bau::N,φωλιά,гу
172,Tier::N,ζώο,пӧйшур
173,Herde::N,κοπάδι,уллё
174,Kuh::N,αγελάδα,скал
175,Bulle::N,ταύρος,ош
176,Bulle::N,ταύρος,пороз
177,Pferd::N,άλογο,вал
178,Schaf::N,πρόβατο,ыж
179,Schwein::N,γουρούνι,парсь
180,Hund::N,σκυλί,пуны
181,Hund::N,σκύλος,пуны
182,Katze::N,γάτα,коӵыш
183,Bär::N,άρκτος,гондыр
184,Bär::N,αρκούδα,гондыр
185,Eichhörnchen::N,βερβερίτσα,коньы
186,Elch::N,άλκη,койык
187,Fuchs::N,αλεπού,ӟичы
188,Hase::N,λαγός,кеч
189,Maus::N,ποντικός,шыр
190,Wolf::N,λύκος,кион
191,Vogel::N,πουλί,тылобурдо
192,Schwarm::N,σμήνος,уллё
193,Huhn::N,κότα,курег
194,Huhn::N,όρνιθα,курег
195,Hahn::N,πετεινός,атас
196,Gans::N,χήνα,ӟазег
197,Adler::N,αετός,ӧрзи
198,Ente::N,πάπια,ӵӧж
199,Eule::N,κουκουβάγια,кучыран
200,Kranich::N,γερανός,тури
201,Krähe::N,καρακάξα,куака
202,Kuckuck::N,κούκος,кикы
203,Schwan::N,κύκνος,юсь
204,Fisch::N,ψάρι,чорыг
205,Barsch::N,πέρκα,юш
206,Hecht::N,λούτσος,чипей
207,Schlange[Tier]::N,φίδι,кый
208,Wurm::N,σκουλήκι,нумыр
209,Spinne::N,αράχνη,чонари
210,Ameise::N,μυρμήγκι,кузьыли
211,Laus::N,ψείρα,тэй
212,Mücke::N,κουνούπι,нымы
213,Mücke::N,κουνούπι,чибинь
214,Fliege::N,μύγα,кут
215,Schmetterling::N,πεταλούδα,бубыли
216,Beere::N,ρόγα,узы-боры
217,Apfel::N,μήλο,яблок
218,Pilz::N,μανιτάρι,губи
219,Zwiebel::N,κρεμμύδι,сугон
220,Saat::N,σπόρος,кидыс
221,Korn::N,σπυρί,тысь
222,Heu::N,σανός,турын
223,Schale::N,τσόφλι,кыд
224,Grube::N,λάκκος,гу
225,Grube::N,λάκκος,гоп
226,Falle::N,παγίδα,налик
227,Schlinge::N,θηλειά,гиӟ
228,Schlinge::N,θηλειά,герд
229,Spur::N,ίχνος,пытьы
230,Spur::N,ίχνος,бервыл
231,Asche::N,στάχτη,пень
232,Dreck::N,βρωμιά,дэри
233,Eisen::N,σίδερο,корт
234,Gold::N,μάλαμα,зарни
235,Gold::N,χρυσάφι,зарни
236,Silber::N,ασήμι,азвесь
237,Silber::N,άργυρος,азвесь
238,Kohle::N,κάρβουνο,эгыр
239,Glas::N,γυαλί,стекло
240,Glas::N,γυαλί,пияла
241,Lehm::N,πηλός,сюй
242,Sand::N,άμμος,луо
243,Mensch::N,άνθρωπος,мурт
244,Mensch::N,άνθρωπος,адями
245,Mann::N,άνδρας,воргорон
246,Frau::N,γυναίκα,кышномурт
247,Kind::N,παιδί,нуны
248,Kind::N,παιδί,пинал
249,Junge::N,αγόρι,пи
250,Mädchen::N,κοπέλα,ныл
251,Mädchen::N,κορίτσι,ныл
252,Familie::N,οικογένεια,семья
253,Großvater::N,παππούς,песятай
254,Großvater::N,παππούς,пересь атай
255,Großmutter::N,γιαγιά,песянай
256,Großmutter::N,γιαγιά,пересь анай
257,Eltern::N,γονείς,атай-анай
258,Eltern::N,γονείς,бубы-мумы
259,Vater::N,πατέρας,айы
260,Vater::N,πατέρας,атай
261,Mutter::N,μητέρα,мумы
262,Sohn::N,γιος,пи
263,Tochter::N,κόρη,ныл
264,Bruder::N,αδελφός,агай
265,Schwester::N,αδελφή,апа
266,Schwester::N,αδελφή,сузэр
267,Onkel::N,θείος,агай
268,Tante::N,θεία,апа
269,Tante::N,θεία,кенак
270,Ehemann::N,σύζυγος,карт
271,Ehefrau::N,σύζυγος,кышно
272,Freude::N,χαρά,шумпотон
273,Gelächter::N,γέλια,горем
274,Glück::N,ευτυχία,шуд
275,Kummer::N,έγνοια,кайгу
276,Kummer::N,έγνοια,куректон
277,Wunsch::N,επιθυμία,мылпотон
278,Lust::N,όρεξη,потон
279,Geist::N,πνέυμα,лул
280,Gedanke::N,σκέψη,малпан
281,Gedächtnis::N,μνήμη,йырсазь
282,Gedächtnis::N,μνήμη,тодэваён
283,Verstand::N,νους,йырвизь
284,Sinn::N,νόημα,смысл
285,Grund::N,λόγος,муг
286,Grund::N,λόγος,ньӧм
287,Wahrheit::N,αλήθεια,зэм
288,Wahrheit::N,αλήθεια,шонер
289,Gespräch::N,συνομιλία,вераськон
290,Märchen::N,παραμύθι,выжыкыл
291,Erzählung::N,διήγημα,верос
292,Nachricht::N,είδηση,ивор
293,Neuigkeit::N,νέο,выльивор
294,Name::N,όνομα,ним
295,Rätsel::N,αίνιγμα,мадькыл
296,Rede::N,λόγος,верам
297,Rede::N,ομιλία,верам
298,Sprache::N,γλώσσα,кыл
299,Stimme::N,φωνή,куара
300,Wort::N,λέξη,кыл
301,Zeichen::N,σημείο,пус
302,Zeichen::N,σημείο,тодмет
303,Ruf::N,κραυγή,ӧтён
304,Ruf::N,κραυγή,чортон
305,Lärm::N,θόρυβος,ӵашетон
306,Laut::N,ήχος,куара
307,Ton::N,ήχος,куара
308,Ton::N,τόνος,куара
309,Lied::N,τραγούδι,кырӟан
310,Ruhe::N,ησυχία,чалмыт улон
311,Leute::N,κόσμος,адямиос
312,Leute::N,άνθρωποι,адямиос
313,Volk::N,λαός,калык
314,Arbeit::N,εργασία,уж
315,Gast::N,επισκέπτης,куно
316,Geschenk::N,δώρο,салам
317,Geschenk::N,δώρο,кузьым
318,Spiel::N,παιχνίδι,шудон
319,Gesellschaft::N,κοινωνία,калык
320,Hilfe::N,βοήθεια,юрттон
321,Freund::N,φίλος,эш
322,Freund::N,φίλος,юлтош
323,Kamerad::N,σύντροφος,тодмо
324,Angelegenheit::N,υπόθεση,уж
325,Anzahl::N,αριθμός,лыд
326,Art::N,είδος,тус
327,Stück::N,κομμάτι,юдэс
328,Teil::N,μέρος,люкет
329,Hälfte::N,μισό,ӝыны
330,Kreis::N,κύκλος,котырес
331,Kreuz::N,σταυρός,крест
332,Linie::N,γραμμή,гож
333,Strich::N,γραμμή,гож
334,Abstand::N,απόσταση,вис
335,Abstand::N,απόσταση,кусып
336,Entfernung::N,απόσταση,кусып
337,Gegend::N,περιοχή,инты
338,Gegend::N,τοποθεσία,инты
339,Platz::N,χώρος,инты
340,Ort::N,τόπος,инты
341,Ort::N,τόπος,места
342,Seite::N,πλευρά,пал
343,Mitte::N,μέση,шор
344,Gegenstand::N,αντικείμενο,арбери
345,Sache::N,πράγμα,котыр
346,Rand::N,άκρη,дур
347,Rand::N,άκρη,шаер
348,Rand::N,χείλος,дур
349,Rand::N,χείλος,шаер
350,Kante::N,άκρη,дур
351,Ecke::N,γωνιά,сэрег
352,Spitze::N,μύτη,йыл
353,Ende::N,άκρη,пум
354,Loch::N,τρύπα,пась
355,Winkel::N,γωνία,сэрег
356,Muster::N,σχέδιο,пужы
357,Größe::N,μέγεθος,быдӟала
358,Länge::N,μήκος,кузьдала
359,Höhe::N,ύψος,ӝуждала
360,Gewicht::N,βάρος,сектала
361,Gewicht::N,βάρος,секытлык
362,Menge::N,ποσότητα,лыд
363,Menge::N,ποσότητα,лыдпус
364,Haufen::N,σωρός,люк
365,Reihe::N,αράδα,чур
366,Boot::N,βάρκα,пыж
367,Boot::N,βάρκα,лодка
368,Ruder::N,κουπί,полыс
369,Schlitten::N,έλκηθρο,додьы
370,Ski::N,σκι,куас
371,Lagerfeuer::N,φωτιά,тылскем
372,Last::N,φορτίο,секыт
373,Gang::N,δρόμος,ветлон
374,Schritt::N,βήμα,вамыш
375,Norden::N,βορράς,уйпал
376,Süden::N,νότος,лымшор
377,Westen::N,δύση,шунды пуксён
378,Osten::N,ανατολή,шунды ӝужан
379,Holz::N,ξύλο,пу
380,Brett::N,σανίδι,пул
381,Platte::N,πλάκα,плита
382,Stütze::N,στήριγμα,пыкет
383,Stange::N,ραβδί,пуӵ
384,Stange::N,κοντός,пуӵ
385,Stock::N,ξύλο,боды
386,Stock::N,μπαστούνι,боды
387,Stab::N,ραβδί,пуӵ
388,Stab::N,ραβδί,боды
389,Rohr::N,σωλήνας,труба
390,Haus::N,σπίτι,юрт
391,Heim::N,σπίτι,корка
392,Ofen::N,σόμπα,гур
393,Ofen::N,θερμάστρα,гур
394,Fußboden::N,πάτωμα,выж
395,Tisch::N,τραπέζι,ӝӧк
396,Stuhl::N,καρέκλα,пукон
397,Wiege::N,κούνια,кӧкы
398,Wiege::N,κούνια,зыбка
399,Bett::N,κρεβάτι,валес
400,Regal::N,ράφι,ӝажы
401,Kiste::N,κιβώτιο,ящик
402,Fenster::N,παράθυρο,укно
403,Fenster::N,παράθυρο,косяк
404,Tür::N,πόρτα,ӧс
405,Tor::N,πύλη,ӟезьы
406,Zaun::N,φράχτης,забор
407,Dach::N,στέγη,липет
408,Leiter::N,σκάλα,падӟа
409,Leiter::N,κλίμακα,падӟа
410,Besen::N,σκούπα,ӵужон
411,Besen::N,σκούπα,исьнер
412,Spaten::N,φτυάρι,лопатка
413,Schaufel::N,φτυάρι,ютырон
414,Gabel::N,πιρούνι,тэчы
415,Gabel::N,πιρούνι,вилка
416,Löffel::N,κουτάλι,пуньы
417,Messer::N,μαχαίρι,пурт
418,Nagel::N,καρφί,кортӵог
419,Netz::N,δίχτυ,сеть
420,Haken::N,γάντζος,курик
421,Haken::N,αγκίστρι,курик
422,Griff::N,λαβή,ныд
423,Schloss::N,κλειδαριά,тунгон
424,Bild::N,εικόνα,суред
425,Figur::N,ανάστημα,фигура
426,Puppe::N,κούκλα,мунё
427,Beutel::N,πουγγί,пуйы
428,Bündel::N,δεμάτι,керттэт
429,Tasche::N,τσάντα,пуйы
430,Tasche::N,τσάντα,сумка
431,Eimer::N,κουβάς,ведра
432,Deckel::N,καπάκι,ӵоксэт
433,Geschirr::N,σκεύη,тусьты-пуньы
434,Sack::N,σάκος,пуйы
435,Tasse::N,φλιτζάνι,ӵаша
436,Topf::N,χύτρα,миска
437,Kessel::N,καζάνι,пурты
438,Essen::N,φαγητό,сиськон
439,Nahrung::N,τροφή,сион
440,Speise::N,φαγητό,сиён
441,Fleisch::N,κρέας,сӥль
442,Getreide::N,σιτάρι,ю тысь
443,Brei::N,χυλός,ӝук
444,Brot::N,ψωμί,нянь
445,Brot::N,άρτος,нянь
446,Scheibe::N,φέτα,шорем
447,Fett::N,πάχος,кӧй
448,Butter::N,βούτυρο,вӧй
449,Öl::N,λάδι,вӧй
450,Salz::N,αλάτι,сылал
451,Suppe::N,σούπα,шыд
452,Honig::N,μέλι,чечы
453,Milch::N,γάλα,йӧл
454,Tee::N,τσάι,чай
455,Leder::N,πετσί,сурон
456,Wolle::N,μαλλί,гон
457,Wolle::N,μαλλί,ыжгон
458,Stoff::N,ύφασμα,куэм
459,Nadel::N,βελόνα,вень
460,Faden::N,κλωστή,сӥньыс
461,Knopf::N,κουμπί,бирды
462,Knoten::N,κόμπος,герд
463,Farbe::N,μπογιά,буёл
464,Kleidung::N,ρούχα,дӥсь
465,Kleidung::N,ενδυμασία,дӥсь
466,Hemd::N,πουκάμισο,дэрем
467,Kragen::N,κολάρο,сирес
468,Ärmel::N,μανίκι,саес
469,Hose::N,πανταλόνι,брюки
470,Hose::N,πανταλόνι,штань
471,Gürtel::N,ζώνη,кускерттон
472,Mütze::N,σκούφος,ызьы
473,Schuh::N,παπούτσι,ботинка
474,Stiefel::N,μπότα,сапег
475,Ring::N,δαχτυλίδι,зундэс
476,Band::N,κορδέλα,лента
477,Kamm::N,χτένα,сын
478,Spiegel::N,καθρέφτης,синучкон
479,Riemen::N,λουρί,е
480,Schnur::N,κορδόνι,гозы
481,Leine::N,σχοινί,думет
482,Decke::N,κουβέρτα,шобрет
483,Kissen::N,μαξιλάρι,миндэр
484,Tuch::N,πανί,кышет
485,Tuch::N,μαντήλι,кышет
486,Handtuch::N,πετσέτα,ӵушкон
487,Kraft::N,δύναμη,кать
488,Kraft::N,δύναμη,ӟигар
489,Stärke::N,ισχύς,юнлык
490,Stärke::N,δύναμη,юнлык
491,Gesundheit::N,υγεία,тазалык
492,Krankheit::N,αρρώστια,висён
493,Schmerz::N,πόνος,висён
494,Wunde::N,πληγή,яра
495,Fieber::N,πυρετός,кезег
496,Arznei::N,φάρμακο,эмъюм
497,Brücke::N,γέφυρα,выж
498,Brunnen::N,πηγάδι,колдэч
499,Weide::N,βοσκή,возь
500,Pfad::N,μονοπάτι,сюрес
501,Weg::N,δρόμος,сюрес
502,Straße::N,οδός,сюрес
503,Straße::N,δρόμος,сюрес
504,Dorf::N,χωριό,гурт
505,Stadt::N,πόλη,кар
506,Stadt::N,πόλη,город
507,Brief::N,γράμμα,гожтэт
508,Brief::N,επιστολή,гожтэт
509,Buch::N,βιβλίο,книга
510,Buchstabe::N,γράμμα,буква
511,Zeitung::N,εφημερίδα,газет
512,Leben::N,ζωή,улон
513,Leben::N,βίος,улон
514,Tod::N,θάνατος,кулон
515,Grab::N,τάφος,шайгу
516,Kirche::N,εκκλησία,черк
517,Sünde::N,αμαρτία,сьӧлык
518,Gott::N,θεός,ӥнмар
519,Arbeiter::N,εργάτης,рабочий
520,Chef::N,προϊστάμενος,начальник
521,Meister::N,μάστορας,кибашлы
522,Meister::N,αρχιτεχνίτης,кибашлы
523,Arzt::N,γιατρός,врач
524,Lehrer::N,δάσκαλος,дышетӥсь
525,Geld::N,λεφτά,уксё
526,Geld::N,λεφτά,коньдон
527,Geld::N,χρήματα,уксё
528,Geld::N,χρήματα,коньдон
529,Geschäft::N,συναλλαγή,уж
530,Laden::N,μαγαζί,магазин
531,Laden::N,κατάστημα,магазин
532,Preis::N,τιμή,дун
533,Ware::N,εμπόρευμα,вуз
534,Nutzen::N,όφελος,пайда
535,Reichtum::N,πλούτος,узырлык
536,Welt::N,κόσμος,дунне
537,Land::N,χώρα,шаер
538,Staat::N,κράτος,кун
539,Staat::N,πολιτεία,кун
540,König::N,βασιλιάς,эксэй
541,Macht::N,εξουσία,власть
542,Grenze::N,σύνορα,кунгож
543,Krieg::N,πόλεμος,ож
544,Feind::N,εχθρός,тушмон
545,Gewalt::N,βία,эриктэман
546,Kampf::N,αγώνας,нюръяськон
547,Bogen[Waffe]::N,τόξο,пукыӵ
548,Pfeil::N,σαΐτα,пукыӵ вень
549,Gewehr::N,τουφέκι,пыӵал
550,Fehler::N,λάθος,янгыш
551,Fehler::N,σφάλμα,янгыш
552,Lüge::N,ψέμα,пӧян
553,Lüge::N,ψέμα,алдан
554,Lüge::N,ψέμα,ӧрекчан
555,Lüge::N,ψεύδος,пӧян
556,Lüge::N,ψεύδος,алдан
557,Lüge::N,ψεύδος,ӧрекчан
558,Schaden::N,ζημία,изъян
559,Unglück::N,δυστυχία,куректон
560,Unglück::N,δυστυχία,шудтэме усён
561,Schuld::N,ενοχή,янгыш
562,Schuld::N,φταίξιμο,янгыш
563,Alter::N,ηλικία,арлыд
564,Schluss::N,τέλος,пум
565,Zeit::N,χρόνος,дыр
566,Tag::N,μέρα,нунал
567,Tag::N,ημέρα,нунал
568,Morgen::N,πρωί,ӵукна
569,Mittag::N,μεσημέρι,лымшор
570,Abend::N,βράδυ,ӝыт
571,Abend::N,βράδυ,акшан
572,Nacht::N,νύχτα,уй
573,Woche::N,εβδομάδα,арня
574,Monat::N,μήνας,толэзь
575,Jahr::N,έτος,ар
576,Jahr::N,χρόνος,ар
577,Frühling::N,άνοιξη,тулыс
578,Sommer::N,καλοκαίρι,гужем
579,Herbst::N,φθινόπωρο,сӥзьыл
580,Winter::N,χειμώνας,тол
581,Januar::N,Ιανουάριος,выльартолэзь
582,Februar::N,Φεβρουάριος,тулыспал
583,März::N,Μάρτιος,южтолэзь
584,April::N,Απρίλιος,оштолэзь
585,Mai::N,Μάιος,куартолэзь
586,Juni::N,Ιούνιος,вожотолэзь
587,Juli::N,Ιούλιος,пӧсьтолэзь
588,August::N,Αύγουστος,гудырикошкон
589,September::N,Σεπτέμβριος,куарусён
590,Oktober::N,Οκτώβριος,выльӝуктолэзь
591,November::N,Νοέμβριος,шуркынмон
592,Dezember::N,Δεκέμβριος,толсур
593,Montag::N,Δευτέρα,вордӥськон
594,Dienstag::N,Τρίτη,вторник
595,Mittwoch::N,Τετάρτη,вирнунал
596,Donnerstag::N,Πέμπτη,покчиарня
597,Freitag::N,Παρασκευή,удмуртарня
598,Samstag::N,Σάββατο,кӧснунал
599,Sonntag::N,Κυριακή,арня
600,groß::A,μεγάλος,бадӟым
601,klein::A,μικρός,пичи
602,lang::A,μακρύς,кузь
