,Concept_ID,ko,ku
0,Auge::N,눈,çav
1,Ohr::N,귀,guh
2,Nase::N,코,bêvil
3,Mund::N,입,dev
4,Zahn::N,이,didan
5,Zunge::N,혀,ziman
6,Lippe::N,입술,lêv
7,Wange::N,뺨,dêm
8,Wange::N,뺨,hinarik
9,Gesicht::N,얼굴,rû
10,Stirn::N,이마,enî
11,Haar::N,털,por
12,Schnurrbart::N,윗수몀,simbêl
13,Schnurrbart::N,코밑수염,simbêl
14,Bart::N,수엄,rih
15,Kinn::N,아래턱,zenî
16,Kiefer[Anatomie]::N,턱,arguşk
17,Kehle::N,인후,qirik
18,Hals::N,목,stû
19,Hals::N,목,qirik
20,Genick::N,먹덜이,stû
21,Kopf::N,머리,serî
22,Rücken::N,든,pişt
23,Bauch::N,배,ûr
24,Bauch::N,배,zik
25,Nabel::N,배꼽,navik
26,Busen::N,가슴속,sîng
27,Brust::N,가슴,sîng
28,Schulter::N,어깨,mil
29,Arm::N,팔,çepil
30,Ellenbogen::N,팔쿰치,enîşk
31,Hand::N,손,dest
32,Handfläche::N,손바닥,kefadest
33,Finger::N,속가락,tilî
34,Fingernagel::N,손톱,neynuk
35,Nagel[Anatomie]::N,손톱,bizmar
36,Zeh::N,발가락,tilî linga
37,Fuß::N,발,ling
38,Ferse::N,발꿈치,pahnî
39,Knie::N,무릎,kabok
40,Oberschenkel::N,허벅다리,rahn
41,Bein::N,다리,çip
42,Körper::N,구간,laş
43,Körper::N,구간,gowde
44,Haut::N,살갗,çerm
45,Blut::N,피,xwîn
46,Ader::N,정맥,reh
47,Sehne::N,현,reh
48,Knochen::N,뼈,hestî
49,Gehirn::N,뇌,mêjî
50,Gehirn::N,뇌수,mêjî
51,Herz::N,염통,dil
52,Magen::N,위,navêş
53,Leber::N,간,kezeb
54,Atem::N,기식,hilm
55,Hunger::N,공복,birçîtî
56,Träne::N,눈물,hêstir
57,Geschmack::N,기호,tam
58,Geruch::N,냄새,bêhn
59,Schlaf::N,수면,xew
60,Traum::N,쿰,xewn
61,Himmel::N,하늘,ezman
62,Sonne::N,해,roj
63,Mond::N,달,heyv
64,Stern::N,별,stêrk
65,Luft::N,동준,ba
66,Luft::N,가스채,ba
67,Wind::N,바람,ba
68,Welle::N,물결,şewl
69,Wasser::N,물,av
70,Stein::N,돌,kevir
71,Boden::N,바닥,herd
72,Erde::N,흙,ax
73,Staub::N,먼지,toz
74,Rauch::N,연기,dû
75,Funke::N,불티,çirûşk
76,Feuer::N,불,agir
77,Licht::N,불,ronahî
78,Schatten::N,어스레함,sî
79,Wetter::N,기상,hewa
80,Nebel::N,안개,mij
81,Wolke::N,구름,ewr
82,Regen::N,비,baran
83,Schnee::N,눈,berf
84,Eis::N,얼음,qeşa
85,Frost::N,혹한,xûsik
86,Kälte::N,추위,serma
87,Kälte::N,차가움,serma
88,Hitze::N,고온,germayî
89,Hitze::N,더위,germayî
90,Regenbogen::N,무지개,heftreng
91,Donner::N,뇌명,gire-gir
92,Strömung::N,유동,şewl
93,Tropfen::N,물방울,dilop
94,Schaum::N,포말,kef
95,Schmutz::N,때,gemar
96,See::N,호수,gol
97,Sumpf::N,습지,hezek
98,Moor::N,저습지,mafêl
99,Wiese::N,목초지,sûrik
100,Wald::N,숲,çiya
101,Wald::N,숲,daristan
102,Hügel::N,언덕,gir
103,Anhöhe::N,언덕,sere gir
104,Berg::N,산,kaş
105,Gipfel::N,졀졍,sere gir
106,Höhle::N,공동,şikeft
107,Abhang::N,몰매,kaş
108,Quelle::N,근원,kanî
109,Bach::N,내,çem
110,Fluss::N,강,çem
111,Fluss::N,강,rûbar
112,Ufer::N,강변,kevî
113,Ufer::N,바닷가,kevî
114,Küste::N,해변,berav
115,Küste::N,해변가,berav
116,Festland::N,본토,bejahî
117,Meer::N,바다,behr
118,Bucht::N,협만,derav
119,Insel::N,섬,girav
120,Blume::N,꽃,kulînk
121,Gras::N,풀,giha
122,Wurzel::N,뿌리,reh
123,Baum::N,나무,dar
124,Stamm::N,대,bavik
125,Rinde::N,나무껍질,qaqil
126,Ast::N,가지,gulî
127,Zweig::N,가지,şax
128,Blatt::N,잎,pel
129,Birke::N,자작나무,dara sipî
130,Kiefer[Baum]::N,소나무,dara bî
131,Weide[Baum]::N,쉬양버들,dara belalûk
132,Tanne::N,전나무,merx
133,Horn::N,뿔,strô
134,Feder::N,깃털,pîrtîk
135,Fell::N,피혁모피,heyar
136,Flügel::N,날개,per
137,Klaue::N,갈고리 발톺,napîk
138,Kralle::N,발툭,dinik
139,Kralle::N,발툭,dirnax
140,Schwanz::N,꼬리,dûv
141,Ei::N,알,hêk
142,Nest::N,보금자리,hêlîn
143,Bau::N,굴,avahî
144,Tier::N,짐승,heywan
145,Herde::N,가축의떼,hoz
146,Kuh::N,암소,çêlek
147,Bulle::N,황소,ga
148,Pferd::N,말,hesp
149,Schaf::N,양,mîh
150,Schwein::N,돼지,beraz
151,Hund::N,개,seh
152,Katze::N,고양이,pişîk
153,Bär::N,콤,hirç
154,Eichhörnchen::N,다람쥐,pilûr
155,Elch::N,고라니,pazkovî
156,Fuchs::N,여우,rovî
157,Hase::N,토끼,kîroşk
158,Maus::N,쥐,mişk
159,Wolf::N,늑대,gur
160,Vogel::N,새,çûk
161,Schwarm::N,뗴,lufik
162,Huhn::N,암탉,mirîşk
163,Hahn::N,수탉,dîk
164,Gans::N,거위,qaz
165,Adler::N,수리,eylo
166,Ente::N,오리,werdek
167,Eule::N,부엉이,bûm
168,Eule::N,부엉이,kund
169,Kranich::N,두루미,quling
170,Krähe::N,까마귀,qijik
171,Kuckuck::N,뻐꾸기,pepûk
172,Schwan::N,배조,qû
173,Fisch::N,물고기,masî
174,Barsch::N,농어,okûn
175,Hecht::N,에속스,mesîyê lûf
176,Schlange[Tier]::N,뱀,mar
177,Wurm::N,벌레,kurm
178,Spinne::N,거미,pîrê
179,Ameise::N,개미,mîro
180,Ameise::N,개미,gêrîk
181,Laus::N,이,spi
182,Mücke::N,모기,mêş
183,Fliege::N,날기,mêş
184,Schmetterling::N,나비,perperîk
185,Beere::N,장과,hirç
186,Apfel::N,사과,sêv
187,Pilz::N,고방이,bîrov
188,Zwiebel::N,양파,pîvaz
189,Saat::N,씨,tov
190,Korn::N,알맹이,dexl
191,Heu::N,건초,sap
192,Schale::N,피상,qaşik
193,Falle::N,함정,dafik
194,Schlinge::N,올가미,dahf
195,Schlinge::N,멜빵붕대,dahf
196,Spur::N,발지국,rêç
197,Asche::N,재,xweli
198,Dreck::N,똥,gemarî
199,Dreck::N,오물,gemarî
200,Eisen::N,쇠,hesing
201,Eisen::N,철,hesing
202,Gold::N,항금,zêr
203,Silber::N,은,zîv
204,Kohle::N,슻,komir
205,Glas::N,유리,qedeh
206,Lehm::N,찰흙,kelpîç
207,Sand::N,모래,qûm
208,Mensch::N,사람,mirov
209,Mann::N,남자,mêr
210,Frau::N,여자,jin
211,Kind::N,아이,zarok
212,Junge::N,소녁,kur
213,Mädchen::N,소녀,keç
214,Mädchen::N,소녀,keçik
215,Familie::N,가족,malbat
216,Großvater::N,할아버지,bapîr
217,Großmutter::N,할머니,pîrik
218,Eltern::N,어버오,bavudê
219,Vater::N,아버지,bav
220,Mutter::N,어머니,dê
221,Mutter::N,어머니,dayik
222,Sohn::N,아들,kur
223,Tochter::N,딸기,keç
224,Bruder::N,형제,bira
225,Schwester::N,누이,xweh
226,Onkel::N,백부,am
227,Onkel::N,백부,xal
228,Tante::N,아주머니,metik
229,Tante::N,아주머니,xaltîk
230,Ehemann::N,남편,mêr
231,Ehefrau::N,아내,kulfet
232,Freude::N,기쁨,kêfxweşî
233,Gelächter::N,웃음,pîrqînî
234,Glück::N,즐거움,bext
235,Kummer::N,슬픔,derd
236,Wunsch::N,소망,daxwaz
237,Wunsch::N,소망,xwestek
238,Geist::N,할기,aqil
239,Gedanke::N,상념,fikir
240,Gedächtnis::N,기억,aqil
241,Verstand::N,분별,fêm
242,Verstand::N,지능,fêm
243,Sinn::N,센스,aqil
244,Grund::N,까닭,asas
245,Wahrheit::N,참,rastî
246,Wahrheit::N,진실,rastî
247,Gespräch::N,대화,guftûgo
248,Märchen::N,동화,çirok
249,Erzählung::N,이야기,çirok
250,Erzählung::N,이야기,vegotin
251,Neuigkeit::N,뉴스,hewal
252,Name::N,이름,nav
253,Name::N,이름,paşnav
254,Rätsel::N,수수께끼,tiştonek
255,Rede::N,연설,gotar
256,Rede::N,연설,axavtin
257,Sprache::N,말,ziman
258,Stimme::N,목소리,pejn
259,Wort::N,낱말,gotin
260,Zeichen::N,신호,şanek
261,Ruf::N,부름,hawar
262,Lärm::N,소동,xarbalix
263,Laut::N,음성,deng
264,Laut::N,음성,hês
265,Ton::N,목소리,awaz
266,Lied::N,노래,sitran
267,Ruhe::N,쉼,rihetî
268,Leute::N,사람들,xelk
269,Volk::N,국중,xelk
270,Arbeit::N,근로,xebat
271,Arbeit::N,너무,xebat
272,Gast::N,손님,mêvan
273,Geschenk::N,행하,diyarî
274,Spiel::N,무리,lîstik
275,Gesellschaft::N,교제,komal
276,Hilfe::N,거들음,alîkarî
277,Hilfe::N,보좌,alîkarî
278,Freund::N,친구,heval
279,Kamerad::N,동실자,heval
280,Angelegenheit::N,용무,pirsgirêk
281,Anzahl::N,어떤,çend
282,Anzahl::N,수,çend
283,Art::N,정류,çeh
284,Stück::N,일부분,lib
285,Stück::N,일부분,parçe
286,Teil::N,몱,parçe
287,Teil::N,구훠,parçe
288,Hälfte::N,2분의,nîvî
289,Kreis::N,고리,çemil
290,Kreuz::N,열십자,xaç
291,Linie::N,선,xezik
292,Strich::N,스침,xezik
293,Abstand::N,거리,dûrahî
294,Entfernung::N,거리,dûrahî
295,Gegend::N,곳,dever
296,Gegend::N,부금,dever
297,Platz::N,장소,çih
298,Ort::N,장소,dever
299,Seite::N,옆면,rûpel
300,Mitte::N,궁간,nav
301,Mitte::N,궁간,nabênê
302,Gegenstand::N,항목,tişt
303,Sache::N,뭉에,tişt
304,Rand::N,가,kevî
305,Kante::N,귀퉁,kevî
306,Ecke::N,구석,qunç
307,Spitze::N,끝,derzî
308,Spitze::N,참단,derzî
309,Ende::N,말당,talî
310,Loch::N,빙옷,qul
311,Winkel::N,각도,kurnîşk
312,Muster::N,본,desen
313,Muster::N,견복,desen
314,Größe::N,신장,mezinî
315,Länge::N,길이긺,dirêjahî
316,Höhe::N,높이,bilindayî
317,Gewicht::N,추,giranî
318,Menge::N,수양,qas
319,Haufen::N,퇴적,lod
320,Reihe::N,열,rêz
321,Boot::N,보트,kelek
322,Ruder::N,노,bêrik
323,Schlitten::N,썰매,xîjik
324,Ski::N,스키,lakan
325,Lagerfeuer::N,캠프의 모닥불,agir
326,Last::N,무거운짐,bar
327,Gang::N,걸음,fîtêz
328,Schritt::N,보조,gav
329,Norden::N,북쪽 ,bakur
330,Süden::N,남쪽,başur
331,Westen::N,서쪽,rojava
332,Osten::N,동쪽,rojhilat
333,Holz::N,목재,dep
334,Brett::N,마루널,dep
335,Platte::N,탤,dep
336,Platte::N,금속판,dep
337,Stütze::N,버팀목,destek
338,Stange::N,장대,sing
339,Stock::N,막대기,çam
340,Stab::N,작대기,qat
341,Rohr::N,갈대,borî
342,Haus::N,집,mal
343,Haus::N,집,xanî
344,Heim::N,집,mal
345,Ofen::N,아궁이,sobe
346,Fußboden::N,마루,binpê
347,Tisch::N,탁자,mase
348,Stuhl::N,의자,kursî
349,Wiege::N,발상지,derguş
350,Bett::N,침대,qerewêle
351,Regal::N,서가,rêbaz
352,Kiste::N,짐궤,sindoq
353,Fenster::N,눔,çam
354,Fenster::N,눔,şibeke
355,Tür::N,문,derî
356,Tor::N,대문,derge
357,Zaun::N,담장,hejik
358,Dach::N,지붕,sere xanî
359,Leiter::N,사닥다리,pêling
360,Besen::N,비,melkes
361,Spaten::N,가래,mer
362,Schaufel::N,삽,bêr
363,Gabel::N,갈래,çetel
364,Löffel::N,숟가락,kevçî
365,Messer::N,나이프,kêr
366,Nagel::N,발툽,bizmar
367,Netz::N,그물,tor
368,Haken::N,갈고리,çenqel
369,Griff::N,움켜쥠,destî
370,Schloss::N,자물쇠,qonax
371,Bild::N,그림,dimen
372,Figur::N,몸메,figûr
373,Puppe::N,인형,bûk
374,Beutel::N,클,kîsik
375,Bündel::N,자근다발,pêçek
376,Tasche::N,가방,bêrîk
377,Eimer::N,동이,dewl
378,Deckel::N,뚜껑,devik
379,Geschirr::N,식시,ferax
380,Sack::N,조갑,tûr
381,Tasse::N,차잔,kada
382,Topf::N,단지,beroş
383,Kessel::N,주전자,şîril
384,Essen::N,먹기,xwarin
385,Nahrung::N,식료,xwarin
386,Speise::N,음식물,xwarin
387,Fleisch::N,고기,goşt
388,Getreide::N,곡물,zad
389,Brei::N,젤리,hewdêl
390,Brot::N,빵,
391,Scheibe::N,원반,parçe
392,Fett::N,기름,rûn
393,Butter::N,버터,rûn
394,Öl::N,올리브유,rûn
395,Salz::N,소금,xwe
396,Suppe::N,국,şorbe
397,Suppe::N,수프,şorbe
398,Honig::N,감미,hingiv
399,Milch::N,유즙,şîr
400,Tee::N,차,çay
401,Leder::N,가죽,çerm
402,Wolle::N,양털,herî
403,Stoff::N,패료,paç
404,Nadel::N,바늘,derzî
405,Faden::N,콘실,ta
406,Knopf::N,단추,bişkok
407,Knoten::N,곁절,girêk
408,Farbe::N,색,boyax
409,Kleidung::N,옷입기,çil
410,Hemd::N,속옷,qutik
411,Hemd::N,속옷,miltan
412,Kragen::N,깃,stûvang
413,Ärmel::N,소매,hûçik
414,Hose::N,바지,şewel
415,Gürtel::N,밴드,qayiş
416,Mütze::N,모자,fîno
417,Schuh::N,구두,şêkal
418,Stiefel::N,장화,gizme
419,Stiefel::N,장화,çizme
420,Ring::N,고리,xelek
421,Band::N,리본,band
422,Kamm::N,빗,şeh
423,Spiegel::N,거울,eynik
424,Riemen::N,가죽끈,qayiş
425,Schnur::N,밧줄,doxin
426,Leine::N,고삐줄,şirît
427,Decke::N,이부자리,bataniye
428,Kissen::N,깔개,balgî
429,Tuch::N,천,şar
430,Handtuch::N,수건,dezmal
431,Kraft::N,세력,hêz
432,Kraft::N,세력,qewet
433,Stärke::N,힘,xurtî
434,Gesundheit::N,위생,nojdarî
435,Krankheit::N,병,nexweşî
436,Schmerz::N,아픔고통,êş
437,Wunde::N,상처,kul
438,Fieber::N,열별,ta
439,Arznei::N,약,derman
440,Brücke::N,교량,kopî
441,Brunnen::N,원천,çal
442,Brunnen::N,원천,kani
443,Weide::N,목장,beyar
444,Pfad::N,좁은길,xaçirek
445,Weg::N,길,rê
446,Straße::N,길,rê
447,Dorf::N,촌,gund
448,Dorf::N,촌락,gund
449,Stadt::N,도시,baçar
450,Brief::N,서한,name
451,Buch::N,책,kitêb
452,Buch::N,책,pirtûk
453,Buchstabe::N,문자,herf
454,Zeitung::N,신문,rojname
455,Leben::N,삶,jiyan
456,Tod::N,죽음,mirin
457,Grab::N,무덤,mezel
458,Kirche::N,교회,gilyas
459,Sünde::N,부정,guneh
460,Gott::N,하느님,xwedê
461,Arbeiter::N,일하는사람,hîşçî
462,Chef::N,사장,bêg
463,Meister::N,명인,hoste
464,Meister::N,대가,hoste
465,Arzt::N,의사,doktor
466,Lehrer::N,교사,mamoste
467,Geld::N,돈,pere
468,Geschäft::N,일,firoşgeh
469,Laden::N,가게,dikan
470,Preis::N,가격,buha
471,Ware::N,상품,tişt
472,Nutzen::N,이익,fêde
473,Reichtum::N,많음,serwet
474,Welt::N,세상,dinya
475,Land::N,지방,welat
476,Staat::N,국가,dewlet
477,König::N,국왕,şah
478,König::N,국왕,qral
479,Macht::N,힘,qewet
480,Macht::N,힘,destihilat
481,Grenze::N,국경,kevî
482,Krieg::N,전쟁,çeng
483,Krieg::N,전쟁,sêwaş
484,Feind::N,적,dijmin
485,Gewalt::N,권력,zor
486,Kampf::N,전투,şer
487,Bogen[Waffe]::N,활,kêvan
488,Pfeil::N,화살,çîrik
489,Gewehr::N,무기,tifing
490,Fehler::N,오류,şaşî
491,Lüge::N,거짓말,derew
492,Schaden::N,손상,xisar
493,Unglück::N,불행,bêbextî
494,Schuld::N,부채,suç
495,Alter::N,연령,temen
496,Schluss::N,마감,girtin
497,Zeit::N,때,çax
498,Zeit::N,시간,çax
499,Tag::N,하루,roj
500,Morgen::N,이침,sibeh
501,Mittag::N,대낮,nîro
502,Abend::N,저녁,êvar
503,Nacht::N,밤,şev
504,Woche::N,근무일,heftî
505,Monat::N,달,meh
506,Jahr::N,해,sal
507,Frühling::N,봄,bihar
508,Sommer::N,여름,havîn
509,Herbst::N,가을,payîz
510,Winter::N,겨울,zistan
511,Januar::N,일월,çile
512,Februar::N,이월,sibat
513,März::N,삼월,adar
514,April::N,사월,nîsan
515,Mai::N,오월,gûlan
516,Juni::N,유월,hezîran
517,Juli::N,칠월,tîmeh
518,August::N,팔월,tebax
519,September::N,구월,îlon
520,Oktober::N,시월,çotmeh
521,November::N,십일월,mijdar
522,Dezember::N,십이월,kanûn
523,Montag::N,월요일,duşemb
524,Dienstag::N,화요일,sêşem
525,Mittwoch::N,수요일,çarşemb
526,Donnerstag::N,모교일,pêşemb
527,Freitag::N,그묘일,în
528,Samstag::N,토요일,şemî
529,Sonntag::N,일요일,yekşemb
530,groß::A,큰,mezin
531,klein::A,자근,çûçik
532,lang::A,긴,dirêj
533,kurz::A,짧은,kin
534,breit::A,넓은,fireh
535,schmal::A,좁은,tenik
536,dicht::A,농밀한,gir
537,dick[Gegenstand]::A,두꺼운,şîşman
538,dünn::A,얇은,zirav
539,fein::A,미세한,tenik
540,fest::A,굳은,saxlem
541,flach::A,얕은,pahn
542,glatt::A,반들반들한,dûz
543,glatt::A,반들반들한,şayîk
544,hart::A,굳은,hişk
545,weich::A,연한,nerm
546,rund::A,둥근,gilover
547,spitz::A,뾰족한,pîj
548,scharf::A,날카로운,tûj
549,stumpf::A,무딘,ne tûj
550,schwer::A,무거운,giran
551,schön::A,멋진,xweş
552,schön::A,멋진,xweşik
553,heiß::A,뜨거운,kelandî
554,warm::A,따뜻한,germ
555,kalt::A,찬,sar
556,kühl::A,서늘한,jemîrî
557,frisch::A,신선한,ter
558,feucht::A,축축한,şil
559,nass::A,젖은,şilek
560,trocken::A,마른,zuwa
561,voll::A,완전한,tijî
562,leer::A,빈,vala
563,offen::A,열린,vekirî
564,geschlossen::A,닫힌,asê
565,sauber::A,깨끗한,pakij
566,schmutzig::A,더러운,lewitî
567,roh::A,날게잇의,xav
568,reif::A,이근,gihaştî
569,lecker::A,맛있는,xweş
570,süß::A,단,şîrîn
571,bitter::A,찌르는듯한,tahl
572,sauer::A,산성의,tirş
