,Concept_ID,vep,kv
0,Auge::N,sil'm,син
1,Ohr::N,korv,пель
2,Nase::N,nena,ныр
3,Mund::N,su,ӧм
4,Zahn::N,pi,пинь
5,Zahn::N,hambaz,пинь
6,Zunge::N,kel',кыв
7,Lippe::N,hul',тырп
8,Wange::N,modpolišk,рожабан
9,Gesicht::N,mod,бан
10,Stirn::N,oc,кымӧс
11,Haar::N,tuk,юрси
12,Haar::N,hibuz,юрси
13,Schnurrbart::N,habinod,уссэз
14,Bart::N,bard,тош
15,Kinn::N,löug,тшӧка
16,Kiefer[Anatomie]::N,hambazlu,ан
17,Kehle::N,kurk,юан
18,Hals::N,kagl,юан
19,Genick::N,tagarai,юр бӧр
20,Kopf::N,pä,юр
21,Rücken::N,sel'g,мышк
22,Bauch::N,vac,кынӧм
23,Bauch::N,koht,кынӧм
24,Nabel::N,naba,гӧг
25,Busen::N,niža,морос
26,Brust::N,rind,морос
27,Schulter::N,oug,пельпон
28,Arm::N,käzi,ки
29,Ellenbogen::N,künambruz,гырдзза
30,Hand::N,käzi,кикар
31,Hand::N,käzitera,кикар
32,Handfläche::N,kämen,ки пыдӧс
33,Finger::N,sor'm,чунь
34,Fingernagel::N,künz',гыж
35,Nagel[Anatomie]::N,künz',гыж
36,Zeh::N,barbaz,чунь
37,Fuß::N,jaug,кокпыдӧс
38,Ferse::N,kand,кокдзир
39,Knie::N,komb,пидзӧс
40,Knie::N,pol'v,пидзӧс
41,Oberschenkel::N,riiže,лядьбей
42,Bein::N,jaug,кок
43,Körper::N,hibj,вывтыр
44,Haut::N,nahk,кучик
45,Blut::N,čak,вир
46,Blut::N,veri,вир
47,Ader::N,son',сӧн
48,Sehne::N,jände,жила
49,Knochen::N,lu,коска
50,Gehirn::N,aivod,вем
51,Herz::N,südäin,сьӧлӧм
52,Magen::N,südäikoht,жӧвдӧк
53,Leber::N,maks,мус
54,Atem::N,hengaiduz,лолалӧм
55,Hunger::N,näl'g,тшыг
56,Träne::N,kündal',синва
57,Geschmack::N,magu,кӧр
58,Geruch::N,haju,дук
59,Schlaf::N,uni,он
60,Traum::N,unikuva,вӧт
61,Himmel::N,taivaz,небо
62,Sonne::N,päiväine,шондi
63,Mond::N,kudmaine,тӧлiсь
64,Stern::N,tähtaz,кӧдзыв
65,Luft::N,il'm,ру
66,Wind::N,döl,тӧв
67,Wind::N,tullei,тӧв
68,Welle::N,ald,гы
69,Welle::N,laineh,гы
70,Wasser::N,vezi,ва
71,Stein::N,kivi,из
72,Boden::N,ma,му
73,Boden::N,pohj,му
74,Erde::N,ma,му
75,Staub::N,pölü,бус
76,Rauch::N,savu,тшын
77,Funke::N,kibin,бичир
78,Feuer::N,lämoi,би
79,Licht::N,vauktuz,би
80,Schatten::N,pil'vez,вуджӧр
81,Schatten::N,kuvahaine,вуджӧр
82,Wetter::N,sä,погоддя
83,Nebel::N,sumeg,туман
84,Wolke::N,pil'v,кымӧр
85,Regen::N,vihm,зэр
86,Schnee::N,lumi,лым
87,Eis::N,jä,йы
88,Frost::N,hala,мороз
89,Frost::N,pakaine,мороз
90,Kälte::N,vilu,кӧдзыт
91,Hitze::N,räk,ӧд
92,Raureif::N,hüde,кижа
93,Regenbogen::N,jumalanbembel',енӧшка
94,Donner::N,juru,гым
