,Concept_ID,hi,bg
0,Auge::N,आँख,око
1,Auge::N,चक्षु,око
2,Ohr::N,कान,ухо
3,Ohr::N,कर्ण,ухо
4,Nase::N,नाक,нос
5,Nase::N,नासा,нос
6,Mund::N,मुख,уста
7,Mund::N,मुँह,уста
8,Zahn::N,दंत,зъб
9,Zahn::N,दाँत,зъб
10,Zunge::N,जीभ,език
11,Zunge::N,ज़बान,език
12,Zunge::N,जिह्वा,език
13,Lippe::N,ओंठ,устна
14,Lippe::N,होंठ,устна
15,Wange::N,गाल,буза
16,Wange::N,कपोल,буза
17,Gesicht::N,मुँह,лице
18,Gesicht::N,मुँह,образ
19,Gesicht::N,चेहरा,лице
20,Gesicht::N,चेहरा,образ
21,Stirn::N,माथा,чело
22,Stirn::N,मस्तक,чело
23,Haar::N,बाल,коса
24,Haar::N,बाल,косъм
25,Schnurrbart::N,मूँछें,мустаци
26,Bart::N,दाढ़ी,брада
27,Kinn::N,चिबुक,брада
28,Kinn::N,चिबुक,брадичка
29,Kiefer[Anatomie]::N,जबड़ा,челюст
30,Kehle::N,गला,гърло
31,Hals::N,गला,врат
32,Hals::N,गरदन,врат
33,Genick::N,गरदन,тил
34,Genick::N,ग्रीवा,тил
35,Kopf::N,सिर,глава
36,Kopf::N,शीर्ष,глава
37,Rücken::N,पीठ,гръб
38,Bauch::N,उदर,корем
39,Nabel::N,नाभि,пъп
40,Nabel::N,ढोंढी,пъп
41,Busen::N,कुच,бозка
42,Busen::N,स्तन,бозка
43,Brust::N,वक्ष,гръд
44,Schulter::N,कंधा,рамо
45,Schulter::N,कंधा,плещи
46,Schulter::N,स्कंध,рамо
47,Schulter::N,स्कंध,плещи
48,Arm::N,बाँह,ръка
49,Arm::N,बाज़ू,ръка
50,Ellenbogen::N,कुहनी,лакът
51,Hand::N,हाथ,ръка
52,Hand::N,हाथ,китка
53,Hand::N,हस्त,ръка
54,Hand::N,हस्त,китка
55,Handfläche::N,हथेली,длан
56,Finger::N,उँगली,пръст
57,Finger::N,अँगुली,пръст
58,Fingernagel::N,नख,нокът
59,Fingernagel::N,नाख़ून,нокът
60,Nagel[Anatomie]::N,नख,нокът
61,Nagel[Anatomie]::N,नाख़ून,нокът
62,Zeh::N,उँगली,пръст на крак
63,Zeh::N,पाँव की उँगली,пръст на крак
64,Fuß::N,चरण,крак
65,Fuß::N,चरण,нога
66,Fuß::N,पाँव,крак
67,Fuß::N,पाँव,нога
68,Ferse::N,एड़ी,пета
69,Knie::N,जानु,коляно
70,Knie::N,घुटना,коляно
71,Oberschenkel::N,उरु,бедро
72,Bein::N,टाँग,крак
73,Bein::N,टाँग,нога
74,Körper::N,तन,тяло
75,Körper::N,देह,тяло
76,Körper::N,शरीर,тяло
77,Haut::N,चर्म,кожа
78,Haut::N,त्वचा,кожа
79,Blut::N,लहू,кръв
80,Blut::N,ख़ून,кръв
81,Ader::N,रग,вена
82,Ader::N,रग,артерия
83,Ader::N,शिरा,вена
84,Ader::N,शिरा,артерия
85,Sehne::N,कंडरा,жила
86,Sehne::N,कंडरा,сухожилие
87,Sehne::N,स्नायु,жила
88,Sehne::N,स्नायु,сухожилие
89,Knochen::N,अस्थि,кост
90,Gehirn::N,दिमाग़,мозък
91,Gehirn::N,मस्तिष्क,мозък
92,Herz::N,दिल,сърце
93,Herz::N,हृदय,сърце
94,Magen::N,मेदा,стомах
95,Magen::N,अमाशय,стомах
96,Leber::N,जिगर,черен дроб
97,Leber::N,यकृत्,черен дроб
98,Atem::N,दम,дишане
99,Atem::N,साँस,дишане
100,Atem::N,श्वास,дишане
101,Hunger::N,भूख,глад
102,Hunger::N,क्षुधा,глад
103,Träne::N,आँसू,сълза
104,Träne::N,अश्रु,сълза
105,Geschmack::N,स्वाद,вкус
106,Geschmack::N,ज़ायक़ा,вкус
107,Geruch::N,बू,миризма
108,Geruch::N,गंध,миризма
109,Schlaf::N,नींद,сън
110,Schlaf::N,निद्रा,сън
111,Traum::N,सपना,сън
112,Traum::N,स्वप्न,сън
113,Himmel::N,आकाश,небе
114,Himmel::N,आसमान,небе
115,Sonne::N,रवि,слънце
116,Sonne::N,सूरज,слънце
117,Sonne::N,सूर्य,слънце
118,Mond::N,चाँद,луна
119,Mond::N,चाँद,месец
120,Mond::N,चंद्र,луна
121,Mond::N,चंद्र,месец
122,Stern::N,तारा,звезда
123,Stern::N,सितारा,звезда
124,Luft::N,हवा,въздух
125,Luft::N,वायु,въздух
126,Wind::N,पाद,вятър
127,Welle::N,लहर,вълна
128,Welle::N,तरंग,вълна
129,Wasser::N,जल,вода
130,Wasser::N,पानी,вода
131,Stein::N,पत्थर,камък
132,Boden::N,मिट्टी,земя
133,Boden::N,मिट्टी,почва
134,Erde::N,भूमि,земя
135,Erde::N,भूमि,почва
136,Erde::N,ज़मीन,земя
137,Erde::N,ज़मीन,почва
138,Staub::N,धूल,прах
139,Rauch::N,धूआँ,дим
140,Rauch::N,धूआँ,пушек
141,Rauch::N,धुम्र,дим
142,Rauch::N,धुम्र,пушек
143,Funke::N,चिनगारी,искра
144,Funke::N,स्फुलिंग,искра
145,Feuer::N,आग,огън
146,Feuer::N,आतिश,огън
147,Feuer::N,अग्नि,огън
148,Licht::N,रोशनी,светлина
149,Licht::N,प्रकाश,светлина
150,Schatten::N,छाया,сянка
151,Schatten::N,परछाई,сянка
152,Wetter::N,ऋतु,време
153,Wetter::N,मौसम,време
154,Nebel::N,धुँध,мъгла
155,Nebel::N,कुहरा,мъгла
156,Wolke::N,मेघ,облак
157,Wolke::N,अभ्र,облак
158,Regen::N,मेंह,дъжд
159,Regen::N,बारिश,дъжд
160,Schnee::N,हिम,сняг
161,Schnee::N,बर्फ़,сняг
162,Eis::N,हिम,лед
163,Eis::N,बर्फ़,лед
164,Frost::N,ठंड,мраз
165,Kälte::N,सर्दी,студ
166,Kälte::N,शीतलता,студ
167,Hitze::N,ताप,жега
168,Hitze::N,ताप,горещина
169,Hitze::N,गरमी,жега
170,Hitze::N,गरमी,горещина
171,Raureif::N,पाला,скреж
172,Raureif::N,पाला,слана
173,Regenbogen::N,इंद्र-धनुष,дъга
174,Donner::N,गरज,гръм
175,Donner::N,मेघ-गर्जन,гръм
176,Strömung::N,बहाव,течение
177,Strömung::N,प्रवाह,течение
178,Tropfen::N,बूँद,капка
179,Schaum::N,झाग,пяна
180,Schmutz::N,गंद,кал
181,Schmutz::N,गंद,мръсотия
182,Schmutz::N,कीचड़,кал
183,Schmutz::N,कीचड़,мръсотия
184,See::N,झील,езеро
185,See::N,सरोवर,езеро
186,Sumpf::N,दलदल,блато
187,Sumpf::N,धँसान,блато
188,Moor::N,झाबर,мочурище
189,Moor::N,धँसान,мочурище
190,Wiese::N,घास-स्थल,ливада
191,Wald::N,जंगल,гора
192,Hügel::N,टीला,рид
193,Hügel::N,टीला,хълм
194,Hügel::N,पहाड़,рид
195,Hügel::N,पहाड़,хълм
196,Anhöhe::N,टीला,могила
197,Anhöhe::N,टीला,възвишение
198,Anhöhe::N,पहाड़ी,могила
199,Anhöhe::N,पहाड़ी,възвишение
200,Berg::N,पहाड़,планина
201,Gipfel::N,शिखर,връх
202,Höhle::N,गुहा,пещера
203,Höhle::N,गुफ़ा,пещера
204,Abhang::N,ढाल,склон
205,Abhang::N,ढाल,стръмнина
206,Abhang::N,ढलान,склон
207,Abhang::N,ढलान,стръмнина
208,Quelle::N,चश्मा,извор
