,Concept_ID,sah,pt
0,Auge::N,харах,olho
1,Ohr::N,кулгаах,orelha
2,Nase::N,мурун,nariz
3,Mund::N,айах,boca
4,Zahn::N,тиис,dente
5,Zunge::N,тыл,língua
6,Lippe::N,уос,lábio
7,Wange::N,иэдэс,face
8,Gesicht::N,сирэй,cara
9,Gesicht::N,сирэй,rosto
10,Stirn::N,сүүс,testa
11,Haar::N,баттах,cabelo
12,Schnurrbart::N,уос бытыга,bigode
13,Bart::N,сэҥийэ бытыга,barba
14,Kinn::N,сэҥийэ,queixo
15,Kiefer[Anatomie]::N,сыҥаах,maxila
16,Kiefer[Anatomie]::N,сыҥаах,mandíbula
17,Kehle::N,тамах,garganta
18,Kehle::N,күөмэй,garganta
19,Hals::N,моой,colo
20,Hals::N,моой,pescoço
21,Genick::N,кэтэх,nuca
22,Kopf::N,бас,cabeça
23,Rücken::N,көҕүс,dorso
24,Rücken::N,көҕүс,costas
25,Bauch::N,ис,ventre
26,Bauch::N,ис,barriga
27,Nabel::N,киин,umbigo
28,Busen::N,эмиий,seio
29,Brust::N,түөс,peito
30,Schulter::N,сарын,ombro
31,Arm::N,илии,braço
32,Ellenbogen::N,тоҕонох,cotovelo
33,Hand::N,илии,mão
34,Handfläche::N,ытыс,palma
35,Handfläche::N,ытыс,palma da mão
36,Finger::N,тарбах,dedo
37,Fingernagel::N,тыҥырах,unha
38,Nagel[Anatomie]::N,тыҥырах,unha
39,Zeh::N,тарбах,dedo do pé
40,Fuß::N,уллуҥах,pé
41,Ferse::N,тилэх,calcanhar
42,Knie::N,тобук,joelho
43,Knie::N,дьилбэк,joelho
44,Oberschenkel::N,уллук,coxa
45,Oberschenkel::N,өттүк,coxa
46,Bein::N,атах,perna
47,Körper::N,бэйэ,corpo
48,Haut::N,тирии,pele
49,Blut::N,хаан,sangue
50,Ader::N,вена,veia
51,Ader::N,күөх_тымыр,veia
52,Sehne::N,иҥиир,tendão
53,Knochen::N,уҥуох,osso
54,Knochen::N,уҥгуох,osso
55,Gehirn::N,мэйии,cérebro
56,Herz::N,сүрэх,coração
57,Magen::N,куртах,estômago
58,Leber::N,быар,fígado
59,Atem::N,тыын,fôlego
60,Hunger::N,аас,fome
61,Träne::N,харах уута,lágrima
62,Geschmack::N,амтан,gosto
63,Geruch::N,сыт,odor
64,Geruch::N,сыт,cheiro
65,Schlaf::N,утуйуу,sono
66,Traum::N,түүл,sonho
67,Himmel::N,халлаан,céu
68,Sonne::N,күн,sol
69,Mond::N,ый,lua
70,Stern::N,сулус,estrela
71,Luft::N,салгын,ar
72,Wind::N,тыал,vento
73,Welle::N,долгун,onda
74,Welle::N,балхаан,onda
75,Wasser::N,уу,água
76,Stein::N,таас,pedra
77,Boden::N,сир,solo
78,Erde::N,буор,terra
79,Staub::N,быыл,pó
80,Rauch::N,буруо,fumo
81,Funke::N,кыым,faísca
82,Funke::N,кыым,centelha
83,Feuer::N,уот,fogo
84,Licht::N,уот,luz
85,Schatten::N,күлүк,sombra
86,Wetter::N,күн-дьыл,tempo
87,Nebel::N,туман,nevoeiro
88,Wolke::N,былыт,nuvem
89,Regen::N,самыыр,chuva
90,Schnee::N,хаар,neve
91,Eis::N,муус,gelo
92,Frost::N,тымныы,gelo
93,Frost::N,тымныы,geada
94,Kälte::N,тымныы,frio
95,Hitze::N,куйаас,ardor
96,Raureif::N,кырыа,geada
97,Regenbogen::N,кустук,arco-iris
98,Donner::N,этиҥ,trovão
99,Strömung::N,сүүрүк,corrente
100,Tropfen::N,таммах,gota
101,Tropfen::N,хааппыла,gota
102,Schaum::N,күүгэн,espuma
103,Schmutz::N,кир,sujidade
104,Schmutz::N,кир,imundície
105,See::N,күөл,lago
106,Sumpf::N,бадараан,charco
107,Sumpf::N,бадараан,pântano
108,Moor::N,дьэбэрэ,pântano
109,Wiese::N,ходуһа,prado
110,Wald::N,ойуур,bosque
111,Wald::N,ойуур,floresta
112,Hügel::N,булгунньах,colina
113,Anhöhe::N,үрдэл,alto
114,Anhöhe::N,үрдэл,outeiro
115,Berg::N,хайа,monte
116,Berg::N,хайа,montanha
117,Gipfel::N,чыпчаал,pico
118,Höhle::N,хайа_хаспаҕа,caverna
119,Höhle::N,көҥүс,caverna
120,Abhang::N,эниэ,encosta
121,Quelle::N,дьүүктэ,fonte
122,Bach::N,үрүйэ,regato
123,Bach::N,үрүйэ,ribeiro
124,Fluss::N,өрүс,rio
125,Ufer::N,биэрэк,beira
126,Küste::N,кытыл,costa
127,Festland::N,кураанах сир,terra firme
128,Meer::N,муора,mar
129,Bucht::N,хомо,baía
130,Bucht::N,бухта,baía
131,Insel::N,арыы,ilha
132,Blume::N,сибэкки,flor
133,Gras::N,от,erva
134,Wurzel::N,силис,raiz
135,Baum::N,мас,árvore
136,Stamm::N,умнас,tronco
137,Rinde::N,хатырык,casca
138,Ast::N,мутук,ramo
139,Zweig::N,лабаа,galho
140,Blatt::N,сэбирдэх,folha
141,Birke::N,хатыҥ,bétula
142,Kiefer[Baum]::N,бэс,pinheiro
143,Weide[Baum]::N,үөт,salgueiro
144,Weide[Baum]::N,талах,salgueiro
145,Tanne::N,харыйа,abeto
146,Horn::N,муос,corno
147,Horn::N,муос,chifre
148,Feder::N,куорсун,pena
149,Fell::N,тирии,pele
150,Flügel::N,кынат,asa
151,Klaue::N,тыҥырах,pata
152,Kralle::N,баппаҕай,unha
153,Kralle::N,баппаҕай,garra
154,Schwanz::N,кутурук,rabo
155,Schwanz::N,кутурук,cauda
156,Ei::N,сымыыт,ovo
157,Nest::N,уйа,ninho
158,Bau::N,хороон,toca
159,Bau::N,хороон,covil
160,Tier::N,кыыл,animal
161,Tier::N,харамай,animal
162,Herde::N,үөр,rebanho
163,Kuh::N,ынах,vaca
164,Bulle::N,оҕус,touro
165,Pferd::N,сылгы,cavalo
166,Schaf::N,овца,ovelha
167,Schwein::N,сибиинньэ,porco
168,Hund::N,ыт,cão
169,Katze::N,куоска,gata
170,Bär::N,эһэ,urso
171,Eichhörnchen::N,тииҥ,esquilo
172,Elch::N,тайах,alce
173,Fuchs::N,саһыл,raposa
174,Hase::N,куобах,lebre
175,Maus::N,кутуйах,rato
176,Wolf::N,бөрө,lobo
177,Vogel::N,көтөр,ave
178,Vogel::N,көтөр,pássaro
179,Schwarm::N,бөлөх,bando
180,Schwarm::N,бөлөх,enxame
181,Huhn::N,куурусса,galinha
182,Hahn::N,бөтүүк,galo
183,Gans::N,хаас,ganso
184,Adler::N,хотой,águia
185,Ente::N,кус,pata
186,Eule::N,мэкчиргэ,mocho
187,Eule::N,мэкчиргэ,coruja
188,Kranich::N,туруйа,grou
189,Krähe::N,тураах,gralha
190,Kuckuck::N,кэҕэ,cuco
191,Schwan::N,куба,cisne
192,Fisch::N,балык,peixe
193,Barsch::N,алыһар,perca
194,Hecht::N,сордон,lúcio
195,Schlange[Tier]::N,моҕой,serpente
196,Schlange[Tier]::N,эриэн үөн,serpente
197,Wurm::N,үөн,verme
198,Spinne::N,ооҕуй,aranha
199,Ameise::N,кымырдаҕас,formiga
200,Laus::N,быт,piolho
201,Mücke::N,кумаар,mosquito
202,Fliege::N,сахсырҕа,mosca
203,Schmetterling::N,лыах,borboleta
204,Schmetterling::N,үрүмэччи,borboleta
205,Beere::N,отон,bago
206,Apfel::N,яблоко,maçã
207,Pilz::N,тэллэй,fungo
208,Pilz::N,тэллэй,cogumelo
209,Zwiebel::N,луук,cebola
210,Saat::N,сиэмэ,sementeira
211,Korn::N,сиэмэ,grão
212,Heu::N,от,feno
213,Schale::N,хах,casca
214,Grube::N,дьаама,cova
215,Grube::N,дьаама,fossa
216,Falle::N,сохсо,armadilha
217,Schlinge::N,уктаа,laço
218,Spur::N,суол,pista
219,Spur::N,суол,vestígio
220,Asche::N,күл,cinza
221,Dreck::N,бадараан,sujidade
222,Eisen::N,тимир,ferro
223,Gold::N,көмүс,ouro
224,Gold::N,кыһыл көмүс,ouro
225,Silber::N,көмүс,prata
226,Silber::N,үрүҥ көмүс,prata
227,Kohle::N,чох,carvão
228,Glas::N,өстүөкүлэ,vidro
229,Lehm::N,туой,barro
230,Lehm::N,туой,argila
231,Sand::N,кумах,areia
232,Mensch::N,киһи,homem
233,Mensch::N,киһи,pessoa
234,Mann::N,эр,homem
235,Frau::N,дьахтар,mulher
236,Kind::N,оҕо,filho
237,Kind::N,оҕо,criança
238,Junge::N,уол,rapaz
239,Junge::N,уол,menino
240,Mädchen::N,кыыс оҕо,menina
241,Mädchen::N,кыыс оҕо,rapariga
242,Familie::N,кэргэн,família
243,Großvater::N,эһэ,avô
244,Großmutter::N,эбэ,avó
245,Eltern::N,аҕа-ийэ,pais
246,Vater::N,аҕа,pai
247,Mutter::N,ийэ,mãe
248,Sohn::N,уол,filho
249,Tochter::N,кыыс,filha
250,Bruder::N,убай,irmão
251,Bruder::N,быраат,irmão
252,Schwester::N,аҕас,irmã
253,Schwester::N,балыс,irmã
254,Onkel::N,таай,tio
255,Onkel::N,абаҕа,tio
256,Tante::N,эдьиий,tia
257,Ehemann::N,эр,esposo
258,Ehefrau::N,ойох,esposa
259,Freude::N,үөрүү,prazer
260,Freude::N,үөрүү,alegria
261,Gelächter::N,күлүү,risada
262,Gelächter::N,күлүү,gargalhada
263,Glück::N,дьол,felicidade
264,Glück::N,соргу,felicidade
265,Kummer::N,кутурҕан,aflição
266,Kummer::N,кутурҕан,desgosto
267,Wunsch::N,баҕарыы,desejo
268,Lust::N,баҕа,vontade
269,Geist::N,тыын,mente
270,Geist::N,тыын,espírito
271,Gedanke::N,санаа,ideia
272,Gedanke::N,санаа,pensamento
273,Gedächtnis::N,өй,memória
274,Verstand::N,өй,razão
275,Verstand::N,өй,inteligência
276,Sinn::N,суолта,sentido
277,Sinn::N,суолта,significado
278,Grund::N,төрүөт,causa
279,Grund::N,төрүөт,motivo
280,Wahrheit::N,кырдьык,verdade
281,Gespräch::N,бэсиэдэ,conversa
282,Gespräch::N,бэсиэдэ,conversação
283,Gespräch::N,кэпсэтии,conversa
284,Gespräch::N,кэпсэтии,conversação
285,Märchen::N,остуоруйа,conto
286,Erzählung::N,кэпсээн,conto
287,Erzählung::N,кэпсээн,narrativa
288,Nachricht::N,биллэриллии,mensagem
289,Neuigkeit::N,сонун,notícia
290,Neuigkeit::N,сонун,novidade
291,Name::N,аат,nome
292,Rätsel::N,таабырын,adivinha
293,Rede::N,этии,oração
294,Rede::N,этии,discurso
295,Sprache::N,тыл,língua
296,Stimme::N,куолас,voz
297,Wort::N,тыл,palavra
298,Zeichen::N,бэлиэ,marca
299,Ruf::N,ыҥырыы,grito
300,Ruf::N,ыҥырыы,chamada
301,Lärm::N,айдаан,ruído
302,Lärm::N,айдаан,barulho
303,Laut::N,тыас,som
304,Ton::N,дорҕоон,tom
305,Lied::N,ырыа,canção
306,Ruhe::N,уу чуумпу,calma
307,Ruhe::N,уу чуумпу,silêncio
308,Leute::N,дьон,gente
309,Leute::N,дьон,pessoas
