,Concept_ID,sk,tt
0,Auge::N,oko,күз
1,Ohr::N,ucho,колак
2,Nase::N,nos,борын
3,Mund::N,ústa,авыз
4,Mund::N,ústa,тамак
5,Zahn::N,zub,теш
6,Zunge::N,jazyk,тел
7,Lippe::N,pera,ирен
8,Wange::N,líce,яңак
9,Gesicht::N,tvár,йөз
10,Gesicht::N,obličaj,йөз
11,Stirn::N,čelo,маңгай
12,Haar::N,vlas,чәч
13,Schnurrbart::N,fúzy,мыек
14,Bart::N,brada,сакал
15,Kinn::N,brada,ияк
16,Kiefer[Anatomie]::N,čeľusť,казналык
17,Kehle::N,hrdlo,тамак
18,Hals::N,krk,бугаз
19,Genick::N,väzy,җилкә
20,Kopf::N,hlava,баш
21,Rücken::N,chrbát,сырт
22,Bauch::N,brucho,корсак
23,Nabel::N,pupok,кендек
24,Busen::N,prsia,түш
25,Brust::N,hruď,имчәк
26,Brust::N,hruď,күкрәк
27,Schulter::N,plece,иңбаш
28,Schulter::N,plece,кулбаш
29,Arm::N,rameno,кул
30,Ellenbogen::N,lakeť,терсәк
31,Hand::N,ruka,кул
32,Handfläche::N,dlaň,уч
33,Finger::N,prst,бармак
34,Fingernagel::N,necht,тырнак
35,Nagel[Anatomie]::N,necht,тырнак
36,Zeh::N,prst na nohe,бармак
37,Fuß::N,noha,табан
38,Ferse::N,päta,үкчә
39,Knie::N,koleno,тез
40,Oberschenkel::N,stehno,бот
41,Bein::N,noha,аяк
42,Körper::N,telo,тән
43,Körper::N,telo,җисем
44,Haut::N,koža,тире
45,Blut::N,krv,кан
46,Ader::N,žila,тамыр
47,Sehne::N,šľacha,сеңер
48,Knochen::N,kosť,сөяк
49,Gehirn::N,mozog,ми
50,Herz::N,srdce,йөрәк
51,Magen::N,žalúdok,ашказаны
52,Leber::N,pečeň,бавыр
53,Atem::N,dych,сулыш
54,Hunger::N,hlad,ачлык
55,Träne::N,slza,яшь
56,Geschmack::N,chuť,тәм
57,Geschmack::N,chuť,зәвык
58,Geruch::N,pach,ис
59,Schlaf::N,spánok,йокы
60,Traum::N,sen,төш
61,Himmel::N,nebo,күк
62,Sonne::N,slnko,кояш
63,Mond::N,mesiac,ай
64,Stern::N,hviezda,йолдыз
65,Luft::N,vzduch,һава
66,Wind::N,vietor,җил
67,Welle::N,vlna,дулкын
68,Wasser::N,voda,су
69,Stein::N,kameň,таш
70,Boden::N,zem,туфрак
71,Boden::N,pôda,туфрак
72,Erde::N,zem,җир
73,Staub::N,prach,тузан
74,Rauch::N,dym,төтен
75,Funke::N,iskra,очкын
76,Feuer::N,oheň,ут
77,Licht::N,svetlo,якты
78,Schatten::N,tieň,күләгә
79,Wetter::N,počasie,һава
80,Nebel::N,hmla,томан
81,Wolke::N,oblak,болыт
82,Wolke::N,mračno,болыт
83,Regen::N,dážď,яңгыр
84,Schnee::N,sneh,кар
85,Eis::N,ľad,боз
86,Frost::N,mráz,суык
87,Frost::N,mráz,салкын
88,Kälte::N,zima,суык
89,Kälte::N,zima,салкын
90,Kälte::N,chlad,суык
91,Kälte::N,chlad,салкын
92,Hitze::N,horúčava,эсселек
93,Raureif::N,srieň,бәс
94,Raureif::N,srieň,сыкы
95,Raureif::N,inovať,бәс
96,Raureif::N,inovať,сыкы
97,Regenbogen::N,dúha,салават күпере
98,Donner::N,hrom,күкрәү
99,Strömung::N,prúdenie,агыш'агым
100,Tropfen::N,kvapka,тамчы
101,Schaum::N,pena,күбек
102,Schmutz::N,špina,пычрак
103,Schmutz::N,nečistota,пычрак
104,See::N,jazero,күл
105,Sumpf::N,bahno,саз
106,Moor::N,močiar,торфлык
107,Wiese::N,lúka,болын
108,Wald::N,les,урман
109,Wald::N,hora,урман
110,Hügel::N,vŕšok,калку
111,Anhöhe::N,výšina,үр
112,Anhöhe::N,vyvýšenina,үр
113,Berg::N,hora,тау
114,Gipfel::N,vrchol,оч
115,Höhle::N,jaskyňa,мәгарә
116,Abhang::N,úbočie,кабырга
117,Quelle::N,prameň,чишмә
118,Bach::N,potok,елга
119,Fluss::N,rieka,дәрья
120,Ufer::N,breh,су кырые
121,Küste::N,pobrežie,яр буе
122,Festland::N,pevnina,коры җир
123,Meer::N,more,диңгез
124,Bucht::N,záliv,бухта
125,Bucht::N,záliv,култык
126,Bucht::N,zátoka,бухта
127,Bucht::N,zátoka,култык
128,Insel::N,ostrov,атау
129,Insel::N,ostrov,утрау
130,Blume::N,kvet,чәчкә
131,Blume::N,kvetina,чәчкә
132,Gras::N,tráva,үлән
133,Wurzel::N,koreň,тамыр
134,Baum::N,strom,агач
135,Stamm::N,kmeň,кәүсә
136,Rinde::N,kôra,кабык
137,Ast::N,konár,ботак
138,Zweig::N,vetva,ботак
139,Zweig::N,vetva,тармак
140,Blatt::N,list,яфрак
141,Birke::N,breza,каен
142,Kiefer[Baum]::N,sosna,нарат
143,Kiefer[Baum]::N,borovica,нарат
144,Weide[Baum]::N,vŕba,тал
145,Tanne::N,jedľa,чыршы
146,Horn::N,roh,мөгез
147,Feder::N,pero,йон
148,Fell::N,koža,тире
149,Fell::N,kožušina,тире
150,Flügel::N,krídlo,канат
151,Klaue::N,paznecht,тырнак
152,Kralle::N,pazúr,тырнак
153,Schwanz::N,chvost,койрык
154,Ei::N,vajce,күкәй
155,Ei::N,vajce,йомырка
156,Ei::N,vajíčko,күкәй
157,Ei::N,vajíčko,йомырка
158,Nest::N,hniezdo,оя
159,Bau::N,nora,өн
160,Tier::N,zviera,хайван
161,Herde::N,stádo,көтү
162,Kuh::N,krava,сыер
163,Bulle::N,býk,үгез
164,Pferd::N,kôň,ат
165,Schaf::N,ovca,сарык
166,Schwein::N,sviňa,дуңгыз
167,Hund::N,pes,эт
168,Katze::N,mačka,песи
169,Bär::N,medveď,аю
170,Eichhörnchen::N,veverička,тиен
171,Elch::N,los,поши
172,Fuchs::N,líška,төлке
173,Hase::N,zajac,куян
174,Maus::N,myš,тычкан
175,Wolf::N,vlk,бүре
176,Vogel::N,vták,кош
177,Schwarm::N,roj,көтү
178,Huhn::N,kurča,тавык
179,Huhn::N,sliepka,тавык
180,Hahn::N,kohút,әтәч
181,Gans::N,hus,каз
182,Adler::N,orol,каракош
183,Ente::N,kačka,үрдәк
184,Ente::N,kačica,үрдәк
185,Eule::N,sova,ябалак
186,Kranich::N,žeriav,торна
187,Krähe::N,vrana,карга
188,Kuckuck::N,kukučka,күке
189,Kuckuck::N,kukučka,кәккүк
190,Schwan::N,labuť,аккош
191,Fisch::N,ryba,балык
192,Barsch::N,ostriež,алабуга
193,Hecht::N,šťuka,чуртан
194,Schlange[Tier]::N,had,елан
195,Wurm::N,červ,корт
196,Spinne::N,pavúk,үрмәкүч
197,Ameise::N,mravec,кырмыска
198,Laus::N,voš,бет
199,Mücke::N,komár,черки
200,Mücke::N,komár,озынборын
201,Fliege::N,mucha,чебен
202,Schmetterling::N,motýľ,күбәләк
203,Beere::N,bobuľa,җиләк
204,Apfel::N,jablko,алма
205,Pilz::N,hríb,гөмбә
206,Zwiebel::N,cibuľa,суган
207,Zwiebel::N,cibuľa,суганбаш
208,Saat::N,osivo,орлык
209,Korn::N,zrno,иген
210,Korn::N,zrno,орлык
211,Heu::N,seno,печән
212,Schale::N,šupa,кабык
213,Schale::N,škrupina,кабык
214,Grube::N,jama,баз
215,Grube::N,jama,чокыр
216,Falle::N,pasca,тозак
217,Falle::N,pasca,капкын
218,Falle::N,klepec,тозак
219,Falle::N,klepec,капкын
220,Schlinge::N,slučka,элмәк
221,Spur::N,stopa,эз
222,Asche::N,popol,көл
223,Dreck::N,kal,пычрак
224,Dreck::N,blato,пычрак
225,Eisen::N,železo,тимер
226,Gold::N,zlato,алтын
227,Silber::N,striebro,көмеш
228,Kohle::N,uhlie,күмер
229,Glas::N,sklo,пыяла
230,Lehm::N,íl,балчык
231,Lehm::N,hlina,балчык
232,Sand::N,piesok,ком
233,Mensch::N,človek,адәм
234,Mensch::N,človek,инсан
235,Mann::N,muž,ир
236,Mann::N,chlap,ир
237,Frau::N,žena,хатын
238,Kind::N,dieťa,бала
239,Junge::N,chlapec,малай
240,Mädchen::N,dievka,кыз
241,Familie::N,rodina,гаилә
242,Großvater::N,dedo,бабай
243,Großvater::N,starý otec,бабай
244,Großmutter::N,babička,әби
245,Großmutter::N,stará mať,әби
246,Eltern::N,rodičia,ата-ана
247,Vater::N,otec,ата
248,Mutter::N,mať,ана
249,Mutter::N,matka,ана
250,Sohn::N,syn,ул
251,Tochter::N,dcéra,кыз
252,Bruder::N,brat,кардәш
253,Schwester::N,sestra,апа
254,Schwester::N,sestra,сеңел
255,Onkel::N,ujo,дәдә
256,Onkel::N,ujo,дәдәй
257,Onkel::N,strýko,дәдә
258,Onkel::N,strýko,дәдәй
259,Tante::N,teta,түти
260,Tante::N,teta,тәтәй
261,Tante::N,tetka,түти
262,Tante::N,tetka,тәтәй
263,Ehemann::N,muž,ир
264,Ehemann::N,manžel,ир
265,Ehefrau::N,žena,хатын
266,Ehefrau::N,manželka,хатын
267,Freude::N,radosť,сөенеч
268,Gelächter::N,smiech,көлү
269,Gelächter::N,smiech,көлеш
270,Glück::N,šťastie,бәхет
271,Kummer::N,žiaľ,хәсрәт
272,Kummer::N,zármutok,хәсрәт
273,Wunsch::N,prianie,теләк
274,Lust::N,chuť,теләк
275,Lust::N,chuť,теләү
276,Geist::N,duch,рух
277,Gedanke::N,myšlienka,уй
278,Gedanke::N,myšlienka,фикер
279,Gedächtnis::N,pamäť,хәтер
280,Verstand::N,rozum,акыл
281,Sinn::N,zmysel,мәгънә
282,Grund::N,dôvod,сәбәп
283,Grund::N,príčina,сәбәп
284,Wahrheit::N,pravda,хак
285,Gespräch::N,reč,әңгәмә
286,Gespräch::N,rozhovor,әңгәмә
287,Märchen::N,rozprávka,әкият
288,Erzählung::N,poviedka,хикәя
289,Nachricht::N,správa,хәбәр
290,Neuigkeit::N,novinka,яңалык
291,Name::N,meno,исем
292,Rätsel::N,záhada,табышмак
293,Rätsel::N,hádanka,табышмак
294,Rede::N,reč,нотык
295,Sprache::N,reč,тел
