,Concept_ID,fa,br
0,Auge::N,چشم,lagad
1,Ohr::N,گوش,skouarn
2,Nase::N,بینی,fri
3,Mund::N,دهان,genoù
4,Zahn::N,دندان,dant
5,Zunge::N,زبان,teod
6,Lippe::N,لب,muzell
7,Wange::N,لپ,chot
8,Gesicht::N,رو,dremm
9,Gesicht::N,چهره,dremm
10,Stirn::N,پیشانی,tal
11,Haar::N,مو,blev
12,Schnurrbart::N,سبیل,mourenn
13,Bart::N,ریش,barv
14,Kinn::N,چانه,groñj
15,Kiefer[Anatomie]::N,فک,javed
16,Kiefer[Anatomie]::N,آرواره,javed
17,Kehle::N,حلق,gouzoug
18,Hals::N,گردن,gouzoug
19,Genick::N,پشت گردن,choug
20,Kopf::N,سر,penn
21,Kopf::N,کله,penn
22,Rücken::N,پشت,kein
23,Bauch::N,شکم,kof
24,Nabel::N,ناف,begel
25,Busen::N,پستان,bronn
26,Brust::N,سینه,bruched
27,Schulter::N,دوش,skoaz
28,Schulter::N,شانه,skoaz
29,Arm::N,بازو,brec'h
30,Ellenbogen::N,آرنج,ilin
31,Hand::N,دست,dorn
32,Handfläche::N,کف دست,palv
33,Finger::N,انگشت,biz
34,Fingernagel::N,ناخن دست,ivin
35,Nagel[Anatomie]::N,ناخن,ivin
36,Zeh::N,انگشت پا,biz-troad
37,Fuß::N,پا,troad
38,Ferse::N,پاشنه,seul
39,Knie::N,زانو,glin
40,Oberschenkel::N,ران,morzhed
41,Bein::N,پا,gar
42,Bein::N,لنگ,gar
43,Körper::N,تن,korf
44,Körper::N,بدن,korf
45,Haut::N,پوست,kroc'hen
46,Blut::N,خون,gwad
47,Ader::N,رگ,gwazhi
48,Sehne::N,زردپی,stir
49,Knochen::N,استخوان,askorn
50,Gehirn::N,مخ,empenn
51,Gehirn::N,مغز,empenn
52,Herz::N,دل,kalon
53,Herz::N,قلب,kalon
54,Magen::N,معده,stomog
55,Leber::N,کبد,avu
56,Atem::N,نفس,anal
57,Hunger::N,گرسنگی,naon
58,Träne::N,اشک,daer
59,Geschmack::N,مزه,blaz
60,Geruch::N,بو,c'hwezh
61,Schlaf::N,خواب,kousked
62,Traum::N,رؤیا,hune
63,Himmel::N,فلک,oabl
64,Himmel::N,آسمان,oabl
65,Sonne::N,آفتاب,heol
66,Sonne::N,خورشید,heol
67,Mond::N,ماه,loar
68,Stern::N,ستاره,steredenn
69,Luft::N,هوا,aer
70,Wind::N,باد,avel
71,Welle::N,موج,houlenn
72,Wasser::N,آب,dour
73,Stein::N,سنگ,maen
74,Boden::N,زمین,tachenn
75,Erde::N,خاک,douar
76,Erde::N,زمین,douar
77,Staub::N,گرد,poultr
78,Staub::N,غبار,poultr
79,Rauch::N,دود,moged
80,Funke::N,جرقه,ful
81,Feuer::N,آتش,tan
82,Licht::N,نور,gouloù
83,Licht::N,روشنی,gouloù
84,Schatten::N,سایه,disheol
85,Wetter::N,هوا,amzer
86,Nebel::N,مه,brumenn
87,Wolke::N,ابر,koumoulenn
88,Regen::N,باران,glav
89,Schnee::N,برف,erc'h
90,Eis::N,یخ,skorn
91,Frost::N,یخبندان,rev
92,Kälte::N,سرما,yen
93,Hitze::N,گرما,tommder
94,Hitze::N,حرارت,tommder
95,Raureif::N,برف ریزه,frim
96,Regenbogen::N,رنگین‌کمان,gwareg-ar-glav
97,Donner::N,رعد,kurun
98,Strömung::N,جریان,red
99,Tropfen::N,قطره,bannac'h
100,Tropfen::N,قطره,takenn
101,Schaum::N,کف,spoum
102,Schmutz::N,گل,fank
103,Schmutz::N,کثافت,fank
104,See::N,دریاچه,lenn
105,Sumpf::N,مرداب,gwern
106,Sumpf::N,باتلاق,gwern
107,Moor::N,باتلاق,taouarc'heg
108,Wiese::N,چمن,prad
109,Wald::N,جنگل,koad
110,Hügel::N,تل,torgenn
111,Hügel::N,تپه,torgenn
112,Anhöhe::N,بلندی,run
113,Berg::N,کوه,menez
114,Gipfel::N,قله,barr
115,Höhle::N,غار,kav
116,Abhang::N,سرازیری,naou
117,Quelle::N,چشمه,feunteun
118,Bach::N,نهر,gwazh
119,Fluss::N,رود,stêr
120,Ufer::N,ساحل,ribl
121,Ufer::N,کرانه,ribl
122,Küste::N,ساحل,aod
123,Festland::N,خشکی,douar
124,Meer::N,دریا,mor
125,Bucht::N,خلیج,mor-bihan
126,Insel::N,جزیره,enez
127,Blume::N,گل,bleunienn
128,Gras::N,علف,geot
129,Wurzel::N,ریشه,gwrizienn
130,Baum::N,درخت,gwezenn
131,Stamm::N,تنه,kef
132,Rinde::N,توژ,rusk
133,Rinde::N,پوست,rusk
134,Ast::N,شاخه,barr
135,Zweig::N,شاخه,bod
136,Blatt::N,برگ,delienn
137,Birke::N,غان,bezvenn
138,Kiefer[Baum]::N,کاج,pinenn
139,Weide[Baum]::N,بید,halegenn
140,Tanne::N,صنوبر,sapenn
141,Horn::N,شاخ,korn
142,Feder::N,پر,pluñv
143,Fell::N,خز,kreoñ
144,Flügel::N,پر,askell
145,Flügel::N,بال,askell
146,Klaue::N,چنگ,skilf
147,Klaue::N,پنجه,skilf
148,Kralle::N,پنجه,skilf
149,Schwanz::N,دم,lost
150,Ei::N,تخم,vi
151,Nest::N,لانه,neizh
152,Bau::N,بنا,douarenn
153,Bau::N,ساختمان,douarenn
154,Tier::N,هیوان,loen
155,Herde::N,رمه,tropell
156,Kuh::N,گاو,buoc'h
157,Bulle::N,گاو نر,tarv
158,Pferd::N,اسب,marc'h
159,Schaf::N,گوسفند,dañvad
160,Schwein::N,خوک,pemoc'h
161,Hund::N,سگ,ki
162,Katze::N,گربه,kazh
163,Bär::N,خرس,arzh
164,Eichhörnchen::N,سنجاب,gwiñver
165,Elch::N,گوزن شمالی,karv-dour
166,Fuchs::N,روباه,louarn
167,Hase::N,خرگوش,gad
168,Maus::N,موش,logodenn
169,Wolf::N,گرگ,bleiz
170,Vogel::N,پرنده,labous
171,Schwarm::N,دسته,nijad
172,Huhn::N,مرغ,yar
173,Hahn::N,خروس,kilhog
174,Gans::N,غاز,gwazenn
175,Adler::N,عقاب,erer
176,Ente::N,اردک,houad
177,Ente::N,مرغابی,houad
178,Eule::N,جغد,toud
179,Kranich::N,درنا,garan
180,Krähe::N,زاغ,bran
181,Krähe::N,کلاغ,bran
182,Kuckuck::N,فاخته,koukoug
183,Schwan::N,قو,alarc'h
184,Fisch::N,ماهی,pesk
185,Barsch::N,ماهی خاردار,brell
186,Hecht::N,اردک ماهی,beked
187,Schlange[Tier]::N,مار,naer
188,Wurm::N,کرم,preñv
189,Spinne::N,عنکبوت,kevnidenn
190,Ameise::N,مورچه,merion
191,Laus::N,شپش,laouenn
192,Mücke::N,پشه,moustik
193,Fliege::N,مگس,kelienenn
194,Schmetterling::N,پروانه,balafenn
195,Beere::N,گیله,hog
196,Apfel::N,سیب,aval
197,Pilz::N,قارچ,kabell-touseg
198,Zwiebel::N,پیاز,ognonenn
199,Saat::N,بذر,had
200,Korn::N,تخم,ed
201,Korn::N,دانه,ed
202,Heu::N,علف خشک,foenn
203,Schale::N,پوست,peliadur
204,Grube::N,گودال,
205,Falle::N,دام,pech
206,Schlinge::N,حلقه,krouglas
207,Spur::N,رد,
208,Asche::N,خاکستر,ludu
209,Dreck::N,کثافت,fank
210,Eisen::N,آهن,houarn
211,Gold::N,زر,aour
212,Gold::N,طلا,aour
213,Silber::N,نقره,arc'hant
214,Kohle::N,زغال,glaou
215,Glas::N,شیشه,gwer
216,Lehm::N,گل,
217,Sand::N,شن,traezh
218,Sand::N,ماسه,traezh
219,Mensch::N,آدم,den
220,Mensch::N,انسان,den
221,Mann::N,مرد,den
222,Frau::N,زن,maouez
223,Kind::N,بچه,bugel
224,Kind::N,کودک,bugel
225,Junge::N,پسر,paotr
226,Mädchen::N,دختر,plac'h
227,Familie::N,فامیل,familh
228,Familie::N,خانواده,familh
229,Großvater::N,پدربزرگ,tad-kozh
230,Großmutter::N,مادر‌بزرگ,mamm-gozh
231,Eltern::N,والدین,kerent
