,Concept_ID,nl,sah
0,Auge::N,oog,харах
1,Ohr::N,oor,кулгаах
2,Nase::N,neus,мурун
3,Mund::N,mond,айах
4,Zahn::N,tand,тиис
5,Zunge::N,tong,тыл
6,Lippe::N,lip,уос
7,Wange::N,wang,иэдэс
8,Gesicht::N,gelaat,сирэй
9,Gesicht::N,gezicht,сирэй
10,Stirn::N,voorhoofd,сүүс
11,Haar::N,haar,баттах
12,Schnurrbart::N,snor,уос бытыга
13,Bart::N,baard,сэҥийэ бытыга
14,Kinn::N,kin,сэҥийэ
15,Kiefer[Anatomie]::N,kaak,сыҥаах
16,Kehle::N,keel,тамах
17,Kehle::N,keel,күөмэй
18,Kehle::N,strot,тамах
19,Kehle::N,strot,күөмэй
20,Hals::N,hals,моой
21,Genick::N,nek,кэтэх
22,Kopf::N,hoofd,бас
23,Rücken::N,rug,көҕүс
24,Bauch::N,buik,ис
25,Nabel::N,navel,киин
26,Busen::N,boezem,эмиий
27,Brust::N,borst,түөс
28,Schulter::N,schouder,сарын
29,Arm::N,arm,илии
30,Ellenbogen::N,elleboog,тоҕонох
31,Hand::N,hand,илии
32,Handfläche::N,handpalm,ытыс
33,Finger::N,vinger,тарбах
34,Fingernagel::N,nagel,тыҥырах
35,Nagel[Anatomie]::N,nagel,тыҥырах
36,Zeh::N,teen,тарбах
37,Fuß::N,voet,уллуҥах
38,Ferse::N,hak,тилэх
39,Ferse::N,hiel,тилэх
40,Knie::N,knie,тобук
41,Knie::N,knie,дьилбэк
42,Oberschenkel::N,dij,уллук
43,Oberschenkel::N,dij,өттүк
44,Bein::N,been,атах
45,Körper::N,lichaam,бэйэ
46,Haut::N,huid,тирии
47,Blut::N,bloed,хаан
48,Ader::N,ader,вена
49,Ader::N,ader,күөх_тымыр
50,Sehne::N,pees,иҥиир
51,Knochen::N,bot,уҥуох
52,Knochen::N,bot,уҥгуох
53,Knochen::N,been,уҥуох
54,Knochen::N,been,уҥгуох
55,Knochen::N,knook,уҥуох
56,Knochen::N,knook,уҥгуох
57,Gehirn::N,hersenen,мэйии
58,Herz::N,hart,сүрэх
59,Magen::N,maag,куртах
60,Leber::N,lever,быар
61,Atem::N,adem,тыын
62,Hunger::N,honger,аас
63,Träne::N,traan,харах уута
64,Geschmack::N,smaak,амтан
65,Geruch::N,geur,сыт
66,Schlaf::N,slaap,утуйуу
67,Traum::N,droom,түүл
68,Himmel::N,hemel,халлаан
69,Sonne::N,zon,күн
70,Mond::N,maan,ый
71,Stern::N,ster,сулус
72,Luft::N,lucht,салгын
73,Wind::N,wind,тыал
74,Welle::N,golf,долгун
75,Welle::N,golf,балхаан
76,Wasser::N,water,уу
77,Stein::N,steen,таас
78,Boden::N,grond,сир
79,Erde::N,aarde,буор
80,Staub::N,stof,быыл
81,Rauch::N,rook,буруо
82,Funke::N,vonk,кыым
83,Feuer::N,vuur,уот
84,Licht::N,licht,уот
85,Schatten::N,schaduw,күлүк
86,Wetter::N,weer,күн-дьыл
87,Nebel::N,mist,туман
88,Nebel::N,nevel,туман
89,Wolke::N,wolk,былыт
90,Regen::N,regen,самыыр
91,Schnee::N,sneeuw,хаар
92,Eis::N,ijs,муус
93,Frost::N,vorst,тымныы
94,Kälte::N,kou,тымныы
95,Kälte::N,koude,тымныы
96,Hitze::N,hitte,куйаас
97,Raureif::N,rijp,кырыа
98,Regenbogen::N,regenboog,кустук
99,Donner::N,donder,этиҥ
100,Strömung::N,stroming,сүүрүк
101,Tropfen::N,druppel,таммах
102,Tropfen::N,druppel,хааппыла
103,Schaum::N,schuim,күүгэн
104,Schmutz::N,vuil,кир
105,See::N,meer,күөл
106,Sumpf::N,moeras,бадараан
107,Moor::N,veen,дьэбэрэ
108,Wiese::N,wei,ходуһа
109,Wiese::N,weide,ходуһа
110,Wald::N,bos,ойуур
111,Hügel::N,heuvel,булгунньах
112,Anhöhe::N,hoogte,үрдэл
113,Berg::N,berg,хайа
114,Gipfel::N,top,чыпчаал
115,Höhle::N,hol,хайа_хаспаҕа
116,Höhle::N,hol,көҥүс
117,Abhang::N,helling,эниэ
118,Quelle::N,bron,дьүүктэ
119,Bach::N,beek,үрүйэ
120,Fluss::N,stroom,өрүс
121,Ufer::N,wal,биэрэк
122,Ufer::N,oever,биэрэк
123,Küste::N,kust,кытыл
124,Festland::N,vasteland,кураанах сир
125,Meer::N,zee,муора
126,Bucht::N,baai,хомо
127,Bucht::N,baai,бухта
128,Bucht::N,inham,хомо
129,Bucht::N,inham,бухта
130,Insel::N,eiland,арыы
131,Blume::N,bloem,сибэкки
132,Gras::N,gras,от
133,Wurzel::N,wortel,силис
134,Baum::N,boom,мас
135,Stamm::N,stam,умнас
136,Rinde::N,schors,хатырык
137,Ast::N,tak,мутук
138,Zweig::N,twijg,лабаа
139,Blatt::N,blad,сэбирдэх
140,Birke::N,berk,хатыҥ
141,Kiefer[Baum]::N,den,бэс
142,Weide[Baum]::N,wilg,үөт
143,Weide[Baum]::N,wilg,талах
144,Tanne::N,spar,харыйа
145,Horn::N,hoorn,муос
146,Feder::N,veer,куорсун
147,Feder::N,pluim,куорсун
148,Fell::N,vel,тирии
149,Flügel::N,vleugel,кынат
150,Klaue::N,klauw,тыҥырах
151,Kralle::N,klauw,баппаҕай
152,Schwanz::N,staart,кутурук
153,Ei::N,ei,сымыыт
154,Nest::N,nest,уйа
155,Bau::N,hol,хороон
156,Tier::N,dier,кыыл
157,Tier::N,dier,харамай
158,Herde::N,kudde,үөр
159,Kuh::N,koe,ынах
160,Bulle::N,stier,оҕус
161,Pferd::N,paard,сылгы
162,Schaf::N,schaap,овца
163,Schwein::N,varken,сибиинньэ
164,Hund::N,hond,ыт
165,Katze::N,kat,куоска
166,Bär::N,beer,эһэ
167,Eichhörnchen::N,eekhoorntje,тииҥ
168,Elch::N,eland,тайах
169,Fuchs::N,vos,саһыл
170,Hase::N,haas,куобах
171,Maus::N,muis,кутуйах
172,Wolf::N,wolf,бөрө
173,Vogel::N,vogel,көтөр
174,Schwarm::N,zwerm,бөлөх
175,Huhn::N,kip,куурусса
176,Huhn::N,hoen,куурусса
