,Concept_ID,ar,sv
0,Auge::N,عين,öga
1,Ohr::N,أذن,öra
2,Nase::N,أنف,näsa
3,Mund::N,فم,mun
4,Zahn::N,سن,tand
5,Zunge::N,لسان,tunga
6,Lippe::N,شفة,läpp
7,Wange::N,خد,kind
8,Wange::N,وجنة,kind
9,Gesicht::N,وجه,syn
10,Gesicht::N,وجه,ansikte
11,Stirn::N,جبين,panna
12,Haar::N,شعر,hår
13,Schnurrbart::N,شارب,mustasch
14,Bart::N,لحية,skägg
15,Kinn::N,ذقن,haka
16,Kiefer[Anatomie]::N,فك,käke
17,Kehle::N,حلق,strupe
18,Hals::N,عنق,hals
19,Hals::N,رقبة,hals
20,Genick::N,قفا,nacke
21,Kopf::N,رأس,huvud
22,Rücken::N,ظهر,rygg
23,Bauch::N,بطن,buk
24,Bauch::N,بطن,mage
25,Nabel::N,سرة,navel
26,Busen::N,ثدي,barm
27,Brust::N,صدر,bröst
28,Schulter::N,كتف,skuldra
29,Arm::N,ذراع,arm
30,Ellenbogen::N,كوع,armbåge
31,Hand::N,يد,hand
32,Handfläche::N,كف,handflata
33,Finger::N,إصبع,finger
34,Fingernagel::N,ظفر,fingernagel
35,Nagel[Anatomie]::N,ظفر,nagel
36,Zeh::N,إصبع القدم,tå
37,Fuß::N,قدم,fot
38,Ferse::N,كعب,häl
39,Knie::N,ركبة,knä
40,Oberschenkel::N,فخذ,lår
41,Bein::N,ساق,ben
42,Körper::N,جسم,kropp
43,Haut::N,بشرة,hud
44,Haut::N,بشرة,skinn
45,Blut::N,دم,blod
46,Ader::N,عرق,åder
47,Sehne::N,طنب,sena
48,Knochen::N,عظم,ben
49,Gehirn::N,دماغ,hjärna
50,Herz::N,قلب,hjärta
51,Magen::N,معدة,mage
52,Leber::N,كبد,lever
53,Atem::N,نفس,anda
54,Atem::N,نفس,andedräkt
55,Hunger::N,جوع,svält
56,Hunger::N,جوع,hunger
57,Träne::N,دمعة,tår
58,Geschmack::N,طعم,smak
59,Geschmack::N,مذاق,smak
60,Geruch::N,رائحة,lukt
61,Schlaf::N,نوم,sömn
62,Schlaf::N,منام,sömn
63,Traum::N,حلم,dröm
64,Himmel::N,سماء,himmel
65,Sonne::N,شمس,sol
66,Mond::N,قمر,måne
67,Stern::N,نجم,stjärna
68,Stern::N,كوكب,stjärna
69,Luft::N,هواء,luft
70,Wind::N,ريح,vind
71,Welle::N,موجة,våg
72,Welle::N,موجة,bölja
73,Wasser::N,ماء,vatten
74,Stein::N,حجر,sten
75,Boden::N,تراب,mark
76,Erde::N,أرض,jord
77,Staub::N,غبار,damm
78,Rauch::N,دخان,rök
79,Funke::N,شرارة,gnista
80,Feuer::N,نار,eld
81,Licht::N,نور,ljus
82,Licht::N,ضوء,ljus
83,Schatten::N,ظل,skugga
84,Schatten::N,فيء,skugga
85,Wetter::N,جو,väder
86,Wetter::N,طقس,väder
87,Nebel::N,ضباب,dimma
88,Nebel::N,ضباب,töcken
89,Wolke::N,غيمة,sky
90,Wolke::N,غيمة,moln
91,Wolke::N,سحابة,sky
92,Wolke::N,سحابة,moln
93,Regen::N,مطر,regn
94,Schnee::N,ثلج,snö
95,Eis::N,جليد,is
96,Frost::N,صقيع,frost
97,Kälte::N,برد,köld
98,Hitze::N,حر,hetta
99,Hitze::N,حرارة,hetta
100,Raureif::N,صقيع,rimfrost
101,Regenbogen::N,قوس قزح,regnbåge
102,Donner::N,رعد,åska
103,Donner::N,رعد,dunder
104,Strömung::N,تيار,strömning
105,Tropfen::N,قطرة,dropper
106,Schaum::N,زبد,skum
107,Schaum::N,رغوة,skum
108,Schmutz::N,وسخ,lort
109,Schmutz::N,وسخ,smuts
110,See::N,بحيرة,sjö
111,Sumpf::N,مستنقع,träsk
112,Moor::N,مستنقع,myr
113,Moor::N,مستنقع,mosse
114,Wiese::N,مرج,äng
115,Wald::N,غابة,skog
116,Hügel::N,تل,höjd
117,Hügel::N,تل,kulle
118,Anhöhe::N,تل,höjd
119,Anhöhe::N,تل,backe
120,Berg::N,جبل,berg
121,Berg::N,جبل,fjäll
122,Gipfel::N,قمة,topp
123,Höhle::N,كهف,håla
124,Höhle::N,كهف,grotta
125,Abhang::N,منحدر,slänt
126,Abhang::N,منحدر,sluttning
127,Quelle::N,منبع,källa
128,Bach::N,مجرى,bäck
129,Fluss::N,نهر,älv
130,Fluss::N,نهر,flod
131,Ufer::N,ضفة,strand
132,Küste::N,ساحل,kust
133,Festland::N,بر,fastland
134,Meer::N,بحر,hav
135,Bucht::N,خليج,vik
136,Bucht::N,خليج,bukt
137,Insel::N,جزيرة,ö
138,Blume::N,زهرة,blomma
139,Blume::N,زهرة,blomster
140,Gras::N,حشيش,gräs
141,Wurzel::N,أصل,rot
142,Baum::N,شجرة,träd
143,Stamm::N,جذع,stam
144,Rinde::N,قشرة,bark
145,Ast::N,فرع,gren
146,Zweig::N,غصن,kvist
147,Blatt::N,ورقة,löv
148,Blatt::N,ورقة,blad
149,Birke::N,قضبان,björk
150,Kiefer[Baum]::N,صنوبرة,tall
151,Weide[Baum]::N,صفصاف,pil
152,Weide[Baum]::N,صفصاف,vide
153,Tanne::N,شوح,gran
154,Tanne::N,تبوب,gran
155,Horn::N,قرن,horn
156,Feder::N,ريشة,fjäder
157,Fell::N,فرو,fäll
158,Fell::N,فرو,skinn
159,Flügel::N,جناح,vinge
160,Klaue::N,مخلب,klöv
161,Kralle::N,مخلب,klo
162,Schwanz::N,ذيل,svans
163,Schwanz::N,ذيل,stjärt
164,Ei::N,بيض,ägg
165,Nest::N,عش,rede
166,Nest::N,عش,näste
167,Bau::N,جحر,bo
168,Tier::N,حيوان,djur
169,Herde::N,قطيع,flock
170,Kuh::N,بقرة,ko
171,Bulle::N,ثور,tjur
172,Pferd::N,خيل,häst
173,Schaf::N,شاة,får
174,Schwein::N,خنزير,svin
175,Hund::N,كلب,hund
176,Katze::N,قطة,katt
177,Bär::N,دب,björn
178,Eichhörnchen::N,سنجاب,ekorre
179,Elch::N,موظ,älg
180,Fuchs::N,ثعلب,räv
181,Hase::N,أرنب,hare
182,Maus::N,فأرة,mus
183,Wolf::N,ذئب,varg
184,Vogel::N,طير,fågel
185,Schwarm::N,سرب,svärm
186,Huhn::N,دجاجة,höns
187,Hahn::N,ديك,tupp
188,Gans::N,وزة,gås
189,Adler::N,نسر,örn
190,Ente::N,بطة,anka
191,Eule::N,بوم,uggla
192,Kranich::N,كركي,trana
193,Krähe::N,غراب,kråka
194,Kuckuck::N,وقواق,gök
195,Schwan::N,إوز عراقي,svan
196,Fisch::N,سمك,fisk
197,Barsch::N,فرخ أوربي,abborre
198,Hecht::N,سمك الكراكي,gädda
199,Schlange[Tier]::N,حية,orm
200,Schlange[Tier]::N,ثعبان,orm
201,Wurm::N,دودة,mask
202,Spinne::N,عنكبوت,spindel
203,Ameise::N,نملة,myra
204,Laus::N,قملة,lus
205,Mücke::N,ناموسة,mygga
206,Fliege::N,ذبابة,fluga
207,Schmetterling::N,فراشة,fjäril
208,Beere::N,حبة,bär
209,Apfel::N,تفاح,äpple
210,Pilz::N,فطر,svamp
211,Zwiebel::N,بصل,lök
212,Saat::N,زرع,sådd
213,Korn::N,حبة,korn
214,Heu::N,دريس,hö
215,Schale::N,قشرة,skal
216,Grube::N,نقرة,grop
217,Falle::N,فخ,fälla
218,Falle::N,مصيدة,fälla
219,Schlinge::N,عروة,snara
220,Spur::N,أثر,spår
221,Asche::N,رماد,aska
222,Dreck::N,قذر,lort
223,Eisen::N,حديد,järn
224,Gold::N,ذهب,guld
225,Silber::N,فضة,silver
226,Kohle::N,فحم,kol
227,Glas::N,زجاج,glas
228,Lehm::N,طين,lera
229,Sand::N,رمل,sand
230,Mensch::N,إنسان,människa
231,Mann::N,رجل,man
232,Frau::N,امرأة,kvinna
233,Kind::N,طفل,barn
234,Junge::N,ولد,pojke
235,Mädchen::N,بنت,flicka
236,Familie::N,عائلة,familj
237,Großvater::N,جد,morfar
238,Großmutter::N,جدة,farmor
239,Eltern::N,أبوان,föräldrar
240,Eltern::N,والدان,föräldrar
241,Vater::N,أب,far
242,Mutter::N,أم,mor
243,Sohn::N,إبن,son
