,Concept_ID,lez,vep
0,Auge::N,вил,sil'm
1,Ohr::N,яб,korv
2,Nase::N,нер,nena
3,Mund::N,сив,su
4,Zahn::N,сас,pi
5,Zahn::N,сас,hambaz
6,Zahn::N,свах,pi
7,Zahn::N,свах,hambaz
8,Zunge::N,мез,kel'
9,Lippe::N,пӏуз,hul'
10,Wange::N,хъвехъ,modpolišk
11,Gesicht::N,ччин,mod
12,Stirn::N,пел,oc
13,Haar::N,чӏар,tuk
14,Haar::N,чӏар,hibuz
15,Schnurrbart::N,спел,habinod
16,Schnurrbart::N,спелар,habinod
17,Bart::N,ччуру,bard
18,Kinn::N,чене,löug
19,Kiefer[Anatomie]::N,чене,hambazlu
20,Kehle::N,туьд,kurk
21,Hals::N,гардан,kagl
22,Genick::N,кьам,tagarai
23,Kopf::N,кьил,pä
24,Rücken::N,далу,sel'g
25,Bauch::N,руфун,vac
26,Bauch::N,руфун,koht
27,Nabel::N,пицӏ,naba
28,Busen::N,мам,niža
29,Brust::N,хур,rind
30,Schulter::N,къуьн,oug
31,Arm::N,гъил,käzi
32,Ellenbogen::N,кьуьнт,künambruz
33,Hand::N,капаш,käzi
34,Hand::N,капаш,käzitera
35,Handfläche::N,капан юкь,kämen
36,Finger::N,тӏуб,sor'm
37,Fingernagel::N,кек,künz'
38,Nagel[Anatomie]::N,кек,künz'
39,Zeh::N,кул,barbaz
40,Fuß::N,кӏвач,jaug
41,Ferse::N,дабан,kand
42,Knie::N,мет,komb
43,Knie::N,мет,pol'v
44,Bein::N,кӏвач,jaug
45,Körper::N,беден,hibj
46,Haut::N,хам,nahk
47,Blut::N,иви,čak
48,Blut::N,иви,veri
49,Ader::N,дамар,son'
50,Sehne::N,кьуру дамар,jände
51,Knochen::N,кӏараб,lu
52,Gehirn::N,мефт,aivod
53,Herz::N,рикӏ,südäin
54,Magen::N,хук,südäikoht
55,Leber::N,лекь,maks
56,Atem::N,ял,hengaiduz
57,Atem::N,нефес,hengaiduz
58,Hunger::N,каш,näl'g
59,Träne::N,вилин нагъв,kündal'
60,Geschmack::N,дад,magu
61,Geschmack::N,тӏям,magu
62,Geruch::N,ни,haju
63,Schlaf::N,ахвар,uni
64,Traum::N,ахвар,unikuva
65,Himmel::N,цав,taivaz
66,Sonne::N,рагъ,päiväine
67,Mond::N,варз,kudmaine
68,Stern::N,гъед,tähtaz
69,Luft::N,гьава,il'm
70,Wind::N,гар,döl
71,Wind::N,гар,tullei
72,Welle::N,лепе,ald
73,Welle::N,лепе,laineh
74,Wasser::N,яд,vezi
75,Stein::N,къван,kivi
76,Boden::N,накьв,ma
77,Boden::N,накьв,pohj
78,Erde::N,ччил,ma
79,Staub::N,руг,pölü
80,Rauch::N,гум,savu
81,Funke::N,цӏелхем,kibin
82,Feuer::N,цӏай,lämoi
83,Licht::N,экв,vauktuz
84,Schatten::N,серин,pil'vez
85,Schatten::N,серин,kuvahaine
86,Wetter::N,гьава,sä
87,Nebel::N,ччилин циф,sumeg
88,Wolke::N,циф,pil'v
89,Regen::N,марф,vihm
90,Schnee::N,жив,lumi
91,Eis::N,мурк,jä
92,Frost::N,аяз,hala
93,Frost::N,аяз,pakaine
94,Kälte::N,мекь,vilu
95,Kälte::N,мекьивал,vilu
96,Hitze::N,зегьем,räk
97,Raureif::N,къирав,hüde
98,Regenbogen::N,яргъируш,jumalanbembel'
99,Donner::N,цавун ван,juru
100,Donner::N,цавун ван,jumalanjuru
101,Tropfen::N,стӏал,tilkuine
102,Schaum::N,каф,vaht
103,Schmutz::N,чирк,redu
104,Schmutz::N,чирк,pačak
105,Schmutz::N,кьуруш,redu
106,Schmutz::N,кьуруш,pačak
107,See::N,вир,järv
108,Sumpf::N,уьлен,so
109,Wiese::N,векь,nit
110,Wald::N,там,mec
111,Hügel::N,кӏунтӏ,kukaz
112,Anhöhe::N,тепе,kukaz
113,Anhöhe::N,гьуьндуьрвал,kukaz
114,Berg::N,дагъ,mägi
115,Gipfel::N,кӏукӏ,ladv
116,Höhle::N,кьветӏ,mägionduz
117,Abhang::N,гуьне,paute
118,Quelle::N,чешме,lähte
119,Bach::N,булах,oja
120,Fluss::N,вацӏ,jogi
121,Ufer::N,къерех,rand
122,Küste::N,къерех,randišt
123,Festland::N,кьурамат,kuivma
124,Meer::N,гьуьл,meri
125,Bucht::N,бухта,laht
126,Insel::N,остров,sar'
127,Blume::N,цуьк,änik
128,Gras::N,хъач,hein
129,Wurzel::N,дувул,jur'
130,Baum::N,ттар,pu
131,Stamm::N,тан,tüvi
132,Rinde::N,чкал,kor'
133,Ast::N,тӏур,oks
134,Zweig::N,хел,oks
135,Zweig::N,хел,barb
136,Blatt::N,пеш,lehtez
137,Birke::N,верх,koiv
138,Kiefer[Baum]::N,шамагъаж,pedai
139,Weide[Baum]::N,цӏвелин ттар,raid
140,Tanne::N,ель,kuz'
141,Horn::N,карч,sar'v
142,Feder::N,цӏакул,höuneh
143,Fell::N,хам,nahk
144,Flügel::N,лув,suug
145,Klaue::N,къармах,künz'
146,Kralle::N,пац,künz'
147,Kralle::N,тапас,künz'
148,Schwanz::N,ттум,händ
149,Ei::N,кака,muna
150,Nest::N,муг,peza
151,Bau::N,тӏеквен,uru
152,Tier::N,гьайван,živat
153,Herde::N,суьруь,kogo
154,Kuh::N,ккал,lehm
155,Bulle::N,яц,härg
156,Bulle::N,бугъа,härg
157,Pferd::N,балкӏан,hebo
158,Schaf::N,хеб,lambaz
159,Schwein::N,вак,siga
160,Hund::N,кицӏ,koir
161,Katze::N,кац,kaži
162,Bär::N,сев,kondi
163,Eichhörnchen::N,белка,orav
164,Elch::N,лось,hirb'
165,Fuchs::N,сикӏ,reboi
166,Hase::N,къуьр,jäniš
167,Maus::N,кьиф,hir'
168,Wolf::N,жанавур,händikaz
169,Vogel::N,луван ничхир,lind
170,Schwarm::N,луж,parveh
171,Huhn::N,верч,kana
172,Hahn::N,кӏек,kukoi
173,Gans::N,къаз,hanh'
174,Adler::N,лекь,orl
175,Ente::N,пӏатӏ,sorz
176,Eule::N,тӏиб,hir'pulo
177,Kranich::N,дурна,kurg
178,Krähe::N,къаргъа,variš
179,Kuckuck::N,кукупӏ,kägi
180,Schwan::N,къугь,joucen
181,Fisch::N,гъед,kala
182,Barsch::N,окунь,ahven
183,Hecht::N,щука,haug'
184,Schlange[Tier]::N,илан,kü
185,Schlange[Tier]::N,илан,mado
186,Schlange[Tier]::N,гъуьлягъ,kü
187,Schlange[Tier]::N,гъуьлягъ,mado
188,Wurm::N,квак,mado
189,Spinne::N,хуьшрекан,hämähouk
190,Ameise::N,цегв,murahaine
191,Laus::N,нет,täi
192,Mücke::N,ветӏ,säs'k
193,Fliege::N,тӏветӏ,kärbhaine
194,Schmetterling::N,чепелукь,lipkaine
195,Beere::N,куьлуь емиш,marj
196,Apfel::N,ич,jablok
197,Pilz::N,къарникъуз,sen'
