,Concept_ID,pl,fa
0,Auge::N,oko,چشم
1,Ohr::N,ucho,گوش
2,Nase::N,nos,بینی
3,Mund::N,usta,دهان
4,Zahn::N,ząb,دندان
5,Zunge::N,język,زبان
6,Lippe::N,warga,لب
7,Wange::N,policzek,لپ
8,Gesicht::N,twarz,رو
9,Gesicht::N,twarz,چهره
10,Stirn::N,czoło,پیشانی
11,Haar::N,włos,مو
12,Haar::N,włosy,مو
13,Schnurrbart::N,wąsy,سبیل
14,Bart::N,broda,ریش
15,Kinn::N,podbródek,چانه
16,Kiefer[Anatomie]::N,czeluść,فک
17,Kiefer[Anatomie]::N,czeluść,آرواره
18,Kehle::N,gardło,حلق
19,Hals::N,szyja,گردن
20,Genick::N,kark,پشت گردن
21,Kopf::N,głowa,سر
22,Kopf::N,głowa,کله
23,Rücken::N,plecy,پشت
24,Rücken::N,grzbiet,پشت
25,Bauch::N,brzuch,شکم
26,Nabel::N,pępek,ناف
27,Busen::N,biust,پستان
28,Brust::N,pierś,سینه
29,Schulter::N,bark,دوش
30,Schulter::N,bark,شانه
31,Schulter::N,ramię,دوش
32,Schulter::N,ramię,شانه
33,Arm::N,ręka,بازو
34,Arm::N,ramię,بازو
35,Ellenbogen::N,łokieć,آرنج
36,Hand::N,dłoń,دست
37,Handfläche::N,dłoń,کف دست
38,Finger::N,palec,انگشت
39,Fingernagel::N,paznokieć,ناخن دست
40,Nagel[Anatomie]::N,paznokieć,ناخن
41,Zeh::N,palec,انگشت پا
42,Fuß::N,stopa,پا
43,Ferse::N,pięta,پاشنه
44,Knie::N,kolano,زانو
45,Oberschenkel::N,udo,ران
46,Bein::N,noga,پا
47,Bein::N,noga,لنگ
48,Körper::N,ciało,تن
49,Körper::N,ciało,بدن
50,Haut::N,skóra,پوست
51,Blut::N,krew,خون
52,Ader::N,żyła,رگ
53,Sehne::N,ścięgno,زردپی
54,Knochen::N,kość,استخوان
55,Gehirn::N,mózg,مخ
56,Gehirn::N,mózg,مغز
57,Herz::N,serce,دل
58,Herz::N,serce,قلب
59,Magen::N,żołądek,معده
60,Leber::N,wątroba,کبد
61,Atem::N,dech,نفس
62,Atem::N,oddech,نفس
63,Hunger::N,głód,گرسنگی
64,Träne::N,łza,اشک
65,Geschmack::N,smak,مزه
66,Geruch::N,woń,بو
67,Geruch::N,zapach,بو
68,Schlaf::N,sen,خواب
69,Traum::N,sen,رؤیا
70,Himmel::N,niebo,فلک
71,Himmel::N,niebo,آسمان
72,Sonne::N,słońce,آفتاب
73,Sonne::N,słońce,خورشید
74,Mond::N,księżyc,ماه
75,Stern::N,gwiazda,ستاره
76,Luft::N,powietrze,هوا
77,Wind::N,wiatr,باد
78,Welle::N,fala,موج
79,Wasser::N,woda,آب
80,Stein::N,kamień,سنگ
81,Boden::N,grunt,زمین
82,Erde::N,ziemia,خاک
83,Erde::N,ziemia,زمین
84,Staub::N,pył,گرد
85,Staub::N,pył,غبار
86,Staub::N,kurz,گرد
87,Staub::N,kurz,غبار
88,Rauch::N,dym,دود
89,Funke::N,iskra,جرقه
90,Feuer::N,ogień,آتش
91,Licht::N,światło,نور
92,Licht::N,światło,روشنی
93,Schatten::N,cień,سایه
94,Wetter::N,pogoda,هوا
95,Nebel::N,mgła,مه
96,Wolke::N,obłok,ابر
97,Wolke::N,chmura,ابر
98,Regen::N,deszcz,باران
99,Schnee::N,śnieg,برف
100,Eis::N,lód,یخ
101,Frost::N,mróz,یخبندان
102,Kälte::N,chłód,سرما
103,Hitze::N,gorąco,گرما
104,Hitze::N,gorąco,حرارت
105,Raureif::N,szron,برف ریزه
106,Regenbogen::N,tęcza,رنگین‌کمان
107,Donner::N,grzmot,رعد
108,Strömung::N,nurt,جریان
109,Tropfen::N,kropla,قطره
110,Schaum::N,piana,کف
111,Schmutz::N,brud,گل
112,Schmutz::N,brud,کثافت
113,See::N,jezioro,دریاچه
114,Sumpf::N,bagno,مرداب
115,Sumpf::N,bagno,باتلاق
116,Moor::N,bagno,باتلاق
117,Wiese::N,łąka,چمن
118,Wald::N,las,جنگل
119,Hügel::N,pagórek,تل
120,Hügel::N,pagórek,تپه
121,Anhöhe::N,wzgórze,بلندی
122,Berg::N,góra,کوه
123,Gipfel::N,szczyt,قله
124,Gipfel::N,wierzchołek,قله
125,Höhle::N,pieczara,غار
126,Abhang::N,stok,سرازیری
127,Abhang::N,zbocze,سرازیری
128,Quelle::N,zdrój,چشمه
129,Quelle::N,źródło,چشمه
130,Bach::N,potok,نهر
131,Bach::N,strumień,نهر
132,Fluss::N,rzeka,رود
133,Ufer::N,brzeg,ساحل
134,Ufer::N,brzeg,کرانه
135,Küste::N,wybrzeże,ساحل
136,Festland::N,ląd,خشکی
137,Meer::N,morze,دریا
138,Bucht::N,zatoka,خلیج
139,Insel::N,wyspa,جزیره
140,Blume::N,kwiat,گل
141,Gras::N,trawa,علف
142,Wurzel::N,korzeń,ریشه
143,Baum::N,drzewo,درخت
144,Stamm::N,pień,تنه
145,Rinde::N,kora,توژ
146,Rinde::N,kora,پوست
147,Ast::N,gałąź,شاخه
148,Zweig::N,gałąź,شاخه
149,Blatt::N,liść,برگ
150,Birke::N,brzoza,غان
151,Kiefer[Baum]::N,sosna,کاج
152,Weide[Baum]::N,wierzba,بید
153,Tanne::N,jodła,صنوبر
154,Horn::N,róg,شاخ
155,Feder::N,pióro,پر
156,Fell::N,futro,خز
157,Flügel::N,skrzydło,پر
158,Flügel::N,skrzydło,بال
159,Klaue::N,szpon,چنگ
160,Klaue::N,szpon,پنجه
161,Kralle::N,pazur,پنجه
162,Schwanz::N,ogon,دم
163,Ei::N,jajko,تخم
164,Nest::N,gniazdo,لانه
165,Bau::N,nora,بنا
166,Bau::N,nora,ساختمان
167,Tier::N,zwierzę,هیوان
168,Herde::N,stado,رمه
169,Herde::N,trzoda,رمه
170,Kuh::N,krowa,گاو
171,Bulle::N,byk,گاو نر
172,Pferd::N,koń,اسب
173,Schaf::N,owca,گوسفند
174,Schwein::N,świnia,خوک
175,Hund::N,pies,سگ
176,Katze::N,kot,گربه
177,Katze::N,kotka,گربه
178,Bär::N,niedźwiedż,خرس
179,Eichhörnchen::N,wiewiórka,سنجاب
180,Elch::N,łóś,گوزن شمالی
181,Fuchs::N,lis,روباه
182,Hase::N,zając,خرگوش
183,Maus::N,mysz,موش
184,Wolf::N,wilk,گرگ
185,Vogel::N,ptak,پرنده
186,Schwarm::N,stado,دسته
187,Huhn::N,kura,مرغ
188,Hahn::N,kogut,خروس
189,Gans::N,gęś,غاز
190,Adler::N,orzeł,عقاب
191,Ente::N,kaczka,اردک
192,Ente::N,kaczka,مرغابی
193,Eule::N,sowa,جغد
194,Kranich::N,żuraw,درنا
195,Krähe::N,wrona,زاغ
196,Krähe::N,wrona,کلاغ
197,Kuckuck::N,kukułka,فاخته
198,Schwan::N,łabędż,قو
199,Fisch::N,ryba,ماهی
200,Barsch::N,okoń,ماهی خاردار
201,Hecht::N,szczupak,اردک ماهی
202,Schlange[Tier]::N,wąż,مار
203,Schlange[Tier]::N,żmija,مار
