,Concept_ID,mhr,vep
0,Auge::N,шинча́,sil'm
1,Ohr::N,пы́лыш,korv
2,Nase::N,нер,nena
3,Mund::N,умша́,su
4,Zahn::N,пӱй,pi
5,Zahn::N,пӱй,hambaz
6,Zunge::N,йы́лме,kel'
7,Lippe::N,тӱ́рвӧ,hul'
8,Wange::N,шӱ́ргӧ,modpolišk
9,Gesicht::N,чури́й,mod
10,Stirn::N,саҥга́,oc
11,Haar::N,ӱп,tuk
12,Haar::N,ӱп,hibuz
13,Schnurrbart::N,ӧ́рыш,habinod
14,Bart::N,понда́ш,bard
15,Kinn::N,оҥыла́ш,löug
16,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,hambazlu
17,Kiefer[Anatomie]::N,пӱйората́,hambazlu
18,Kehle::N,лога́р,kurk
19,Hals::N,шӱй,kagl
20,Genick::N,шӱйло́дыш,tagarai
21,Kopf::N,вуй,pä
22,Rücken::N,туп,sel'g
23,Bauch::N,мӱ́шкыр,vac
24,Bauch::N,мӱ́шкыр,koht
25,Nabel::N,кы́лымде,naba
26,Busen::N,чы́зе,niža
27,Brust::N,оҥ,rind
28,Schulter::N,ва́че,oug
29,Arm::N,кид,käzi
30,Ellenbogen::N,кынерву́й,künambruz
31,Hand::N,кид,käzi
32,Hand::N,кид,käzitera
33,Hand::N,копа́,käzi
34,Hand::N,копа́,käzitera
35,Handfläche::N,со́во,kämen
36,Finger::N,парня́,sor'm
37,Fingernagel::N,кидкӱ́ч,künz'
38,Fingernagel::N,парнягӱ́ч,künz'
39,Nagel[Anatomie]::N,кӱч,künz'
40,Zeh::N,йолварня́,barbaz
41,Fuß::N,йол,jaug
42,Fuß::N,йолкопа́,jaug
43,Ferse::N,тага́н,kand
44,Knie::N,пулву́й,komb
45,Knie::N,пулву́й,pol'v
46,Oberschenkel::N,э́рде,riiže
47,Bein::N,йол,jaug
48,Körper::N,кап,hibj
49,Haut::N,кова́ште,nahk
50,Blut::N,вӱр,čak
51,Blut::N,вӱр,veri
52,Ader::N,шӧн,son'
53,Sehne::N,шӧн,jände
54,Sehne::N,кӱсе́н,jände
55,Knochen::N,лу,lu
56,Gehirn::N,вем,aivod
57,Gehirn::N,вуйве́м,aivod
58,Herz::N,шӱм,südäin
59,Magen::N,пага́р,südäikoht
60,Leber::N,мокш,maks
61,Atem::N,шӱ́лыш,hengaiduz
62,Hunger::N,шужыма́ш,näl'g
63,Träne::N,шинчавӱ́д,kündal'
64,Geschmack::N,там,magu
65,Geruch::N,пуш,haju
66,Schlaf::N,о́мо,uni
67,Traum::N,йӱдо́мо,unikuva
68,Himmel::N,кава́,taivaz
69,Sonne::N,ке́че,päiväine
70,Mond::N,ты́лзе,kudmaine
71,Stern::N,шӱ́дыр,tähtaz
72,Luft::N,юж,il'm
73,Wind::N,марде́ж,döl
74,Wind::N,марде́ж,tullei
75,Welle::N,то́лкын,ald
76,Welle::N,то́лкын,laineh
77,Wasser::N,вӱд,vezi
78,Stein::N,кӱ,kivi
79,Boden::N,рок,ma
80,Boden::N,рок,pohj
81,Erde::N,мла́нде,ma
82,Staub::N,пура́к,pölü
83,Rauch::N,шикш,savu
84,Funke::N,сеске́м,kibin
85,Funke::N,тулйы́п,kibin
86,Feuer::N,тул,lämoi
87,Licht::N,со́то,vauktuz
88,Schatten::N,ӱ́мыл,pil'vez
89,Schatten::N,ӱ́мыл,kuvahaine
90,Wetter::N,иге́че,sä
91,Nebel::N,тӱтыра́,sumeg
92,Wolke::N,пыл,pil'v
93,Regen::N,йӱр,vihm
94,Schnee::N,лум,lumi
95,Eis::N,ий,jä
96,Frost::N,чатлама́,hala
97,Frost::N,чатлама́,pakaine
98,Kälte::N,йӱ́штӧ,vilu
99,Hitze::N,шо́кшо,räk
100,Raureif::N,пӧрш,hüde
101,Raureif::N,по́кшым,hüde
102,Regenbogen::N,шонанпы́л,jumalanbembel'
103,Donner::N,кӱ́дырчӧ,juru
104,Donner::N,кӱ́дырчӧ,jumalanjuru
105,Strömung::N,йо́гын,joksmuz
106,Tropfen::N,чӱча́лтыш,tilkuine
107,Schaum::N,шоҥ,vaht
108,Schmutz::N,лавыра́,redu
109,Schmutz::N,лавыра́,pačak
110,See::N,ер,järv
111,Sumpf::N,лӱ́кӧ,so
112,Moor::N,куп,so
113,Wiese::N,о́лык,nit
114,Wald::N,чодыра́,mec
115,Hügel::N,арка́,kukaz
116,Anhöhe::N,тӧва́,kukaz
117,Anhöhe::N,кӱкшака́,kukaz
118,Berg::N,ку́рык,mägi
119,Gipfel::N,чаҥга́,ladv
120,Gipfel::N,курыкву́й,ladv
121,Höhle::N,пеще́р,mägionduz
122,Höhle::N,курыкпо́мыш,mägionduz
123,Abhang::N,та́йыл,paute
124,Quelle::N,важ,lähte
125,Quelle::N,вӱдшинча́,lähte
126,Bach::N,изэҥе́р,oja
127,Fluss::N,эҥе́р,jogi
128,Ufer::N,сер,rand
129,Küste::N,вӱдтӱ́р,randišt
130,Festland::N,мла́нде,kuivma
131,Meer::N,те́ҥыз,meri
132,Bucht::N,икса́,laht
133,Insel::N,отро́,sar'
134,Blume::N,пеле́дыш,änik
135,Gras::N,шу́до,hein
136,Wurzel::N,вож,jur'
137,Baum::N,пуше́ҥге,pu
138,Stamm::N,йы́тыр,tüvi
139,Rinde::N,шӱм,kor'
140,Ast::N,укш,oks
141,Zweig::N,торма́к,oks
142,Zweig::N,торма́к,barb
143,Blatt::N,лышта́ш,lehtez
144,Birke::N,куэ́,koiv
145,Kiefer[Baum]::N,пӱ́нчӧ,pedai
146,Weide[Baum]::N,уа́,raid
147,Tanne::N,кож,kuz'
148,Horn::N,шур,sar'v
149,Feder::N,пы́стыл,höuneh
150,Fell::N,кова́ште,nahk
151,Flügel::N,шу́лдыр,suug
152,Klaue::N,кӱч,künz'
153,Kralle::N,ла́па,künz'
154,Kralle::N,копа́,künz'
155,Schwanz::N,поч,händ
156,Ei::N,му́но,muna
157,Nest::N,пыжа́ш,peza
158,Bau::N,пыжа́ш,uru
159,Tier::N,я́нлык,živat
160,Tier::N,живо́тный,živat
161,Herde::N,кӱ́тӱ,kogo
162,Herde::N,тӱшка́,kogo
163,Kuh::N,ушка́л,lehm
164,Bulle::N,ӱ́шкыж,härg
165,Pferd::N,и́мне,hebo
166,Schaf::N,шо́рык,lambaz
167,Schwein::N,сӧсна́,siga
168,Hund::N,пий,koir
169,Katze::N,пы́рыс,kaži
170,Bär::N,маска́,kondi
171,Eichhörnchen::N,ур,orav
172,Elch::N,шо́рдо,hirb'
173,Fuchs::N,ры́выж,reboi
174,Hase::N,мера́ҥ,jäniš
175,Maus::N,коля́,hir'
176,Wolf::N,пи́ре,händikaz
177,Vogel::N,ка́йык,lind
178,Schwarm::N,каша́к,parveh
179,Huhn::N,чы́ве,kana
180,Hahn::N,агыта́н,kukoi
181,Gans::N,ко́мбо,hanh'
182,Adler::N,карагу́ш,orl
183,Ente::N,лу́до,sorz
184,Eule::N,тумна́,hir'pulo
185,Kranich::N,турня́,kurg
186,Krähe::N,кора́к,variš
187,Kuckuck::N,куку́,kägi
188,Schwan::N,йӱ́ксӧ,joucen
189,Fisch::N,кол,kala
190,Barsch::N,ола́ҥге,ahven
