,Concept_ID,hy,kn
0,Auge::N,աչք,ಕಣ್ಣು
1,Ohr::N,ականջ,ಕಿವಿ
2,Nase::N,քիթ,ಮೂಗು
3,Mund::N,բերան,ಬಾಯಿ
4,Zahn::N,ատամ,ಹಲ್ಲು
5,Zunge::N,լեզու,ನಾಲಿಗೆ
6,Lippe::N,շրթունք,ತುಟಿ
7,Wange::N,այտ,ಗಲ್ಲ
8,Wange::N,թուշ,ಗಲ್ಲ
9,Gesicht::N,դեմք,ಮುಖ
10,Stirn::N,ճակատ,ಹಣೆ
11,Haar::N,մազ,ಕೂದಲು
12,Schnurrbart::N,բեղ,ಮೀಸೆ
13,Bart::N,մորուք,ಗಡ್ಡ
14,Kinn::N,կզակ,ಗದ್ದ
15,Kiefer[Anatomie]::N,ծնոտ,ದವಡೆ
16,Kehle::N,կոկորդ,ಗಂಟಲು
17,Hals::N,վիզ,ಕೊರಳು
18,Hals::N,պարանոց,ಕೊರಳು
19,Genick::N,ծոծրակ,ಹಿಂಗತ್ತು
20,Kopf::N,գլուխ,ತಲೆ
21,Rücken::N,մեջք,ಬೆನ್ನು
22,Bauch::N,փոր,ಹೊಟ್ಟೆ
23,Bauch::N,որովայն,ಹೊಟ್ಟೆ
24,Nabel::N,պորտ,ಹೊಕ್ಕುಳು
25,Busen::N,ծոց,ಸ್ತನ
26,Brust::N,կուրծք,ಎದೆ
27,Schulter::N,ուս,ಭುಜ
28,Arm::N,թեւ,ತೋಳು
29,Arm::N,բազուկ,ತೋಳು
30,Ellenbogen::N,արմունկ,ಮೊಣಕೈ
31,Hand::N,ձեռք,ಕೈ
32,Handfläche::N,ափ,ಅಂಗೈ
33,Finger::N,մատ,ಕೈಬೆರಳು
34,Fingernagel::N,եղունգ,ಉಗುರು
35,Nagel[Anatomie]::N,եղունգ,ಉಗುರು
36,Zeh::N,ոտքի մատ,ಕಾಲ್ಬೆರಳು
37,Fuß::N,ոտք,ಪಾದ
38,Ferse::N,գարշապար,ಹಿಮ್ಮಡಿ
39,Knie::N,ծունկ,ಮಂಡಿ
40,Oberschenkel::N,ազդր,ತೊಡೆ
41,Bein::N,ոտք,ಕಾಲು
42,Körper::N,մարմին,ದೇಹ
43,Haut::N,մաշկ,ಚರ್ಮ
44,Blut::N,արյուն,ರಕ್ತ
45,Ader::N,երակ,ನರ
46,Sehne::N,ջիղ,ನರ
47,Sehne::N,ձգտան,ನರ
48,Knochen::N,ոսկոր,ಮೂಳೆ
49,Gehirn::N,խելք,ಮಿದುಳು
50,Herz::N,սիրտ,ಹೃದಯ
51,Magen::N,ստամոքս,ಉದರ
52,Leber::N,լյարդ,ಯಕೃತ್ತು
53,Atem::N,շունչ,ಉಸಿರು
54,Hunger::N,քաղց,ಹಸಿವು
55,Träne::N,արտասուք,ಕಣ್ಣೀರು
56,Geschmack::N,համ,ರುಚಿ
57,Geschmack::N,բուրմունք,ರುಚಿ
58,Geruch::N,հոտ,ವಾಸನೆ
59,Geruch::N,բուրում,ವಾಸನೆ
60,Schlaf::N,քուն,ನಿದ್ರೆ
61,Traum::N,երազ,ಕನಸು
62,Himmel::N,երկինք,ಬಾನು
63,Sonne::N,արեւ,ಸೂರ್ಯ
64,Mond::N,լուսին,ಚಂದ್ರ
65,Stern::N,աստղ,ಚುಕ್ಕಿ
66,Luft::N,օդ,ವಾಯು
67,Wind::N,քամի,ಗಾಳಿ
68,Welle::N,ալիք,ಅಲೆ
69,Wasser::N,ջուր,ನೀರು
70,Stein::N,քար,ಕಲ್ಲು
71,Boden::N,գետին,ನೆಲ
72,Erde::N,հող,ಭೂಮಿ
73,Staub::N,փոշի,ದೂಳು
74,Rauch::N,ծուխ,ಹೊಗೆ
75,Funke::N,կայծ,ಕಿಡಿ
76,Feuer::N,կրակ,ಬೆಂಕಿ
77,Feuer::N,հրդեհ,ಬೆಂಕಿ
78,Licht::N,լույս,ಬೆಳಕು
79,Schatten::N,ստվեր,ನೆರಳು
80,Wetter::N,եղանակ,ಹವ
81,Nebel::N,մեգ,ಮಂಜು
82,Nebel::N,մառախուղ,ಮಂಜು
83,Wolke::N,ամպ,ಮೋಡ
84,Regen::N,անձրև,ಮಳೆ
85,Schnee::N,ձյուն,ಹಿಮ
86,Eis::N,սառույց,ಮಂಜುಗಡ್ಡೆ
87,Frost::N,սառնամանիք,ಮಂಜು
88,Kälte::N,դող,ಹಿಮ
89,Hitze::N,շոգ,ಉಷ್ಣ
90,Raureif::N,ցօղեղեամ,ಇಬ್ಬನಿ
91,Regenbogen::N,ծիածան,ಇಂದ್ರಚಾಪ
92,Donner::N,որոտ,ಗುಡುಗು
93,Strömung::N,հոսանք,ಪ್ರವಾಹ
94,Tropfen::N,կաթիլ,ತೊಟ್ಟು
