,Concept_ID,de,ady
0,Auge::N,Auge,нэ
1,Ohr::N,Ohr,тхьакӏу́м
2,Nase::N,Nase,пэ
3,Mund::N,Mund,жэ
4,Zahn::N,Zahn,цэ
5,Zunge::N,Zunge,бзэгу
6,Lippe::N,Lippe,ӏупшӏэ́
7,Wange::N,Wange,нэкӏу́шъу
8,Gesicht::N,Gesicht,нэ́гу
9,Stirn::N,Stirn,натӏэ́
10,Haar::N,Haar,шъхьацы́
11,Schnurrbart::N,Schnurrbart,
12,Bart::N,Bart,жакӏэ́
13,Kinn::N,Kinn,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,Kiefer,жэпкъы́
15,Kehle::N,Kehle,чый
16,Hals::N,Hals,пшъэ
17,Genick::N,Genick,шъхьэпхэтыку
18,Kopf::N,Kopf,шъхьэ́
19,Rücken::N,Rücken,кӏыбы́
20,Bauch::N,Bauch,ныбэ́
21,Nabel::N,Nabel,
22,Busen::N,Busen,бгъэ́
23,Brust::N,Brust,бгъэ́
24,Schulter::N,Schulter,блыпкъ
25,Arm::N,Arm,ӏэ
26,Ellenbogen::N,Ellenbogen,ӏэнтэ́гъу
27,Hand::N,Hand,ӏэтхьэцу
28,Handfläche::N,Handfläche,ӏэ́гу
29,Finger::N,Finger,ӏэхъуа́мб
30,Fingernagel::N,Fingernagel,ӏэбжъа́н
31,Nagel[Anatomie]::N,Nagel,ӏэбжъа́н
32,Zeh::N,Zeh,ӏэхъуа́мб
33,Fuß::N,Fuß,лъэгу
34,Ferse::N,Ferse,лъэдакъэ
35,Knie::N,Knie,лъагуа́ндж
36,Oberschenkel::N,Oberschenkel,ко
37,Bein::N,Bein,лъакъо́
38,Körper::N,Körper,пкъышъол
39,Haut::N,Haut,кӏы́шъу
40,Blut::N,Blut,лъы
41,Ader::N,Ader,льытф
42,Sehne::N,Sehne,фэ
43,Knochen::N,Knochen,къупшъхьэ́
44,Gehirn::N,Gehirn,куцӏы
45,Herz::N,Herz,гу
46,Magen::N,Magen,мышкӏу
47,Leber::N,Leber,шӏу
48,Atem::N,Atem,къэщэныр
49,Hunger::N,Hunger,гъаблэ́
50,Träne::N,Träne,нэпсы
51,Geschmack::N,Geschmack,ӏэшӏугъа́кӏ
52,Geruch::N,Geruch,мэ
53,Schlaf::N,Schlaf,пчыхьы́пӏ
54,Traum::N,Traum,пчыхьы́пӏ
55,Himmel::N,Himmel,уашъо́
56,Sonne::N,Sonne,тыгъэ
57,Mond::N,Mond,мазэ
58,Stern::N,Stern,жъуагъо́
59,Luft::N,Luft,жьы
60,Wind::N,Wind,жьыбгъэ́
61,Welle::N,Welle,ор
62,Welle::N,Welle,оры
63,Wasser::N,Wasser,псы
64,Stein::N,Stein,мыжъо́
65,Boden::N,Boden,чӏ́ыгу
66,Erde::N,Erde,чӏ́ыгу
67,Staub::N,Staub,сап
68,Rauch::N,Rauch,ӏугъо́
69,Funke::N,Funke,мэшӏуа́ч
70,Feuer::N,Feuer,машӏо́
71,Licht::N,Licht,нэфы
72,Licht::N,Licht,нэфын
73,Schatten::N,Schatten,жьау́
74,Schatten::N,Schatten,ныбжьыкъу
75,Wetter::N,Wetter,
76,Nebel::N,Nebel,пща́гъу
77,Wolke::N,Wolke,ошъуапщэ
78,Regen::N,Regen,ощхы
79,Schnee::N,Schnee,осы́
80,Eis::N,Eis,мылы
81,Frost::N,Frost,
82,Kälte::N,Kälte,чъыӏэ́
83,Hitze::N,Hitze,фэба́е
84,Raureif::N,Raureif,
85,Regenbogen::N,Regenbogen, лэгъупэкъо́пс
86,Donner::N,Donner,шыблэ́
87,Strömung::N,Strömung,ток
88,Tropfen::N,Tropfen,ткӏопс
89,Tropfen::N,Tropfen,гъуаткӏу
90,Schaum::N,Schaum,тхъурбэ
91,Schmutz::N,Schmutz,псынжъы
92,See::N,See,хыку́м
93,See::N,See,псыхъура́й
94,Sumpf::N,Sumpf,орыжъ
95,Moor::N,Moor,орыжъ
96,Wiese::N,Wiese,хъупӏэ́
97,Wiese::N,Wiese,мэкъупӏ
98,Wald::N,Wald,мэзы́
99,Hügel::N,Hügel,ӏуашъхь
100,Anhöhe::N,Anhöhe,чӏыӏэтыгъ
101,Berg::N,Berg,къушъхьэ́
102,Gipfel::N,Gipfel,шыгу
103,Höhle::N,Höhle,гъочӏэгъ
104,Abhang::N,Abhang,чапэ
105,Quelle::N,Quelle,псынэчэ́чъ
106,Bach::N,Bach,псышкуашку
107,Fluss::N,Fluss,псыхъо́
108,Ufer::N,Ufer,нэпкъы
109,Küste::N,Küste,ӏушъо
110,Festland::N,Festland,чӏл́ыгу
111,Meer::N,Meer,хы
112,Bucht::N,Bucht,хыблыгу
113,Insel::N,Insel,хыгъэхъу́н
114,Blume::N,Blume,къэгъа́гь
115,Gras::N,Gras,уцы́
116,Wurzel::N,Wurzel,лъапсэ́
117,Baum::N,Baum,чъыгы́
118,Stamm::N,Stamm,пкъы
119,Rinde::N,Rinde,пхъашъо́
120,Ast::N,Ast,куамэ
121,Zweig::N,Zweig,къутамэ́
122,Blatt::N,Blatt,тхьап
123,Birke::N,Birke,пчэн
124,Kiefer[Baum]::N,Kiefer,сэснэй
125,Weide[Baum]::N,Weide,пце́л
126,Tanne::N,Tanne,ель
127,Horn::N,Horn,бжъэ
128,Feder::N,Feder,къамӏы́й
129,Fell::N,Fell,шъо
130,Flügel::N,Flügel,тамэ́
131,Klaue::N,Klaue,лъэбжъа́н
132,Kralle::N,Kralle,лъакъо
133,Schwanz::N,Schwanz,кӏэ
134,Ei::N,Ei,кӏэнкӏэ́
135,Nest::N,Nest,набгъо́
136,Bau::N,Bau,гъу
137,Bau::N,Bau,бы
138,Tier::N,Tier,псэу́шъхь
139,Herde::N,Herde,ӏэхъогъу
140,Kuh::N,Kuh,чэмы́
141,Bulle::N,Bulle,цу
142,Pferd::N,Pferd,шы
143,Schaf::N,Schaf,мэлы́
144,Schwein::N,Schwein,къо
145,Hund::N,Hund,бьэ
146,Katze::N,Katze,чэты́у
147,Bär::N,Bär,мышъэ́
148,Eichhörnchen::N,Eichhörnchen,цызэ́
149,Elch::N,Elch,лось
150,Fuchs::N,Fuchs,баджэ́
151,Hase::N,Hase,тхьакӏумкӏы́хь
152,Maus::N,Maus,цыгъо́
153,Wolf::N,Wolf,тыгъу́жъ
154,Vogel::N,Vogel,бзы́у
155,Schwarm::N,Schwarm,отэр
156,Huhn::N,Huhn,чэты́
157,Hahn::N,Hahn,атакъэ́
158,Gans::N,Gans,къа́з
159,Adler::N,Adler,
160,Ente::N,Ente,псычэ́т
161,Eule::N,Eule,тыгъурыгъу
162,Kranich::N,Kranich,къэрэ́у
163,Krähe::N,Krähe,къолэ́жъ
164,Kuckuck::N,Kuckuck,куку́у
165,Schwan::N,Schwan,
166,Fisch::N,Fisch,пцэжъы́й
167,Barsch::N,Barsch,тхыкъэц
168,Hecht::N,Hecht,лэнд
169,Schlange[Tier]::N,Schlange,блэ́
170,Wurm::N,Wurm,хьамлыу
171,Spinne::N,Spinne,бэдж
172,Ameise::N,Ameise,къамзэ́гу
173,Laus::N,Laus,цӏэ
174,Mücke::N,Mücke,аргъо́й
175,Fliege::N,Fliege,бадзэ́
176,Schmetterling::N,Schmetterling,хьампӏыра́шъу
177,Beere::N,Beere,маткӏо
178,Apfel::N,Apfel,мыӏэры́с
179,Pilz::N,Pilz,хьаӏу
180,Zwiebel::N,Zwiebel,бжьыны́
181,Saat::N,Saat,чылапхъ
182,Korn::N,Korn,цэ
183,Heu::N,Heu,мэкъу
184,Schale::N,Schale,кӏы́шъу
185,Grube::N,Grube,машэ́
186,Falle::N,Falle,зэраубытырэ́ ӏэмэпсы́м
187,Schlinge::N,Schlinge,бзыуубыт
188,Spur::N,Spur,ужы
189,Spur::N,Spur,лъэуж
190,Asche::N,Asche,яжьэ́
191,Dreck::N,Dreck,псынжъы
192,Eisen::N,Eisen,гыучӏы́
193,Eisen::N,Eisen,къэнджа́л
194,Gold::N,Gold,дышъэ́
195,Silber::N,Silber,тыжьы́н
196,Kohle::N,Kohle,шӏомыкӏ
