,Concept_ID,hu,se
0,Auge::N,szem,tjelmie
1,Auge::N,szem,tjalmme
2,Auge::N,szem,čalbmi
3,Auge::N,szem,čalme
4,Auge::N,szem,čâ´lmm
5,Auge::N,szem,ча̄лльм
6,Ohr::N,fül,bieljie
7,Ohr::N,fül,biellje
8,Ohr::N,fül,beallji
9,Ohr::N,fül,pelji
10,Ohr::N,fül,pe´llj
11,Ohr::N,fül,пе̄лльй
12,Nase::N,orr,njuenie
13,Nase::N,orr,njunnje
14,Nase::N,orr,njunni
15,Nase::N,orr,njuṇe
16,Nase::N,orr,njuu´nn
17,Nase::N,orr,нюннҍ
18,Mund::N,száj,njaelmie
19,Mund::N,száj,njálmme
20,Mund::N,száj,njálbmi
21,Mund::N,száj,njälmi
22,Mund::N,száj,njä´lmm
23,Mund::N,száj,ня̄лльм
24,Zahn::N,fog,baenie
25,Zahn::N,fog,bádne
26,Zahn::N,fog,bátni
27,Zahn::N,fog,pääṇi
28,Zahn::N,fog,pää´nn
29,Zahn::N,fog,па̄ннҍ
30,Zunge::N,nyelv,njoektjeme
31,Zunge::N,nyelv,njuovtjav
32,Zunge::N,nyelv,njuovčča
33,Zunge::N,nyelv,njuovčâ
34,Zunge::N,nyelv,njuhččâm
35,Zunge::N,nyelv,нюхчем
36,Lippe::N,ajak,bangseme
37,Lippe::N,ajak,njálmmerabdda
38,Lippe::N,ajak,bavssa
39,Lippe::N,ajak,poovsâ
40,Lippe::N,ajak,põõus
41,Lippe::N,ajak,пэ̄кс
42,Wange::N,orca,skiehrie
43,Wange::N,orca,nierra
44,Wange::N,orca,muohtu
45,Wange::N,orca,nieṛâ
46,Wange::N,orca,njiõrr
47,Wange::N,orca,нӣрр
48,Gesicht::N,arc,ååredæjja
49,Gesicht::N,arc,muohto
50,Gesicht::N,arc,muođut
51,Gesicht::N,arc,ámadadju
52,Gesicht::N,arc,muáđuh
53,Gesicht::N,arc,muâđ
54,Gesicht::N,arc,ка̄ссв
55,Stirn::N,homlok,gaalloe
56,Stirn::N,homlok,gállo
57,Stirn::N,homlok,gállu
58,Stirn::N,homlok,kállu
59,Stirn::N,homlok,käll
60,Stirn::N,homlok,вуэххьц
61,Haar::N,haj,voepte
62,Haar::N,haj,vuoppta
63,Haar::N,haj,vuokta
64,Haar::N,haj,vuop'tâ
65,Haar::N,haj,vuõpt
66,Haar::N,haj,вӯппт
67,Schnurrbart::N,bajusz,bijjie-skaavtjoe
68,Schnurrbart::N,bajusz,njunjevuolskávttjá
69,Schnurrbart::N,bajusz,seamu
70,Schnurrbart::N,bajusz,siämu
71,Schnurrbart::N,bajusz,ää´bben
72,Schnurrbart::N,bajusz,о̄а̄бпан
73,Bart::N,szakáll,skaavtja
74,Bart::N,szakáll,skaavtjoe
75,Bart::N,szakáll,skávttjá
76,Bart::N,szakáll,seamu
77,Bart::N,szakáll,siämu
78,Bart::N,szakáll,seäm
79,Bart::N,szakáll,ся̄м
80,Kinn::N,áll,gaejpie
81,Kinn::N,áll,gájbbe
82,Kinn::N,áll,gáibi
83,Kinn::N,áll,käibi
84,Kinn::N,áll,käi´bb
85,Kinn::N,áll,ка̄ййп
86,Kiefer[Anatomie]::N,állkapocs,gaejpie
87,Kiefer[Anatomie]::N,állkapocs,oalol
88,Kiefer[Anatomie]::N,állkapocs,oaloldákte
89,Kiefer[Anatomie]::N,állkapocs,gáibi
90,Kiefer[Anatomie]::N,állkapocs,uá'lultähti
91,Kiefer[Anatomie]::N,állkapocs,vuâl'lõš
92,Kiefer[Anatomie]::N,állkapocs,вуаллнешш
93,Kehle::N,gége,gealoe
94,Kehle::N,gége,tjåttå
95,Kehle::N,gége,njiello
96,Kehle::N,gége,čotta
97,Kehle::N,gége,čuudâ
98,Kehle::N,gége,čoodd
99,Kehle::N,gége,чонт
100,Kehle::N,gége,кэ̄ҏс
101,Kehle::N,torok,gealoe
102,Kehle::N,torok,tjåttå
103,Kehle::N,torok,njiello
104,Kehle::N,torok,čotta
105,Kehle::N,torok,čuudâ
106,Kehle::N,torok,čoodd
107,Kehle::N,torok,чонт
108,Kehle::N,torok,кэ̄ҏс
109,Hals::N,nyak,tjeapohke
110,Hals::N,nyak,tjiebet
111,Hals::N,nyak,čeabet
112,Hals::N,nyak,čiäppát
113,Hals::N,nyak,čeäppat
114,Hals::N,nyak,ча̄пэх
115,Genick::N,tarkó,tjovrese
116,Genick::N,tarkó,nisske
117,Genick::N,tarkó,niehkki
118,Genick::N,tarkó,niski
119,Genick::N,tarkó,niek'ki
120,Genick::N,tarkó,nji´šǩǩmaadd
121,Genick::N,tarkó,нышшькмоант
122,Kopf::N,fő,åejjie
123,Kopf::N,fő,oajvve
124,Kopf::N,fő,oaivi
125,Kopf::N,fő,uái'vi
126,Kopf::N,fő,vuei´vv
127,Kopf::N,fő,вуэййв
128,Kopf::N,fej,åejjie
129,Kopf::N,fej,oajvve
130,Kopf::N,fej,oaivi
131,Kopf::N,fej,uái'vi
132,Kopf::N,fej,vuei´vv
133,Kopf::N,fej,вуэййв
134,Rücken::N,hát,rudtje
135,Rücken::N,hát,hárddo
