,Concept_ID,av,lbe
1145,teilen::V,бикьизе,бачӏин
1146,teilen::V,бикьизе,бутӏа бан
1147,schicken::V,битӏизе,тӏайла буккан
1148,bringen::V,баччизе,диян дан
1149,hinzufügen::V,жубазе,ххи бан
1150,bekommen::V,щвезе,ласун
1151,erhalten::V,щвезе,ласун
1152,erhalten::V,босизе,ласун
1153,nehmen::V,босизе,ласун
1154,wählen::V,бищизе,бувчӏин
1155,auswählen::V,тӏасабищизе,бувчӏин
1156,auswählen::V,тӏасабищизе,язи бугьан
1157,bewahren::V,цӏунизе,ядан
1158,behindern::V,квекӏен гьабизе,дайщишруду дуллан
1159,verderben::V,хвезабизе,зия дан
1160,beschädigen::V,галгъазабизе,зарал буллан
1161,zerbrechen::V,щущазабизе,гьагъан
1162,zerbrechen::V,щущазабизе,гьагъан бан
1163,zerreißen::V,бихъизе,ххяхха дуккан
1164,zerstören::V,биххизабизе,лекьан дан
1165,verbrennen::V,бухӏизе,ччуччин
1166,geben::V,кьезе,дулун
1167,reichen::V,кьезе,дулун
1168,schenken::V,кьезе,пишкаш дан
1169,schenken::V,кьезе,багъишла дан
1170,schenken::V,кьезе,ихӏсандалун дуллун
1171,versprechen::V,назру гьабизе,банна чин
1172,wünschen::V,бокьизе,
1173,loben::V,беццизе,цӏа дан
1174,loben::V,бецца-бекъизе,цӏа дан
1175,küssen::V,баизе,ппай тӏун
1176,wiegen::V,чӏучӏадизабизе,гьуркку тӏун
1177,wiegen::V,чӏучӏадизабизе,гьуркку буллан
1178,wiegen::V,чӏучӏадизабизе,гьуркку бан
1179,zudecken::V,тӏадбигъине,
1180,wecken::V,бигьинабизе,чантӏ учин ан
1181,zeigen::V,бихьизабизе,ккаккан бан
1182,führen::V,бачине,буцин
1183,lehren::V,малъизе,лахьхьин бан
1184,lehren::V,малъизе,лахьхьин буллан
1185,lehren::V,цӏализабизе,лахьхьин бан
1186,lehren::V,цӏализабизе,лахьхьин буллан
1187,unterrichten::V,цӏализабизе,дарс дишаван
1188,aufziehen::V,гӏезабизе,хъуна ан
1189,aufziehen::V,гӏезабизе,тарбия ан
1190,leiten::V,нухмалъи гьабизе,каялувшиву дан
1191,antreiben::V,гӏедегӏизабизе,
1192,einladen::V,ахӏизе,хъамалу оьвчин
1193,einladen::V,тӏадеахӏизе,хъамалу оьвчин
1194,vereinigen::V,цолъизабизе,ца бан
1195,besuchen::V,баккизе,ялун уххан
1196,besuchen::V,хьвадизе,ялун уххан
1197,treffen::V,дандчӏвазе,хьуна бакьин
1198,sich versammeln::V,данделъизе,батӏин
1199,sich versammeln::V,бакӏаризе,батӏин
1200,spielen::V,басандизе,тӏуркӏу тӏун
1201,singen::V,ахӏизе,балай тӏун
1202,tanzen::V,кьурдизе,къавтӏун
1203,sich trennen::V,батӏалъизе,ппив хьун
1204,verlassen::V,тезе,увккун гьан
1205,verlassen::V,рехунтезе,увккун гьан
1206,retten::V,хвасар гьабизе,ххассал бан
1207,retten::V,хвасарлъизабизе,ххассал бан
1208,bewachen::V,цӏунизе,къарал бан
1209,schützen::V,цӏунизе,ябан
1210,verteidigen::V,цӏунизе,буруччин
1211,sich schlagen::V,багъизе,биян
1212,schießen::V,речӏчӏизе,битлан
1213,siegen::V,бергьине,ххув хьун
1214,siegen::V,бергьине,ххувшаву ласун
1215,ärgern::V,вагъизавизе,ссибизан уллан
1216,schlagen::V,кьабизе,рищун
1217,treten::V,мал тункизе,
1218,stechen::V,къазабизе,кьутӏин
1219,stoßen::V,тункизе,щун
1220,stoßen::V,хъилдизе,щун
1221,stehlen::V,щинкӏизабизе,дацин
1222,stören::V,квекӏен гьабизе,кьючин
1223,stören::V,татубахъи гьабизе,кьючин
1224,belästigen::V,рахӏатхвезабизе,бизар уллан
1225,verbergen::V,бахчизе,лабитан
1226,verbergen::V,бахчизе,кӏучӏ бан
1227,verbergen::V,балъго тезе,лабитан
1228,verbergen::V,балъго тезе,кӏучӏ бан
1229,täuschen::V,божуда рекӏкӏ гьабизе,хъяврин ан
1230,täuschen::V,гуккизе,хъяврин ан
1231,betrügen::V,хӏилла гьабизе,аьикьин ан
1232,betrügen::V,сандирахълъи гьабизе,аьикьин ан
1233,töten::V,чӏвазе,ивчӏан
1234,wohnen::V,яшав гьабизе,оьрму бутлан
1235,arbeiten::V,хӏалтӏизе,зун
1236,sammeln::V,бакӏаризе,ттихӏин
1237,sammeln::V,бакӏаризе,вив дишин
1238,pflücken::V,бетӏизе,риттун
1239,jagen::V,чан гьабизе,авли занан
1240,fischen::V,ччугӏа кквезе,чавахъру бугьлан
1241,fassen::V,кквезе,бугьан
1242,hüten::V,кваназабизе,урттуйн бакьлан
1243,treiben::V,гъезе,дачин дуллан
1244,treiben::V,гъезе,лихъан буллан
1245,anbinden::V,бухьине,бахӏин
1246,füttern::V,кваназабизе,канаки буллан
1247,melken::V,бечӏчӏизе,ттизин
1248,hacken::V,чӏвазе,мюрш буллан
1249,hacken::V,чӏвазе,мюрш бан
1250,gießen::V,лъалъазе,щин дишин
1251,reifen::V,барщизе,диян
1252,zubereiten::V,бежа-белъине,хӏадур дан
1253,zubereiten::V,бежа-белъине,хӏадур бан
1254,kochen::V,белъине,шашан
1255,kochen::V,белъине,шашан дуллан
1256,backen::V,базе,бишлан
1257,backen::V,базе,шахьлан
1258,braten::V,бежизе,цӏарайх дуллан
1259,umrühren::V,багъаризе,хӏала бан
1260,stricken::V,хьухьине,щащлан
1261,stricken::V,хьухьине,щащан
