,Concept_ID,da,sv
0,Auge::N,øje,öga
1,Ohr::N,øre,öra
2,Nase::N,næse,näsa
3,Mund::N,mund,mun
4,Zahn::N,tand,tand
5,Zunge::N,tunge,tunga
6,Lippe::N,læbe,läpp
7,Wange::N,kind,kind
8,Gesicht::N,ansigt,syn
9,Gesicht::N,ansigt,ansikte
10,Stirn::N,pande,panna
11,Haar::N,hår,hår
12,Schnurrbart::N,overskæg,mustasch
13,Bart::N,skæg,skägg
14,Kinn::N,hage,haka
15,Kiefer[Anatomie]::N,kæbe,käke
16,Kehle::N,strube,strupe
17,Hals::N,hals,hals
18,Genick::N,nakke,nacke
19,Kopf::N,hoved,huvud
20,Rücken::N,ryg,rygg
21,Bauch::N,mave,buk
22,Bauch::N,mave,mage
23,Nabel::N,navle,navel
24,Busen::N,barm,barm
25,Brust::N,bryst,bröst
26,Schulter::N,skulder,skuldra
27,Arm::N,arm,arm
28,Ellenbogen::N,albue,armbåge
29,Hand::N,hånd,hand
30,Handfläche::N,håndflade,handflata
31,Finger::N,finger,finger
32,Fingernagel::N,fingernegl,fingernagel
33,Nagel[Anatomie]::N,negl,nagel
34,Zeh::N,tå,tå
35,Fuß::N,fod,fot
36,Ferse::N,hæl,häl
37,Knie::N,knæ,knä
38,Oberschenkel::N,lår,lår
39,Bein::N,ben,ben
40,Körper::N,krop,kropp
41,Körper::N,legeme,kropp
42,Haut::N,hud,hud
43,Haut::N,hud,skinn
44,Blut::N,blod,blod
45,Ader::N,åre,åder
46,Sehne::N,sene,sena
47,Knochen::N,ben,ben
48,Gehirn::N,hjerne,hjärna
49,Herz::N,hjerte,hjärta
50,Magen::N,mave,mage
51,Leber::N,lever,lever
52,Atem::N,ånde,anda
53,Atem::N,ånde,andedräkt
54,Hunger::N,sult,svält
55,Hunger::N,sult,hunger
56,Träne::N,tåre,tår
57,Geschmack::N,smag,smak
58,Geruch::N,lugt,lukt
59,Schlaf::N,søvn,sömn
60,Traum::N,drøm,dröm
61,Himmel::N,himmel,himmel
62,Sonne::N,sol,sol
63,Mond::N,måne,måne
64,Stern::N,stjerne,stjärna
65,Luft::N,luft,luft
66,Wind::N,vind,vind
67,Welle::N,bølge,våg
68,Welle::N,bølge,bölja
69,Wasser::N,vand,vatten
70,Stein::N,sten,sten
71,Boden::N,jord,mark
72,Erde::N,jord,jord
73,Staub::N,støv,damm
74,Rauch::N,røg,rök
75,Funke::N,gnist,gnista
76,Feuer::N,ild,eld
77,Licht::N,lys,ljus
78,Schatten::N,skygge,skugga
79,Wetter::N,vejr,väder
80,Nebel::N,tåge,dimma
81,Nebel::N,tåge,töcken
82,Wolke::N,sky,sky
83,Wolke::N,sky,moln
84,Regen::N,regn,regn
85,Schnee::N,sne,snö
86,Eis::N,is,is
87,Frost::N,frost,frost
88,Kälte::N,kulde,köld
89,Hitze::N,hede,hetta
90,Raureif::N,rimfrost,rimfrost
91,Regenbogen::N,regnbue,regnbåge
92,Donner::N,torden,åska
93,Donner::N,torden,dunder
94,Strömung::N,strømning,strömning
95,Tropfen::N,dråbe,dropper
96,Schaum::N,skum,skum
97,Schmutz::N,snavs,lort
98,Schmutz::N,snavs,smuts
99,See::N,sø,sjö
100,Sumpf::N,sump,träsk
101,Moor::N,mose,myr
102,Moor::N,mose,mosse
103,Wiese::N,eng,äng
104,Wald::N,skov,skog
105,Hügel::N,høj,höjd
106,Hügel::N,høj,kulle
107,Hügel::N,bakke,höjd
108,Hügel::N,bakke,kulle
109,Anhöhe::N,høj,höjd
110,Anhöhe::N,høj,backe
111,Anhöhe::N,bakke,höjd
112,Anhöhe::N,bakke,backe
113,Berg::N,bjerg,berg
114,Berg::N,bjerg,fjäll
115,Gipfel::N,top,topp
116,Höhle::N,hule,håla
117,Höhle::N,hule,grotta
118,Abhang::N,skrænt,slänt
119,Abhang::N,skrænt,sluttning
120,Abhang::N,skråning,slänt
121,Abhang::N,skråning,sluttning
122,Quelle::N,kilde,källa
123,Bach::N,bæk,bäck
124,Fluss::N,flod,älv
125,Fluss::N,flod,flod
126,Ufer::N,bred,strand
127,Küste::N,kyst,kust
128,Festland::N,fastland,fastland
129,Meer::N,hav,hav
130,Bucht::N,bugt,vik
131,Bucht::N,bugt,bukt
132,Insel::N,ø,ö
133,Blume::N,blomst,blomma
134,Blume::N,blomst,blomster
135,Gras::N,græs,gräs
136,Wurzel::N,rod,rot
137,Baum::N,træ,träd
138,Stamm::N,stamme,stam
139,Rinde::N,bark,bark
140,Ast::N,gren,gren
141,Zweig::N,kvist,kvist
142,Blatt::N,blad,löv
143,Blatt::N,blad,blad
144,Birke::N,birk,björk
145,Kiefer[Baum]::N,fyrretræ,tall
146,Weide[Baum]::N,piletræ,pil
147,Weide[Baum]::N,piletræ,vide
148,Tanne::N,gran,gran
149,Horn::N,horn,horn
150,Feder::N,fjer,fjäder
151,Fell::N,skind,fäll
152,Fell::N,skind,skinn
153,Flügel::N,vinge,vinge
154,Klaue::N,klov,klöv
155,Kralle::N,klo,klo
156,Schwanz::N,hale,svans
157,Schwanz::N,hale,stjärt
158,Ei::N,æg,ägg
159,Nest::N,rede,rede
160,Nest::N,rede,näste
161,Bau::N,bo,bo
162,Tier::N,dyr,djur
163,Herde::N,flok,flock
164,Kuh::N,ko,ko
165,Bulle::N,tyr,tjur
166,Pferd::N,hest,häst
167,Schaf::N,får,får
168,Schwein::N,gris,svin
169,Hund::N,hund,hund
170,Katze::N,kat,katt
171,Bär::N,bjørn,björn
172,Eichhörnchen::N,egern,ekorre
173,Elch::N,elg,älg
174,Fuchs::N,ræv,räv
175,Hase::N,hare,hare
176,Maus::N,mus,mus
177,Wolf::N,ulv,varg
178,Vogel::N,fugl,fågel
179,Schwarm::N,sværm,svärm
180,Huhn::N,høne,höns
181,Hahn::N,hane,tupp
182,Gans::N,gås,gås
183,Adler::N,ørn,örn
184,Ente::N,and,anka
185,Eule::N,ugle,uggla
186,Kranich::N,trane,trana
187,Krähe::N,krage,kråka
188,Kuckuck::N,gøg,gök
189,Schwan::N,svane,svan
190,Fisch::N,fisk,fisk
191,Barsch::N,aborre,abborre
192,Hecht::N,gedde,gädda
193,Schlange[Tier]::N,slange,orm
194,Wurm::N,orm,mask
195,Spinne::N,edderkop,spindel
196,Ameise::N,myre,myra
197,Laus::N,lus,lus
198,Mücke::N,myg,mygga
199,Fliege::N,flue,fluga
200,Schmetterling::N,sommerfugl,fjäril
201,Beere::N,bær,bär
202,Apfel::N,æble,äpple
203,Pilz::N,svamp,svamp
204,Zwiebel::N,løg,lök
205,Saat::N,sæd,sådd
206,Korn::N,korn,korn
207,Heu::N,hø,hö
208,Schale::N,skræl,skal
209,Grube::N,grav,grop
210,Falle::N,fælde,fälla
211,Schlinge::N,snare,snara
212,Spur::N,spor,spår
213,Asche::N,aske,aska
214,Dreck::N,snavs,lort
215,Eisen::N,jern,järn
216,Gold::N,guld,guld
217,Silber::N,sølv,silver
218,Kohle::N,kul,kol
219,Glas::N,glas,glas
220,Lehm::N,ler,lera
221,Sand::N,sand,sand
222,Mensch::N,mennesge,människa
223,Mann::N,mand,man
224,Frau::N,kvinde,kvinna
225,Kind::N,barn,barn
226,Junge::N,dreng,pojke
227,Mädchen::N,pige,flicka
228,Familie::N,familie,familj
229,Großvater::N,bedstefar,morfar
230,Großmutter::N,bedstemor,farmor
231,Eltern::N,forældre,föräldrar
232,Vater::N,far,far
233,Mutter::N,mor,mor
234,Sohn::N,søn,son
235,Tochter::N,datter,dotter
236,Bruder::N,bror,bror
237,Schwester::N,søster,syster
238,Onkel::N,onkel,morbror
239,Tante::N,tante,tant
240,Ehemann::N,ægtemand,äkta man
241,Ehefrau::N,hustru,hustru
242,Freude::N,glæde,fröjd
243,Freude::N,glæde,glädje
244,Gelächter::N,latter,åtlöje
245,Glück::N,lykke,lycka
246,Kummer::N,sorg,sorg
247,Wunsch::N,ønske,önskan
248,Lust::N,lyst,lust
249,Geist::N,ånd,ande
250,Gedanke::N,tanke,tanke
251,Gedächtnis::N,hukommelse,minne
252,Verstand::N,forstand,förstånd
253,Sinn::N,mening,mening
254,Sinn::N,mening,betydelse
255,Sinn::N,betydning,mening
256,Sinn::N,betydning,betydelse
257,Grund::N,grund,skäl
258,Grund::N,grund,grund
259,Wahrheit::N,sandhed,sanning
260,Gespräch::N,samtale,samtal
261,Märchen::N,eventyr,saga
262,Erzählung::N,fortælling,berättelse
263,Nachricht::N,efterretning,meddelande
264,Neuigkeit::N,nyhed,nyhet
265,Name::N,navn,namn
266,Rätsel::N,gåde,gåta
267,Rede::N,tale,tal
268,Sprache::N,sprog,språk
269,Stimme::N,stemme,stämma
270,Wort::N,ord,ord
271,Zeichen::N,tegn,tecken
272,Ruf::N,råb,rop
273,Lärm::N,larm,bråk
274,Lärm::N,larm,oväsen
275,Laut::N,lyd,ljud
276,Ton::N,tone,ton
277,Lied::N,sang,sång
278,Ruhe::N,ro,ro
279,Ruhe::N,ro,lugn
280,Ruhe::N,hvile,ro
281,Ruhe::N,hvile,lugn
282,Leute::N,folk,folk
283,Leute::N,mennesker,folk
284,Volk::N,folk,folk
285,Arbeit::N,arbejde,arbete
286,Gast::N,gæst,gäst
287,Geschenk::N,gave,gåva
288,Geschenk::N,gave,present
289,Spiel::N,leg,lek
290,Spiel::N,leg,spel
291,Gesellschaft::N,selskab,sällskap
292,Hilfe::N,hjælp,hjälp
293,Freund::N,ven,vän
294,Kamerad::N,kammerat,kamrat
295,Angelegenheit::N,sag,ärende
296,Angelegenheit::N,sag,angelägenhet
297,Angelegenheit::N,anliggende,ärende
298,Angelegenheit::N,anliggende,angelägenhet
299,Anzahl::N,antal,antal
300,Art::N,art,art
301,Art::N,art,slag
302,Stück::N,stykke,stycke
303,Teil::N,del,del
304,Hälfte::N,halvdel,halva
305,Kreis::N,cirkel,krets
306,Kreis::N,cirkel,cirkel
307,Kreuz::N,kors,kors
308,Kreuz::N,kors,kryss
309,Kreuz::N,kryds,kors
310,Kreuz::N,kryds,kryss
311,Linie::N,linie,linje
312,Strich::N,streg,streck
313,Abstand::N,afstand,avstånd
314,Entfernung::N,afstand,avstånd
315,Gegend::N,egn,trakt
316,Platz::N,plads,plats
317,Ort::N,sted,plats
318,Ort::N,sted,ställe
319,Seite::N,side,sida
320,Mitte::N,midte,mitt
321,Gegenstand::N,genstand,föremål
322,Sache::N,sag,sak
323,Rand::N,rand,rand
324,Kante::N,kant,kant
325,Ecke::N,hjørne,vrå
326,Ecke::N,hjørne,hörn
327,Spitze::N,spids,spets
328,Ende::N,ende,ända
329,Loch::N,hul,hål
330,Winkel::N,vinkel,vinkel
331,Muster::N,mønster,mönster
332,Größe::N,størrelse,storlek
333,Länge::N,længde,längd
334,Höhe::N,højde,höjd
335,Gewicht::N,vægt,tyngd
336,Menge::N,mængde,mängd
337,Haufen::N,bunke,hög
338,Reihe::N,række,rad
339,Boot::N,båd,båt
340,Ruder::N,åre,åra
341,Schlitten::N,kælk,släde
342,Schlitten::N,slæde,släde
343,Ski::N,ski,skida
344,Lagerfeuer::N,lejrbål,lägereld
345,Last::N,last,last
346,Last::N,last,börda
347,Last::N,byrde,last
348,Last::N,byrde,börda
349,Gang::N,gang,gång
350,Schritt::N,skridt,steg
351,Norden::N,nord,norr
352,Süden::N,syd,söder
353,Westen::N,vest,väster
354,Osten::N,øst,öster
355,Holz::N,træ,trä
356,Brett::N,bræt,bräda
357,Platte::N,plade,platta
358,Stütze::N,støtte,stöd
359,Stütze::N,støtte,stötta
360,Stange::N,stang,stång
361,Stock::N,stok,käpp
362,Stock::N,stok,pinne
363,Stab::N,stav,stav
364,Rohr::N,rør,rör
365,Haus::N,hus,hus
366,Heim::N,hjem,hem
367,Ofen::N,ovn,ugn
368,Fußboden::N,gulv,golv
369,Tisch::N,bord,bord
370,Stuhl::N,stol,stol
371,Wiege::N,vugge,vagga
372,Bett::N,seng,säng
373,Regal::N,reol,hylla
374,Kiste::N,kasse,låda
375,Fenster::N,vindue,fönster
376,Tür::N,dør,dörr
377,Tor::N,port,port
378,Zaun::N,stakit,staket
379,Zaun::N,stakit,stängsel
380,Dach::N,tag,tak
381,Leiter::N,stige,stege
382,Besen::N,kost,kvast
383,Spaten::N,spade,spade
384,Schaufel::N,skovl,skovel
385,Schaufel::N,skovl,skyffel
386,Gabel::N,gaffel,gaffel
387,Löffel::N,ske,sked
388,Messer::N,kniv,kniv
389,Nagel::N,søm,spik
390,Netz::N,net,nät
391,Haken::N,krog,krok
392,Griff::N,tag,tag
393,Griff::N,tag,handtag
394,Griff::N,håndtag,tag
395,Griff::N,håndtag,handtag
396,Schloss::N,lås,las
