,Concept_ID,lt,mdf
0,Auge::N,akis,сельме
1,Ohr::N,ausis,пиле
2,Nase::N,nosis,шалхка
3,Mund::N,burna,курга
4,Zahn::N,dantis,пей
5,Zunge::N,liežuvis,кяль
6,Lippe::N,lūpa,търва́
7,Wange::N,žandas,щёка
8,Wange::N,skruostas,щёка
9,Gesicht::N,veidas,шама
10,Stirn::N,kakta,коня
11,Haar::N,plaukai,шя́ярь
12,Schnurrbart::N,ūsai,уса́
13,Bart::N,barzda,сакал
14,Kinn::N,smakras,ула
15,Kiefer[Anatomie]::N,žandikaulis,саласка
16,Kehle::N,gerklė,кълдома
17,Kehle::N,gerklė,кърга́парь
18,Hals::N,kaklas,сялдаз
19,Genick::N,sprandas,шовонь
20,Kopf::N,galva,пря
21,Rücken::N,nugara,копорь
22,Bauch::N,pilvas,пеке
23,Nabel::N,bamba,по́кон
24,Busen::N,krūtinė,потя
25,Brust::N,krūtis,мяште
26,Schulter::N,petys,лафту
27,Arm::N,ranka,кядь
28,Ellenbogen::N,alkūnė,кенерьба́карь
29,Hand::N,ranka,кядь
30,Hand::N,plaštaka,кядь
31,Handfläche::N,delnas,кядьлапш
32,Handfläche::N,plaštaka,кядьлапш
33,Finger::N,pirštas,сур
34,Fingernagel::N,nagas,кенже
35,Nagel[Anatomie]::N,nagas,кенже
36,Zeh::N,pirštas,пильгосу́р
37,Fuß::N,pėda,пильге
38,Fuß::N,pėda,пильгелапа
39,Ferse::N,kulnas,кочкяря
40,Knie::N,kelis,эль
41,Knie::N,kelis,пълма́нжа
42,Oberschenkel::N,kulšis,пильгепукша
43,Oberschenkel::N,šlaunis,пильгепукша
44,Bein::N,koja,пильге
45,Körper::N,kūnas,ро́нга
46,Körper::N,kūnas,по́нда
47,Haut::N,oda,киське
48,Blut::N,kraujas,вер
49,Ader::N,kraujagyslė,сан
50,Ader::N,kraujagyslė,верза́н
51,Sehne::N,sausgyslė,коське сан
52,Knochen::N,kaulas,пакарь
53,Gehirn::N,smegenys,уй
54,Herz::N,širdis,седи
55,Magen::N,skrandis,коткърдазь
56,Leber::N,kepenys,макса
57,Atem::N,kvapas,лекома
58,Atem::N,kvapas,ваймонь тарксема
59,Hunger::N,badas,вачеши
60,Hunger::N,alkis,вачеши
61,Träne::N,ašara,сельмове́дь
62,Geschmack::N,skonis,таньф
63,Geruch::N,kvapas,шине
64,Schlaf::N,miegas,удома́
65,Traum::N,sapnas,он
66,Himmel::N,dangus,менель
67,Sonne::N,saulė,ши
68,Mond::N,mėnulis,ков
69,Stern::N,žvaigždė,тяште
70,Luft::N,oras,кожф
71,Wind::N,vėjas,варма
72,Welle::N,banga,тавла
73,Welle::N,vilnis,тавла
74,Wasser::N,vanduo,ведь
75,Stein::N,akmuo,кев
76,Boden::N,žemė,мода
77,Boden::N,žemė,потмакс
78,Boden::N,dugnas,мода
79,Boden::N,dugnas,потмакс
80,Erde::N,žemė,мода
81,Erde::N,žemė,мастор
82,Staub::N,dulkės,пуль
83,Rauch::N,dūmai,качам
84,Funke::N,kibirkštis,ця́тка
