,Concept_ID,bn,fi
0,Auge::N,চক্ষু,silmä
1,Ohr::N,কর্ণ,korva
2,Nase::N,নাক,nenä
3,Mund::N,মুখ,suu
4,Zahn::N,দাঁত,hammas
5,Zunge::N,জিহবা,kieli
6,Lippe::N,অধর,huuli
7,Wange::N,গণ্ড,poski
8,Gesicht::N,মুখমণ্ডল,naama
9,Gesicht::N,মুখমণ্ডল,kasvot
10,Stirn::N,কপাল,otsa
11,Haar::N,চুল,hius
12,Haar::N,চুল,tukka
13,Schnurrbart::N,গোঁফ,viikset
14,Bart::N,শ্মশ্রু,parta
15,Kinn::N,চিবুক,leuka
16,Kiefer[Anatomie]::N,চোয়াল,leukaluu
17,Kehle::N,কণ্ঠ,kurkku
18,Hals::N,গল,kaula
19,Genick::N,ঘাড়,niska
20,Kopf::N,মাথা,pää
21,Rücken::N,পৃষ্ঠ,selkä
22,Bauch::N,উদর,maha
23,Bauch::N,উদর,vatsa
24,Nabel::N,নাভি,napa
25,Busen::N,স্তন,rinta
26,Brust::N,বুক,rinta
27,Schulter::N,স্কন্ধ,olka
28,Schulter::N,স্কন্ধ,hartia
29,Schulter::N,স্কন্ধ,olkapää
30,Arm::N,বাহু,käsivarsi
31,Ellenbogen::N,কনুই,kyynärpää
32,Hand::N,হাত,käsi
33,Handfläche::N,করতল,kämmen
34,Finger::N,আঙ্গুল,sormi
35,Fingernagel::N,হাতের নখ,kynsi
36,Nagel[Anatomie]::N,নখ,kynsi
37,Zeh::N,আঙ্গুল,varvas
38,Fuß::N,পা,jalka
39,Ferse::N,গোড়ালি,kantapää
40,Knie::N,হাঁটু,polvi
41,Oberschenkel::N,ঊরু,reisi
42,Bein::N,পা,jalka
43,Körper::N,দেহ,keho
44,Körper::N,দেহ,ruumis
45,Haut::N,ত্বক,iho
46,Blut::N,রক্ত,veri
47,Ader::N,শিরা,suoni
48,Sehne::N,কণ্ডরা,jänne
49,Knochen::N,অস্থি,luu
50,Gehirn::N,মস্তিষ্ক,aivot
51,Herz::N,হৃৎপিণ্ড,sydän
52,Magen::N,পাকস্থলী,maha
53,Magen::N,পাকস্থলী,vatsa
54,Leber::N,যকৃৎ,maksa
55,Atem::N,শ্বাস,henki
56,Atem::N,শ্বাস,hengitys
57,Hunger::N,ক্ষুধা,nälkä
58,Träne::N,অশ্রু,kyynel
59,Geschmack::N,স্বাদ,maku
60,Geruch::N,গন্ধ,haju
61,Schlaf::N,ঘুম,uni
62,Traum::N,স্বপ্ন,uni
63,Himmel::N,আকাশ,taivas
64,Sonne::N,সূর্য,aurinko
