,Concept_ID,da,lv
0,Auge::N,øje,син
1,Auge::N,øje,acs
2,Ohr::N,øre,пель
3,Ohr::N,øre,auss
4,Nase::N,næse,ныр
5,Nase::N,næse,deguns
6,Mund::N,mund,вом
7,Mund::N,mund,mute
8,Zahn::N,tand,пинь
9,Zahn::N,tand,zobs
10,Zunge::N,tunge,кыв
11,Zunge::N,tunge,mēle
12,Lippe::N,læbe,вом дор
13,Lippe::N,læbe,lūpa
14,Wange::N,kind,бан
15,Wange::N,kind,vaigs
16,Gesicht::N,ansigt,чужӧм
17,Gesicht::N,ansigt,seja
18,Gesicht::N,ansigt,ģīmis
19,Stirn::N,pande,плеш
20,Stirn::N,pande,кымӧс
21,Stirn::N,pande,piere
22,Haar::N,hår,си
23,Haar::N,hår,юрси
24,Haar::N,hår,mats
25,Schnurrbart::N,overskæg,ус
26,Schnurrbart::N,overskæg,пыртсим
27,Schnurrbart::N,overskæg,ūsas
28,Bart::N,skæg,тош
29,Bart::N,skæg,bārda
30,Kinn::N,hage,тшӧка
31,Kinn::N,hage,zods
32,Kinn::N,hage,smakrs
33,Kiefer[Anatomie]::N,kæbe,черлы
34,Kiefer[Anatomie]::N,kæbe,алака лы
35,Kiefer[Anatomie]::N,kæbe,вомкӧтш лы
36,Kiefer[Anatomie]::N,kæbe,žoklis
37,Kehle::N,strube,голя
38,Kehle::N,strube,rīkle
39,Hals::N,hals,сьылі
40,Hals::N,hals,kakls
41,Genick::N,nakke,юрбӧр
42,Genick::N,nakke,балябӧж
43,Genick::N,nakke,sprands
44,Kopf::N,hoved,юр
45,Kopf::N,hoved,galva
46,Rücken::N,ryg,мыш
47,Rücken::N,ryg,mugura
48,Bauch::N,mave,рушку
49,Bauch::N,mave,vēders
50,Nabel::N,navle,гӧг
51,Nabel::N,navle,naba
52,Busen::N,barm,морӧс
53,Busen::N,barm,krūts
54,Brust::N,bryst,морӧс
55,Brust::N,bryst,krūts
56,Schulter::N,skulder,пельпом
57,Schulter::N,skulder,plecs
58,Arm::N,arm,ки
59,Arm::N,arm,roka
60,Arm::N,arm,delms
61,Ellenbogen::N,albue,гырддза
62,Ellenbogen::N,albue,elkonis
63,Hand::N,hånd,ки
64,Hand::N,hånd,roka
65,Hand::N,hånd,plauksta
66,Handfläche::N,håndflade,ки пыдӧс
67,Handfläche::N,håndflade,delna
68,Handfläche::N,håndflade,plauksta
69,Finger::N,finger,чунь
70,Finger::N,finger,pirksts
71,Fingernagel::N,fingernegl,гыж
72,Fingernagel::N,fingernegl,nags
73,Nagel[Anatomie]::N,negl,гыж
74,Nagel[Anatomie]::N,negl,nags
75,Zeh::N,tå,кок чунь
76,Zeh::N,tå,pirksts
77,Fuß::N,fod,кок
78,Fuß::N,fod,kāja
79,Ferse::N,hæl,кокбӧр
80,Ferse::N,hæl,papēdis
81,Knie::N,knæ,пидзӧс
82,Knie::N,knæ,celis
83,Oberschenkel::N,lår,лядьвей
84,Oberschenkel::N,lår,бек
85,Oberschenkel::N,lår,ciska
86,Oberschenkel::N,lår,augšstilbs
87,Bein::N,ben,кок
88,Bein::N,ben,kāja
89,Körper::N,krop,туша
90,Körper::N,krop,вывтыр
91,Körper::N,krop,miesa
92,Körper::N,krop,ķermenis
93,Körper::N,legeme,туша
94,Körper::N,legeme,вывтыр
95,Körper::N,legeme,miesa
96,Körper::N,legeme,ķermenis
97,Haut::N,hud,ку
98,Haut::N,hud,āda
99,Blut::N,blod,вир
100,Blut::N,blod,asins
101,Ader::N,åre,сӧн
102,Ader::N,åre,asinsvads
103,Sehne::N,sene,вез
104,Sehne::N,sene,dzīsla
105,Knochen::N,ben,лы
106,Knochen::N,ben,kauls
107,Gehirn::N,hjerne,вем
108,Gehirn::N,hjerne,smadzenes
109,Herz::N,hjerte,сьӧлӧм
110,Herz::N,hjerte,sirds
111,Magen::N,mave,кынӧм
112,Magen::N,mave,kuņģis
113,Leber::N,lever,мус
114,Leber::N,lever,aknas
115,Atem::N,ånde,лов
116,Atem::N,ånde,elpa
117,Hunger::N,sult,тшыг
118,Hunger::N,sult,bads
119,Hunger::N,sult,izsalkums
120,Träne::N,tåre,синва
121,Träne::N,tåre,asara
122,Geschmack::N,smag,кӧр
123,Geschmack::N,smag,чӧсмӧс
124,Geschmack::N,smag,garša
125,Geruch::N,lugt,зын
126,Geruch::N,lugt,дук
127,Geruch::N,lugt,smaka
128,Schlaf::N,søvn,узьӧм
129,Schlaf::N,søvn,miegs
130,Traum::N,drøm,вӧт
131,Traum::N,drøm,вӧтасьӧм
132,Traum::N,drøm,sapnis
133,Himmel::N,himmel,енэж
134,Himmel::N,himmel,debess
135,Sonne::N,sol,шонді
136,Sonne::N,sol,saule
137,Mond::N,måne,тӧлысь
138,Mond::N,måne,mēness
139,Stern::N,stjerne,кодзув
140,Stern::N,stjerne,zvaigzne
141,Luft::N,luft,сынӧд
142,Luft::N,luft,gaiss
143,Wind::N,vind,тӧв
144,Wind::N,vind,vējš
145,Welle::N,bølge,гы
146,Welle::N,bølge,vilnis
147,Wasser::N,vand,ва
148,Wasser::N,vand,ūdens
149,Stein::N,sten,из
150,Stein::N,sten,akmens
151,Boden::N,jord,му
152,Boden::N,jord,augsne
153,Erde::N,jord,му
154,Erde::N,jord,му-ва
155,Erde::N,jord,zeme
156,Staub::N,støv,бус
157,Staub::N,støv,putekļi
158,Rauch::N,røg,тшын
159,Rauch::N,røg,dūmi
160,Funke::N,gnist,кинь
161,Funke::N,gnist,би кинь
162,Funke::N,gnist,dzirkstele
163,Feuer::N,ild,би
164,Feuer::N,ild,uguns
165,Licht::N,lys,югӧр
166,Licht::N,lys,gaisma
167,Schatten::N,skygge,вуджӧр
168,Schatten::N,skygge,ēna
169,Wetter::N,vejr,поводдя
170,Wetter::N,vejr,laiks
171,Nebel::N,tåge,ру
172,Nebel::N,tåge,онь
173,Nebel::N,tåge,migla
174,Wolke::N,sky,кымӧр
175,Wolke::N,sky,mākonis
176,Regen::N,regn,зэр
177,Regen::N,regn,lietus
178,Schnee::N,sne,лым
179,Schnee::N,sne,sniegs
180,Eis::N,is,йи
181,Eis::N,is,ledus
182,Frost::N,frost,кӧдзыд
183,Frost::N,frost,sals
184,Kälte::N,kulde,кӧдзыд
185,Kälte::N,kulde,saltums
186,Kälte::N,kulde,aukstums
187,Hitze::N,hede,пӧсь
188,Hitze::N,hede,гожӧд
189,Hitze::N,hede,karstums
