,Concept_ID,be,lez
0,Auge::N,вока,вил
1,Ohr::N,вуха,яб
2,Nase::N,нос,нер
3,Mund::N,рот,сив
4,Zahn::N,зуб,сас
5,Zahn::N,зуб,свах
6,Zunge::N,язык,мез
7,Lippe::N,губа,пӏуз
8,Wange::N,шчака,хъвехъ
9,Gesicht::N,твар,ччин
10,Stirn::N,лоб,пел
11,Haar::N,волас,чӏар
12,Haar::N,валасы,чӏар
13,Schnurrbart::N,вус,спел
14,Schnurrbart::N,вус,спелар
15,Schnurrbart::N,вусы,спел
16,Schnurrbart::N,вусы,спелар
17,Bart::N,барада,ччуру
18,Kinn::N,падбародак,чене
19,Kiefer[Anatomie]::N,сківіца,чене
20,Kehle::N,горла,туьд
21,Hals::N,шыя,гардан
22,Genick::N,патыліца,кьам
23,Kopf::N,галава,кьил
24,Rücken::N,спіна,далу
25,Bauch::N,жывот,руфун
26,Nabel::N,пупок,пицӏ
27,Busen::N,грудзі,мам
28,Brust::N,грудзі,хур
29,Schulter::N,плячо,къуьн
30,Arm::N,рука,гъил
31,Ellenbogen::N,локаць,кьуьнт
32,Hand::N,кісць,капаш
33,Handfläche::N,далонь,капан юкь
34,Finger::N,палец,тӏуб
35,Fingernagel::N,ногаць,кек
36,Nagel[Anatomie]::N,ногаць,кек
37,Zeh::N,палец,кул
38,Fuß::N,нага,кӏвач
39,Ferse::N,пята,дабан
40,Ferse::N,пятка,дабан
41,Knie::N,калена,мет
42,Oberschenkel::N,бядро,
43,Oberschenkel::N,сцягно,
44,Bein::N,нага,кӏвач
45,Körper::N,цела,беден
46,Haut::N,скура,хам
47,Blut::N,кроў,иви
48,Ader::N,вена,дамар
49,Ader::N,сасуд,дамар
50,Sehne::N,жыла,кьуру дамар
51,Sehne::N,цеціва,кьуру дамар
52,Sehne::N,сухажылле,кьуру дамар
53,Knochen::N,косць,кӏараб
54,Gehirn::N,мозг,мефт
55,Herz::N,сэрца,рикӏ
56,Magen::N,страўнік,хук
57,Leber::N,печань,лекь
58,Atem::N,дыханне,ял
59,Atem::N,дыханне,нефес
60,Hunger::N,голад,каш
61,Träne::N,сляза,вилин нагъв
62,Geschmack::N,смак,дад
63,Geschmack::N,смак,тӏям
64,Geruch::N,пах,ни
65,Schlaf::N,сон,ахвар
66,Traum::N,сон,ахвар
67,Himmel::N,неба,цав
68,Sonne::N,сонца,рагъ
69,Mond::N,месяц,варз
70,Stern::N,зорка,гъед
71,Luft::N,паветра,гьава
72,Wind::N,вецер,гар
73,Welle::N,хваля,лепе
74,Wasser::N,вада,яд
75,Stein::N,камень,къван
76,Boden::N,глеба,накьв
77,Erde::N,зямля,ччил
78,Staub::N,пыл,руг
79,Rauch::N,дым,гум
80,Funke::N,іскра,цӏелхем
81,Feuer::N,агонь,цӏай
82,Licht::N,святло,экв
83,Schatten::N,цень,серин
84,Wetter::N,пагода,гьава
85,Wetter::N,надворʼе,гьава
86,Nebel::N,туман,ччилин циф
87,Wolke::N,воблака,циф
88,Regen::N,дождж,марф
89,Schnee::N,снег,жив
90,Eis::N,лёд,мурк
91,Frost::N,мароз,аяз
92,Kälte::N,холад,мекь
93,Kälte::N,холад,мекьивал
94,Hitze::N,спёка,зегьем
95,Raureif::N,іней,къирав
96,Regenbogen::N,вясёлка,яргъируш
97,Donner::N,гром,цавун ван
98,Strömung::N,цячэнне,
99,Tropfen::N,кропля,стӏал
100,Schaum::N,пена,каф
101,Schmutz::N,гразь,чирк
102,Schmutz::N,гразь,кьуруш
103,See::N,возера,вир
104,Sumpf::N,багна,уьлен
105,Moor::N,балота,
106,Wiese::N,луг,векь
107,Wald::N,лес,там
108,Hügel::N,узгорак,кӏунтӏ
109,Anhöhe::N,узвышша,тепе
110,Anhöhe::N,узвышша,гьуьндуьрвал
111,Berg::N,гара,дагъ
112,Gipfel::N,вяршыня,кӏукӏ
113,Höhle::N,пячора,кьветӏ
114,Abhang::N,схіл,гуьне
115,Quelle::N,крыніца,чешме
116,Bach::N,ручай,булах
117,Fluss::N,рака,вацӏ
118,Ufer::N,бераг,къерех
119,Küste::N,узбярэжжа,къерех
120,Festland::N,суша,кьурамат
121,Meer::N,мора,гьуьл
122,Bucht::N,бухта,бухта
123,Insel::N,востраў,остров
124,Blume::N,кветка,цуьк
125,Gras::N,трава,хъач
126,Wurzel::N,корань,дувул
127,Baum::N,дрэва,ттар
128,Stamm::N,ствол,тан
129,Rinde::N,кара,чкал
130,Ast::N,сук,тӏур
131,Zweig::N,галіна,хел
132,Blatt::N,ліст,пеш
133,Birke::N,бяроза,верх
134,Kiefer[Baum]::N,хвоя,шамагъаж
135,Kiefer[Baum]::N,сасна,шамагъаж
136,Weide[Baum]::N,вярба,цӏвелин ттар
137,Tanne::N,яліна,ель
138,Horn::N,рог,карч
139,Feder::N,пяро,цӏакул
140,Fell::N,шкура,хам
141,Flügel::N,крыло,лув
142,Klaue::N,кіпцюр,къармах
143,Kralle::N,лапа,пац
144,Kralle::N,лапа,тапас
145,Schwanz::N,хвост,ттум
146,Ei::N,яйка,кака
147,Nest::N,гняздо,муг
148,Bau::N,нара,тӏеквен
149,Tier::N,жывёла,гьайван
150,Herde::N,статак,суьруь
151,Kuh::N,карова,ккал
152,Bulle::N,бык,яц
153,Bulle::N,бык,бугъа
154,Pferd::N,конь,балкӏан
155,Schaf::N,авечка,хеб
156,Schwein::N,свіння,вак
157,Hund::N,сабака,кицӏ
158,Katze::N,кошка,кац
159,Bär::N,мядзведзь,сев
160,Eichhörnchen::N,вавёрка,белка
161,Elch::N,лось,лось
162,Fuchs::N,ліса,сикӏ
163,Hase::N,заяц,къуьр
164,Maus::N,мыш,кьиф
165,Wolf::N,воўк,жанавур
166,Vogel::N,птах,луван ничхир
167,Vogel::N,птушка,луван ничхир
168,Schwarm::N,чарада,луж
169,Huhn::N,курыца,верч
170,Hahn::N,певень,кӏек
171,Gans::N,гусь,къаз
172,Adler::N,арол,лекь
173,Ente::N,качка,пӏатӏ
174,Eule::N,сава,тӏиб
175,Kranich::N,жораў,дурна
176,Kranich::N,журавель,дурна
177,Krähe::N,варона,къаргъа
178,Kuckuck::N,зязюля,кукупӏ
179,Schwan::N,лебедзь,къугь
180,Fisch::N,рыба,гъед
181,Barsch::N,акунь,окунь
182,Hecht::N,шчупак,щука
183,Schlange[Tier]::N,змяя,илан
184,Schlange[Tier]::N,змяя,гъуьлягъ
185,Wurm::N,чарвяк,квак
186,Spinne::N,павук,хуьшрекан
187,Ameise::N,мурашка,цегв
188,Laus::N,вош,нет
189,Mücke::N,камар,ветӏ
190,Fliege::N,муха,тӏветӏ
191,Schmetterling::N,матыль,чепелукь
192,Beere::N,ягада,куьлуь емиш
193,Apfel::N,яблык,ич
194,Pilz::N,грыб,къарникъуз
195,Zwiebel::N,цыбуля,чичӏек
196,Saat::N,семя,тумар
197,Korn::N,зерне,твар
198,Heu::N,сена,векь
199,Heu::N,сена,векьер
200,Schale::N,шалупінне,пириш
201,Schale::N,шалупінне,хъуьруьш
202,Grube::N,яма,фур
203,Falle::N,пастка,ракьар
204,Schlinge::N,сіло,гьалкъа
205,Spur::N,след,гел
206,Asche::N,попел,руьхъ
207,Dreck::N,бруд,чирк
208,Dreck::N,бруд,кьуруш
209,Eisen::N,жалеза,ракь
