,Concept_ID,ady,uz
0,Auge::N,нэ,ko'z
1,Ohr::N,тхьакӏу́м,quloq
2,Nase::N,пэ,burun
3,Mund::N,жэ,og'iz
4,Zahn::N,цэ,tish
5,Zunge::N,бзэгу,til
6,Lippe::N,ӏупшӏэ́,dudoq
7,Wange::N,нэкӏу́шъу,bet
8,Gesicht::N,нэ́гу,yuz
9,Stirn::N,натӏэ́,manglay
10,Haar::N,шъхьацы́,soch
11,Bart::N,жакӏэ́,soqol
12,Kinn::N,жэкӏэпэпкъ,ängak
13,Kiefer[Anatomie]::N,жэпкъы́,iyak
14,Kehle::N,чый,bo'g'iz
15,Hals::N,пшъэ,bo'yin
16,Genick::N,шъхьэпхэтыку,gardan
17,Kopf::N,шъхьэ́,bosh
18,Rücken::N,кӏыбы́,orqa
19,Bauch::N,ныбэ́,qorin
20,Busen::N,бгъэ́,ämchak
21,Brust::N,бгъэ́,ko'krak
22,Schulter::N,блыпкъ,elka
23,Arm::N,ӏэ,bilak
24,Ellenbogen::N,ӏэнтэ́гъу,tirsak
25,Hand::N,ӏэтхьэцу,qo'l
26,Handfläche::N,ӏэ́гу,kaft
27,Finger::N,ӏэхъуа́мб,barmoq
28,Fingernagel::N,ӏэбжъа́н,tirnoq
29,Nagel[Anatomie]::N,ӏэбжъа́н,tirnoq
30,Zeh::N,ӏэхъуа́мб,oyoq barmog'i
31,Fuß::N,лъэгу,oyoq
32,Ferse::N,лъэдакъэ,tovon
33,Knie::N,лъагуа́ндж,tiz
34,Oberschenkel::N,ко,son
35,Bein::N,лъакъо́,oyoq
36,Körper::N,пкъышъол,badna
37,Haut::N,кӏы́шъу,teri
38,Blut::N,лъы,qon
39,Ader::N,льытф,qon tomir
40,Sehne::N,фэ,tomir
41,Knochen::N,къупшъхьэ́,suyak
42,Gehirn::N,куцӏы,miya
43,Herz::N,гу,qalb
44,Magen::N,мышкӏу,oshqozon
45,Leber::N,шӏу,bag'ir
46,Atem::N,къэщэныр,dam
47,Hunger::N,гъаблэ́,ochlik
48,Träne::N,нэпсы,yosh
49,Geschmack::N,ӏэшӏугъа́кӏ,tam
50,Geruch::N,мэ,jid
51,Schlaf::N,пчыхьы́пӏ,uyqu
52,Traum::N,пчыхьы́пӏ,tush
53,Himmel::N,уашъо́,osmon
54,Sonne::N,тыгъэ,quyosh
55,Mond::N,мазэ,oy
56,Stern::N,жъуагъо́,yulduz
57,Luft::N,жьы,havo
58,Wind::N,жьыбгъэ́,el
59,Welle::N,ор,to'lqin
60,Welle::N,оры,to'lqin
61,Wasser::N,псы,suv
62,Stein::N,мыжъо́,tosh
63,Boden::N,чӏ́ыгу,tuproq
64,Erde::N,чӏ́ыгу,er
65,Staub::N,сап,chang
66,Rauch::N,ӏугъо́,tutun
67,Funke::N,мэшӏуа́ч,yalt
68,Feuer::N,машӏо́,o't
69,Licht::N,нэфы,yorug'
70,Licht::N,нэфын,yorug'
71,Schatten::N,жьау́,soya
72,Schatten::N,ныбжьыкъу,soya
73,Nebel::N,пща́гъу,tuman
74,Wolke::N,ошъуапщэ,bulut
75,Regen::N,ощхы,yomg'ir
76,Schnee::N,осы́,qor
77,Eis::N,мылы,muz
78,Kälte::N,чъыӏэ́,ajoz
79,Hitze::N,фэба́е,issiq
80,Regenbogen::N, лэгъупэкъо́пс,kamalak
81,Donner::N,шыблэ́,guldur
82,Strömung::N,ток,oqim
83,Tropfen::N,ткӏопс,tomchi
84,Tropfen::N,гъуаткӏу,tomchi
85,Schaum::N,тхъурбэ,ko'pik
86,Schmutz::N,псынжъы,gard
87,See::N,хыку́м,ko'l
88,See::N,псыхъура́й,ko'l
89,Sumpf::N,орыжъ,botqoq
90,Moor::N,орыжъ,qir-adir
91,Wiese::N,хъупӏэ́,o'tzor
92,Wiese::N,мэкъупӏ,o'tzor
93,Wald::N,мэзы́,o'rmon
94,Hügel::N,ӏуашъхь,tepa
95,Anhöhe::N,чӏыӏэтыгъ,adir
96,Berg::N,къушъхьэ́,tog'
97,Gipfel::N,шыгу,cho'qqi
98,Höhle::N,гъочӏэгъ,kavak
99,Abhang::N,чапэ,to'sh
100,Quelle::N,псынэчэ́чъ,buloq
101,Bach::N,псышкуашку,o'zan
102,Fluss::N,псыхъо́,daryo
103,Ufer::N,нэпкъы,sohil
104,Küste::N,ӏушъо,qirg'oq
105,Festland::N,чӏл́ыгу,materik
106,Meer::N,хы,dengiz
107,Bucht::N,хыблыгу,qo'ltiq
108,Insel::N,хыгъэхъу́н,orol
109,Blume::N,къэгъа́гь,gul
110,Gras::N,уцы́,sabza
111,Wurzel::N,лъапсэ́,tub
112,Wurzel::N,лъапсэ́,tomir
113,Baum::N,чъыгы́,daraxt
114,Stamm::N,пкъы,o'simta
115,Rinde::N,пхъашъо́,qobiq
116,Ast::N,куамэ,shox
117,Zweig::N,къутамэ́,butoq
118,Blatt::N,тхьап,barg
119,Birke::N,пчэн,qayin
120,Kiefer[Baum]::N,сэснэй,qarag'ay
121,Weide[Baum]::N,пце́л,shum
122,Tanne::N,ель,archa
123,Horn::N,бжъэ,mugiz
124,Feder::N,къамӏы́й,par
125,Fell::N,шъо,mo'yna
126,Flügel::N,тамэ́,qanot
127,Klaue::N,лъэбжъа́н,tirnoq
128,Kralle::N,лъакъо,tirnoq
129,Schwanz::N,кӏэ,quyruq
130,Ei::N,кӏэнкӏэ́,tuxum
131,Nest::N,набгъо́,oshyon
132,Bau::N,гъу,o'pqon
133,Bau::N,бы,o'pqon
134,Tier::N,псэу́шъхь,hayvon
135,Herde::N,ӏэхъогъу,gala
136,Kuh::N,чэмы́,inak
137,Bulle::N,цу,ho'kiz
138,Pferd::N,шы,ot
139,Schaf::N,мэлы́,qo'y
140,Schwein::N,къо,cho'chqa
141,Hund::N,бьэ,it
142,Katze::N,чэты́у,mushuk
143,Bär::N,мышъэ́,ayiq
144,Eichhörnchen::N,цызэ́,tiyin
145,Elch::N,лось,los
146,Fuchs::N,баджэ́,tulki
147,Hase::N,тхьакӏумкӏы́хь,kuyon
148,Maus::N,цыгъо́,sichqon
149,Wolf::N,тыгъу́жъ,bo'ri
150,Vogel::N,бзы́у,qush
151,Schwarm::N,отэр,to'da
152,Huhn::N,чэты́,tovuq
153,Hahn::N,атакъэ́,xo'roz
154,Gans::N,къа́з,g'oz
155,Ente::N,псычэ́т,o'rdak
156,Eule::N,тыгъурыгъу,boyo'g'li
157,Kranich::N,къэрэ́у,turna
158,Krähe::N,къолэ́жъ,qarg'a
159,Kuckuck::N,куку́у,kakku
160,Fisch::N,пцэжъы́й,baliq
161,Barsch::N,тхыкъэц,olabug'a
162,Hecht::N,лэнд,cho'rtan
163,Schlange[Tier]::N,блэ́,ilon
164,Wurm::N,хьамлыу,qurt
165,Spinne::N,бэдж,o'rgimchak
166,Ameise::N,къамзэ́гу,chumoli
167,Laus::N,цӏэ,bit
168,Mücke::N,аргъо́й,chivin
169,Fliege::N,бадзэ́,pashsha
170,Schmetterling::N,хьампӏыра́шъу,kapalak
171,Beere::N,маткӏо,meva
172,Apfel::N,мыӏэры́с,olma
173,Pilz::N,хьаӏу,qo'ziqorin
174,Zwiebel::N,бжьыны́,piyoz
175,Saat::N,чылапхъ,äkin
176,Korn::N,цэ,zarra
177,Heu::N,мэкъу,xashak
178,Schale::N,кӏы́шъу,po'choq
179,Grube::N,машэ́,co'ra
180,Falle::N,зэраубытырэ́ ӏэмэпсы́м,qopqon
181,Schlinge::N,бзыуубыт,sirtmoq
182,Spur::N,ужы,iz
183,Spur::N,лъэуж,iz
184,Asche::N,яжьэ́,kul
185,Dreck::N,псынжъы,kir
186,Eisen::N,гыучӏы́,temir
187,Eisen::N,къэнджа́л,temir
188,Gold::N,дышъэ́,tilla
189,Silber::N,тыжьы́н,kumush
190,Kohle::N,шӏомыкӏ,ko'mir
191,Glas::N,апч,oyna
192,Lehm::N,етӏагъо́,loy
193,Sand::N,пшахъо,qum
194,Mensch::N,цӏыфы́,odam
195,Mann::N,хъулъфы́гъ,ärkak
196,Frau::N,бӏылъфыгъэ́,ayol
197,Kind::N,кӏэлэцӏы́кӏу,bola
198,Kind::N,кӏэлэцӏы́кӏу,kichkintoy
199,Junge::N,кӏэлэцӏы́кӏу,bola
200,Mädchen::N,пшъэшъэжъый,qiz
201,Familie::N,быны́,oila
202,Familie::N,уна́гъу,oila
203,Großvater::N,тэтэ́жъ,buva
204,Großvater::N,тэтэ́жъ,katta ota
205,Großmutter::N,нэнэ́жъ,buvi
206,Großmutter::N,нэнэ́жъ,katta oyi
207,Eltern::N,ны-тыхэ́р,ota-ona
208,Vater::N,ты,ota
209,Mutter::N,ны,ona
210,Sohn::N,къо,o'g'il
211,Tochter::N,пхъу,qiz
212,Bruder::N,шы,og'a
213,Bruder::N,шы,uka
214,Schwester::N,шы́пхъу,opa
215,Schwester::N,шы́пхъу,singil
216,Onkel::N,янэ́ш,amaki
217,Tante::N,атэшыпхъу,amma
218,Tante::N,атэшыпхъу,xola
219,Ehemann::N,лӏы,är
220,Ehefrau::N,шъу́з,rafiqa
221,Freude::N,гушӏуа́гъу,ayish
222,Gelächter::N,щхыныр,kulgi
223,Glück::N,насы́п,saodat
224,Kummer::N,тхьамыкӏагъу,g'am
225,Wunsch::N,шӏонгъоны́гъ,orzu
226,Lust::N,шӏонгъоны́гъ,rag'bat
227,Geist::N,гу,ruh
228,Gedanke::N,гупшыс,fikr
229,Gedächtnis::N,память,äs
230,Verstand::N,акъы́л,aql
231,Sinn::N,мэхьанэ,ma'ni
232,Grund::N,ушъхьагъу,sabab
233,Wahrheit::N,шъыпкъэ́,haq
234,Gespräch::N,гущыӏ,gap
235,Märchen::N,пшысэ,ärtak
236,Erzählung::N,къэба́р,rivoyat
237,Nachricht::N,къэба́р,xabar
238,Neuigkeit::N,къэбарыкӏ,yangilik
239,Name::N,цӏэ,ot
240,Rätsel::N,коджэхь-къоджэшх,topishmoq
241,Rede::N,гущыӏ,nutq
242,Sprache::N,бзэ,til
243,Stimme::N,макъэ́,ovoz
244,Wort::N,гущыӏ,so'z
245,Zeichen::N,тамы́гъ,alomat
246,Ruf::N,джэ макъ,chaqiriq
247,Lärm::N,макъэ,taraq
248,Laut::N,макъэ,tovush
249,Lied::N,орэ́д,ashula
250,Ruhe::N,самбырыныгъ,tinchlik
251,Leute::N,цӏыфхэ́р,xaloyiq
252,Volk::N,цӏыф лъэпкъ,xalq
253,Arbeit::N,ӏофшӏакӏэ́н,ish
254,Gast::N,хьакӏэ́,mehmon
255,Geschenk::N,шӏухьафтын,hadya
256,Spiel::N,еоны́р,o'yin
257,Spiel::N,джэгуны́р,o'yin
258,Spiel::N,къегъэӏоны́р,o'yin
259,Gesellschaft::N,обществ,jamiyat
260,Hilfe::N,ӏэпыӏэгъу,yordam
261,Freund::N,ныбджэгъу,do'st
262,Kamerad::N,ныбджэгъу,yo'ldosh
263,Angelegenheit::N,ӏофы́,daxl
264,Anzahl::N,пчъагъэ́,son
265,Art::N,изэрэщы́т,tur
266,Art::N,лъэпкъ,tur
267,Stück::N,такъы́р,parcha
268,Teil::N,щыщ,bo'lak
269,Teil::N,ӏахь,bo'lak
270,Hälfte::N,ныкъо́,yarim
271,Kreis::N,хъура́й,aylana
272,Kreuz::N,къащ,xoch
273,Linie::N,хъахъ,liniya
274,Linie::N,итхъа́гъ,liniya
275,Strich::N,хъахъ,chiziq
276,Strich::N,итхъагъ,chiziq
277,Abstand::N,азыфагу,oralik
278,Entfernung::N,чӏыгууанэ,uzoqlik
