,Concept_ID,ab,vep
0,Auge::N,ала,sil'm
1,Ohr::N,алымҳа,korv
2,Nase::N,аҧынҵа,nena
3,Mund::N,аҧышə,su
4,Zahn::N,ахаҧыц,pi
5,Zahn::N,ахаҧыц,hambaz
6,Zunge::N,абз,kel'
7,Lippe::N,ақьышə,hul'
8,Wange::N,аӡамҩа,modpolišk
9,Gesicht::N,аҿы,mod
10,Stirn::N,алахь,oc
11,Haar::N,ахəыц,tuk
12,Haar::N,ахəыц,hibuz
13,Schnurrbart::N,аҧаҵа,habinod
14,Bart::N,ажакьа,bard
15,Kinn::N,ацламкəыгə,löug
16,Kiefer[Anatomie]::N,ацламҳəа,hambazlu
17,Kehle::N,ахəда,kurk
18,Hals::N,ахəда,kagl
19,Genick::N,ахəдаџьал,tagarai
20,Kopf::N,ахы,pä
21,Rücken::N,азқəа,sel'g
22,Bauch::N,амгəа,vac
23,Bauch::N,амгəа,koht
24,Nabel::N,аҷапан,naba
25,Busen::N,агəыҧҳəы,niža
26,Brust::N,агəышҧы,rind
27,Schulter::N,ажəҩахыр,oug
28,Arm::N,амахəар,käzi
29,Ellenbogen::N,амашьхəылҵ,künambruz
30,Hand::N,анапы,käzi
31,Hand::N,анапы,käzitera
32,Handfläche::N,анапсаргəыҵа,kämen
33,Finger::N,анацəа,sor'm
34,Fingernagel::N,анапхыц,künz'
35,Nagel[Anatomie]::N,ашьапхыц,künz'
36,Zeh::N,ашьацəа,barbaz
37,Fuß::N,ашьапсыргəыҵа,jaug
38,Ferse::N,ашьхəа,kand
39,Knie::N,ашьамхы,komb
40,Knie::N,ашьамхы,pol'v
41,Oberschenkel::N,ауаҭəа,riiže
42,Bein::N,ашьапы,jaug
43,Körper::N,ацəеижь,hibj
44,Haut::N,ацəа,nahk
45,Blut::N,ашьа,čak
46,Blut::N,ашьа,veri
47,Ader::N,ада,son'
48,Sehne::N,адаш,jände
49,Knochen::N,абаҩ,lu
50,Gehirn::N,ахшлыбаҩ,aivod
51,Gehirn::N,ахшыбаҩ,aivod
52,Herz::N,агəы,südäin
53,Magen::N,аца,südäikoht
54,Magen::N,ацар,südäikoht
55,Leber::N,агəаҵəа,maks
56,Atem::N,аҧсыҧлагаҩгара,hengaiduz
57,Hunger::N,амла,näl'g
58,Träne::N,алабжыш,kündal'
59,Geschmack::N,агьама,magu
60,Geruch::N,афҩы,haju
61,Schlaf::N,ацəа,uni
62,Traum::N,аҧхыӡ,unikuva
63,Himmel::N,ажəҩан,taivaz
64,Sonne::N,амра,päiväine
65,Mond::N,амза,kudmaine
66,Stern::N,аеҵəа,tähtaz
67,Luft::N,аҳаир,il'm
68,Wind::N,аҧша,döl
69,Wind::N,аҧша,tullei
70,Welle::N,ацəқəырҧа,ald
71,Welle::N,ацəқəырҧа,laineh
72,Wasser::N,аӡы,vezi
73,Stein::N,ахаҳə,kivi
74,Boden::N,адгьыл,ma
75,Boden::N,адгьыл,pohj
76,Erde::N,адгьыл,ma
77,Staub::N,асаба,pölü
78,Rauch::N,алҩа,savu
79,Funke::N,акəиц,kibin
80,Funke::N,ацҧхь,kibin
81,Feuer::N,амца,lämoi
82,Licht::N,алашара,vauktuz
83,Schatten::N,ашəшьыра,pil'vez
84,Schatten::N,ашəшьыра,kuvahaine
85,Wetter::N,амш,sä
86,Nebel::N,анаҟəа,sumeg
87,Wolke::N,аҧсҭҳəа,pil'v
88,Regen::N,ақəа,vihm
89,Schnee::N,асы,lumi
90,Eis::N,аҵаа,jä
91,Frost::N,аҵаа,hala
92,Frost::N,аҵаа,pakaine
93,Kälte::N,ахьҭа,vilu
94,Hitze::N,ашоура,räk
95,Raureif::N,аҵааҧшқа,hüde
96,Regenbogen::N,ацəаҟəа,jumalanbembel'
97,Donner::N,адыд,juru
98,Donner::N,адыд,jumalanjuru
99,Strömung::N,аиасра,joksmuz
100,Strömung::N,амҩасра,joksmuz
101,Tropfen::N,ацəыкəбар,tilkuine
102,Schaum::N,ашəах,vaht
103,Schmutz::N,алымт,redu
104,Schmutz::N,алымт,pačak
105,See::N,аӡиа,järv
106,Sumpf::N,аӡмах,so
107,Wiese::N,адəы,nit
108,Wald::N,абна,mec
109,Hügel::N,ахəы,kukaz
110,Anhöhe::N,аҳаракыра,kukaz
111,Berg::N,ашьха,mägi
112,Gipfel::N,ацəқəа,ladv
113,Höhle::N,аҳаҧы,mägionduz
114,Abhang::N,анаара,paute
115,Quelle::N,аҵҵырҭа,lähte
116,Bach::N,акəараҷҷа,oja
117,Fluss::N,аӡиас,jogi
118,Ufer::N,ахықə,rand
119,Küste::N,ахықə,randišt
120,Festland::N,абарра,kuivma
121,Meer::N,амшын,meri
122,Bucht::N,аӡбжьахала,laht
123,Insel::N,адгьылбжьаха,sar'
124,Blume::N,ашəҭ,änik
125,Gras::N,аҳасакьын,hein
126,Wurzel::N,адац,jur'
127,Baum::N,аҵла,pu
128,Stamm::N,ашьапы,tüvi
129,Rinde::N,ацəа,kor'
130,Ast::N,амахə,oks
131,Ast::N,амахəҭа,oks
132,Zweig::N,амахə,oks
133,Zweig::N,амахə,barb
134,Zweig::N,амахəҭа,oks
135,Zweig::N,амахəҭа,barb
136,Blatt::N,абҕьы,lehtez
137,Birke::N,аҵааҵла,koiv
138,Kiefer[Baum]::N,амза,pedai
139,Weide[Baum]::N,аҧслыш,raid
140,Tanne::N,аҧсаӡ,kuz'
141,Horn::N,атəыҩа,sar'v
142,Feder::N,ахӡы,höuneh
143,Fell::N,ацəа,nahk
144,Flügel::N,амҵəыжəа,suug
145,Klaue::N,ашьапхыц,künz'
146,Schwanz::N,аҵыхəа,händ
147,Ei::N,акəтаӷь,muna
148,Nest::N,аҭра,peza
149,Nest::N,аҵысҭра,peza
150,Bau::N,аҭыҩра,uru
151,Tier::N,аҧстəы,živat
152,Tier::N,агыгшəыг,živat
153,Herde::N,агəарҭа,kogo
154,Kuh::N,ажə,lehm
155,Bulle::N,ацə,härg
156,Pferd::N,аҽы,hebo
157,Schaf::N,ауаса,lambaz
158,Schwein::N,аҳəа,siga
159,Hund::N,ала,koir
160,Katze::N,ацгəы,kaži
161,Bär::N,амшə,kondi
162,Eichhörnchen::N,аеш,orav
163,Elch::N,аҽаҩа,hirb'
164,Fuchs::N,абгахəыҷы,reboi
165,Hase::N,ажьа,jäniš
166,Maus::N,аҳəынаҧ,hir'
167,Wolf::N,абгаду,händikaz
168,Vogel::N,аҧсаатə,lind
169,Huhn::N,акəты,kana
170,Hahn::N,арбаҕь,kukoi
171,Gans::N,аҟыз,hanh'
172,Adler::N,ауарба,orl
173,Ente::N,акəата,sorz
174,Eule::N,аты,hir'pulo
175,Kranich::N,апҟа,kurg
176,Krähe::N,аҟəараан,variš
177,Kuckuck::N,акəыкəу,kägi
178,Schwan::N,агьад,joucen
179,Fisch::N,аҧсыӡ,kala
180,Barsch::N,ацəыбла,ahven
181,Hecht::N,ахиаала,haug'
182,Schlange[Tier]::N,амаҭ,kü
183,Schlange[Tier]::N,амаҭ,mado
184,Wurm::N,ахəа,mado
185,Wurm::N,ахəац,mado
186,Spinne::N,абызкаҭаҳа,hämähouk
187,Ameise::N,ашышкамс,murahaine
188,Laus::N,аҵа,täi
189,Mücke::N,акəыбры,säs'k
190,Fliege::N,амҵ,kärbhaine
191,Schmetterling::N,аҧарҧалыкь,lipkaine
192,Beere::N,аргуц,marj
193,Apfel::N,аҵəа,jablok
194,Pilz::N,акəкəбаа,sen'
195,Pilz::N,акəкəбаа,babuk
196,Zwiebel::N,аџьымшьы,lauk
197,Zwiebel::N,аџьымшьхы,lauk
198,Saat::N,ажəла,semned
199,Korn::N,арыц,jüvä
200,Korn::N,арыц,vill'
201,Heu::N,аҭəа,hein
202,Schale::N,ацəа,kor'
203,Grube::N,ажра,kop
204,Grube::N,атыша,kop
205,Falle::N,арыҧҟьа,rida
206,Schlinge::N,аҟəараҟəантə,rihm
207,Spur::N,ашьҭа,jäl'g
208,Asche::N,ахəа,tuhk
209,Dreck::N,аҳəынҵəа,redu
210,Dreck::N,аҳəынҵəа,pačak
211,Dreck::N,аҟьамсар,redu
212,Dreck::N,аҟьамсар,pačak
213,Eisen::N,аиха,raud
214,Gold::N,ахьы,kuld
215,Silber::N,аразны,hobed
216,Kohle::N,арацəа,hil'
217,Glas::N,асаркьа,stökol
218,Lehm::N,анышəаҧшь,savi
219,Sand::N,аҧслымӡ,lete
220,Mensch::N,ауаҩы,mez'
221,Mensch::N,ауаҩы,ristit
222,Mann::N,ахаҵа,mez'
223,Frau::N,аҧҳəыс,naine
224,Kind::N,ахəыҷы,laps'
225,Junge::N,аҷкəын,poig
226,Junge::N,аҷкəын,prihaine
227,Junge::N,ахаҵарҧыс,poig
