,Concept_ID,lbe,zh
0,Auge::N,я,眼睛
1,Ohr::N,вичӏи,耳朵
2,Nase::N,май,鼻子
3,Mund::N,кьацӏ,嘴
4,Zahn::N,ккарччи,牙齿
5,Zunge::N,маз,舌头
6,Lippe::N,мурччи,嘴唇
7,Wange::N,чӏав,面颊
8,Gesicht::N,лажин,脸
9,Stirn::N,ненттабакӏ,额
10,Haar::N,чӏара,头发
11,Schnurrbart::N,ссирссилтту,髭须
12,Bart::N,чӏири,胡子
13,Kinn::N,лунттубакӏ,下巴
14,Kiefer[Anatomie]::N,ххинчулул,颌
15,Kehle::N,кьакьари,嗓子
16,Hals::N,ссурссу,颈
17,Genick::N,махъабакӏ,后颈
18,Kopf::N,бакӏ,头
19,Rücken::N,ттиликӏ,背
20,Bauch::N,лякьа,肚子
21,Nabel::N,цӏумуккутӏ,肚脐
22,Busen::N,ккукку,胸脯
23,Brust::N,хъазам,胸
24,Schulter::N,хъачӏ,肩膀
25,Arm::N,ка,臂膀
26,Ellenbogen::N,ссюрхъ,肘
27,Hand::N,бартка,手
28,Handfläche::N,хъат,手掌
29,Handfläche::N,битӏянхъ,手掌
30,Finger::N,кӏисса,手指
31,Fingernagel::N,михь,指甲
32,Nagel[Anatomie]::N,михь,指甲
33,Zeh::N,кӏисса,脚趾
34,Fuß::N,чӏанччан,脚
35,Ferse::N,никъа,后跟
36,Knie::N,ник,膝
37,Oberschenkel::N,жира,大腿
38,Bein::N,ччан,腿
39,Körper::N,чурх,身体
40,Haut::N,бурчу,皮肤
41,Blut::N,оь,血
42,Ader::N,тунну,血管
43,Sehne::N,хьхьа,腱
44,Knochen::N,ттаркӏ,骨
45,Gehirn::N,ня,脑
46,Herz::N,дакӏ,心
47,Herz::N,къюкӏ,心
48,Magen::N,лякьа,胃
49,Atem::N,ссихӏ ласаву,呼吸
50,Atem::N,ссихӏ бигьаву,呼吸
51,Hunger::N,ккаши,饿
52,Träne::N,макь,眼泪
53,Geschmack::N,тӏин,味道
54,Geschmack::N,тӏааьн,味道
55,Geruch::N,кьанкь,气味
56,Schlaf::N,шану,睡眠
57,Traum::N,макӏру,梦
58,Himmel::N,ссав,天空
59,Sonne::N,баргъ,太阳
60,Mond::N,барз,月亮
61,Stern::N,цӏуку,星
62,Luft::N,гьава,空气
63,Wind::N,марч,风
64,Welle::N,щатӏи,波
65,Wasser::N,щин,水
66,Stein::N,чару,石头
67,Boden::N,аьрщи,地面
68,Erde::N,аьрщи,地
69,Staub::N,ххит,灰尘
70,Rauch::N,пуркӏу,烟
71,Funke::N,пиягь,火花
72,Feuer::N,цӏу,火
73,Licht::N,чани,光
74,Schatten::N,ххют,影子
75,Wetter::N,гьава,天气
76,Nebel::N,шархь ттурлу,雾
77,Wolke::N,ттурлу,云
78,Regen::N,гъарал,雨
79,Schnee::N,марххала,雪
80,Eis::N,микӏ,冰
81,Frost::N,дяркъу,霜冻
82,Frost::N,замгьар,霜冻
83,Kälte::N,дяркъу,寒冷
84,Hitze::N,кӏиришиву,炎热
85,Raureif::N,сил,霜
86,Raureif::N,бурса,霜
87,Regenbogen::N,ссурул ккуртта,虹
88,Donner::N,къув,雷
89,Strömung::N,экьинанаву,水流
90,Tropfen::N,кӏунтӏ,滴
91,Schaum::N,хьама,泡沫
92,Schmutz::N,кьяркьи,赃物
93,See::N,бяр,湖
94,Sumpf::N,кунцӏа,沼泽
95,Wiese::N,кьан,草地
96,Wald::N,вацӏа,森林
97,Hügel::N,бакӏу,丘陵
98,Berg::N,зунтту,山
99,Gipfel::N,мицӏ,峰
100,Höhle::N,нух,洞穴
101,Abhang::N,сун,斜坡
102,Quelle::N,дайдихьу,泉
103,Quelle::N,бакӏ,泉
104,Bach::N,чӏрир нех,溪
105,Fluss::N,нех,河流
106,Ufer::N,зума,岸
107,Küste::N,зумаинхалу,海岸
108,Küste::N,зуманицӏалу,海岸
109,Festland::N,кьири,大陆
110,Meer::N,хьхьири,海
111,Insel::N,жазира,岛
112,Blume::N,тӏутӏи,花
113,Gras::N,уртту,草
114,Wurzel::N,мархха,根
115,Baum::N,мурхь,树
116,Stamm::N,ттарцӏ,树干
117,Rinde::N,ккамара,树皮
118,Ast::N,матӏи,树枝
119,Zweig::N,къяртта,树枝
120,Blatt::N,чӏапӏи,叶子
121,Birke::N,кӏялахӏи,桦木
122,Birke::N,кӏялахӏилул мурхь,桦木
123,Kiefer[Baum]::N,ттар,松树
124,Kiefer[Baum]::N,ттарлил мурхь,松树
125,Weide[Baum]::N,щавщи,柳树
126,Tanne::N,ттарлил мурхь,冷杉
127,Horn::N,хъи,角
128,Feder::N,лелуххул тӏиму,羽毛
129,Fell::N,бурчу,皮毛
130,Flügel::N,хъа,翅膀
131,Flügel::N,ххурупӏайрал тӏиму,翅膀
132,Klaue::N,михь,爪子
133,Kralle::N,ххяппа,爪子
134,Schwanz::N,магъ,尾巴
135,Ei::N,ккунук,蛋
136,Nest::N,кюру,巢
137,Bau::N,цукъуккутӏ,穴
138,Tier::N,хӏайван,动物
139,Herde::N,газу,群
140,Kuh::N,оьл,母牛
141,Bulle::N,ниц,公牛
142,Pferd::N,чу,马
143,Schaf::N,тта,羊
144,Schwein::N,дунгъуз,猪
145,Hund::N,ккаччи,狗
146,Katze::N,ччиту,猫
147,Bär::N,цуша,熊
148,Eichhörnchen::N,бюрхттукку,松鼠
149,Elch::N,ниц-бюрин,麋鹿
