,Concept_ID,lt,ca
0,Auge::N,akis,ull
1,Ohr::N,ausis,orella
2,Nase::N,nosis,nas
3,Mund::N,burna,boca
4,Zahn::N,dantis,dent
5,Zunge::N,liežuvis,llēngua
6,Lippe::N,lūpa,llavi
7,Wange::N,žandas,galta
8,Wange::N,skruostas,galta
9,Gesicht::N,veidas,cara
10,Stirn::N,kakta,front
11,Haar::N,plaukai,cabēll
12,Schnurrbart::N,ūsai,bigoti
13,Bart::N,barzda,barba
14,Kinn::N,smakras,mentó
15,Kinn::N,smakras,barbeta
16,Kiefer[Anatomie]::N,žandikaulis,queix
17,Kiefer[Anatomie]::N,žandikaulis,mandíbula
18,Kehle::N,gerklė,gola
19,Kehle::N,gerklė,gorja
20,Hals::N,kaklas,coll
21,Genick::N,sprandas,nuca
22,Kopf::N,galva,cap
23,Rücken::N,nugara,esquena
24,Bauch::N,pilvas,panxa
25,Nabel::N,bamba,llombrígol
26,Busen::N,krūtinė,pit
27,Busen::N,krūtinė,mama
28,Brust::N,krūtis,pit
29,Schulter::N,petys,espatlla
30,Arm::N,ranka,braç
31,Ellenbogen::N,alkūnė,colze
32,Hand::N,ranka,mà
33,Hand::N,plaštaka,mà
34,Handfläche::N,delnas,palma
35,Handfläche::N,plaštaka,palma
36,Finger::N,pirštas,dit
37,Fingernagel::N,nagas,ungla
38,Nagel[Anatomie]::N,nagas,ungla
39,Zeh::N,pirštas,dit del peu
40,Fuß::N,pėda,peu
41,Ferse::N,kulnas,taló
42,Knie::N,kelis,genoll
43,Oberschenkel::N,kulšis,cuixa
44,Oberschenkel::N,šlaunis,cuixa
45,Bein::N,koja,cama
46,Körper::N,kūnas,cos
47,Haut::N,oda,pell
48,Blut::N,kraujas,sang
49,Ader::N,kraujagyslė,vena
50,Sehne::N,sausgyslė,tendó
51,Knochen::N,kaulas,os
52,Gehirn::N,smegenys,cervell
53,Herz::N,širdis,cor
54,Magen::N,skrandis,estómac
55,Leber::N,kepenys,fetge
56,Atem::N,kvapas,alè
57,Atem::N,kvapas,hàlit
58,Hunger::N,badas,fam
59,Hunger::N,badas,gana
60,Hunger::N,alkis,fam
61,Hunger::N,alkis,gana
62,Träne::N,ašara,llàgrima
63,Geschmack::N,skonis,gust
64,Geschmack::N,skonis,sabor
65,Geruch::N,kvapas,olor
66,Schlaf::N,miegas,son
67,Traum::N,sapnas,somni
68,Himmel::N,dangus,celm
69,Sonne::N,saulė,sol
70,Mond::N,mėnulis,lluna
71,Stern::N,žvaigždė,estel
72,Stern::N,žvaigždė,estrella
73,Luft::N,oras,aire
74,Wind::N,vėjas,vent
75,Welle::N,banga,ona
76,Welle::N,vilnis,ona
77,Wasser::N,vanduo,āigua
78,Stein::N,akmuo,pedra
79,Boden::N,žemė,sòl
80,Boden::N,dugnas,sòl
81,Erde::N,žemė,terra
82,Staub::N,dulkės,pols
83,Rauch::N,dūmai,fum
84,Funke::N,kibirkštis,guspira
85,Funke::N,kibirkštis,centella
86,Feuer::N,ugnis,foc
87,Licht::N,šviesa,llum
88,Schatten::N,paūksmė,ombra
89,Wetter::N,oras,temps
90,Nebel::N,migla,boira
91,Nebel::N,rūkas,boira
92,Wolke::N,debesis,núvol
93,Regen::N,lietus,pluja
94,Schnee::N,sniegas,neu
95,Eis::N,ledas,gel
96,Eis::N,ledas,glaç
97,Frost::N,šalna,glaçada
98,Kälte::N,šaltis,fred
99,Hitze::N,karštis,calor
100,Raureif::N,šerkšnas,gebre
101,Regenbogen::N,vaivorykštė,arc iris
102,Donner::N,perkūnas,tro
103,Donner::N,griaustinis,tro
104,Strömung::N,tėkmė,corrent
105,Tropfen::N,lašas,gota
106,Schaum::N,putos,escuma
107,Schmutz::N,purvas,brutícia
108,See::N,ežeras,llac
109,Sumpf::N,klampynė,pantà
110,Sumpf::N,liūnas,pantà
111,Moor::N,pelkė,pantà
112,Wiese::N,pieva,prat
113,Wiese::N,pieva,prada
114,Wald::N,miškas,bosc
115,Hügel::N,kalva,puig
116,Hügel::N,kalva,pujol
117,Anhöhe::N,kauburys,turó
118,Berg::N,kalnas,muntanya
119,Gipfel::N,viršūnė,cim
120,Höhle::N,ola,cova
121,Abhang::N,šlaitas,coster
122,Abhang::N,nuokalnė,coster
123,Quelle::N,versmė,font
124,Quelle::N,šaltinis,font
125,Bach::N,upelis,riera
126,Fluss::N,upė,riu
127,Ufer::N,krantas,riba
128,Küste::N,pajūris,costa
129,Festland::N,sausuma,terra ferma
130,Meer::N,jūra,mar
131,Bucht::N,įlanka,cala
132,Bucht::N,įlanka,badia
133,Bucht::N,užutekis,cala
134,Bucht::N,užutekis,badia
135,Insel::N,sala,illa
136,Blume::N,gėlė,flor
137,Gras::N,žolė,herba
138,Wurzel::N,šaknis,rel
139,Wurzel::N,šaknis,arrel
140,Baum::N,medis,arbre
141,Stamm::N,kamienas,tronc
142,Rinde::N,žievė,escorça
143,Ast::N,šaka,branca
144,Zweig::N,šakelė,ram
145,Blatt::N,lapas,fulla
146,Birke::N,beržas,bedoll
147,Kiefer[Baum]::N,pušis,pi
148,Weide[Baum]::N,karklas,salze
149,Tanne::N,eglė,avet
150,Tanne::N,kėnis,avet
151,Horn::N,ragas,corn
152,Horn::N,ragas,banya
153,Feder::N,plunksna,ploma
154,Fell::N,kailis,pell
155,Flügel::N,sparnas,ala
156,Klaue::N,kanopa,urpa
157,Kralle::N,nagas,grapa
158,Schwanz::N,uodega,cua
159,Ei::N,kiaušinis,ou
160,Nest::N,gūžta,niu
161,Nest::N,lizdas,niu
162,Bau::N,ola,cau
163,Tier::N,gyvūnas,animāl
164,Herde::N,banda,ramat
165,Herde::N,kaimenė,ramat
166,Kuh::N,karvė,vaca
167,Bulle::N,bulius,toro
168,Pferd::N,arklys,cavāll
169,Schaf::N,avis,be
170,Schaf::N,avis,ovella
171,Schwein::N,kiaulė,bacó
172,Hund::N,šuo,ca
173,Hund::N,šuo,gos
174,Katze::N,katė,gat
175,Bär::N,lokys,ós
176,Eichhörnchen::N,voveraitė,esquirol
177,Elch::N,briedis,ant
178,Fuchs::N,lapė,guilla
179,Hase::N,kiškas,llebre
180,Maus::N,pelė,ratolí
181,Wolf::N,vilkas,llop
182,Vogel::N,paukštis,au
183,Vogel::N,paukštis,ocēll
184,Schwarm::N,spiečius,bandada
185,Huhn::N,višta,gallina
186,Hahn::N,gaidys,gall
187,Gans::N,žąsis,oca
188,Adler::N,erelis,àguila
189,Ente::N,antis,ànec
190,Eule::N,pelėda,òliba
191,Eule::N,pelėda,mussol
192,Kranich::N,gervė,grua
193,Krähe::N,varna,cornella
194,Kuckuck::N,gegužė,cucut
195,Schwan::N,gulbė,cigne
196,Fisch::N,žuvis,peix
197,Barsch::N,ešerys,perca
198,Hecht::N,lydeka,lluç
199,Schlange[Tier]::N,gyvatė,serp
200,Wurm::N,kirmėlė,cuc
201,Spinne::N,voras,aranya
202,Ameise::N,skruzdė,formiga
203,Laus::N,utėlė,poll
204,Mücke::N,uodas,mosquit
205,Fliege::N,musė,mosca
206,Schmetterling::N,drugys,papallona
207,Schmetterling::N,peteliškė,papallona
208,Beere::N,uoga,baia
209,Apfel::N,obuolys,poma
210,Pilz::N,grybas,bolet
211,Zwiebel::N,svogūnas,ceba
212,Saat::N,sėkla,sembra
213,Korn::N,grūdai,gra
214,Heu::N,šienas,fenc
215,Schale::N,žievelė,closca
216,Grube::N,duobė,sot
217,Grube::N,duobė,clot
218,Falle::N,pinklės,trampa
219,Falle::N,žabangai,trampa
220,Schlinge::N,kilpa,baga
221,Spur::N,vėžė,traça
222,Spur::N,pėdos,traça
223,Spur::N,pėdsakas,traça
224,Asche::N,pelenai,cendra
225,Dreck::N,purvas,llot
226,Eisen::N,geležis,ferro
227,Gold::N,auksas,or
228,Silber::N,sidabras,plata
229,Kohle::N,anglis,carbó
230,Glas::N,stiklas,vidre
231,Lehm::N,molis,fang
232,Lehm::N,molis,argila
233,Sand::N,smėlis,arena
234,Mensch::N,žmogus,humà
235,Mensch::N,žmogus,persona
236,Mann::N,vyras,home
237,Mann::N,vyriškis,home
238,Frau::N,moteris,dona
239,Kind::N,vaikas,nen
240,Junge::N,vaikinas,noi
241,Junge::N,berniukas,noi
242,Mädchen::N,mergytė,noia
243,Mädchen::N,mergaitė,noia
244,Familie::N,šeima,família
245,Großvater::N,senelis,avi
246,Großmutter::N,senelė,àvia
247,Eltern::N,tėvai,pares
248,Vater::N,tėvas,pare
249,Mutter::N,motina,mare
250,Sohn::N,sūnus,fill
251,Tochter::N,duktė,filla
252,Bruder::N,brolis,germà
253,Schwester::N,sesuo,germana
254,Onkel::N,dėdė,oncle
255,Tante::N,teta,tia
256,Ehemann::N,vyras,espòs
257,Ehefrau::N,žmona,muller
258,Freude::N,džiaugsmas,goig
259,Freude::N,džiaugsmas,alegria
260,Gelächter::N,juokas,riallada
261,Glück::N,laimė,felicitat
262,Kummer::N,vargas,pena
263,Kummer::N,rūpestis,pena
264,Wunsch::N,troškimas,desig
265,Wunsch::N,pageidavimas,desig
266,Lust::N,noras,ganes
267,Lust::N,geidulys,ganes
268,Geist::N,dvasia,ment
269,Geist::N,dvasia,esperit
270,Gedanke::N,mintis,pensament
271,Gedächtnis::N,atmintis,memòria
272,Verstand::N,protas,raó
273,Verstand::N,protas,seny
274,Sinn::N,prasmė,solta
275,Sinn::N,prasmė,sentit
276,Grund::N,priežastis,raó
