,Concept_ID,is,bn
0,Auge::N,auga,চক্ষু
1,Ohr::N,eyra,কর্ণ
2,Nase::N,nef,নাক
3,Mund::N,munnur,মুখ
4,Zahn::N,tönn,দাঁত
5,Zunge::N,tunga,জিহবা
6,Lippe::N,vör,অধর
7,Wange::N,kinn,গণ্ড
8,Wange::N,vangi,গণ্ড
9,Gesicht::N,andlit,মুখমণ্ডল
10,Stirn::N,enni,কপাল
11,Haar::N,hár,চুল
12,Schnurrbart::N,yfirskegg,গোঁফ
13,Bart::N,skegg,শ্মশ্রু
14,Kinn::N,haka,চিবুক
15,Kiefer[Anatomie]::N,kjálki,চোয়াল
16,Kiefer[Anatomie]::N,skoltur,চোয়াল
17,Kehle::N,kverk,কণ্ঠ
18,Hals::N,háls,গল
19,Genick::N,hnakki,ঘাড়
20,Kopf::N,höfuð,মাথা
21,Rücken::N,hryggur,পৃষ্ঠ
22,Bauch::N,kviður,উদর
23,Nabel::N,nafli,নাভি
24,Busen::N,barmur,স্তন
25,Brust::N,brjóst,বুক
26,Schulter::N,öxl,স্কন্ধ
27,Arm::N,armur,বাহু
28,Ellenbogen::N,olnbogi,কনুই
29,Hand::N,hönd,হাত
30,Handfläche::N,lófi,করতল
31,Finger::N,fingur,আঙ্গুল
32,Fingernagel::N,fingurnögl,হাতের নখ
33,Nagel[Anatomie]::N,nögl,নখ
34,Zeh::N,tá,আঙ্গুল
35,Fuß::N,fótur,পা
36,Ferse::N,hæll,গোড়ালি
37,Knie::N,kné,হাঁটু
38,Oberschenkel::N,læri,ঊরু
39,Bein::N,fótleggur,পা
40,Körper::N,búkur,দেহ
41,Körper::N,líkami,দেহ
42,Haut::N,húð,ত্বক
43,Haut::N,skinn,ত্বক
44,Blut::N,blóð,রক্ত
45,Ader::N,æð,শিরা
46,Sehne::N,sin,কণ্ডরা
47,Knochen::N,bein,অস্থি
48,Gehirn::N,heili,মস্তিষ্ক
49,Herz::N,hjarta,হৃৎপিণ্ড
50,Magen::N,magi,পাকস্থলী
51,Leber::N,lifur,যকৃৎ
52,Atem::N,andi,শ্বাস
53,Atem::N,andardráttur,শ্বাস
54,Hunger::N,hungur,ক্ষুধা
55,Träne::N,tár,অশ্রু
56,Geschmack::N,smekkur,স্বাদ
57,Geruch::N,lykt,গন্ধ
58,Schlaf::N,svefn,ঘুম
59,Traum::N,draumur,স্বপ্ন
60,Himmel::N,himinn,আকাশ
61,Sonne::N,sól,সূর্য
62,Mond::N,tungl,চন্দ্র
63,Stern::N,stjarna,নক্ষত্র
64,Luft::N,loft,বায়ু
65,Wind::N,vindur,বাতাস
66,Welle::N,alda,ঢেউ
67,Welle::N,alda,তরঙ্গ
68,Welle::N,bylgja,ঢেউ
69,Welle::N,bylgja,তরঙ্গ
70,Wasser::N,vatn,জল
71,Stein::N,steinn,ঢিল
72,Stein::N,steinn,প্রস্তর
73,Boden::N,botn,ভূতল
74,Erde::N,jörð,ভূমি
75,Staub::N,ryk,ধুলা
76,Staub::N,duft,ধুলা
77,Rauch::N,reykur,ধোঁয়া
78,Funke::N,neisti,স্ফুলিঙ্গ
79,Feuer::N,eldur,অগ্নি
80,Licht::N,ljós,আলো
81,Schatten::N,skuggi,ছায়া
82,Wetter::N,veður,আবহাওয়া
83,Nebel::N,þoka,কুহেলিকা
84,Wolke::N,ský,মেঘ
85,Regen::N,regn,বৃষ্টি
86,Schnee::N,snjór,তুষার
87,Eis::N,ís,বরফ
88,Frost::N,frost,তুষার
89,Kälte::N,kuldi,শৈত্য
90,Hitze::N,hiti,তাপ
91,Raureif::N,hrím,তুহিন
92,Regenbogen::N,regnbogi,রামধনু
93,Donner::N,þruma,বজ্রধ্বনি
94,Strömung::N,straumur,স্রোত
95,Tropfen::N,dropi,ফোঁটা
96,Schaum::N,froða,ফেনা
97,Schmutz::N,óhreinindi,ধুলা
98,See::N,stöðuvatn,হ্রদ
99,Sumpf::N,fen,জলা
100,Moor::N,mýri,মাঠ
101,Wiese::N,engi,তৃণভূমি
102,Wald::N,skógur,বন
103,Hügel::N,hæð,পাহাড়
104,Hügel::N,hóll,পাহাড়
105,Anhöhe::N,hæð,টিলা
106,Anhöhe::N,hóll,টিলা
107,Berg::N,fell,পর্বত
108,Berg::N,fjall,পর্বত
109,Gipfel::N,tindur,শীর্ষ
110,Höhle::N,hellir,গুহা
111,Abhang::N,hlíð,ঢাল
112,Abhang::N,brekka,ঢাল
113,Quelle::N,lind,উৎস
114,Quelle::N,uppspretta,উৎস
115,Bach::N,lækur,ক্ষুদ্র নদী
116,Fluss::N,á,নদী
117,Fluss::N,fljót,নদী
118,Ufer::N,árbakki,উপকূল
119,Ufer::N,sjávarbakki,উপকূল
120,Küste::N,strönd,তীর
121,Festland::N,meginland,ভূমি
122,Meer::N,haf,সমুদ্র
123,Meer::N,sjór,সমুদ্র
124,Bucht::N,vík,উপসাগর
125,Insel::N,eyja,দ্বীপ
126,Blume::N,blóm,ফুল
127,Gras::N,gras,ঘাস
128,Wurzel::N,rót,শিকড়
129,Baum::N,tré,গাছ
130,Stamm::N,stofn,স্কন্ধ
131,Rinde::N,börkur,বল্কল
132,Ast::N,grein,শাখা
133,Zweig::N,angi,ডাল
134,Zweig::N,kvistur,ডাল
135,Blatt::N,blað,পর্ণ
136,Birke::N,birki,ভুর্জ
137,Kiefer[Baum]::N,fura,পাইন গাছ
138,Weide[Baum]::N,víðir,উইলো
139,Tanne::N,greni,দেবদারূ গাছ
140,Horn::N,horn,শিং
141,Feder::N,fjöður,পালক
142,Fell::N,skinn,রোম
143,Flügel::N,vængur,ডানা
144,Klaue::N,kló,নখর
145,Kralle::N,kló,নখর
146,Schwanz::N,rófa,লেজ
147,Schwanz::N,skott,লেজ
148,Ei::N,egg,ডিম
149,Nest::N,hreiður,কুলায়
150,Bau::N,greni,ডেরা
151,Bau::N,bæli,ডেরা
152,Tier::N,dýr,জন্তু
153,Herde::N,hjörð,ঝাঁক
154,Kuh::N,kýr,গোরু
155,Bulle::N,boli,বৃষ
156,Pferd::N,hestur,ঘোড়া
157,Schaf::N,kind,ভেড়া
158,Schwein::N,svín,শূকর
159,Hund::N,hundur,কুকুর
160,Katze::N,köttur,বেড়াল
161,Bär::N,björn,ভল্লুক
162,Eichhörnchen::N,íkorni,কাঠবিড়াল
163,Elch::N,elgur,হরিণবিশেষ
164,Fuchs::N,refur,পাঁতিশিয়াল
165,Hase::N,héri,শশক
166,Maus::N,mús,নেংটি ইঁদুর
167,Wolf::N,úlfur,নেকড়ে
168,Vogel::N,fugl,পক্ষী
169,Schwarm::N,sægur,ঝাঁক
170,Huhn::N,hæna,মোরগ
171,Hahn::N,hani,কুক্কুট
172,Gans::N,gæs,হংসী
173,Adler::N,örn,ইগল
174,Ente::N,önd,হংসী
175,Eule::N,uggla,পেচক
176,Kranich::N,trana,সারস
177,Krähe::N,kráka,কাক
178,Kuckuck::N,gaukur,কোকিল
179,Schwan::N,svanur,মরাল
180,Fisch::N,fiskur,মাছ
181,Barsch::N,aborri,মৎন্যবিশেষ
182,Hecht::N,gedda,বানমাছ
183,Schlange[Tier]::N,naðra,সর্প
184,Wurm::N,ormur,কীট
185,Spinne::N,kónguló,মাকড়সা
186,Ameise::N,maur,পিপীলিকা
187,Laus::N,lús,উকুন
188,Mücke::N,mý,মশা
189,Mücke::N,mýfluga,মশা
190,Fliege::N,fluga,মাছি
191,Schmetterling::N,fiðrildi,প্রজাপতি
192,Beere::N,ber,বেরি
193,Apfel::N,epli,আপেল
194,Pilz::N,sveppur,ছত্রক
195,Zwiebel::N,laukur,পিয়াজ
196,Saat::N,fræ,বীজ
197,Saat::N,útsæði,বীজ
198,Korn::N,korn,শস্য
199,Heu::N,hey,খড়
200,Schale::N,hýði,খোসা
201,Grube::N,gryfja,গর্ত
202,Falle::N,gildra,ফাঁদ
203,Schlinge::N,snara,পাশ
204,Spur::N,spor,চিহ্ন
205,Asche::N,aska,ভস্ম
206,Dreck::N,óþverri,ময়লা
207,Eisen::N,járn,লোহা
208,Gold::N,gull,স্বর্ণ
209,Silber::N,silfur,রৌপ্য
210,Kohle::N,kol,অঙ্গার
211,Glas::N,gler,কাচ
212,Lehm::N,leir,মৃত্তিকা
213,Sand::N,sandur,বালি
214,Mensch::N,maður,নর
215,Mensch::N,maður,মানুষ
216,Mensch::N,manneskja,নর
217,Mensch::N,manneskja,মানুষ
218,Mann::N,maður,মানুষ
219,Mann::N,karlmaður,মানুষ
220,Frau::N,kona,নারী
221,Kind::N,barn,বাচ্চা
222,Kind::N,krakki,বাচ্চা
223,Junge::N,drengur,ছেলে
224,Mädchen::N,stelpa,মেয়ে
225,Familie::N,fjölskylda,পরিবার
226,Großvater::N,afi,মাতামহ
227,Großmutter::N,amma,মাতামহী
228,Eltern::N,foreldrar,মাতাপিতা
229,Vater::N,faðir,পিতা
230,Mutter::N,móðir,মাতা
231,Sohn::N,sonur,ছেলে
232,Tochter::N,dóttir,মেয়ে
233,Bruder::N,bróðir,দাদা
234,Schwester::N,systir,বোন
235,Schwester::N,systir,দিদি
236,Onkel::N,föðurbróðir,মামা
237,Tante::N,frænka,মাসী
238,Tante::N,móðursystir,মাসী
239,Ehemann::N,eiginmaður,স্বামী
240,Ehefrau::N,eiginkona,পত্নী
241,Freude::N,gleði,উল্লাস
242,Gelächter::N,hlátur,হাসি
243,Glück::N,gæfa,সুখ
244,Kummer::N,sorg,দুঃখ
245,Wunsch::N,ósk,আকাঙ্ক্ষা
246,Lust::N,fýsn,বাসনা
247,Lust::N,löngun,বাসনা
248,Geist::N,andi,আত্না
249,Gedanke::N,hugsun,চিন্তা
250,Gedächtnis::N,minni,স্মরণশক্তি
251,Verstand::N,vit,মন
252,Sinn::N,merking,পদার্থ
253,Grund::N,ástæða,কারণ
254,Wahrheit::N,sannleikur,সত্য
255,Gespräch::N,samtal,কথাবার্তা
256,Märchen::N,ævintýri,রূপকথা
257,Erzählung::N,saga,গল্প
258,Nachricht::N,frétt,তথ্য
259,Neuigkeit::N,frétt,খবরাখবর
260,Name::N,nafn,নাম
261,Rätsel::N,gáta,ধাঁধা
262,Rede::N,ræða,বক্তৃতা
263,Sprache::N,mál,ভাষা
264,Sprache::N,tungumál,ভাষা
265,Stimme::N,rödd,স্বর
266,Wort::N,orð,শব্দ
267,Zeichen::N,tákn,প্রতীক
268,Zeichen::N,merki,প্রতীক
269,Ruf::N,kall,ডাক
270,Lärm::N,hávaði,হৈচৈ
271,Laut::N,hljóð,ধ্বনি
272,Ton::N,tónn,স্বর
273,Lied::N,ljóð,গান
274,Lied::N,söngur,গান
275,Ruhe::N,ró,শান্তি
276,Ruhe::N,kyrrð,শান্তি
277,Leute::N,fólk,প্রজাপুঞ্জ
278,Volk::N,þjóð,জাতি
279,Arbeit::N,vinna,চাকরি
280,Gast::N,gestur,অতিথি
281,Geschenk::N,gjöf,উপহার
282,Spiel::N,leikur,খেলা
283,Gesellschaft::N,selskapur,সঙ্গিগণ
284,Hilfe::N,hjálp,সাহায্য
285,Freund::N,vinur,বন্ধু
286,Kamerad::N,félagi,সঙ্গী
287,Angelegenheit::N,mál,বিষয়
288,Angelegenheit::N,málefni,বিষয়
289,Anzahl::N,tala,পরিমাণ
290,Anzahl::N,fjöldi,পরিমাণ
291,Art::N,tegund,রকম
292,Stück::N,biti,টুকরো
293,Stück::N,stykki,টুকরো
294,Teil::N,hluti,অংশ
295,Teil::N,partur,অংশ
296,Hälfte::N,helmingur,অর্ধেক
297,Kreis::N,hringur,বৃত্ত
298,Kreuz::N,kross,ক্রুশ
299,Kreuz::N,krossmark,ক্রুশ
300,Linie::N,lína,রেখা
301,Strich::N,strik,কষি
302,Abstand::N,millibil,ফাঁক
303,Entfernung::N,fjarlægð,ব্যবধান
304,Gegend::N,hérað,ক্ষেত্র
305,Platz::N,pláss,জায়গা
306,Ort::N,staður,স্থান
307,Seite::N,hlið,পার্শ্ব
308,Mitte::N,miðja,মধ্য
309,Gegenstand::N,hlutur,জিনিস
310,Sache::N,mál,বস্তু
311,Rand::N,brún,কানা
312,Kante::N,rönd,ধার
313,Ecke::N,horn,কোণ
314,Spitze::N,oddur,ডগা
315,Ende::N,endi,প্রান্ত
316,Loch::N,gat,গর্ত
317,Loch::N,hola,গর্ত
318,Winkel::N,skot,কোণ
319,Winkel::N,krókur,কোণ
320,Muster::N,munstur,নমুন্
321,Größe::N,stærð,আয়তন
322,Länge::N,lengd,দৈর্ঘ্য
323,Höhe::N,hæð,উচ্চতা
324,Gewicht::N,vigt,ওজন
325,Gewicht::N,þyngd,ওজন
326,Menge::N,magn,পরিমাণ
327,Haufen::N,hrúga,পুঞ্জ
328,Haufen::N,haugur,পুঞ্জ
329,Reihe::N,röð,শ্রেণী
330,Boot::N,bátur,নৌকা
331,Ruder::N,ár,দাঁড়
332,Schlitten::N,sleði,স্নেজ্-গাড়ি
333,Ski::N,skíði,শী
334,Lagerfeuer::N,varðeldur,অগ্নি
335,Last::N,byrði,বোঝা
336,Last::N,farmur,বোঝা
337,Gang::N,ganga,হণ্টন
338,Schritt::N,skref,পদ
339,Norden::N,norður,উত্তরদিক্
340,Süden::N,suður,দক্ষিণদিক
341,Westen::N,vestur,পশ্চিমদিক্
342,Osten::N,austur,পূর্বদিক
343,Holz::N,viður,কাঠ
344,Brett::N,fjöl,তক্তা
345,Platte::N,flötur,ফলক
346,Stütze::N,stoð,নাগদণ্ড
347,Stange::N,stöng,দণ্ড
348,Stock::N,prik,ছড়ি
349,Stock::N,stafur,ছড়ি
350,Stab::N,prik,যষ্টি
351,Stab::N,stafur,যষ্টি
352,Rohr::N,rör,নল
353,Rohr::N,pípa,নল
354,Haus::N,hús,ঘর
355,Heim::N,heimili,বাসা
356,Ofen::N,ofn,স্টোভ্
357,Fußboden::N,gólf,গহতল
358,Tisch::N,borð,মেজ
359,Tisch::N,borð,টেবিল
360,Stuhl::N,stóll,চেয়ার
361,Stuhl::N,stóll,কেদারা
362,Wiege::N,vagga,দোলনা
363,Bett::N,rúm,শয্যা
364,Bett::N,hvíla,শয্যা
365,Regal::N,hilla,তাক
366,Kiste::N,kassi,বাক্স
367,Fenster::N,gluggi,জানালা
368,Tür::N,dyr,দ্বার
369,Tür::N,hurð,দ্বার
370,Tor::N,hlið,দ্বার
371,Zaun::N,girðing,বেড়া
372,Zaun::N,limgarður,বেড়া
373,Dach::N,þak,ছাদ
374,Leiter::N,stigi,মই
375,Besen::N,sópur,গুল্মবিশেষ
376,Spaten::N,spaði,কোদাল
377,Schaufel::N,skófla,বেলচা
378,Gabel::N,gaffall,কাঁটা
379,Löffel::N,skeið,চামচ
380,Messer::N,hnífur,ছুরি
381,Nagel::N,nögl,পেরেক
382,Netz::N,net,জাল
383,Haken::N,krókur,কাচি
384,Griff::N,tak,হাতল
385,Schloss::N,lás,তালা
386,Bild::N,mynd,ছবি
387,Bild::N,mynd,চিত্র
388,Figur::N,stytta,আকার
389,Puppe::N,brúða,পুতুল
390,Beutel::N,poki,বটুয়া
391,Beutel::N,baggi,বটুয়া
392,Bündel::N,böggull,আঁটি
393,Tasche::N,veski,থলি
394,Eimer::N,fata,বাল্তি
395,Deckel::N,lok,আবরণ
396,Geschirr::N,leirtau,থালা-বাসন
397,Sack::N,sekkur,বস্তা
