,Concept_ID,sk,os
0,Auge::N,oko,цӕст
1,Ohr::N,ucho,хъус
2,Nase::N,nos,фындз
3,Mund::N,ústa,дзых
4,Zahn::N,zub,дӕндаг
5,Zunge::N,jazyk,ӕвзаг
6,Lippe::N,pera,был
7,Wange::N,líce,рус
8,Wange::N,líce,уадул
9,Wange::N,líce,ӕхсӕрфарс
10,Gesicht::N,tvár,цӕсгом
11,Gesicht::N,obličaj,цӕсгом
12,Stirn::N,čelo,ных
13,Haar::N,vlas,хил
14,Schnurrbart::N,fúzy,рихи
15,Bart::N,brada,зачъе
16,Kinn::N,brada,роцъо
17,Kiefer[Anatomie]::N,čeľusť,ӕфсӕр
18,Kehle::N,hrdlo,хъуыр
19,Hals::N,krk,къубал
20,Genick::N,väzy,къӕбут
21,Kopf::N,hlava,сӕр
22,Rücken::N,chrbát,фӕсонтӕ
23,Bauch::N,brucho,гуыбын
24,Nabel::N,pupok,бикъ
25,Busen::N,prsia,дзидзи
26,Brust::N,hruď,риу
27,Schulter::N,plece,уӕхск
28,Arm::N,rameno,цонг
29,Ellenbogen::N,lakeť,рæмбын
30,Hand::N,ruka,къух
31,Handfläche::N,dlaň,армытъӕпӕн
32,Finger::N,prst,ӕнруылдз
33,Fingernagel::N,necht,ных
34,Nagel[Anatomie]::N,necht,ных
35,Zeh::N,prst na nohe,къух
36,Fuß::N,noha,фад
37,Ferse::N,päta,зӕвӕт
38,Knie::N,koleno,уӕраг
39,Oberschenkel::N,stehno,агъд
40,Bein::N,noha,зӕнг
41,Körper::N,telo,буар
42,Haut::N,koža,царм
43,Blut::N,krv,туг
44,Ader::N,žila,дадзин
45,Ader::N,žila,тугдадзин
46,Sehne::N,šľacha,хъиутæ
47,Sehne::N,šľacha,нуар
48,Knochen::N,kosť,стӕг
49,Gehirn::N,mozog,магъз
50,Herz::N,srdce,зӕрдӕ
51,Magen::N,žalúdok,ахсӕн
52,Leber::N,pečeň,игæр
53,Atem::N,dych,улӕфт
54,Hunger::N,hlad,стонг
55,Träne::N,slza,цæссыг
56,Geschmack::N,chuť,ад
57,Geruch::N,pach,смаг
58,Schlaf::N,spánok,хуыссӕг
59,Traum::N,sen,фын
60,Himmel::N,nebo,арв
61,Himmel::N,nebo,уӕларв
62,Sonne::N,slnko,хур
63,Mond::N,mesiac,мӕй
64,Stern::N,hviezda,стъалы
65,Luft::N,vzduch,уӕлдӕф
66,Wind::N,vietor,дымгӕ
67,Welle::N,vlna,уылӕн
68,Wasser::N,voda,дон
69,Stein::N,kameň,дур
70,Boden::N,zem,зӕхх
71,Boden::N,pôda,зӕхх
72,Erde::N,zem,сыджыт
73,Staub::N,prach,рыг
74,Rauch::N,dym,фӕздӕг
75,Funke::N,iskra,цӕхӕр
76,Feuer::N,oheň,зынг
77,Licht::N,svetlo,рухс
78,Schatten::N,tieň,аууон
79,Wetter::N,počasie,боныхъӕд
80,Nebel::N,hmla,мигъ
81,Wolke::N,oblak,ӕврагъ
82,Wolke::N,mračno,ӕврагъ
83,Regen::N,dážď,уарын
84,Schnee::N,sneh,мит
85,Eis::N,ľad,их
86,Frost::N,mráz,ихæн
87,Kälte::N,zima,уазал
88,Kälte::N,chlad,уазал
89,Hitze::N,horúčava,ӕнтӕф
90,Raureif::N,srieň,халас
91,Raureif::N,inovať,халас
92,Regenbogen::N,dúha,арвырон
93,Regenbogen::N,dúha,арвырдын
94,Donner::N,hrom,æрвнæрын
95,Strömung::N,prúdenie,цыд
96,Tropfen::N,kvapka,æртах
97,Schaum::N,pena,фынк
98,Schmutz::N,špina,цъыф
99,Schmutz::N,nečistota,цъыф
100,See::N,jazero,цад
101,Sumpf::N,bahno,цъыфдзаст
102,Moor::N,močiar,цъыфдзаст
103,Wiese::N,lúka,уыгӕрдӕн
104,Wald::N,les,хъӕд
105,Wald::N,hora,хъӕд
106,Hügel::N,vŕšok,обау
107,Hügel::N,vŕšok,къуыбыр
108,Anhöhe::N,výšina,уæлвæз
109,Anhöhe::N,výšina,уæлхох
110,Anhöhe::N,vyvýšenina,уæлвæз
111,Anhöhe::N,vyvýšenina,уæлхох
112,Berg::N,hora,хох
113,Gipfel::N,vrchol,цъупп
114,Höhle::N,jaskyňa,лӕгӕт
115,Abhang::N,úbočie,къул
116,Quelle::N,prameň,суадон
117,Bach::N,potok,мӕсчъыдон
118,Fluss::N,rieka,дон
119,Fluss::N,rieka,цӕугӕдон
120,Ufer::N,breh,был
121,Küste::N,pobrežie,донбыл
122,Festland::N,pevnina,сурзæхх
123,Meer::N,more,денджыз
124,Bucht::N,záliv,донбакæлæн
125,Bucht::N,zátoka,донбакæлæн
126,Insel::N,ostrov,сакъадах
127,Blume::N,kvet,дидинӕг
128,Blume::N,kvetina,дидинӕг
129,Gras::N,tráva,кӕрдӕг
130,Wurzel::N,koreň,уидаг
131,Baum::N,strom,бӕлас
132,Stamm::N,kmeň,хӕтӕл
133,Rinde::N,kôra,цъар
134,Ast::N,konár,арх
135,Zweig::N,vetva,къалиу
136,Blatt::N,list,сыф
137,Birke::N,breza,бæрз
138,Kiefer[Baum]::N,sosna,нӕзы
139,Kiefer[Baum]::N,borovica,нӕзы
140,Weide[Baum]::N,vŕba,хӕрис
141,Tanne::N,jedľa,наз
142,Horn::N,roh,сыкъа
143,Feder::N,pero,сис
144,Fell::N,koža,царм
145,Fell::N,kožušina,царм
146,Flügel::N,krídlo,базыр
147,Klaue::N,paznecht,ных
148,Kralle::N,pazúr,дзӕмбы
149,Schwanz::N,chvost,къӕдзил
150,Ei::N,vajce,айк
151,Ei::N,vajíčko,айк
152,Nest::N,hniezdo,ахстон
153,Bau::N,nora,хуынкъ
154,Tier::N,zviera,сырд
155,Tier::N,zviera,цӕрӕгой
156,Herde::N,stádo,дзуг
157,Herde::N,stádo,рӕгъау
158,Kuh::N,krava,хъуг
159,Bulle::N,býk,гал
160,Pferd::N,kôň,бӕх
161,Schaf::N,ovca,фыс
162,Schwein::N,sviňa,хуы
163,Hund::N,pes,куыдз
