,Concept_ID,az,fa
0,Auge::N,göz,چشم
1,Ohr::N,qulaq,گوش
2,Nase::N,burun,بینی
3,Mund::N,ağız,دهان
4,Zahn::N,diş,دندان
5,Zunge::N,dil,زبان
6,Lippe::N,dodaq,لب
7,Wange::N,yanaq,لپ
8,Gesicht::N,üz,رو
9,Gesicht::N,üz,چهره
10,Stirn::N,alın,پیشانی
11,Haar::N,saç,مو
12,Schnurrbart::N,bığ,سبیل
13,Bart::N,saqqal,ریش
14,Kinn::N,çənə,چانه
15,Kiefer[Anatomie]::N,çənə,فک
16,Kiefer[Anatomie]::N,çənə,آرواره
17,Kehle::N,boğaz,حلق
18,Hals::N,boyun,گردن
19,Genick::N,ənsə,پشت گردن
20,Kopf::N,baş,سر
21,Kopf::N,baş,کله
22,Rücken::N,bel,پشت
23,Bauch::N,qarın,شکم
24,Nabel::N,göbək,ناف
25,Busen::N,məmə,پستان
26,Brust::N,döş,سینه
27,Schulter::N,çiyin,دوش
28,Schulter::N,çiyin,شانه
29,Arm::N,qol,بازو
30,Ellenbogen::N,dirsək,آرنج
31,Hand::N,əl,دست
32,Handfläche::N,ovuc,کف دست
33,Finger::N,barmaq,انگشت
34,Fingernagel::N,barmaq dırnağı,ناخن دست
35,Nagel[Anatomie]::N,dırnak,ناخن
36,Zeh::N,ayaq barmağı,انگشت پا
37,Fuß::N,ayaq,پا
38,Ferse::N,daban,پاشنه
39,Knie::N,diz,زانو
40,Oberschenkel::N,bud,ران
41,Bein::N,qıç,پا
42,Bein::N,qıç,لنگ
43,Körper::N,əndam,تن
44,Körper::N,əndam,بدن
45,Haut::N,dəri,پوست
46,Blut::N,qan,خون
47,Ader::N,damar,رگ
48,Sehne::N,vətər,زردپی
49,Knochen::N,sümük,استخوان
50,Gehirn::N,beyin,مخ
51,Gehirn::N,beyin,مغز
52,Herz::N,ürək,دل
53,Herz::N,ürək,قلب
54,Magen::N,mədə,معده
55,Leber::N,qara ciyər,کبد
56,Atem::N,nəfəs,نفس
57,Hunger::N,aclıq,گرسنگی
58,Träne::N,göz yaşı,اشک
59,Geschmack::N,tam,مزه
60,Geschmack::N,ləzzət,مزه
61,Geruch::N,qoxu,بو
62,Schlaf::N,yuxu,خواب
63,Traum::N,röya,رؤیا
64,Himmel::N,göy,فلک
65,Himmel::N,göy,آسمان
66,Himmel::N,səma,فلک
67,Himmel::N,səma,آسمان
68,Sonne::N,günəş,آفتاب
69,Sonne::N,günəş,خورشید
70,Mond::N,ay,ماه
71,Stern::N,ulduz,ستاره
72,Luft::N,hava,هوا
73,Wind::N,yel,باد
74,Wind::N,külək,باد
75,Welle::N,dalğa,موج
76,Wasser::N,su,آب
77,Stein::N,daş,سنگ
78,Boden::N,yer,زمین
79,Boden::N,zəmin,زمین
80,Erde::N,yer torpaq,خاک
81,Erde::N,yer torpaq,زمین
82,Staub::N,toz,گرد
83,Staub::N,toz,غبار
84,Rauch::N,tüstü,دود
85,Funke::N,qığılcım,جرقه
86,Feuer::N,od,آتش
87,Licht::N,işıq,نور
88,Licht::N,işıq,روشنی
89,Schatten::N,kölgə,سایه
90,Wetter::N,hava,هوا
91,Nebel::N,duman,مه
92,Wolke::N,bulud,ابر
93,Regen::N,yağış,باران
94,Regen::N,yağmur,باران
95,Schnee::N,qar,برف
96,Eis::N,buz,یخ
97,Frost::N,ayaz,یخبندان
98,Kälte::N,soyuq,سرما
99,Hitze::N,coşğunluq,گرما
100,Hitze::N,coşğunluq,حرارت
101,Raureif::N,qırov,برف ریزه
102,Regenbogen::N,göy qurşağı,رنگین‌کمان
103,Donner::N,göy gurultusu,رعد
104,Strömung::N,axın,جریان
105,Tropfen::N,damcı,قطره
106,Schaum::N,köpük,کف
107,Schmutz::N,çamır,گل
108,Schmutz::N,çamır,کثافت
109,See::N,göl,دریاچه
110,Sumpf::N,bataqlıq,مرداب
111,Sumpf::N,bataqlıq,باتلاق
112,Moor::N,bataqlıq,باتلاق
113,Wiese::N,çəmən,چمن
114,Wald::N,meşə,جنگل
115,Hügel::N,təpə,تل
116,Hügel::N,təpə,تپه
117,Anhöhe::N,təpə,بلندی
118,Berg::N,dağ,کوه
119,Gipfel::N,zirvə,قله
120,Höhle::N,mağara,غار
121,Abhang::N,yamac,سرازیری
122,Quelle::N,bulaq,چشمه
123,Bach::N,kiçik çay,نهر
124,Fluss::N,çay,رود
125,Ufer::N,kənar,ساحل
126,Ufer::N,kənar,کرانه
127,Küste::N,sahil,ساحل
128,Festland::N,materik,خشکی
129,Meer::N,dəniz,دریا
130,Bucht::N,körfəz,خلیج
131,Insel::N,ada,جزیره
132,Blume::N,çiçək,گل
133,Gras::N,ot,علف
134,Wurzel::N,kök,ریشه
135,Baum::N,ağac,درخت
136,Stamm::N,gövdə,تنه
137,Rinde::N,qabıq,توژ
138,Rinde::N,qabıq,پوست
139,Ast::N,şax,شاخه
140,Zweig::N,budaq,شاخه
141,Blatt::N,yarpaq,برگ
142,Birke::N,tozağacı,غان
143,Kiefer[Baum]::N,şam,کاج
144,Weide[Baum]::N,söyüd,بید
145,Tanne::N,küknar,صنوبر
146,Horn::N,buynuz,شاخ
147,Feder::N,tük,پر
148,Feder::N,lələk,پر
149,Fell::N,xəz,خز
150,Flügel::N,qanad,پر
151,Flügel::N,qanad,بال
152,Klaue::N,pəncə,چنگ
153,Klaue::N,pəncə,پنجه
154,Kralle::N,dırnaq,پنجه
155,Schwanz::N,quyruq,دم
156,Ei::N,yumurta,تخم
157,Nest::N,yuva,لانه
158,Bau::N,yuva,بنا
159,Bau::N,yuva,ساختمان
160,Tier::N,heyvan,هیوان
161,Herde::N,sürü,رمه
162,Kuh::N,inək,گاو
163,Bulle::N,öküz,گاو نر
164,Pferd::N,at,اسب
165,Schaf::N,qoyun,گوسفند
166,Schwein::N,donuz,خوک
167,Hund::N,it,سگ
168,Hund::N,köpək,سگ
169,Katze::N,pişik,گربه
170,Bär::N,ayı,خرس
171,Eichhörnchen::N,dələ,سنجاب
172,Elch::N,sığın,گوزن شمالی
173,Fuchs::N,tülkü,روباه
174,Hase::N,dovşan,خرگوش
175,Maus::N,siçan,موش
176,Wolf::N,qurd,گرگ
177,Vogel::N,quş,پرنده
178,Schwarm::N,sürü,دسته
179,Huhn::N,toyuq,مرغ
180,Hahn::N,xoruz,خروس
181,Gans::N,qaz,غاز
182,Adler::N,qartal,عقاب
183,Adler::N,qaraquş,عقاب
184,Ente::N,ördək,اردک
185,Ente::N,ördək,مرغابی
186,Eule::N,bayquş,جغد
187,Kranich::N,durna,درنا
188,Krähe::N,qarğa,زاغ
189,Krähe::N,qarğa,کلاغ
190,Kuckuck::N,ququ,فاخته
191,Schwan::N,qu quşu,قو
192,Fisch::N,balıq,ماهی
193,Barsch::N,tar,ماهی خاردار
194,Hecht::N,durnabalığı,اردک ماهی
195,Schlange[Tier]::N,ilan,مار
196,Wurm::N,qurd,کرم
197,Spinne::N,hörümçək,عنکبوت
198,Ameise::N,qarışqa,مورچه
199,Laus::N,bit,شپش
200,Mücke::N,ağcaqanad,پشه
201,Fliege::N,milçək,مگس
202,Schmetterling::N,kəpənək,پروانه
203,Beere::N,gilə,گیله
204,Apfel::N,alma,سیب
205,Pilz::N,göbələk,قارچ
206,Zwiebel::N,soğan,پیاز
207,Saat::N,əkin,بذر
208,Korn::N,taxıl,تخم
209,Korn::N,taxıl,دانه
210,Heu::N,quru ot,علف خشک
211,Schale::N,qabıq,پوست
212,Grube::N,çuxur,گودال
213,Falle::N,tələ,دام
214,Falle::N,duzaq,دام
215,Schlinge::N,ilmək,حلقه
216,Spur::N,iz,رد
217,Asche::N,kül,خاکستر
218,Dreck::N,kir,کثافت
219,Eisen::N,dəmir,آهن
220,Gold::N,altun,زر
221,Gold::N,altun,طلا
222,Silber::N,gümüş,نقره
223,Kohle::N,kömür,زغال
224,Glas::N,şüşə,شیشه
225,Lehm::N,gil,گل
226,Lehm::N,palçıq,گل
227,Sand::N,qum,شن
228,Sand::N,qum,ماسه
229,Mensch::N,adam,آدم
230,Mensch::N,adam,انسان
231,Mensch::N,insan,آدم
232,Mensch::N,insan,انسان
233,Mann::N,kişi,مرد
234,Frau::N,qadın,زن
235,Kind::N,uşaq,بچه
236,Kind::N,uşaq,کودک
237,Junge::N,oğlan,پسر
238,Mädchen::N,qız,دختر
239,Familie::N,ailə,فامیل
240,Familie::N,ailə,خانواده
241,Großvater::N,baba,پدربزرگ
242,Großmutter::N,nənə,مادر‌بزرگ
243,Eltern::N,valideyn,والدین
244,Eltern::N,valideyn,پدر‌و‌مادر
245,Vater::N,ata,پدر
246,Mutter::N,ana,مادر
247,Sohn::N,oğul,پسر
248,Tochter::N,qız,دختر
249,Bruder::N,qardaş,برادر
250,Schwester::N,bacı,خواهر
251,Onkel::N,əmi,عمو
252,Onkel::N,əmi,دایی
253,Onkel::N,dayı,عمو
254,Onkel::N,dayı,دایی
255,Tante::N,bibi,عمه
256,Tante::N,bibi,خاله
257,Ehemann::N,ər,همسر
258,Ehefrau::N,arvad,همسر
259,Freude::N,nəşə,شادی
260,Freude::N,sevinc,شادی
261,Gelächter::N,gülüş,خنده
262,Gelächter::N,gülüş,قاه‌قاه
263,Gelächter::N,qəhqəhə,خنده
264,Gelächter::N,qəhqəhə,قاه‌قاه
265,Glück::N,səadət,اقبال
266,Glück::N,xoşbəxtlik,اقبال
267,Kummer::N,qəm,غم
268,Kummer::N,qəm,غصه
269,Kummer::N,kədər,غم
270,Kummer::N,kədər,غصه
271,Wunsch::N,arzu,آرزو
272,Lust::N,həvəs,هوس
273,Geist::N,ruh,روح
274,Gedanke::N,fikir,فکر
275,Gedanke::N,düşüncə,فکر
276,Gedächtnis::N,xatir,حافظه
277,Gedächtnis::N,hafizə,حافظه
278,Verstand::N,ağıl,هوش
279,Sinn::N,məna,معنا
280,Sinn::N,məna,مفهوم
281,Grund::N,səbəb,سبب
282,Grund::N,səbəb,دلیل
283,Wahrheit::N,haqq,حقیقت
284,Wahrheit::N,doğruluq,حقیقت
285,Gespräch::N,söhbət,صحبت
286,Gespräch::N,söhbət,گفتگو
287,Gespräch::N,qonuşma,صحبت
288,Gespräch::N,qonuşma,گفتگو
289,Märchen::N,nağıl,قصه
290,Märchen::N,nağıl,افسانه
291,Erzählung::N,hekayə,داستان
292,Nachricht::N,xəbər,خبر
293,Neuigkeit::N,xəbər,خبر تازه
294,Neuigkeit::N,yenilik,خبر تازه
295,Name::N,ad,اسم
296,Rätsel::N,tapmaca,معما
297,Rede::N,nitq,سخن
298,Sprache::N,dil,زبان
299,Stimme::N,səs,صدا
300,Wort::N,söz,کلمه
301,Wort::N,kəlmə,کلمه
302,Zeichen::N,nişan,نشان
303,Zeichen::N,nişan,علامت
304,Ruf::N,çığırtı,صدا
305,Lärm::N,gurultu,هیاهو
306,Laut::N,səs,صدا
307,Ton::N,ton,آهنگ
308,Lied::N,mahnı,آواز
309,Lied::N,mahnı,ترانه
310,Ruhe::N,sakitlik,آرامش
311,Leute::N,xalq,مردم
312,Volk::N,millət,خلق
313,Arbeit::N,iş,کار
314,Arbeit::N,əmək,کار
315,Gast::N,qonaq,مهمان
316,Gast::N,müsafir,مهمان
317,Geschenk::N,hədiyyə,هدیه
318,Spiel::N,oyun,بازی
319,Spiel::N,tamaşa,بازی
320,Gesellschaft::N,cəmiyyet,جمعیت
321,Hilfe::N,kömək,کمک
322,Hilfe::N,yardım,کمک
323,Freund::N,dost,دوست
324,Kamerad::N,yoldaş,رفیق
325,Angelegenheit::N,iş,امر
326,Angelegenheit::N,iş,قضیه
327,Anzahl::N,say,عده
328,Anzahl::N,say,شمار
329,Art::N,çeşid,نوع
330,Stück::N,dənə,تکه
331,Stück::N,dənə,قطعه
332,Stück::N,parça,تکه
333,Stück::N,parça,قطعه
334,Teil::N,qisim,بخش
335,Teil::N,qisim,قسمت
336,Hälfte::N,yarım,نیم
337,Kreis::N,dairə,حلقه
338,Kreis::N,dairə,دایره
339,Kreuz::N,xaç,صلیب
340,Linie::N,xətt,خط
341,Linie::N,xətt,سطر
342,Strich::N,cızıq,خط
343,Abstand::N,məsafə,فاصله
344,Entfernung::N,məsafə,مسافت
345,Entfernung::N,uzaqlıq,مسافت
346,Gegend::N,bölgə,منطقه
347,Platz::N,yer,گنجایش
348,Ort::N,yer,جا
349,Ort::N,yer,محل
350,Ort::N,yer,مکان
351,Seite::N,yan,طرف
352,Seite::N,tərəf,طرف
353,Mitte::N,orta,وسط
354,Mitte::N,orta,میان
355,Gegenstand::N,şey,چیز
356,Sache::N,şey,چیز
357,Rand::N,kənar,کنار
358,Rand::N,kənar,حاشیه
359,Kante::N,tiyə,لبه
360,Kante::N,kənar,لبه
361,Ecke::N,bucaq,گوشه
362,Spitze::N,uc,سر
363,Spitze::N,uc,نوک
364,Ende::N,son,ته
365,Ende::N,son,آخر
366,Ende::N,axır,ته
367,Ende::N,axır,آخر
368,Loch::N,deşik,سوراخ
369,Winkel::N,guşə,کنج
370,Muster::N,ülgü,نقش
371,Größe::N,böyüklük,قد
372,Größe::N,böyüklük,بزرگی
373,Länge::N,uzunluq,طول
374,Höhe::N,yüksəklik,بلندی
375,Gewicht::N,çəki,وزن
376,Gewicht::N,ağırlıq,وزن
377,Menge::N,miqdar,مقدار
378,Menge::N,miqdar,اندازه
379,Haufen::N,yığın,توده
380,Reihe::N,səf,ردیف
381,Reihe::N,sıra,ردیف
382,Boot::N,qayıq,قایق
383,Ruder::N,kürək,پارو
384,Schlitten::N,kirşə,سورتمه
385,Ski::N,xizək,اسکی
386,Lagerfeuer::N,düşərgə tonqalı,آتش
387,Last::N,yük,بار
388,Last::N,yük,سنگینی
389,Gang::N,yeriş,راه رفتن
390,Schritt::N,addım,قدم
391,Norden::N,şimal,شمال
392,Süden::N,cənub,جنوب
393,Westen::N,qərb,غرب
394,Osten::N,şərq,شرق
395,Holz::N,ağac,چوب
396,Holz::N,taxta,چوب
397,Brett::N,taxta,تخته
398,Platte::N,lövhə,صفحه
399,Stütze::N,dayaq,تکیه
400,Stütze::N,dəstək,تکیه
401,Stange::N,şüvül,میله
402,Stock::N,dəyənək,چوب
403,Stab::N,əsa,عصا
404,Stab::N,şüvül,عصا
405,Rohr::N,boru,لوله
406,Rohr::N,truba,لوله
407,Haus::N,ev,منزل
408,Heim::N,ev,خانه
409,Heim::N,ev,کاشانه
410,Ofen::N,peç,بخاری
411,Ofen::N,soba,بخاری
412,Fußboden::N,döşəmə,کف اتاق
413,Tisch::N,masa,میز
414,Stuhl::N,stul,صندلی
415,Wiege::N,beşik,گهواره
416,Bett::N,yataq,تختخواب
417,Regal::N,rəf,قفسه
418,Kiste::N,yeşik,صندوق
419,Kiste::N,sandıq,صندوق
420,Fenster::N,pəncərə,پنجره
421,Tür::N,qapı,در
422,Tür::N,qapı,درب
423,Tor::N,darvaza,دروازه
424,Zaun::N,çəpər,حصار
425,Dach::N,dam,بام
426,Leiter::N,nərdivan,نردبان
427,Besen::N,süpürgə,جارو
428,Spaten::N,kürək,بیل
429,Schaufel::N,kürək,بیل
430,Schaufel::N,kürək,پارو
431,Gabel::N,çəngəl,چنگال
432,Löffel::N,qaşıq,قاشق
433,Messer::N,bıçaq,کارد
434,Nagel::N,mıx,میخ
435,Netz::N,tor,تور
436,Netz::N,tor,شبکه
437,Haken::N,çəngəl,قلاب
438,Griff::N,qulp,دسته
439,Griff::N,tutacaq,دسته
440,Schloss::N,qıfıl,قفل
441,Bild::N,rəsm,عکس
442,Bild::N,rəsm,تصویر
443,Figur::N,şəkil,تندیس
444,Figur::N,heykəl,تندیس
445,Puppe::N,kukla,عروسک
446,Puppe::N,gəlincik,عروسک
447,Beutel::N,kisə,کیسه
448,Beutel::N,torba,کیسه
449,Bündel::N,bağlama,بسته
450,Tasche::N,çanta,کیف
451,Eimer::N,vedrə,سطل
452,Eimer::N,çəllək,سطل
453,Deckel::N,qapaq,در
454,Geschirr::N,qab-qazan,ظرف
455,Sack::N,çuval,گونی
456,Tasse::N,fincan,فنجان
457,Topf::N,qazan,دیگ
458,Topf::N,qazan,قابلمه
459,Kessel::N,qazan,دیگ
460,Essen::N,yemək,خوراک
461,Nahrung::N,qida,غذا
462,Speise::N,xörək,خوراک
463,Fleisch::N,ət,گوشت
464,Getreide::N,taxıl,غله
465,Brei::N,aş,فرنی
466,Brei::N,aş,حریره
467,Brei::N,sıyıq,فرنی
468,Brei::N,sıyıq,حریره
469,Brot::N,çörək,نان
470,Scheibe::N,dilim,قاچ
471,Scheibe::N,dilim,لزگه
472,Fett::N,yağ,چربی
473,Butter::N,kərə yağı,کره
474,Öl::N,yağ,روغن
475,Salz::N,duz,نمک
476,Suppe::N,şorba,آش
477,Suppe::N,şorba,سوپ
478,Honig::N,bal,عسل
479,Milch::N,süd,شیر
480,Tee::N,çay,چای
481,Leder::N,dəri,چرم
482,Wolle::N,yun,پشم
483,Stoff::N,qumaş,پارچه
484,Nadel::N,iynə,سوزن
485,Faden::N,sap,نخ
