,Concept_ID,zh,kl
0,Auge::N,眼睛,isi
1,Ohr::N,耳朵,siut
2,Nase::N,鼻子,
3,Mund::N,嘴,paaq
4,Mund::N,嘴,qaneq
5,Zahn::N,牙齿,kigut
6,Zunge::N,舌头,oqaq
7,Lippe::N,嘴唇,qarloq
8,Wange::N,面颊,ersaq
9,Gesicht::N,脸,kiinaq
10,Stirn::N,额,qaaq
11,Haar::N,头发,meqqoq
12,Schnurrbart::N,髭须,
13,Bart::N,胡子,umik
14,Kinn::N,下巴,talloq
15,Kiefer[Anatomie]::N,颌,alleroq
16,Kehle::N,嗓子,malaq
17,Hals::N,颈,qungaseq
18,Genick::N,后颈,pukusuk
19,Kopf::N,头,niaqoq
20,Rücken::N,背,qimerlut
21,Bauch::N,肚子,naaq
22,Nabel::N,肚脐,qalaseq
23,Busen::N,胸脯,iviangeq
24,Brust::N,胸,iviangeq
25,Schulter::N,肩膀,ersik
26,Schulter::N,肩膀,assaqqoq
27,Arm::N,臂膀,taleq
28,Ellenbogen::N,肘,ikusik
29,Hand::N,手,assak
30,Handfläche::N,手掌,itumak
31,Finger::N,手指,inuak
32,Fingernagel::N,指甲,kikiak
33,Nagel[Anatomie]::N,指甲,kukik
34,Zeh::N,脚趾,isigak
35,Fuß::N,脚,
36,Ferse::N,后跟,kimmik
37,Knie::N,膝,seeqqoq
38,Oberschenkel::N,大腿,uppat
39,Oberschenkel::N,大腿,quttoraq
40,Bein::N,腿,isigak
41,Körper::N,身体,timi
42,Haut::N,皮肤,mattak
43,Blut::N,血,aak
44,Ader::N,血管,taqaq
45,Sehne::N,腱,ujalu
46,Sehne::N,腱,ujaloq
47,Knochen::N,骨,saanikut
48,Gehirn::N,脑,qarasaq
49,Herz::N,心,uummat
50,Magen::N,胃,aqajaroq
51,Leber::N,肝,tinguk
52,Atem::N,呼吸,anerneq
53,Hunger::N,饿,kaanneq
54,Träne::N,眼泪,qia
55,Träne::N,眼泪,qiak
56,Geschmack::N,味道,qilanaartuut
57,Geruch::N,气味,tipi
58,Geruch::N,气味,tipik
59,Schlaf::N,睡眠,
60,Traum::N,梦,sinnattoq
61,Traum::N,梦,sinnattugaq
62,Himmel::N,天空,qilak
63,Sonne::N,太阳,seqineq
64,Mond::N,月亮,qaammat
65,Stern::N,星,ulloriaq
66,Luft::N,空气,silaannaq
67,Wind::N,风,anori
68,Wind::N,风,anorsarik
69,Welle::N,波,aalappaa
70,Wasser::N,水,imeq
71,Stein::N,石头,ujarak
72,Boden::N,地面,nateq
73,Erde::N,地,issoq
74,Staub::N,灰尘,pujualanerit
75,Staub::N,灰尘,pujoralanerit
76,Rauch::N,烟,iseq
77,Rauch::N,烟,pujoq
78,Funke::N,火花,illoorneq
79,Feuer::N,火,inneq
80,Licht::N,光,qaamaneq
81,Schatten::N,影子,tarraq
82,Wetter::N,天气,sila
83,Nebel::N,雾,pujoq
84,Wolke::N,云,nuia
85,Regen::N,雨,sialuk
86,Schnee::N,雪,aput
87,Eis::N,冰,siku
88,Frost::N,霜冻,issi
89,Frost::N,霜冻,issik
90,Kälte::N,寒冷,issi
91,Hitze::N,炎热,kianneq
92,Hitze::N,炎热,kiassuseq
93,Raureif::N,霜,kaneq
94,Regenbogen::N,虹,neriusaaq
95,Donner::N,雷,kalleq
