,Concept_ID,ku,ja
0,Auge::N,çav,目
1,Ohr::N,guh,耳
2,Nase::N,bêvil,鼻
3,Mund::N,dev,口
4,Zahn::N,didan,歯
5,Zunge::N,ziman,舌
6,Lippe::N,lêv,唇
7,Wange::N,dêm,頬
8,Wange::N,hinarik,頬
9,Gesicht::N,rû,顔
10,Stirn::N,enî,額
11,Haar::N,por,髪
12,Schnurrbart::N,simbêl,口髭
13,Bart::N,rih,髭
14,Kinn::N,zenî,顎
15,Kiefer[Anatomie]::N,arguşk,顎
16,Kehle::N,qirik,喉
17,Hals::N,stû,首
18,Hals::N,qirik,首
19,Genick::N,stû,首
20,Kopf::N,serî,頭
21,Rücken::N,pişt,背中
22,Bauch::N,ûr,腹
23,Bauch::N,ûr,お腹
24,Bauch::N,zik,腹
25,Bauch::N,zik,お腹
26,Nabel::N,navik,へそ
27,Busen::N,sîng,乳房
28,Brust::N,sîng,胸
29,Schulter::N,mil,肩
30,Arm::N,çepil,腕
31,Ellenbogen::N,enîşk,肘
32,Hand::N,dest,手
33,Handfläche::N,kefadest,手のひら
34,Finger::N,tilî,指
35,Fingernagel::N,neynuk,爪
36,Nagel[Anatomie]::N,bizmar,爪
37,Zeh::N,tilî linga,足の指
38,Fuß::N,ling,足
39,Ferse::N,pahnî,かかと
40,Knie::N,kabok,膝
41,Oberschenkel::N,rahn,上腿
42,Bein::N,çip,足
43,Körper::N,laş,体
44,Körper::N,gowde,体
45,Haut::N,çerm,皮膚
46,Blut::N,xwîn,血
47,Ader::N,reh,血管
48,Sehne::N,reh,腱
49,Knochen::N,hestî,骨
50,Gehirn::N,mêjî,脳
51,Herz::N,dil,心
52,Herz::N,dil,心臓
53,Magen::N,navêş,胃
54,Leber::N,kezeb,肝臓
55,Atem::N,hilm,息
56,Atem::N,hilm,呼吸
57,Hunger::N,birçîtî,空腹
58,Träne::N,hêstir,涙
59,Geschmack::N,tam,味
60,Geruch::N,bêhn,匂い
61,Schlaf::N,xew,睡眠
62,Traum::N,xewn,夢
63,Himmel::N,ezman,空
64,Sonne::N,roj,太陽
65,Mond::N,heyv,月
66,Stern::N,stêrk,星
67,Luft::N,ba,空気
68,Wind::N,ba,風
69,Welle::N,şewl,波
70,Wasser::N,av,水
71,Stein::N,kevir,石
72,Boden::N,herd,土地
73,Erde::N,ax,土
74,Staub::N,toz,埃
75,Rauch::N,dû,煙
76,Funke::N,çirûşk,火花
77,Feuer::N,agir,火
78,Licht::N,ronahî,光
79,Schatten::N,sî,陰
80,Wetter::N,hewa,天気
81,Nebel::N,mij,霧
82,Wolke::N,ewr,雲
83,Regen::N,baran,雨
84,Schnee::N,berf,雪
85,Eis::N,qeşa,氷
86,Frost::N,xûsik,霜
87,Kälte::N,serma,寒さ
88,Hitze::N,germayî,暑さ
89,Raureif::N,şext,霧氷
90,Regenbogen::N,heftreng,虹
91,Donner::N,gire-gir,雷
92,Strömung::N,şewl,流れ
93,Tropfen::N,dilop,滴
94,Schaum::N,kef,泡
95,Schmutz::N,gemar,汚れ
96,See::N,gol,湖
97,Sumpf::N,hezek,沼
98,Moor::N,mafêl,湿原
99,Wiese::N,sûrik,草原
100,Wald::N,çiya,森
101,Wald::N,daristan,森
102,Hügel::N,gir,丘
103,Anhöhe::N,sere gir,高み
104,Berg::N,kaş,山
105,Gipfel::N,sere gir,頂上
106,Höhle::N,şikeft,洞窟
107,Abhang::N,kaş,斜面
108,Quelle::N,kanî,泉
109,Bach::N,çem,小川
110,Fluss::N,çem,川
111,Fluss::N,rûbar,川
112,Ufer::N,kevî,岸
113,Küste::N,berav,海岸
114,Festland::N,bejahî,陸
115,Meer::N,behr,海
116,Bucht::N,derav,湾
117,Insel::N,girav,島
118,Blume::N,kulînk,花
119,Gras::N,giha,草
120,Wurzel::N,reh,根
121,Baum::N,dar,木
122,Stamm::N,bavik,幹
123,Rinde::N,qaqil,皮層
124,Ast::N,gulî,枝
125,Zweig::N,şax,小枝
126,Blatt::N,pel,葉
127,Birke::N,dara sipî,樺
128,Kiefer[Baum]::N,dara bî,松
129,Weide[Baum]::N,dara belalûk,柳
130,Tanne::N,merx,樅
131,Horn::N,strô,角
132,Feder::N,pîrtîk,羽根
133,Fell::N,heyar,毛皮
134,Flügel::N,per,羽
135,Klaue::N,napîk,鉤爪
136,Kralle::N,dinik,爪
137,Kralle::N,dirnax,爪
138,Schwanz::N,dûv,尻尾
139,Ei::N,hêk,卵
140,Nest::N,hêlîn,巣
141,Bau::N,avahî,穴
142,Tier::N,heywan,動物
143,Herde::N,hoz,群れ
144,Kuh::N,çêlek,牛
145,Bulle::N,ga,雄牛
146,Pferd::N,hesp,馬
147,Schaf::N,mîh,羊
148,Schwein::N,beraz,豚
149,Hund::N,seh,犬
150,Katze::N,pişîk,猫
151,Bär::N,hirç,熊
152,Eichhörnchen::N,pilûr,栗鼠
153,Elch::N,pazkovî,ヘラジカ
154,Fuchs::N,rovî,狐
155,Hase::N,kîroşk,兎
156,Maus::N,mişk,鼠
157,Wolf::N,gur,狼
158,Vogel::N,çûk,鳥
159,Schwarm::N,lufik,群れ
160,Huhn::N,mirîşk,鶏
161,Hahn::N,dîk,雄鶏
162,Gans::N,qaz,ガチョウ
163,Adler::N,eylo,鷲
164,Ente::N,werdek,鴨
165,Eule::N,bûm,フクロウ
166,Eule::N,kund,フクロウ
167,Kranich::N,quling,鶴
168,Krähe::N,qijik,烏
169,Kuckuck::N,pepûk,郭公
170,Schwan::N,qû,白鳥
171,Fisch::N,masî,魚
172,Barsch::N,okûn,鱸
173,Hecht::N,mesîyê lûf,川魳
174,Schlange[Tier]::N,mar,蛇
175,Wurm::N,kurm,虫
176,Spinne::N,pîrê,蜘蛛
177,Ameise::N,mîro,蟻
178,Ameise::N,gêrîk,蟻
179,Laus::N,spi,虱
180,Mücke::N,mêş,蚊
181,Fliege::N,mêş,蝿
182,Schmetterling::N,perperîk,蝶
183,Beere::N,hirç,漿果
184,Apfel::N,sêv,林檎
185,Pilz::N,bîrov,茸
186,Zwiebel::N,pîvaz,玉葱
187,Saat::N,tov,種
188,Korn::N,dexl,粒
189,Heu::N,sap,干し草
190,Schale::N,qaşik,皮
191,Grube::N,çahl,穴
192,Falle::N,dafik,わな
193,Schlinge::N,dahf,輪
194,Spur::N,rêç,跡
195,Asche::N,xweli,灰
196,Dreck::N,gemarî,泥
197,Eisen::N,hesing,鉄
198,Gold::N,zêr,金
199,Silber::N,zîv,銀
200,Kohle::N,komir,炭
201,Glas::N,qedeh,ガラス
202,Lehm::N,kelpîç,ローム
203,Sand::N,qûm,砂
204,Mensch::N,mirov,人
205,Mann::N,mêr,男
206,Mann::N,mêr,男性
207,Frau::N,jin,女
208,Frau::N,jin,女性
209,Kind::N,zarok,子
210,Kind::N,zarok,子供
211,Junge::N,kur,男の子
212,Mädchen::N,keç,女の子
213,Mädchen::N,keçik,女の子
214,Familie::N,malbat,家族
215,Großvater::N,bapîr,祖父
216,Großvater::N,bapîr,おじいさん
217,Großmutter::N,pîrik,祖母
218,Großmutter::N,pîrik,おばあさん
219,Eltern::N,bavudê,親
220,Eltern::N,bavudê,両親
221,Vater::N,bav,父
222,Vater::N,bav,お父さん
223,Mutter::N,dê,母
224,Mutter::N,dê,お母さん
225,Mutter::N,dayik,母
226,Mutter::N,dayik,お母さん
227,Sohn::N,kur,息子
228,Sohn::N,kur,息子さん
229,Tochter::N,keç,娘
230,Tochter::N,keç,お嬢さん
231,Bruder::N,bira,弟
232,Schwester::N,xweh,妹
233,Onkel::N,am,伯父
234,Onkel::N,am,伯父さん
235,Onkel::N,xal,伯父
236,Onkel::N,xal,伯父さん
237,Tante::N,metik,叔母
238,Tante::N,metik,叔母さん
239,Tante::N,xaltîk,叔母
240,Tante::N,xaltîk,叔母さん
241,Ehemann::N,mêr,夫
242,Ehemann::N,mêr,主人
243,Ehefrau::N,kulfet,妻
244,Ehefrau::N,kulfet,奥さん
245,Freude::N,kêfxweşî,喜び
246,Gelächter::N,pîrqînî,笑い
247,Glück::N,bext,幸せ
248,Kummer::N,derd,悩み
249,Wunsch::N,daxwaz,希望
250,Wunsch::N,xwestek,希望
251,Lust::N,şewq,気
252,Geist::N,aqil,精神
253,Gedanke::N,fikir,考え
254,Gedächtnis::N,aqil,記憶
255,Verstand::N,fêm,理解力
256,Sinn::N,aqil,意味
257,Grund::N,asas,理由
258,Wahrheit::N,rastî,真実
259,Gespräch::N,guftûgo,会話
260,Märchen::N,çirok,童話
261,Erzählung::N,çirok,物語
262,Erzählung::N,vegotin,物語
263,Nachricht::N,nûçe,報告
