,Concept_ID,udm,ro
0,Auge::N,син,ochi
1,Ohr::N,пель,ureche
2,Nase::N,ныр,nas
3,Mund::N,ым,gură
4,Zahn::N,пинь,dinte
5,Zunge::N,кыл,limbă
6,Lippe::N,ымдур,buză
7,Wange::N,бам,bucă
8,Wange::N,бам,obraz
9,Gesicht::N,ымныр,față
10,Gesicht::N,ымныр,figură
11,Stirn::N,кымес,frunte
12,Haar::N,йырси,păr
13,Schnurrbart::N,мыйык,mustață
14,Bart::N,туш,barbă
15,Kinn::N,ангес,bărbie
16,Kiefer[Anatomie]::N,ан,falcă
17,Kiefer[Anatomie]::N,анлы,falcă
18,Kehle::N,гульым,beregată
19,Hals::N,чырты,gât
20,Genick::N,йырбер,ceafă
21,Kopf::N,йыр,cap
22,Rücken::N,мыш,dos
23,Rücken::N,мыш,spate
24,Rücken::N,мыш,spinare
25,Bauch::N,кӧт,burtă
26,Bauch::N,кӧт,pântece
27,Nabel::N,гогы,buric
28,Busen::N,ноны,sân
29,Brust::N,мӧля,piept
30,Schulter::N,пельпум,umăr
31,Schulter::N,пельпум,spate
32,Arm::N,суй,braț
33,Ellenbogen::N,гырпум,cot
34,Hand::N,ки,mână
35,Handfläche::N,ки пыдэс,palmă
36,Handfläche::N,кырым пыдэс,palmă
37,Finger::N,чиньы,deget
38,Fingernagel::N,гижы,unghie
39,Fingernagel::N,гиждӥнь,unghie
40,Nagel[Anatomie]::N,гижы,unghie
41,Zeh::N,пыдчиньы,deget de la picior
42,Fuß::N,пыд,picior
43,Ferse::N,пыдбер,călcâi
44,Knie::N,пыдес,genunchi
45,Oberschenkel::N,макес,coapsă
46,Bein::N,пыд,picior
47,Körper::N,мугор,corp
48,Körper::N,вылтыр,corp
49,Haut::N,ку,piele
50,Blut::N,вир,sânge
51,Ader::N,вирсэр,vână
52,Ader::N,вирсэр,arteră
53,Sehne::N,вуж,tendon
54,Knochen::N,лы,os
55,Gehirn::N,вим,creier
56,Herz::N,сюлэм,inimă
57,Magen::N,ӝуш,stomac
58,Leber::N,мус,ficat
59,Atem::N,лул,răsuflare
60,Atem::N,лул,respirație
61,Atem::N,шокан,răsuflare
62,Atem::N,шокан,respirație
63,Hunger::N,кӧтсюман,foame
64,Träne::N,синкыли,lacrimă
65,Geschmack::N,шӧм,gust
66,Geruch::N,зын,miros
67,Schlaf::N,вӧт,somn
68,Traum::N,уйвӧт,vis
69,Himmel::N,ин,cer
70,Sonne::N,шунды,soare
71,Mond::N,толэзь,lună
72,Stern::N,кизили,stea
73,Luft::N,омыр,aer
74,Wind::N,тӧл,vânt
75,Welle::N,тулкым,val
76,Welle::N,тулкым,undă
77,Wasser::N,ву,apă
78,Stein::N,из,piatră
79,Boden::N,музъем,sol
80,Boden::N,музъем,pământ
81,Erde::N,му,pământ
82,Staub::N,пыль,praf
83,Rauch::N,ӵын,fum
84,Funke::N,гизьы,scânteie
85,Feuer::N,тыл,foc
86,Licht::N,тыл,lumină
87,Schatten::N,вужер,umbră
88,Wetter::N,куазь,timp
89,Wetter::N,куазь,vreme
90,Nebel::N,бус,ceață
91,Nebel::N,бус,negură
92,Wolke::N,пилем,nor
93,Regen::N,зор,ploaie
94,Schnee::N,лымы,zăpadă
95,Eis::N,йӧ,gheață
96,Frost::N,кезьыт,ger
97,Kälte::N,кезьыт,frig
98,Hitze::N,пӧсь,arșiță
99,Hitze::N,пӧсь,căldură
100,Raureif::N,гӧр,chiciură
101,Regenbogen::N,вуюись,curcubeu
102,Donner::N,гудыри,tunet
103,Strömung::N,бызён,curent
104,Tropfen::N,шапык,picătură
105,Schaum::N,шукы,spumă
106,Schmutz::N,нӧд,murdărie
107,Schmutz::N,дэри,murdărie
108,See::N,ты,lac
109,Sumpf::N,нюр,mlaștină
110,Moor::N,нюр,bărăgan
111,Wiese::N,возь,fânaț
112,Wiese::N,возь,livadă
113,Wiese::N,возьвыл,fânaț
114,Wiese::N,возьвыл,livadă
115,Wald::N,сик,codru
116,Wald::N,сик,pădure
117,Wald::N,нюлэс,codru
118,Wald::N,нюлэс,pădure
119,Hügel::N,выр,deal
120,Hügel::N,выр,movilă
121,Hügel::N,вырйыл,deal
122,Hügel::N,вырйыл,movilă
123,Anhöhe::N,выр,deal
124,Anhöhe::N,выр,ridicătură
125,Anhöhe::N,вырйыл,deal
126,Anhöhe::N,вырйыл,ridicătură
127,Berg::N,гурезь,munte
128,Gipfel::N,йыл,pisc
129,Höhle::N,гу,peșteră
130,Abhang::N,бам,pantă
131,Abhang::N,бам,versant
132,Quelle::N,ошмес,izvor
133,Bach::N,пичи шур,gârlă
134,Fluss::N,шур,râu
135,Fluss::N,шур,fluviu
136,Ufer::N,ярдур,mal
137,Ufer::N,ярдур,țărm
138,Küste::N,вудур,coastă
139,Festland::N,мувыр,uscat
140,Meer::N,зарезь,mare
141,Bucht::N,вукож,golf
142,Insel::N,вумуӵ,insulă
143,Insel::N,шормуӵ,insulă
144,Blume::N,сяська,floare
145,Gras::N,турын,iarbă
146,Wurzel::N,выжы,rădăcină
147,Baum::N,пу,copac
148,Baum::N,пу,arbore
149,Stamm::N,модос,tulpină
150,Rinde::N,сул,scoarță
151,Ast::N,ул,cracă
152,Ast::N,ул,creangă
153,Zweig::N,вай,ramură
154,Zweig::N,вай,creangă
155,Blatt::N,куар,frunză
156,Birke::N,кызьпу,mesteacăn
157,Kiefer[Baum]::N,пужым,pin
158,Weide[Baum]::N,бадьпу,salcie
159,Weide[Baum]::N,бадьпу,răchită
160,Tanne::N,кыз,brad
161,Horn::N,сюр,corn
162,Feder::N,тылы,pană
163,Fell::N,ку,piele
164,Flügel::N,бурд,aripă
165,Klaue::N,гижы,gheară
166,Kralle::N,пыд,labă
167,Kralle::N,пыд,gheară
168,Schwanz::N,быж,coadă
169,Ei::N,пуз,ou
170,Ei::N,кукей,ou
171,Nest::N,кар,cuib
172,Nest::N,пузкар,cuib
173,Bau::N,кар,bârlog
174,Bau::N,кар,vizuină
175,Bau::N,гу,bârlog
176,Bau::N,гу,vizuină
177,Tier::N,пӧйшур,animal
178,Herde::N,уллё,turmă
179,Herde::N,уллё,cireadă
180,Kuh::N,скал,vacă
181,Bulle::N,ош,taur
182,Bulle::N,пороз,taur
183,Pferd::N,вал,cal
184,Schaf::N,ыж,oaie
185,Schwein::N,парсь,porc
186,Hund::N,пуны,câine
187,Katze::N,коӵыш,pisică
188,Bär::N,гондыр,urs
189,Eichhörnchen::N,коньы,veveriță
190,Elch::N,койык,elan
191,Fuchs::N,ӟичы,vulpe
192,Hase::N,кеч,iepure
193,Maus::N,шыр,șoarece
194,Wolf::N,кион,lup
195,Vogel::N,тылобурдо,pasăre
196,Schwarm::N,уллё,cârd
197,Huhn::N,курег,găină
198,Hahn::N,атас,cocoș
199,Gans::N,ӟазег,gâscă
200,Adler::N,ӧрзи,vultur
201,Ente::N,ӵӧж,rață
202,Eule::N,кучыран,bufniță
203,Kranich::N,тури,cocor
204,Krähe::N,куака,cioară
205,Kuckuck::N,кикы,cuc
206,Schwan::N,юсь,lebădă
207,Fisch::N,чорыг,pește
208,Barsch::N,юш,biban
209,Hecht::N,чипей,știucă
210,Schlange[Tier]::N,кый,șarpe
211,Wurm::N,нумыр,vierme
212,Spinne::N,чонари,păianjen
213,Ameise::N,кузьыли,furnică
214,Laus::N,тэй,păduche
215,Mücke::N,нымы,țânțar
216,Mücke::N,чибинь,țânțar
217,Fliege::N,кут,muscă
218,Schmetterling::N,бубыли,fluture
