,Concept_ID,ku,cv
0,Auge::N,çav,куҫ
1,Ohr::N,guh,хӑлха
2,Nase::N,bêvil,сӑмса
3,Mund::N,dev,ҫӑвар
4,Zahn::N,didan,шӑл
5,Zunge::N,ziman,чӗлхе
6,Lippe::N,lêv,тута
7,Wange::N,dêm,пит ҫӑмарти
8,Wange::N,hinarik,пит ҫӑмарти
9,Gesicht::N,rû,пит
10,Gesicht::N,rû,пит-куҫ
11,Stirn::N,enî,ҫамка
12,Haar::N,por,ҫӳҫ
13,Schnurrbart::N,simbêl,усси
14,Bart::N,rih,сухал
15,Kinn::N,zenî,янах
16,Kiefer[Anatomie]::N,arguşk,янах
17,Kehle::N,qirik,пыр
18,Kehle::N,qirik,карланкӑ
19,Hals::N,stû,пыр
20,Hals::N,qirik,пыр
21,Genick::N,stû,ӗнсе
22,Kopf::N,serî,пуҫ
23,Rücken::N,pişt,ҫурӑм
24,Bauch::N,ûr,
25,Bauch::N,zik,
26,Nabel::N,navik,кӑвапа
27,Busen::N,sîng,кӑкӑр
28,Brust::N,sîng,умӗ
29,Schulter::N,mil,хул пуҫҫи
30,Arm::N,çepil,алӑ
31,Ellenbogen::N,enîşk,чавса
32,Hand::N,dest,алӑ сыппи
33,Handfläche::N,kefadest,ал лаппи
34,Finger::N,tilî,пӳрне
35,Fingernagel::N,neynuk,чӗрне
36,Nagel[Anatomie]::N,bizmar,чӗрне
37,Zeh::N,tilî linga,пӳрне
38,Fuß::N,ling,ура лаппи
39,Ferse::N,pahnî,кӗле
40,Knie::N,kabok,чӗркуҫҫи
41,Oberschenkel::N,rahn,пӗҫӗ
42,Bein::N,çip,ура
43,Körper::N,laş,ӳт
44,Körper::N,laş,ӳт-пӳ
45,Körper::N,gowde,ӳт
46,Körper::N,gowde,ӳт-пӳ
47,Haut::N,çerm,тир
48,Blut::N,xwîn,юн
49,Ader::N,reh,вена
50,Sehne::N,reh,шӑнӑр
51,Knochen::N,hestî,шӑмӑ
52,Gehirn::N,mêjî,миме
53,Herz::N,dil,чӗре
54,Magen::N,navêş,хырӑмлӑх
55,Leber::N,kezeb,пӗвер
56,Atem::N,hilm,сывлав
57,Hunger::N,birçîtî,выҫлӑх
58,Träne::N,hêstir,куҫҫуль
59,Geschmack::N,tam,техӗм
60,Geruch::N,bêhn,шӑршӑ
61,Schlaf::N,xew,ыйхӑ
62,Traum::N,xewn,тӗлӗк
63,Himmel::N,ezman,пӗлӗт
64,Sonne::N,roj,хӗвел
65,Mond::N,heyv,уйӑх
66,Stern::N,stêrk,ҫӑлтӑр
67,Luft::N,ba,сывлӑш
68,Wind::N,ba,ҫил
69,Welle::N,şewl,хум
70,Wasser::N,av,шыв
71,Wasser::N,av,шыв-шур
72,Stein::N,kevir,чул
73,Boden::N,herd,тӑпра
74,Erde::N,ax,ҫӗр
75,Staub::N,toz,тусан
76,Rauch::N,dû,тӗтӗм
77,Funke::N,çirûşk,хӗм
78,Feuer::N,agir,вут
79,Feuer::N,agir,ҫулӑм
80,Licht::N,ronahî,ҫутӑ
81,Schatten::N,sî,сулхӑн
82,Wetter::N,hewa,ҫанталӑк
83,Nebel::N,mij,тӗтре
84,Wolke::N,ewr,пӗлӗт
85,Regen::N,baran,ҫумӑр
86,Schnee::N,berf,юр
87,Eis::N,qeşa,пӑр
88,Frost::N,xûsik,сивӗ
89,Kälte::N,serma,сивӗ
90,Hitze::N,germayî,вӗри
91,Hitze::N,germayî,шӑрӑх
92,Raureif::N,şext,пас
93,Regenbogen::N,heftreng,асамат кӗперӗ
94,Donner::N,gire-gir,аслати
95,Strömung::N,şewl,юхӑ
96,Tropfen::N,dilop,тумлам
97,Schaum::N,kef,кӑпӑк
98,Schmutz::N,gemar,пылчӑк
99,See::N,gol,кӳлӗ
100,Sumpf::N,hezek,шур
101,Sumpf::N,hezek,шурлӑх
102,Moor::N,mafêl,торфлӑ шурлӑх
103,Wiese::N,sûrik,улӑх
104,Wiese::N,sûrik,ҫаран
105,Wald::N,çiya,вӑрман
106,Wald::N,daristan,вӑрман
107,Hügel::N,gir,сӑрт
108,Hügel::N,gir,тӗмеске
109,Anhöhe::N,sere gir,сӑрт
110,Berg::N,kaş,ту
111,Gipfel::N,sere gir,тӳпе
112,Höhle::N,şikeft,ҫӗр хӑвӑлӗ
113,Abhang::N,kaş,тӑвайкки
114,Quelle::N,kanî,ҫӑл куҫ
115,Bach::N,çem,пӗчӗк шыв
116,Fluss::N,çem,юхан шыв
117,Fluss::N,rûbar,юхан шыв
118,Ufer::N,kevî,ҫыран
119,Küste::N,berav,тинӗс ҫыранӗ
120,Festland::N,bejahî,тип ҫӗр
121,Meer::N,behr,тинӗс
122,Bucht::N,derav,тинӗс кукӑрӗ
123,Insel::N,girav,утрав
124,Blume::N,kulînk,чечек
125,Gras::N,giha,курӑк
126,Wurzel::N,reh,тымар
127,Baum::N,dar,йывӑҫ
128,Stamm::N,bavik,вулӑ
129,Rinde::N,qaqil,хуйӑр
130,Ast::N,gulî,турат
131,Zweig::N,şax,турат
132,Blatt::N,pel,ҫулҫӑ
133,Birke::N,dara sipî,хурӑн
134,Kiefer[Baum]::N,dara bî,хыр
135,Weide[Baum]::N,dara belalûk,хӑва
136,Tanne::N,merx,чӑрӑш
137,Horn::N,strô,мӑйрака
138,Feder::N,pîrtîk,тӗк
139,Fell::N,heyar,ҫӑм
140,Flügel::N,per,ҫунат
141,Klaue::N,napîk,чӗрне
142,Kralle::N,dinik,ура
143,Kralle::N,dirnax,ура
144,Schwanz::N,dûv,хӳре
145,Ei::N,hêk,ҫӑмарта
146,Nest::N,hêlîn,йӑва
147,Bau::N,avahî,йӗнӗ
148,Tier::N,heywan,выльӑх
149,Herde::N,hoz,кӗтӳ
150,Kuh::N,çêlek,ӗне
151,Bulle::N,ga,вӑкӑр
152,Pferd::N,hesp,лаша
153,Schaf::N,mîh,сурӑх
154,Schwein::N,beraz,сысна
155,Hund::N,seh,йытӑ
156,Katze::N,pişîk,кушак
157,Bär::N,hirç,упа
158,Eichhörnchen::N,pilûr,пакша
159,Elch::N,pazkovî,пӑши
160,Fuchs::N,rovî,тилӗ
161,Hase::N,kîroşk,куян
162,Hase::N,kîroşk,мулкач
163,Maus::N,mişk,шӑши
164,Wolf::N,gur,кашкӑр
165,Vogel::N,çûk,кайӑк
166,Vogel::N,çûk,вӗҫен кайӑк
167,Schwarm::N,lufik,ушкӑн
168,Huhn::N,mirîşk,чӑх
169,Huhn::N,mirîşk,чӑхӑ
170,Hahn::N,dîk,автан
171,Gans::N,qaz,хур
172,Adler::N,eylo,ӑмӑрт кайӑк
173,Ente::N,werdek,кӑвакал
174,Eule::N,bûm,тӑмана
175,Eule::N,kund,тӑмана
176,Kranich::N,quling,тӑрна
177,Krähe::N,qijik,ула курак
178,Kuckuck::N,pepûk,куккук
179,Schwan::N,qû,акӑш
180,Fisch::N,masî,пулӑ
181,Barsch::N,okûn,уланкӑ
182,Hecht::N,mesîyê lûf,ҫӑрттан
183,Schlange[Tier]::N,mar,ҫӗлен
184,Wurm::N,kurm,ӑман
185,Spinne::N,pîrê,эрешмен
186,Ameise::N,mîro,кӑткӑ
187,Ameise::N,gêrîk,кӑткӑ
188,Laus::N,spi,пыйтӑ
189,Mücke::N,mêş,вӑрӑм туна
190,Fliege::N,mêş,шӑна
191,Schmetterling::N,perperîk,лӗпӗш
192,Beere::N,hirç,ҫырла
193,Apfel::N,sêv,улма
194,Apfel::N,sêv,пан улми
195,Pilz::N,bîrov,кӑмпа
196,Zwiebel::N,pîvaz,сухан
197,Saat::N,tov,вӑрӑ
198,Korn::N,dexl,тӗшӗ
199,Korn::N,dexl,пӗрчӗ
200,Heu::N,sap,утӑ
201,Schale::N,qaşik,хупӑ
202,Grube::N,çahl,шӑтӑк
203,Falle::N,dafik,тапӑ
204,Falle::N,dafik,капкӑн
205,Schlinge::N,dahf,йӑлӑ
206,Spur::N,rêç,йӗр
207,Asche::N,xweli,кӗл
208,Dreck::N,gemarî,пылчӑк
209,Eisen::N,hesing,тимӗр
210,Gold::N,zêr,ылтӑн
211,Silber::N,zîv,кӗмӗл
212,Kohle::N,komir,кӑмрӑк
213,Glas::N,qedeh,кӗленче
214,Lehm::N,kelpîç,тӑм
215,Sand::N,qûm,хӑйӑр
216,Mensch::N,mirov,ҫын
217,Mensch::N,mirov,этем
218,Mann::N,mêr,ар
219,Frau::N,jin,хӗрарӑм
220,Kind::N,zarok,ача
221,Junge::N,kur,ача
222,Junge::N,kur,ар ҫын ача
223,Mädchen::N,keç,хӗр ача
224,Mädchen::N,keçik,хӗр ача
225,Familie::N,malbat,ҫемье
226,Familie::N,malbat,кил-йыш
227,Großvater::N,bapîr,кукаҫи
228,Großmutter::N,pîrik,кукамай
229,Eltern::N,bavudê,аҫа-ама
230,Vater::N,bav,атте
231,Mutter::N,dê,анне
232,Mutter::N,dayik,анне
233,Sohn::N,kur,ывӑл
234,Tochter::N,keç,хӗр
235,Bruder::N,bira,ар тӑван
236,Schwester::N,xweh,аппа
237,Schwester::N,xweh,йӑмӑк
238,Onkel::N,am,мучи
239,Onkel::N,am,пичче
240,Onkel::N,xal,мучи
241,Onkel::N,xal,пичче
242,Tante::N,metik,аппа
243,Tante::N,xaltîk,аппа
244,Ehemann::N,mêr,упӑшка
245,Ehefrau::N,kulfet,арӑм
246,Freude::N,kêfxweşî,савӑнӑҫ
247,Freude::N,kêfxweşî,хаваслӑх
248,Gelächter::N,pîrqînî,кулӑ
249,Glück::N,bext,телей
250,Glück::N,bext,ӑраскал
251,Kummer::N,derd,хурлӑх
252,Wunsch::N,daxwaz,ӗмӗт
253,Wunsch::N,daxwaz,кӑмӑл
254,Wunsch::N,xwestek,ӗмӗт
255,Wunsch::N,xwestek,кӑмӑл
256,Lust::N,şewq,кӑмӑл
257,Geist::N,aqil,чун-чӗм
258,Geist::N,aqil,ыр-усал
259,Geist::N,aqil,чун хавалӗ
260,Gedanke::N,fikir,шухӑш
261,Gedächtnis::N,aqil,ас
262,Verstand::N,fêm,ӑс
263,Verstand::N,fêm,ӑс-тӑн
264,Verstand::N,fêm,ӑс-хакӑл
265,Sinn::N,aqil,тупсӑм
266,Sinn::N,aqil,пӗлтерӗш
267,Grund::N,asas,сӑлтав
268,Wahrheit::N,rastî,чӑнлӑх
269,Gespräch::N,guftûgo,калаҫу
270,Märchen::N,çirok,юмах
271,Erzählung::N,çirok,акалав
272,Erzählung::N,çirok,каласа пани
273,Erzählung::N,vegotin,акалав
274,Erzählung::N,vegotin,каласа пани
275,Nachricht::N,nûçe,хыпар
276,Neuigkeit::N,hewal,ҫӗнӗ хыпар
277,Name::N,nav,ят
278,Name::N,paşnav,ят
279,Rätsel::N,tiştonek,сутмалли юмах
280,Rede::N,gotar,сӑмах
281,Rede::N,axavtin,сӑмах
282,Sprache::N,ziman,чӗлхе
283,Stimme::N,pejn,сасӑ
284,Wort::N,gotin,сӑмах
285,Zeichen::N,şanek,паллӑ
286,Ruf::N,hawar,йыхрав
287,Ruf::N,hawar,чӗнӳ
288,Lärm::N,xarbalix,шав
289,Laut::N,deng,сасӑ
290,Laut::N,hês,сасӑ
291,Ton::N,awaz,сасӑ
292,Lied::N,sitran,юрӑ
293,Ruhe::N,rihetî,канӑҫлӑх
294,Ruhe::N,rihetî,лӑпкӑлӑх
295,Leute::N,xelk,ҫамрӑксем
296,Leute::N,xelk,ҫамрӑк ҫынсем
297,Volk::N,xelk,халӑх
298,Arbeit::N,xebat,ӗҫхӗл
299,Arbeit::N,xebat,ӗҫлев
300,Gast::N,mêvan,хӑна
301,Geschenk::N,diyarî,парне
302,Geschenk::N,diyarî,кучченеҫ
303,Spiel::N,lîstik,вӑйӑ
304,Gesellschaft::N,komal,общество
305,Hilfe::N,alîkarî,пулӑшу
306,Freund::N,heval,тус
307,Kamerad::N,heval,юлташ
308,Kamerad::N,heval,тус
309,Angelegenheit::N,pirsgirêk,ӗҫ
310,Anzahl::N,çend,йыш
311,Anzahl::N,çend,хисеп
312,Art::N,çeh,тӗс
313,Stück::N,lib,татӑк
314,Stück::N,parçe,татӑк
315,Teil::N,parçe,пай
316,Hälfte::N,nîvî,ҫурӑ
317,Kreis::N,çemil,ункӑ
318,Kreis::N,çemil,ҫавракӑш
319,Kreuz::N,xaç,хӗрес
320,Linie::N,xezik,йӗр
321,Strich::N,xezik,йӗр
322,Abstand::N,dûrahî,хушӑ
323,Entfernung::N,dûrahî,хушӑ
324,Gegend::N,dever,вырӑн
325,Platz::N,çih,хутлӑх
326,Ort::N,dever,вырӑн
327,Seite::N,rûpel,ен
328,Seite::N,rûpel,аяк
329,Seite::N,rûpel,айӑк
