,Concept_ID,ce,pl
0,Auge::N,бӏаьрг,oko
1,Ohr::N,лерг,ucho
2,Nase::N,мара,nos
3,Mund::N,бага,usta
4,Zahn::N,церг,ząb
5,Zunge::N,мотт,język
6,Lippe::N,балда,warga
7,Wange::N,бесни,policzek
8,Gesicht::N,юьхь,twarz
9,Stirn::N,хьаж,czoło
10,Haar::N,мас,włos
11,Haar::N,мас,włosy
12,Schnurrbart::N,мекх,wąsy
13,Bart::N,маж,broda
14,Kinn::N,чӏениг,podbródek
15,Kiefer[Anatomie]::N,мочхал,czeluść
16,Kehle::N,къамкъарг,gardło
17,Hals::N,ворта,szyja
18,Genick::N,кӏесаркӏаг,kark
19,Kopf::N,корта,głowa
20,Rücken::N,букъ,plecy
21,Rücken::N,букъ,grzbiet
22,Bauch::N,кийра,brzuch
23,Nabel::N,цӏонга,pępek
24,Busen::N,зударийн накха,biust
25,Brust::N,накха,pierś
26,Schulter::N,белш,bark
27,Schulter::N,белш,ramię
28,Arm::N,пхьарс,ręka
29,Arm::N,пхьарс,ramię
30,Ellenbogen::N,пхьаьрсан гола,łokieć
31,Hand::N,куьг,dłoń
32,Handfläche::N,кераюкъ,dłoń
33,Finger::N,пӏелг,palec
34,Fingernagel::N,мӏара,paznokieć
35,Nagel[Anatomie]::N,мӏара,paznokieć
36,Zeh::N,кога пӏелг,palec
37,Fuß::N,ког,stopa
38,Ferse::N,кӏажа,pięta
39,Knie::N,гола,kolano
40,Oberschenkel::N,варе,udo
41,Bein::N,ког,noga
42,Körper::N,хӏума,ciało
43,Haut::N,чкъор,skóra
44,Blut::N,цӏий,krew
45,Ader::N,пха,żyła
46,Sehne::N,хьорзам,ścięgno
47,Knochen::N,даьӏахк,kość
48,Gehirn::N,хье,mózg
49,Herz::N,дог,serce
50,Magen::N,зорх,żołądek
51,Leber::N,доӏах,wątroba
52,Atem::N,садеӏар,dech
53,Atem::N,садеӏар,oddech
54,Hunger::N,мацалла,głód
55,Träne::N,бӏаьрхи,łza
56,Geschmack::N,чам,smak
57,Geruch::N,хьожа,woń
58,Geruch::N,хьожа,zapach
59,Schlaf::N,наб,sen
60,Traum::N,гӏан,sen
61,Himmel::N,стигал,niebo
62,Sonne::N,малх,słońce
63,Mond::N,бутт,księżyc
64,Stern::N,седа,gwiazda
65,Luft::N,xӏаваъ,powietrze
66,Wind::N,мох,wiatr
67,Welle::N,тулгӏе,fala
68,Wasser::N,хи,woda
69,Stein::N,тӏулг,kamień
70,Boden::N,цӏенкъа,grunt
71,Erde::N,латта,ziemia
72,Staub::N,чан,pył
73,Staub::N,чан,kurz
74,Rauch::N,кӏур,dym
75,Funke::N,суй,iskra
76,Feuer::N,цӏе,ogień
77,Licht::N,серло,światło
78,Schatten::N,ӏиндагӏ,cień
79,Wetter::N,хенан хӏоттам,pogoda
80,Nebel::N,дохк,mgła
81,Wolke::N,марха,obłok
82,Wolke::N,марха,chmura
83,Regen::N,догӏа,deszcz
84,Schnee::N,ло,śnieg
85,Eis::N,ша,lód
86,Frost::N,шело,mróz
87,Kälte::N,шело,chłód
88,Hitze::N,йовхо,gorąco
89,Raureif::N,йис,szron
90,Regenbogen::N,стелаӏад,tęcza
91,Donner::N,ткъес,grzmot
92,Strömung::N,дӏаэхар,nurt
93,Strömung::N,дӏасалелар,nurt
94,Tropfen::N,тӏадам,kropla
95,Schaum::N,чопа,piana
96,Schmutz::N,хатт,brud
97,See::N,ӏам,jezioro
98,Sumpf::N,уьшал,bagno
99,Moor::N,уьшал,bagno
100,Wiese::N,бай,łąka
101,Wald::N,хьун,las
102,Hügel::N,гу,pagórek
103,Hügel::N,шу,pagórek
104,Hügel::N,барз,pagórek
105,Anhöhe::N,акъари,wzgórze
106,Berg::N,лам,góra
107,Gipfel::N,бохь,szczyt
108,Gipfel::N,бохь,wierzchołek
109,Höhle::N,хьех,pieczara
110,Abhang::N,басе,stok
111,Abhang::N,басе,zbocze
112,Quelle::N,шовда,zdrój
113,Quelle::N,шовда,źródło
114,Bach::N,татол,potok
115,Bach::N,татол,strumień
116,Fluss::N,хи,rzeka
117,Ufer::N,хийист,brzeg
118,Küste::N,йист,wybrzeże
119,Festland::N,латта,ląd
120,Meer::N,xӏорд,morze
121,Bucht::N,чож,zatoka
122,Insel::N,гӏайре,wyspa
123,Blume::N,зезаг,kwiat
124,Gras::N,буц,trawa
125,Wurzel::N,орам,korzeń
126,Baum::N,дитт,drzewo
127,Stamm::N,гӏад,pień
128,Stamm::N,тайпа,pień
129,Rinde::N,кевстиг,kora
130,Ast::N,га,gałąź
131,Zweig::N,га,gałąź
132,Blatt::N,гӏа,liść
133,Birke::N,дакх,brzoza
134,Kiefer[Baum]::N,бага,sosna
135,Weide[Baum]::N,дак,wierzba
136,Tanne::N,база,jodła
137,Horn::N,маӏа,róg
138,Feder::N,пелаг,pióro
139,Fell::N,цӏока,futro
140,Flügel::N,тӏам,skrzydło
141,Klaue::N,мӏара,szpon
142,Kralle::N,тlод,pazur
143,Schwanz::N,цӏога,ogon
144,Ei::N,xӏoa,jajko
145,Nest::N,бен,gniazdo
146,Bau::N,lуьрг,nora
147,Tier::N,дийнат,zwierzę
148,Herde::N,жа,stado
149,Herde::N,жа,trzoda
150,Kuh::N,етт,krowa
151,Bulle::N,сту,byk
152,Pferd::N,говр,koń
153,Schaf::N,жий,owca
154,Schaf::N,уьстагӏ,owca
155,Schwein::N,хьакха,świnia
156,Hund::N,жӏаьла,pies
157,Katze::N,цициг,kot
158,Katze::N,цициг,kotka
159,Bär::N,ча,niedźwiedż
160,Eichhörnchen::N,тарсал,wiewiórka
161,Elch::N,сай,łóś
162,Fuchs::N,цхьогал,lis
163,Hase::N,пхьагал,zając
164,Maus::N,дахка,mysz
165,Wolf::N,борз,wilk
166,Vogel::N,олхазар,ptak
167,Huhn::N,котам,kura
168,Hahn::N,нӏаьна,kogut
169,Hahn::N,боргӏал,kogut
170,Gans::N,гӏаз,gęś
171,Adler::N,aьрзу,orzeł
172,Ente::N,бад,kaczka
173,Eule::N,бухӏа,sowa
174,Kranich::N,гӏаргӏули,żuraw
175,Krähe::N,къиг,wrona
176,Kuckuck::N,aттйокх,kukułka
177,Schwan::N,гӏургӏаз,łabędż
178,Fisch::N,чӏара,ryba
179,Barsch::N,окунь,okoń
180,Hecht::N,гӏазкхийн чӏара,szczupak
