,Concept_ID,da,bn
0,Auge::N,øje,চক্ষু
1,Ohr::N,øre,কর্ণ
2,Nase::N,næse,নাক
3,Mund::N,mund,মুখ
4,Zahn::N,tand,দাঁত
5,Zunge::N,tunge,জিহবা
6,Lippe::N,læbe,অধর
7,Wange::N,kind,গণ্ড
8,Gesicht::N,ansigt,মুখমণ্ডল
9,Stirn::N,pande,কপাল
10,Haar::N,hår,চুল
11,Schnurrbart::N,overskæg,গোঁফ
12,Bart::N,skæg,শ্মশ্রু
13,Kinn::N,hage,চিবুক
14,Kiefer[Anatomie]::N,kæbe,চোয়াল
15,Kehle::N,strube,কণ্ঠ
16,Hals::N,hals,গল
17,Genick::N,nakke,ঘাড়
18,Kopf::N,hoved,মাথা
19,Rücken::N,ryg,পৃষ্ঠ
20,Bauch::N,mave,উদর
21,Nabel::N,navle,নাভি
22,Busen::N,barm,স্তন
23,Brust::N,bryst,বুক
24,Schulter::N,skulder,স্কন্ধ
25,Arm::N,arm,বাহু
26,Ellenbogen::N,albue,কনুই
27,Hand::N,hånd,হাত
28,Handfläche::N,håndflade,করতল
29,Finger::N,finger,আঙ্গুল
30,Fingernagel::N,fingernegl,হাতের নখ
31,Nagel[Anatomie]::N,negl,নখ
32,Zeh::N,tå,আঙ্গুল
33,Fuß::N,fod,পা
34,Ferse::N,hæl,গোড়ালি
35,Knie::N,knæ,হাঁটু
36,Oberschenkel::N,lår,ঊরু
37,Bein::N,ben,পা
38,Körper::N,krop,দেহ
39,Körper::N,legeme,দেহ
40,Haut::N,hud,ত্বক
41,Blut::N,blod,রক্ত
42,Ader::N,åre,শিরা
43,Sehne::N,sene,কণ্ডরা
44,Knochen::N,ben,অস্থি
45,Gehirn::N,hjerne,মস্তিষ্ক
46,Herz::N,hjerte,হৃৎপিণ্ড
47,Magen::N,mave,পাকস্থলী
48,Leber::N,lever,যকৃৎ
49,Atem::N,ånde,শ্বাস
50,Hunger::N,sult,ক্ষুধা
51,Träne::N,tåre,অশ্রু
52,Geschmack::N,smag,স্বাদ
