,Concept_ID,et,fa
0,Auge::N,silm,چشم
1,Ohr::N,kõrv,گوش
2,Nase::N,nina,بینی
3,Mund::N,suu,دهان
4,Zahn::N,hammas,دندان
5,Zunge::N,keel,زبان
6,Lippe::N,huul,لب
7,Wange::N,põsk,لپ
8,Gesicht::N,nägu,رو
9,Gesicht::N,nägu,چهره
10,Stirn::N,otsmik,پیشانی
11,Haar::N,juus,مو
12,Schnurrbart::N,vurrud,سبیل
13,Schnurrbart::N,vuntsid,سبیل
14,Bart::N,habe,ریش
15,Kinn::N,lõug,چانه
16,Kiefer[Anatomie]::N,lõualuu,فک
17,Kiefer[Anatomie]::N,lõualuu,آرواره
18,Kehle::N,kõri,حلق
19,Hals::N,kael,گردن
20,Genick::N,kukal,پشت گردن
21,Kopf::N,pea,سر
22,Kopf::N,pea,کله
23,Rücken::N,selg,پشت
24,Bauch::N,kõht,شکم
25,Nabel::N,naba,ناف
26,Busen::N,rind,پستان
27,Brust::N,rind,سینه
28,Schulter::N,õlg,دوش
29,Schulter::N,õlg,شانه
30,Arm::N,käsivars,بازو
31,Ellenbogen::N,küünarnukk,آرنج
32,Hand::N,käsi,دست
33,Handfläche::N,pihk,کف دست
34,Finger::N,sõrm,انگشت
35,Fingernagel::N,küüs,ناخن دست
36,Nagel[Anatomie]::N,küüs,ناخن
37,Zeh::N,varvas,انگشت پا
38,Fuß::N,jalg,پا
39,Ferse::N,kand,پاشنه
40,Knie::N,põlv,زانو
41,Oberschenkel::N,reis,ران
42,Bein::N,jalg,پا
43,Bein::N,jalg,لنگ
44,Körper::N,ihu,تن
45,Körper::N,ihu,بدن
46,Körper::N,keha,تن
47,Körper::N,keha,بدن
48,Haut::N,nahk,پوست
49,Blut::N,veri,خون
50,Ader::N,veen,رگ
51,Sehne::N,kõõlus,زردپی
52,Knochen::N,luu,استخوان
53,Gehirn::N,aju,مخ
54,Gehirn::N,aju,مغز
55,Herz::N,süda,دل
56,Herz::N,süda,قلب
57,Magen::N,magu,معده
58,Leber::N,maks,کبد
59,Atem::N,hingeõhk,نفس
60,Atem::N,hingamine,نفس
61,Hunger::N,nälg,گرسنگی
