,Concept_ID,de,xal
0,Auge::N,Auge,нүдн
1,Ohr::N,Ohr,чикн
2,Nase::N,Nase,хамр
3,Mund::N,Mund,амн
4,Zahn::N,Zahn,шүдн
5,Zunge::N,Zunge,келн
6,Lippe::N,Lippe,урл
7,Wange::N,Wange,халх
8,Gesicht::N,Gesicht,нүр
9,Stirn::N,Stirn,маңна
10,Haar::N,Haar,үсн
11,Schnurrbart::N,Schnurrbart,сахл
12,Bart::N,Bart,сахл
13,Bart::N,Bart,өргнә сахл
14,Kinn::N,Kinn,өргн
15,Kiefer[Anatomie]::N,Kiefer,өргн
16,Kehle::N,Kehle,хол
17,Hals::N,Hals,күзүн
18,Genick::N,Genick,гиҗг
19,Kopf::N,Kopf,толһа
20,Rücken::N,Rücken,нурһн
21,Bauch::N,Bauch,гесн
22,Nabel::N,Nabel,киисн
23,Busen::N,Busen,көкн
24,Brust::N,Brust,чееҗ
25,Schulter::N,Schulter,ээм
26,Arm::N,Arm,һар
27,Ellenbogen::N,Ellenbogen,тоха
28,Hand::N,Hand,баһлцг
29,Handfläche::N,Handfläche,альхн
30,Finger::N,Finger,хурһн
31,Finger::N,Finger,һарин хурһн
32,Fingernagel::N,Fingernagel,хумсн
33,Nagel[Anatomie]::N,Nagel,хумсн
34,Zeh::N,Zeh,хурһн
35,Zeh::N,Zeh,көлин хурһн
36,Fuß::N,Fuß,тавг
37,Ferse::N,Ferse,өскә
38,Knie::N,Knie,өвдг
39,Oberschenkel::N,Oberschenkel,һуй
40,Bein::N,Bein,көл
41,Körper::N,Körper,махмуд
42,Haut::N,Haut,арсн
43,Blut::N,Blut,цусн
44,Ader::N,Ader,судцн
45,Sehne::N,Sehne,шүрүсн
46,Knochen::N,Knochen,ясн
47,Gehirn::N,Gehirn,экн
48,Herz::N,Herz,зүркн
49,Magen::N,Magen,гесн
50,Leber::N,Leber,элкн
51,Atem::N,Atem,әмсхл
52,Hunger::N,Hunger,харһнлһн
53,Träne::N,Träne,нульмсн
54,Geschmack::N,Geschmack,амтн
55,Geruch::N,Geruch,үнр
56,Schlaf::N,Schlaf,нөр
57,Traum::N,Traum,зүүдн
58,Himmel::N,Himmel,теңгр
59,Sonne::N,Sonne,нарн
60,Mond::N,Mond,сар
61,Stern::N,Stern,одн
62,Luft::N,Luft,аһар
63,Wind::N,Wind,салькн
64,Welle::N,Welle,дольган
65,Wasser::N,Wasser,усн
66,Stein::N,Stein,чолун
67,Boden::N,Boden,Һазр
68,Erde::N,Erde,Һазр
69,Staub::N,Staub,тоосн
70,Rauch::N,Rauch,утан
71,Funke::N,Funke,очн
72,Feuer::N,Feuer,һал
73,Licht::N,Licht,герл
74,Schatten::N,Schatten,сүүдр
75,Wetter::N,Wetter,теңгр
76,Nebel::N,Nebel,будн
77,Wolke::N,Wolke,үүлн
78,Regen::N,Regen,хур
79,Schnee::N,Schnee,цасн
80,Eis::N,Eis,мөсн
81,Frost::N,Frost,киитн
82,Kälte::N,Kälte,киитн
83,Hitze::N,Hitze,халун
84,Raureif::N,Raureif,цаң
85,Raureif::N,Raureif,кирү
86,Regenbogen::N,Regenbogen,солңһ
87,Donner::N,Donner,оһтрһун дун
88,Strömung::N,Strömung,урсхл
89,Tropfen::N,Tropfen,дусал
90,Schaum::N,Schaum,көөсн
91,Schmutz::N,Schmutz,кир
92,See::N,See,нур
93,Sumpf::N,Sumpf,унул
94,Moor::N,Moor,улм
95,Wiese::N,Wiese,хадлһн
96,Wald::N,Wald,ө-модн
97,Hügel::N,Hügel,толһа
98,Anhöhe::N,Anhöhe,хамр
99,Berg::N,Berg,уул
100,Gipfel::N,Gipfel,ора
101,Höhle::N,Höhle,хадин көндә
102,Abhang::N,Abhang,ташу
103,Quelle::N,Quelle,булг
104,Bach::N,Bach,һооҗур
105,Fluss::N,Fluss,һол
106,Ufer::N,Ufer,көвә
107,Küste::N,Küste,көвә
108,Küste::N,Küste,теңгсин көвә
109,Festland::N,Festland,хүүрә һазр
110,Meer::N,Meer,теңгс
111,Bucht::N,Bucht,цекә
112,Bucht::N,Bucht,теңгсин цекә
113,Insel::N,Insel,арл
114,Blume::N,Blume,цецг
115,Gras::N,Gras,ноһан
116,Wurzel::N,Wurzel,уңг
117,Baum::N,Baum,модн
118,Stamm::N,Stamm,шилв
119,Stamm::N,Stamm,һол модн
120,Rinde::N,Rinde,көрсн
121,Ast::N,Ast,ац
122,Zweig::N,Zweig,ац
123,Blatt::N,Blatt,хамтхасн
124,Birke::N,Birke,хусм модн
125,Kiefer[Baum]::N,Kiefer,шар харһа
126,Weide[Baum]::N,Weide,удн
127,Tanne::N,Tanne,җөөлн цаһан модн
128,Horn::N,Horn,өвр
