,Concept_ID,,mdf
0,Auge::N,,сельме
1,Ohr::N,,пиле
2,Nase::N,,шалхка
3,Mund::N,,курга
4,Zahn::N,,пей
5,Zunge::N,,кяль
6,Lippe::N,,търва́
7,Wange::N,,щёка
8,Gesicht::N,,шама
9,Stirn::N,,коня
10,Haar::N,,шя́ярь
11,Schnurrbart::N,,уса́
12,Bart::N,,сакал
13,Kinn::N,,ула
14,Kiefer[Anatomie]::N,,саласка
15,Kehle::N,,кълдома
16,Kehle::N,,кърга́парь
17,Hals::N,,сялдаз
18,Genick::N,,шовонь
19,Kopf::N,,пря
20,Rücken::N,,копорь
21,Bauch::N,,пеке
22,Nabel::N,,по́кон
23,Busen::N,,потя
24,Brust::N,,мяште
25,Schulter::N,,лафту
26,Arm::N,,кядь
27,Ellenbogen::N,,кенерьба́карь
28,Hand::N,,кядь
29,Handfläche::N,,кядьлапш
30,Finger::N,,сур
31,Fingernagel::N,,кенже
32,Nagel[Anatomie]::N,,кенже
33,Zeh::N,,пильгосу́р
34,Fuß::N,,пильге
35,Fuß::N,,пильгелапа
36,Ferse::N,,кочкяря
37,Knie::N,,эль
38,Knie::N,,пълма́нжа
39,Oberschenkel::N,,пильгепукша
40,Bein::N,,пильге
41,Körper::N,,ро́нга
42,Körper::N,,по́нда
43,Haut::N,,киське
44,Blut::N,,вер
45,Ader::N,,сан
46,Ader::N,,верза́н
47,Sehne::N,,коське сан
48,Knochen::N,,пакарь
49,Gehirn::N,,уй
50,Herz::N,,седи
51,Magen::N,,коткърдазь
52,Leber::N,,макса
53,Atem::N,,лекома
54,Atem::N,,ваймонь тарксема
55,Hunger::N,,вачеши
56,Träne::N,,сельмове́дь
57,Geschmack::N,,таньф
58,Geruch::N,,шине
59,Schlaf::N,,удома́
60,Traum::N,,он
61,Himmel::N,,менель
62,Sonne::N,,ши
63,Mond::N,,ков
64,Stern::N,,тяште
65,Luft::N,,кожф
66,Wind::N,,варма
67,Welle::N,,тавла
68,Wasser::N,,ведь
69,Stein::N,,кев
70,Boden::N,,мода
71,Boden::N,,потмакс
72,Erde::N,,мода
73,Erde::N,,мастор
74,Staub::N,,пуль
75,Rauch::N,,качам
76,Funke::N,,ця́тка
77,Feuer::N,,тол
78,Licht::N,,ва́лда
79,Schatten::N,,цильф
80,Wetter::N,,уша
81,Nebel::N,,тума́н
82,Wolke::N,,ковол
83,Regen::N,,пизем
84,Schnee::N,,лов
85,Eis::N,,эй
86,Frost::N,,ке́льме
87,Kälte::N,,якшама
88,Hitze::N,,пси
