,Concept_ID,be,et
0,Auge::N,вока,silm
1,Ohr::N,вуха,kõrv
2,Nase::N,нос,nina
3,Mund::N,рот,suu
4,Zahn::N,зуб,hammas
5,Zunge::N,язык,keel
6,Lippe::N,губа,huul
7,Wange::N,шчака,põsk
8,Gesicht::N,твар,nägu
9,Stirn::N,лоб,otsmik
10,Haar::N,волас,juus
11,Haar::N,валасы,juus
12,Schnurrbart::N,вус,vurrud
13,Schnurrbart::N,вус,vuntsid
14,Schnurrbart::N,вусы,vurrud
15,Schnurrbart::N,вусы,vuntsid
16,Bart::N,барада,habe
17,Kinn::N,падбародак,lõug
18,Kiefer[Anatomie]::N,сківіца,lõualuu
19,Kehle::N,горла,kõri
20,Hals::N,шыя,kael
21,Genick::N,патыліца,kukal
22,Kopf::N,галава,pea
23,Rücken::N,спіна,selg
24,Bauch::N,жывот,kõht
25,Nabel::N,пупок,naba
26,Busen::N,грудзі,rind
27,Brust::N,грудзі,rind
28,Schulter::N,плячо,õlg
29,Arm::N,рука,käsivars
30,Ellenbogen::N,локаць,küünarnukk
31,Hand::N,кісць,käsi
32,Handfläche::N,далонь,pihk
33,Finger::N,палец,sõrm
34,Fingernagel::N,ногаць,küüs
35,Nagel[Anatomie]::N,ногаць,küüs
36,Zeh::N,палец,varvas
37,Fuß::N,нага,jalg
38,Ferse::N,пята,kand
39,Ferse::N,пятка,kand
40,Knie::N,калена,põlv
41,Oberschenkel::N,бядро,reis
42,Oberschenkel::N,сцягно,reis
43,Bein::N,нага,jalg
44,Körper::N,цела,ihu
45,Körper::N,цела,keha
46,Haut::N,скура,nahk
47,Blut::N,кроў,veri
48,Ader::N,вена,veen
49,Ader::N,сасуд,veen
50,Sehne::N,жыла,kõõlus
51,Sehne::N,цеціва,kõõlus
52,Sehne::N,сухажылле,kõõlus
53,Knochen::N,косць,luu
54,Gehirn::N,мозг,aju
55,Herz::N,сэрца,süda
56,Magen::N,страўнік,magu
57,Leber::N,печань,maks
58,Atem::N,дыханне,hingeõhk
59,Atem::N,дыханне,hingamine
60,Hunger::N,голад,nälg
61,Träne::N,сляза,pisar
62,Geschmack::N,смак,maitse
63,Geruch::N,пах,lõhn
64,Schlaf::N,сон,uni
65,Traum::N,сон,unenägu
66,Himmel::N,неба,taevas
67,Sonne::N,сонца,päike
68,Mond::N,месяц,kuu
69,Stern::N,зорка,täht
70,Luft::N,паветра,õhk
71,Wind::N,вецер,tuul
72,Welle::N,хваля,laine
73,Wasser::N,вада,vesi
74,Stein::N,камень,kivi
75,Boden::N,глеба,maa
76,Boden::N,глеба,pinnas
77,Erde::N,зямля,maa
78,Staub::N,пыл,põrm
79,Rauch::N,дым,suits
80,Funke::N,іскра,säde
81,Feuer::N,агонь,tuli
82,Licht::N,святло,valgus
83,Schatten::N,цень,vari
84,Wetter::N,пагода,ilm
85,Wetter::N,надворʼе,ilm
86,Nebel::N,туман,udu
87,Wolke::N,воблака,pilv
88,Regen::N,дождж,sadu
89,Schnee::N,снег,lumi
90,Eis::N,лёд,jää
91,Frost::N,мароз,pakane
92,Kälte::N,холад,külm
93,Kälte::N,холад,külmus
94,Hitze::N,спёка,kuumus
95,Hitze::N,спёка,palavus
96,Raureif::N,іней,härmatis
97,Regenbogen::N,вясёлка,vikerkaar
98,Donner::N,гром,kõu
99,Donner::N,гром,müristamine
100,Strömung::N,цячэнне,voolus
101,Strömung::N,цячэнне,jõevool
102,Tropfen::N,кропля,tilk
103,Schaum::N,пена,vaht
104,Schmutz::N,гразь,pori
105,Schmutz::N,гразь,mustus
106,See::N,возера,järv
107,Sumpf::N,багна,soo
108,Moor::N,балота,raba
109,Wiese::N,луг,aas
110,Wiese::N,луг,nurm
111,Wald::N,лес,mets
112,Hügel::N,узгорак,küngas
113,Anhöhe::N,узвышша,küngas
114,Berg::N,гара,mägi
115,Gipfel::N,вяршыня,mäetipp
116,Höhle::N,пячора,koobas
117,Abhang::N,схіл,nõlvak
118,Quelle::N,крыніца,allikas
119,Bach::N,ручай,oja
120,Fluss::N,рака,jõgi
121,Ufer::N,бераг,kallas
122,Küste::N,узбярэжжа,rannik
123,Festland::N,суша,mander
124,Festland::N,суша,maismaa
125,Meer::N,мора,meri
126,Bucht::N,бухта,laht
127,Insel::N,востраў,saar
128,Blume::N,кветка,lill
129,Gras::N,трава,rohi
130,Wurzel::N,корань,juur
131,Baum::N,дрэва,puu
132,Stamm::N,ствол,tüvi
133,Rinde::N,кара,koor
134,Ast::N,сук,oks
135,Zweig::N,галіна,oks
136,Blatt::N,ліст,leht
137,Birke::N,бяроза,kask
138,Kiefer[Baum]::N,хвоя,mänd
139,Kiefer[Baum]::N,сасна,mänd
140,Weide[Baum]::N,вярба,paju
141,Tanne::N,яліна,nulg
142,Horn::N,рог,sarv
143,Feder::N,пяро,sulg
144,Fell::N,шкура,karvkate
145,Fell::N,шкура,karusnahk
146,Flügel::N,крыло,tiib
147,Flügel::N,крыло,tiivik
148,Klaue::N,кіпцюр,küüs
149,Kralle::N,лапа,küünis
150,Schwanz::N,хвост,saba
151,Ei::N,яйка,muna
152,Nest::N,гняздо,pesa
153,Bau::N,нара,urg
154,Tier::N,жывёла,loom
155,Herde::N,статак,kari
156,Kuh::N,карова,lehm
157,Bulle::N,бык,pull
158,Pferd::N,конь,hobune
159,Schaf::N,авечка,lammas
160,Schwein::N,свіння,siga
161,Hund::N,сабака,koer
162,Katze::N,кошка,kass
163,Bär::N,мядзведзь,karu
164,Eichhörnchen::N,вавёрка,orav
165,Elch::N,лось,põder
166,Fuchs::N,ліса,rebane
167,Hase::N,заяц,jänes
168,Maus::N,мыш,hiir
169,Wolf::N,воўк,hunt
170,Vogel::N,птах,lind
171,Vogel::N,птушка,lind
172,Schwarm::N,чарада,parv
173,Huhn::N,курыца,kana
174,Hahn::N,певень,kukk
175,Gans::N,гусь,hani
176,Adler::N,арол,kotkas
177,Ente::N,качка,part
178,Eule::N,сава,kakk
179,Eule::N,сава,öökull
180,Kranich::N,жораў,kurg
181,Kranich::N,журавель,kurg
182,Krähe::N,варона,vares
183,Kuckuck::N,зязюля,kägu
184,Schwan::N,лебедзь,luik
185,Fisch::N,рыба,kala
186,Barsch::N,акунь,ahven
187,Hecht::N,шчупак,haug
188,Schlange[Tier]::N,змяя,uss
189,Wurm::N,чарвяк,uss
190,Wurm::N,чарвяк,vagel
191,Spinne::N,павук,ämblik
192,Ameise::N,мурашка,sipelgas
193,Laus::N,вош,täi
194,Mücke::N,камар,sääsk
195,Fliege::N,муха,kärbes
196,Schmetterling::N,матыль,liblikas
197,Beere::N,ягада,mari
198,Apfel::N,яблык,õun
199,Pilz::N,грыб,seen
200,Zwiebel::N,цыбуля,sibul
201,Saat::N,семя,seeme
202,Korn::N,зерне,iva
203,Korn::N,зерне,tera
204,Heu::N,сена,hein
205,Schale::N,шалупінне,koor
206,Grube::N,яма,kaevand
207,Falle::N,пастка,lõks
208,Falle::N,пастка,püünis
209,Schlinge::N,сіло,aas
210,Spur::N,след,jälg
211,Asche::N,попел,tuhk
212,Dreck::N,бруд,saast
213,Dreck::N,бруд,mustus
214,Eisen::N,жалеза,raud
215,Gold::N,золата,kuld
216,Silber::N,сребра,hõbe
217,Kohle::N,вугаль,süsi
218,Glas::N,шкло,klaas
219,Lehm::N,гліна,savi
220,Sand::N,пясок,liiv
221,Mensch::N,чалавек,inimene
222,Mann::N,мужчына,mees
223,Frau::N,жанчына,naine
224,Kind::N,дзіця,laps
225,Junge::N,хлопчык,poiss
226,Mädchen::N,дзяўчынка,tüdruk
227,Familie::N,сямʼя,perekond
228,Großvater::N,дзядуля,vanaisa
229,Großmutter::N,бабуля,vanaema
230,Eltern::N,бацькі,vanemad
231,Vater::N,бацька,isa
232,Mutter::N,маці,ema
233,Sohn::N,сын,poeg
234,Tochter::N,дачка,tütar
235,Bruder::N,брат,vend
236,Schwester::N,сястра,õde
237,Onkel::N,дзядзька,onu
238,Tante::N,цётка,tädi
239,Ehemann::N,муж,mees
240,Ehemann::N,муж,abikaasa
241,Ehefrau::N,жонка,naine
242,Ehefrau::N,жонка,abikaasa
243,Freude::N,радасць,rõõm
244,Gelächter::N,смех,naer
245,Glück::N,шчасце,õnn
246,Kummer::N,гора,mure
247,Kummer::N,гора,kurbus
248,Wunsch::N,жаданне,soov
249,Lust::N,цяга,himu
250,Geist::N,дух,vaim
251,Gedanke::N,думка,mõte
252,Gedächtnis::N,памяць,mälu
253,Verstand::N,розум,aru
254,Verstand::N,розум,mõistus
255,Sinn::N,сэнс,tähendus
256,Grund::N,зачэпка,põhjus
257,Wahrheit::N,праўда,tõde
258,Gespräch::N,размова,kõne
259,Gespräch::N,размова,vestlus
260,Märchen::N,казка,muinasjutt
261,Erzählung::N,расказ,jutustus
262,Erzählung::N,апавяданне,jutustus
263,Nachricht::N,вестка,teade
264,Nachricht::N,паведамленне,teade
265,Neuigkeit::N,навіна,uudis
266,Name::N,імя,nimi
267,Rätsel::N,загадка,mõistatus
268,Rede::N,прамова,kõne
269,Sprache::N,мова,keel
270,Stimme::N,голас,hääl
271,Wort::N,слова,sõna
272,Zeichen::N,знак,märk
273,Ruf::N,кліч,hüüe
274,Lärm::N,шум,müra
275,Laut::N,гук,hääl
276,Ton::N,гучанне,toon
277,Lied::N,песня,laul
278,Ruhe::N,спакой,rahu
279,Ruhe::N,спакой,vaikus
