,Concept_ID,vep,lez
0,Auge::N,sil'm,вил
1,Ohr::N,korv,яб
2,Nase::N,nena,нер
3,Mund::N,su,сив
4,Zahn::N,pi,сас
5,Zahn::N,pi,свах
6,Zahn::N,hambaz,сас
7,Zahn::N,hambaz,свах
8,Zunge::N,kel',мез
9,Lippe::N,hul',пӏуз
10,Wange::N,modpolišk,хъвехъ
11,Gesicht::N,mod,ччин
12,Stirn::N,oc,пел
13,Haar::N,tuk,чӏар
14,Haar::N,hibuz,чӏар
15,Schnurrbart::N,habinod,спел
16,Schnurrbart::N,habinod,спелар
17,Bart::N,bard,ччуру
18,Kinn::N,löug,чене
19,Kiefer[Anatomie]::N,hambazlu,чене
20,Kehle::N,kurk,туьд
21,Hals::N,kagl,гардан
22,Genick::N,tagarai,кьам
23,Kopf::N,pä,кьил
24,Rücken::N,sel'g,далу
25,Bauch::N,vac,руфун
26,Bauch::N,koht,руфун
27,Nabel::N,naba,пицӏ
28,Busen::N,niža,мам
29,Brust::N,rind,хур
30,Schulter::N,oug,къуьн
31,Arm::N,käzi,гъил
32,Ellenbogen::N,künambruz,кьуьнт
33,Hand::N,käzi,капаш
34,Hand::N,käzitera,капаш
35,Handfläche::N,kämen,капан юкь
36,Finger::N,sor'm,тӏуб
37,Fingernagel::N,künz',кек
38,Nagel[Anatomie]::N,künz',кек
39,Zeh::N,barbaz,кул
40,Fuß::N,jaug,кӏвач
41,Ferse::N,kand,дабан
42,Knie::N,komb,мет
43,Knie::N,pol'v,мет
44,Oberschenkel::N,riiže,
45,Bein::N,jaug,кӏвач
46,Körper::N,hibj,беден
47,Haut::N,nahk,хам
48,Blut::N,čak,иви
49,Blut::N,veri,иви
50,Ader::N,son',дамар
51,Sehne::N,jände,кьуру дамар
52,Knochen::N,lu,кӏараб
53,Gehirn::N,aivod,мефт
54,Herz::N,südäin,рикӏ
55,Magen::N,südäikoht,хук
56,Leber::N,maks,лекь
57,Atem::N,hengaiduz,ял
58,Atem::N,hengaiduz,нефес
59,Hunger::N,näl'g,каш
60,Träne::N,kündal',вилин нагъв
61,Geschmack::N,magu,дад
62,Geschmack::N,magu,тӏям
63,Geruch::N,haju,ни
64,Schlaf::N,uni,ахвар
65,Traum::N,unikuva,ахвар
66,Himmel::N,taivaz,цав
