,Concept_ID,pl,it
0,Auge::N,oko,occhio
1,Ohr::N,ucho,orecchio
2,Nase::N,nos,naso
3,Mund::N,usta,bocca
4,Zahn::N,ząb,dente
5,Zunge::N,język,lingua
6,Lippe::N,warga,labbro
7,Wange::N,policzek,guancia
8,Gesicht::N,twarz,viso
9,Gesicht::N,twarz,faccia
10,Stirn::N,czoło,fronte
11,Haar::N,włos,capello
12,Haar::N,włosy,capello
13,Schnurrbart::N,wąsy,baffi
14,Schnurrbart::N,wąsy,mustacchi
15,Bart::N,broda,barba
16,Kinn::N,podbródek,mento
17,Kiefer[Anatomie]::N,czeluść,mascella
18,Kehle::N,gardło,gola
19,Hals::N,szyja,collo
20,Genick::N,kark,nuca
21,Kopf::N,głowa,capo
22,Kopf::N,głowa,testa
23,Rücken::N,plecy,dorso
24,Rücken::N,plecy,schiena
25,Rücken::N,grzbiet,dorso
26,Rücken::N,grzbiet,schiena
27,Bauch::N,brzuch,ventre
28,Nabel::N,pępek,ombelico
29,Busen::N,biust,seno
30,Brust::N,pierś,petto
31,Schulter::N,bark,spalla
32,Schulter::N,ramię,spalla
33,Arm::N,ręka,braccio
34,Arm::N,ramię,braccio
35,Ellenbogen::N,łokieć,gomito
36,Hand::N,dłoń,mano
37,Handfläche::N,dłoń,palma
38,Finger::N,palec,dito
39,Fingernagel::N,paznokieć,unghia
40,Nagel[Anatomie]::N,paznokieć,unghia
41,Zeh::N,palec,dito del piede
42,Fuß::N,stopa,piede
43,Ferse::N,pięta,tallone
44,Ferse::N,pięta,calcagno
45,Knie::N,kolano,ginocchio
46,Oberschenkel::N,udo,fèmore
47,Bein::N,noga,gamba
48,Körper::N,ciało,corpo
49,Haut::N,skóra,pelle
50,Blut::N,krew,sangue
51,Ader::N,żyła,vena
52,Sehne::N,ścięgno,tèndine
53,Knochen::N,kość,osso
54,Gehirn::N,mózg,cervello
55,Herz::N,serce,cuore
56,Magen::N,żołądek,stòmaco
57,Leber::N,wątroba,fegato
58,Atem::N,dech,fiato
59,Atem::N,dech,respiro
60,Atem::N,oddech,fiato
61,Atem::N,oddech,respiro
62,Hunger::N,głód,fame
63,Träne::N,łza,làcrima
64,Geschmack::N,smak,gusto
65,Geschmack::N,smak,sapore
66,Geruch::N,woń,odore
67,Geruch::N,zapach,odore
68,Schlaf::N,sen,sonno
69,Traum::N,sen,sogno
70,Himmel::N,niebo,cielo
71,Sonne::N,słońce,sole
72,Mond::N,księżyc,luna
73,Stern::N,gwiazda,stella
74,Luft::N,powietrze,aria
75,Wind::N,wiatr,vento
76,Welle::N,fala,onda
77,Wasser::N,woda,acqua
78,Stein::N,kamień,sasso
79,Stein::N,kamień,pietra
80,Boden::N,grunt,suolo
81,Boden::N,grunt,terreno
82,Erde::N,ziemia,terra
83,Staub::N,pył,polvere
84,Staub::N,kurz,polvere
85,Rauch::N,dym,fumo
86,Funke::N,iskra,scintilla
87,Feuer::N,ogień,fuoco
88,Licht::N,światło,luce
89,Schatten::N,cień,ombra
90,Wetter::N,pogoda,tempo
91,Nebel::N,mgła,nebbia
92,Wolke::N,obłok,nube
93,Wolke::N,obłok,nùvola
94,Wolke::N,chmura,nube
95,Wolke::N,chmura,nùvola
96,Regen::N,deszcz,pioggia
97,Schnee::N,śnieg,neve
98,Eis::N,lód,ghiaccio
99,Frost::N,mróz,gelo
100,Kälte::N,chłód,freddo
101,Hitze::N,gorąco,caldo
102,Hitze::N,gorąco,calura
103,Raureif::N,szron,brina
104,Regenbogen::N,tęcza,arcobaleno
105,Donner::N,grzmot,tuono
106,Strömung::N,nurt,corrente
107,Tropfen::N,kropla,goccia
108,Schaum::N,piana,spuma
109,Schaum::N,piana,schiuma
110,Schmutz::N,brud,sudiciume
111,See::N,jezioro,lago
112,Sumpf::N,bagno,palude
113,Moor::N,bagno,torbiera
114,Wiese::N,łąka,prato
115,Wald::N,las,bosco
116,Wald::N,las,foresta
117,Hügel::N,pagórek,colle
118,Hügel::N,pagórek,collina
119,Anhöhe::N,wzgórze,altura
120,Berg::N,góra,monte
121,Berg::N,góra,montagna
122,Gipfel::N,szczyt,cima
123,Gipfel::N,wierzchołek,cima
124,Höhle::N,pieczara,grotta
125,Höhle::N,pieczara,caverna
126,Abhang::N,stok,pendìo
127,Abhang::N,zbocze,pendìo
128,Quelle::N,zdrój,sorgente
129,Quelle::N,źródło,sorgente
130,Bach::N,potok,ruscello
131,Bach::N,strumień,ruscello
132,Fluss::N,rzeka,fiume
133,Ufer::N,brzeg,riva
134,Küste::N,wybrzeże,costa
135,Festland::N,ląd,terraferma
136,Meer::N,morze,mare
137,Bucht::N,zatoka,cala
138,Insel::N,wyspa,ìsola
139,Blume::N,kwiat,fiore
140,Gras::N,trawa,erba
141,Wurzel::N,korzeń,radice
142,Baum::N,drzewo,àlbero
143,Stamm::N,pień,tronco
144,Rinde::N,kora,corteccia
145,Ast::N,gałąź,ramo
146,Zweig::N,gałąź,ramo
147,Blatt::N,liść,foglia
148,Birke::N,brzoza,betulla
149,Kiefer[Baum]::N,sosna,pino
150,Weide[Baum]::N,wierzba,sàlice
151,Tanne::N,jodła,abete
152,Horn::N,róg,corno
153,Feder::N,pióro,penna
154,Fell::N,futro,manto
155,Fell::N,futro,pelame
