,Concept_ID,he,uk
85,Donner::N,רעם,грім
86,Strömung::N,זרימה,струмина
87,Tropfen::N,טפה,крапля
88,Schaum::N,קצף,піна
89,Schmutz::N,לכלוך,бруд
90,See::N,אגם,озеро
91,Sumpf::N,בצה,драговина
92,Moor::N,בצה,болото
93,Wiese::N,מרעה,луг
94,Wiese::N,מרעה,лука
95,Wald::N,יער,ліс
96,Hügel::N,תל,горб
97,Anhöhe::N,מעלה,височина
98,Berg::N,הר,гора
99,Gipfel::N,פסגה,вершина
100,Höhle::N,מערה,печера
101,Abhang::N,מדרון,схил
102,Abhang::N,שפוע,схил
103,Quelle::N,מעין,джерело
104,Bach::N,נחל,струмок
105,Fluss::N,נהר,річка
106,Ufer::N,גדה,берег
107,Küste::N,חוף,узбережжя
108,Festland::N,יבשה,суша
109,Meer::N,ים,море
110,Bucht::N,מפרץ,бухта
111,Bucht::N,מפרץ,затока
112,Insel::N,אי,острів
113,Blume::N,פרח,квітка
114,Gras::N,דשא,трава
115,Wurzel::N,שרש,корінь
116,Baum::N,עץ,дерево
117,Stamm::N,גזע,стовбур
118,Rinde::N,קלפת עץ,кора
119,Ast::N,ענף,гілка
120,Zweig::N,ענף,галузь
121,Blatt::N,עלה,лист
122,Birke::N,שדר,береза
123,Kiefer[Baum]::N,ארן,сосна
124,Weide[Baum]::N,ערבה,верба
125,Tanne::N,אשוח,ялиця
126,Horn::N,קרן,ріг
127,Feder::N,נוצה,перо
128,Fell::N,פרוה,хутро
129,Flügel::N,כנף,крило
130,Klaue::N,טלף,кіготь
131,Kralle::N,טפר,лапа
132,Schwanz::N,זנב,хвіст
133,Ei::N,ביצה,яйце
134,Nest::N,קן,гніздо
135,Bau::N,מחלה,лігво
136,Tier::N,חיה,тварина
137,Herde::N,עדר,стадо
138,Kuh::N,פרה,корова
139,Bulle::N,פר,бик
140,Bulle::N,פר,бугай
141,Pferd::N,סוס,кінь
142,Schaf::N,כבשה,вівця
143,Schwein::N,חזיר,свиня
144,Hund::N,כלב,собака
145,Katze::N,חתול,кішка
146,Bär::N,דב,ведмідь
147,Eichhörnchen::N,סנאי,білка
148,Elch::N,דישון,лось
149,Fuchs::N,שועל,лисиця
150,Hase::N,ארנב,заєць
151,Maus::N,עכבר,миша
152,Wolf::N,זאב,вовк
153,Vogel::N,צפור,птах
154,Schwarm::N,נחיל,зграя
155,Schwarm::N,להקה,зграя
156,Huhn::N,תרנגלת,курка
157,Hahn::N,תרנגול,півень
158,Gans::N,אוז,гуска
159,Adler::N,עיט,орел
160,Ente::N,ברוז,качка
161,Eule::N,ינשוף,сова
162,Kranich::N,עגור,журавель
163,Kranich::N,כרוכיה,журавель
164,Krähe::N,עורב,ворона
165,Kuckuck::N,קוקיה,зозуля
166,Schwan::N,ברבור,лебідь
167,Fisch::N,דג,риба
168,Barsch::N,אוקונוס,окунь
169,Hecht::N,זאב הים,щука
170,Schlange[Tier]::N,נחש,змія
171,Wurm::N,תולעת,черв’як
172,Spinne::N,עכביש,павук
173,Ameise::N,נמלה,мурашка
174,Laus::N,כנה,воша
175,Mücke::N,יתוש,комар
176,Fliege::N,זבוב,муха
177,Schmetterling::N,פרפר,метелик
178,Beere::N,ענבה,ягода
179,Apfel::N,תפוח,яблуко
180,Pilz::N,פטריה,гриб
181,Zwiebel::N,בצל,цибуля
182,Saat::N,זרעים,сім’я
183,Korn::N,גרעין,зерно
184,Heu::N,חציר,сіно
185,Schale::N,קלפה,шкірка
186,Grube::N,בור,яма
187,Grube::N,שוחה,яма
188,Falle::N,מלכדת,пастка
189,Schlinge::N,לולאה,петля
190,Spur::N,עקבה,слід
191,Asche::N,אפר,зола
192,Asche::N,אפר,попіл
193,Dreck::N,זהמה,бруд
194,Eisen::N,ברזל,залізо
195,Gold::N,זהב,золото
196,Silber::N,כסף,срібло
197,Kohle::N,פחם,вугілля
198,Glas::N,זכוכית,скло
199,Lehm::N,חרסית,глина
200,Sand::N,חול,пісок
201,Mensch::N,אדם,людина
202,Mann::N,איש,чоловік
203,Mann::N,גבר,чоловік
204,Frau::N,אשה,жінка
205,Frau::N,גברת,жінка
206,Kind::N,ילד,дитина
207,Junge::N,ילד,хлопець
208,Mädchen::N,נערה,дівчина
209,Familie::N,משפחה,сім’я
210,Familie::N,משפחה,родина
211,Großvater::N,סבא,дідусь
212,Großmutter::N,סבתא,бабуся
213,Eltern::N,הורים,батьки
214,Vater::N,אב,батько
215,Mutter::N,אם,мати
216,Sohn::N,בן,син
217,Tochter::N,בת,дочка
218,Bruder::N,אח,брат
219,Schwester::N,אחות,сестра
220,Onkel::N,דוד,дядько
221,Tante::N,דודה,тітка
222,Ehemann::N,איש,чоловік
223,Ehemann::N,בעל,чоловік
224,Ehefrau::N,אשה,жінка
225,Ehefrau::N,אשה,дружина
226,Freude::N,שמחה,радощі
227,Gelächter::N,צחוק,сміх
228,Glück::N,אשר,щастя
229,Kummer::N,יגון,горе
230,Kummer::N,עגמה,горе
231,Wunsch::N,אחול,бажання
232,Wunsch::N,משאלה,бажання
233,Lust::N,חשק,бажання
234,Lust::N,תשוקה,бажання
235,Geist::N,רוח,дух
236,Gedanke::N,מחשבה,думка
237,Gedächtnis::N,זכרון,пам’ять
238,Verstand::N,שכל,розум
239,Sinn::N,מובן,зміст
240,Sinn::N,מובן,значення
241,Sinn::N,משמעות,зміст
242,Sinn::N,משמעות,значення
243,Grund::N,סבה,причина
244,Wahrheit::N,אמת,правда
245,Gespräch::N,דיון,розмова
246,Märchen::N,אגדה,байка
247,Erzählung::N,ספור,повість
248,Erzählung::N,ספור,оповідання
249,Nachricht::N,ידיעה,повідомлення
250,Neuigkeit::N,חדשה,новина
251,Name::N,שם,ім’я
252,Rätsel::N,תעלומה,загадка
253,Rede::N,נאום,промова
254,Sprache::N,לשון,мова
255,Stimme::N,קול,голос
256,Wort::N,מלה,слово
257,Zeichen::N,סימן,знак
258,Ruf::N,קריאה,оклик
259,Lärm::N,רעש,шум
260,Laut::N,הגה,звук
261,Ton::N,צליל,тон
262,Lied::N,שיר,пісня
263,Ruhe::N,שלוה,спокій
