,Concept_ID,eu,zh
0,Auge::N,begi,眼睛
1,Ohr::N,belarri,耳朵
2,Nase::N,sudur,鼻子
3,Mund::N,aho,嘴
4,Zahn::N,hortz,牙齿
5,Zunge::N,mihi,舌头
6,Lippe::N,ezpain,嘴唇
7,Wange::N,masail,面颊
8,Gesicht::N,aurpegi,脸
9,Stirn::N,bekoki,额
10,Haar::N,ile,头发
11,Haar::N,bilo,头发
12,Schnurrbart::N,bibote,髭须
13,Schnurrbart::N,sudurpeko,髭须
14,Bart::N,bizar,胡子
15,Kinn::N,kokots,下巴
16,Kiefer[Anatomie]::N,masailezur,颌
17,Kehle::N,eztarri,嗓子
18,Hals::N,sama,颈
19,Genick::N,garondo,后颈
20,Kopf::N,buru,头
21,Rücken::N,bizkar,背
22,Bauch::N,sabel,肚子
23,Nabel::N,zilbor,肚脐
24,Busen::N,titi,胸脯
25,Busen::N,ugatz,胸脯
26,Brust::N,bular,胸
27,Schulter::N,besaburu,肩膀
28,Arm::N,beso,臂膀
29,Ellenbogen::N,ukondo,肘
30,Hand::N,esku,手
31,Handfläche::N,ahur,手掌
32,Finger::N,hatz,手指
33,Fingernagel::N,azazkal,指甲
34,Nagel[Anatomie]::N,azazkal,指甲
35,Zeh::N,behatz,脚趾
36,Fuß::N,oin,脚
37,Ferse::N,orpo,后跟
38,Ferse::N,oinburu,后跟
39,Knie::N,belaun,膝
40,Oberschenkel::N,izter,大腿
41,Bein::N,zango,腿
42,Körper::N,soin,身体
43,Haut::N,azal,皮肤
44,Blut::N,odol,血
45,Ader::N,zain,血管
46,Sehne::N,gihar-zain,腱
47,Knochen::N,hezur,骨
48,Gehirn::N,garun,脑
49,Gehirn::N,burmuin,脑
50,Herz::N,bihotz,心
51,Magen::N,urdail,胃
52,Leber::N,gibel,肝
53,Atem::N,hats,呼吸
54,Atem::N,arnasa,呼吸
55,Hunger::N,gose,饿
56,Träne::N,malko,眼泪
57,Geschmack::N,dasta,味道
58,Geruch::N,usain,气味
59,Schlaf::N,lo,睡眠
60,Traum::N,amets,梦
61,Himmel::N,zeru,天空
62,Sonne::N,eguzki,太阳
63,Mond::N,ilargi,月亮
64,Stern::N,izar,星
65,Luft::N,aire,空气
66,Wind::N,haize,风
67,Welle::N,uhin,波
68,Welle::N,olatu,波
69,Wasser::N,ur,水
70,Stein::N,harri,石头
71,Boden::N,lur,地面
72,Boden::N,zoru,地面
73,Erde::N,lur,地
74,Staub::N,hauts,灰尘
75,Rauch::N,ke,烟
76,Funke::N,zirta,火花
77,Funke::N,txinparta,火花
78,Feuer::N,su,火
79,Licht::N,argi,光
80,Schatten::N,itzal,影子
81,Schatten::N,geriza,影子
82,Wetter::N,eguraldi,天气
83,Nebel::N,laino,雾
84,Wolke::N,hodei,云
85,Regen::N,euri,雨
86,Schnee::N,elur,雪
87,Eis::N,horma,冰
88,Frost::N,izotzaldi,霜冻
89,Kälte::N,hotz,寒冷
90,Hitze::N,bero,炎热
91,Raureif::N,antzigar,霜
92,Regenbogen::N,ostadar,虹
93,Regenbogen::N,ortzadar,虹
94,Donner::N,ostots,雷
95,Donner::N,ihurtzuri,雷
96,Strömung::N,laster,水流
97,Tropfen::N,xorta,滴
98,Schaum::N,bits,泡沫
99,Schmutz::N,lohi,赃物
100,Schmutz::N,zikin,赃物
101,See::N,laku,湖
102,See::N,aintzira,湖
103,Sumpf::N,zingira,沼泽
104,Moor::N,zohikaztegi,沼泽
105,Wiese::N,larre,草地
106,Wiese::N,belardi,草地
107,Wald::N,baso,森林
108,Wald::N,oihan,森林
109,Hügel::N,muino,丘陵
110,Hügel::N,pentoka,丘陵
111,Anhöhe::N,garai,山丘
112,Anhöhe::N,goragune,山丘
113,Berg::N,mendi,山
114,Gipfel::N,gain,峰
115,Gipfel::N,tontor,峰
116,Höhle::N,kobazulo,洞穴
117,Abhang::N,aldapa,斜坡
118,Quelle::N,iturri,泉
119,Quelle::N,iturbegi,泉
120,Bach::N,lats,溪
121,Bach::N,erreka,溪
122,Fluss::N,ibai,河流
123,Fluss::N,uhaitz,河流
124,Ufer::N,bazter,岸
125,Küste::N,itsasalde,海岸
126,Festland::N,lehor,大陆
127,Meer::N,itsaso,海
128,Bucht::N,golko,海湾
129,Insel::N,irla,岛
130,Insel::N,uharte,岛
131,Blume::N,lili,花
132,Gras::N,belar,草
133,Wurzel::N,zuztar,根
134,Wurzel::N,sustrai,根
135,Baum::N,zuhaitz,树
136,Stamm::N,enbor,树干
137,Rinde::N,azal,树皮
138,Ast::N,adar,树枝
139,Zweig::N,abar,树枝
140,Blatt::N,hosto,叶子
141,Birke::N,urki,桦木
142,Kiefer[Baum]::N,ler,松树
143,Weide[Baum]::N,zume,柳树
144,Weide[Baum]::N,sahats,柳树
145,Tanne::N,izei,冷杉
146,Horn::N,adar,角
147,Feder::N,luma,羽毛
148,Feder::N,hegaki,羽毛
149,Fell::N,ile,皮毛
150,Fell::N,larru,皮毛
151,Flügel::N,hego,翅膀
152,Klaue::N,atzapar,爪子
153,Kralle::N,erpe,爪子
154,Kralle::N,atzapar,爪子
155,Schwanz::N,isats,尾巴
156,Schwanz::N,buztan,尾巴
157,Ei::N,arrautza,蛋
158,Nest::N,habia,巢
159,Bau::N,ohantze,穴
160,Tier::N,abere,动物
161,Tier::N,piztia,动物
162,Herde::N,saldo,群
163,Herde::N,abere talde,群
164,Kuh::N,behi,母牛
165,Bulle::N,zezen,公牛
166,Pferd::N,zaldi,马
167,Schaf::N,ardi,羊
168,Schwein::N,urde,猪
169,Schwein::N,txerri,猪
170,Hund::N,txakur,狗
171,Katze::N,katu,猫
172,Bär::N,hartz,熊
173,Eichhörnchen::N,urtxintxa,松鼠
174,Elch::N,altze,麋鹿
175,Fuchs::N,azeri,狐狸
176,Hase::N,erbi,兔子
177,Maus::N,sagu,老鼠
178,Wolf::N,otso,狼
179,Vogel::N,txori,鸟
180,Vogel::N,hegazti,鸟
181,Schwarm::N,aldra,群
182,Huhn::N,oilo,鸡
183,Hahn::N,oilar,公鸡
184,Gans::N,antzara,鹅
185,Adler::N,arrano,鹰
186,Ente::N,ahate,鸭
187,Eule::N,hontza,猫头鹰
188,Kranich::N,kurrilo,鹤
189,Krähe::N,bele,乌鸦
190,Kuckuck::N,kuku,布谷鸟
191,Schwan::N,beltxarga,天鹅
192,Fisch::N,arrain,鱼
193,Barsch::N,perka,鲈鱼
194,Hecht::N,lutxo,狗鱼
195,Schlange[Tier]::N,suge,蛇
196,Wurm::N,har,蠕虫
197,Spinne::N,armiarma,蜘蛛
198,Ameise::N,inurri,蚂蚁
199,Laus::N,zorri,虱子
200,Mücke::N,eltxo,蚊子
201,Fliege::N,euli,苍蝇
202,Schmetterling::N,pinpirin,蝴蝶
203,Schmetterling::N,tximeleta,蝴蝶
204,Beere::N,baia,将果
205,Apfel::N,sagar,苹果
206,Pilz::N,onddo,蘑菇
207,Pilz::N,perretxiko,蘑菇
208,Zwiebel::N,tipula,洋葱
209,Saat::N,haziak,种子
210,Korn::N,ale,谷粒
211,Korn::N,pikor,谷粒
212,Heu::N,belar ondu,干草
213,Schale::N,azal,壳
214,Grube::N,hobi,坑
215,Falle::N,harrapagailu,圈套
216,Schlinge::N,bilur,活扣
217,Schlinge::N,xedera,活扣
218,Spur::N,lorratz,踪迹
219,Asche::N,errauts,灰烬
220,Dreck::N,satsukeria,污垢
221,Eisen::N,burdina,铁
222,Gold::N,urre,金子
223,Gold::N,urregorri,金子
224,Silber::N,zilar,银
225,Silber::N,urrezuri,银
226,Kohle::N,ikatz,煤
227,Glas::N,beira,玻璃
228,Lehm::N,buztin,粘土
229,Sand::N,harea,沙
230,Sand::N,hondar,沙
231,Mensch::N,gizaki,人
232,Mann::N,gizon,男子
233,Frau::N,andere,妇女
234,Frau::N,emakume,妇女
235,Kind::N,haur,小孩
236,Junge::N,mutil,男孩
237,Mädchen::N,neska,女孩
238,Familie::N,sendi,家庭
239,Familie::N,familia,家庭
240,Großvater::N,aitona,祖父
241,Großvater::N,aitatxi,祖父
242,Großmutter::N,amona,祖母
243,Großmutter::N,amatxi,祖母
244,Eltern::N,gurasoak,父母
245,Vater::N,aita,父亲
246,Mutter::N,ama,母亲
247,Sohn::N,seme,儿子
248,Tochter::N,alaba,女儿
249,Bruder::N,neba,兄弟
250,Bruder::N,anaia,兄弟
251,Schwester::N,ahizpa,姐妹
252,Onkel::N,osaba,伯父
253,Tante::N,izeba,阿姨
254,Ehemann::N,senar,丈夫
255,Ehefrau::N,emazte,妻子
256,Freude::N,poz,愉快
257,Freude::N,pozkari,愉快
258,Gelächter::N,barre,大笑
259,Gelächter::N,karkara,大笑
260,Glück::N,zori,运气
261,Kummer::N,xangrin,苦恼
262,Kummer::N,atsekabe,苦恼
263,Wunsch::N,nahi,愿望
264,Wunsch::N,nahikunde,愿望
265,Lust::N,gogo,乐趣
266,Geist::N,gogo,精神
267,Gedanke::N,gogoeta,思想
268,Gedächtnis::N,oroimen,记性
269,Gedächtnis::N,gogoramen,记性
270,Verstand::N,adimen,理智
271,Verstand::N,ulermen,理智
272,Sinn::N,zentzu,感觉
273,Grund::N,zergati,理由
274,Wahrheit::N,egia,真理
275,Gespräch::N,hizketa,谈话
276,Gespräch::N,elkarrizketa,谈话
277,Märchen::N,ipuin,童话
278,Erzählung::N,edesti,故事
279,Erzählung::N,kontakizun,故事
280,Nachricht::N,albiste,消息
281,Neuigkeit::N,berri,新闻
282,Name::N,izen,名字
283,Rätsel::N,asmakizun,谜语
284,Rede::N,hitzaldi,讲话
285,Rede::N,mintzaldi,讲话
