,Concept_ID,myv,be
0,Auge::N,сельме,вока
1,Ohr::N,пиле,вуха
2,Nase::N,судо,нос
3,Mund::N,курго,рот
4,Zahn::N,пей,зуб
5,Zunge::N,кель,язык
6,Lippe::N,турва,губа
7,Wange::N,чамабока,шчака
8,Wange::N,чамаумарь,шчака
9,Gesicht::N,чама,твар
10,Stirn::N,коня,лоб
11,Haar::N,черь,волас
12,Haar::N,черь,валасы
13,Schnurrbart::N,ус,вус
14,Schnurrbart::N,ус,вусы
15,Schnurrbart::N,муюк,вус
16,Schnurrbart::N,муюк,вусы
17,Bart::N,сакал,барада
18,Kinn::N,уло,падбародак
19,Kiefer[Anatomie]::N,пейпакар,сківіца
20,Kiefer[Anatomie]::N,пейловажа,сківіца
21,Kehle::N,кирьгапарь,горла
22,Hals::N,кирьга,шыя
23,Genick::N,човонь,патыліца
24,Kopf::N,пря,галава
25,Rücken::N,копорь,спіна
26,Bauch::N,пеке,жывот
27,Nabel::N,почо,пупок
28,Busen::N,поте,грудзі
29,Brust::N,меште,грудзі
30,Schulter::N,лавтов,плячо
31,Arm::N,кедь,рука
32,Ellenbogen::N,кенерепакарь,локаць
33,Hand::N,кедь,кісць
34,Handfläche::N,кедькуншка,далонь
35,Handfläche::N,кедьлапушка,далонь
36,Finger::N,сур,палец
37,Fingernagel::N,кенже,ногаць
38,Nagel[Anatomie]::N,кенже,ногаць
39,Zeh::N,пильге сур,палец
40,Fuß::N,пильге,нага
41,Ferse::N,кочкаря,пята
42,Ferse::N,кочкаря,пятка
43,Knie::N,эле,калена
44,Knie::N,эзне,калена
45,Knie::N,кумажа,калена
46,Oberschenkel::N,качо,бядро
47,Oberschenkel::N,качо,сцягно
48,Bein::N,пильге,нага
49,Körper::N,рунго,цела
50,Haut::N,киське,скура
51,Blut::N,верь,кроў
52,Ader::N,сан,вена
53,Ader::N,сан,сасуд
54,Sehne::N,коське сан,жыла
55,Sehne::N,коське сан,цеціва
56,Sehne::N,коське сан,сухажылле
57,Knochen::N,пакарь,косць
58,Gehirn::N,удем,мозг
59,Herz::N,седей,сэрца
60,Magen::N,пеке,страўнік
61,Leber::N,максо,печань
62,Atem::N,лексема,дыханне
63,Atem::N,оймень таргсема,дыханне
64,Hunger::N,вачочи,голад
65,Träne::N,селведь,сляза
66,Geschmack::N,тансть,смак
67,Geruch::N,чине,пах
68,Schlaf::N,удома,сон
69,Traum::N,он,сон
70,Himmel::N,менель,неба
71,Sonne::N,чи,сонца
72,Mond::N,ков,месяц
73,Stern::N,теште,зорка
74,Luft::N,кошт,паветра
75,Wind::N,варма,вецер
76,Welle::N,толкун,хваля
77,Wasser::N,ведь,вада
78,Stein::N,кев,камень
79,Boden::N,мода,глеба
80,Erde::N,мастор,зямля
81,Staub::N,пуль,пыл
82,Rauch::N,качамо,дым
83,Funke::N,сятко,іскра
84,Feuer::N,тол,агонь
85,Licht::N,валдо,святло
86,Schatten::N,сулей,цень
87,Schatten::N,сулейкс,цень
88,Wetter::N,ушо,пагода
89,Wetter::N,ушо,надворʼе
90,Nebel::N,сув,туман
91,Wolke::N,пель,воблака
92,Regen::N,пиземс,дождж
93,Schnee::N,лов,снег
94,Eis::N,эй,лёд
95,Frost::N,кельме,мароз
96,Kälte::N,якшамо,холад
97,Hitze::N,пси,спёка
98,Raureif::N,лекш,іней
99,Regenbogen::N,пурьгинечирьке,вясёлка
100,Regenbogen::N,пурьгинеёнкс,вясёлка
101,Donner::N,пурьгине,гром
102,Strömung::N,чудема,цячэнне
103,Strömung::N,чудевкс,цячэнне
104,Tropfen::N,петнявкс,кропля
105,Schaum::N,чов,пена
106,Schmutz::N,рудаз,гразь
107,See::N,эрьке,возера
108,Sumpf::N,чей,багна
109,Moor::N,чей,балота
110,Wiese::N,луга,луг
111,Wald::N,вирь,лес
112,Hügel::N,губорь,узгорак
113,Hügel::N,пандыне,узгорак
114,Anhöhe::N,губорь,узвышша
115,Anhöhe::N,пандыне,узвышша
116,Berg::N,пандо,гара
117,Gipfel::N,пря,вяршыня
118,Höhle::N,пещера,пячора
119,Abhang::N,пандочама,схіл
120,Quelle::N,ушодкс,крыніца
121,Bach::N,чудикерькс,ручай
122,Fluss::N,лей,рака
123,Ufer::N,чире,бераг
124,Küste::N,лейчире,узбярэжжа
125,Festland::N,мода,суша
126,Meer::N,моря,мора
127,Bucht::N,усия,бухта
128,Insel::N,усия,востраў
129,Blume::N,цеця,кветка
130,Gras::N,тикше,трава
131,Wurzel::N,юр,корань
132,Wurzel::N,ундокс,корань
133,Baum::N,чувто,дрэва
134,Stamm::N,рунго,ствол
135,Rinde::N,суд,кара
136,Rinde::N,керь,кара
137,Ast::N,морго,сук
138,Zweig::N,тарад,галіна
139,Blatt::N,лопа,ліст
140,Birke::N,килей,бяроза
141,Kiefer[Baum]::N,пиче,хвоя
142,Kiefer[Baum]::N,пиче,сасна
143,Weide[Baum]::N,каль,вярба
144,Tanne::N,куз,яліна
145,Horn::N,сюро,рог
146,Feder::N,толга,пяро
147,Fell::N,пона,шкура
148,Flügel::N,сёлмо,крыло
149,Klaue::N,кенже,кіпцюр
150,Kralle::N,кенже,лапа
151,Schwanz::N,пуло,хвост
152,Ei::N,ал,яйка
153,Nest::N,пизэ,гняздо
154,Bau::N,варя,нара
155,Bau::N,пизе,нара
156,Tier::N,ракша,жывёла
157,Herde::N,стада,статак
158,Kuh::N,скал,карова
159,Bulle::N,бука,бык
160,Pferd::N,лишме,конь
161,Schaf::N,реве,авечка
162,Schwein::N,туво,свіння
163,Hund::N,пине,сабака
164,Hund::N,киска,сабака
165,Katze::N,псака,кошка
166,Bär::N,овто,мядзведзь
167,Eichhörnchen::N,ур,вавёрка
168,Elch::N,сярдо,лось
169,Fuchs::N,ривезь,ліса
170,Hase::N,нумоло,заяц
171,Maus::N,чеерь,мыш
172,Wolf::N,верьгиз,воўк
173,Vogel::N,нармунь,птах
174,Vogel::N,нармунь,птушка
175,Schwarm::N,полк,чарада
176,Schwarm::N,стада,чарада
177,Huhn::N,сараз,курыца
178,Hahn::N,атякш,певень
179,Gans::N,гала,гусь
180,Gans::N,мацей,гусь
181,Adler::N,куцькан,арол
182,Adler::N,тумоатякш,арол
183,Ente::N,яксярго,качка
184,Eule::N,корж,сава
185,Kranich::N,карго,жораў
186,Kranich::N,карго,журавель
187,Krähe::N,варака,варона
188,Kuckuck::N,куко,зязюля
189,Schwan::N,локсей,лебедзь
190,Fisch::N,кал,рыба
191,Barsch::N,окунь,акунь
192,Hecht::N,щука,шчупак
193,Schlange[Tier]::N,гуй,змяя
194,Wurm::N,сукс,чарвяк
195,Spinne::N,шанжав,павук
196,Ameise::N,коткудав,мурашка
197,Laus::N,сий,вош
198,Mücke::N,сеське,камар
199,Fliege::N,карво,муха
200,Schmetterling::N,нимиляв,матыль
201,Beere::N,умарь,ягада
202,Apfel::N,умарь,яблык
203,Pilz::N,панго,грыб
204,Zwiebel::N,чурька,цыбуля
205,Saat::N,видьметь,семя
206,Korn::N,сюро,зерне
207,Heu::N,тикше,сена
208,Schale::N,кедь,шалупінне
209,Schale::N,ваткавкс,шалупінне
210,Grube::N,латко,яма
211,Falle::N,тувор,пастка
212,Falle::N,кундамка,пастка
213,Schlinge::N,килькш,сіло
214,Spur::N,челькс,след
215,Spur::N,пильгеки,след
216,Asche::N,кулов,попел
217,Dreck::N,рудаз,бруд
218,Eisen::N,кшни,жалеза
219,Gold::N,сырне,золата
220,Silber::N,сия,сребра
221,Kohle::N,сэдь,вугаль
222,Kohle::N,уголия,вугаль
223,Glas::N,сулика,шкло
224,Lehm::N,сёвонь,гліна
225,Sand::N,човар,пясок
226,Mensch::N,ломань,чалавек
227,Mann::N,аля,мужчына
228,Mann::N,цёраломань,мужчына
229,Frau::N,ава,жанчына
230,Kind::N,эйкакш,дзіця
231,Junge::N,цёрыне,хлопчык
232,Mädchen::N,тейтерне,дзяўчынка
233,Familie::N,семия,сямʼя
234,Großvater::N,покштя,дзядуля
235,Großmutter::N,баба,бабуля
236,Eltern::N,тетят-ават,бацькі
237,Vater::N,тетя,бацька
238,Mutter::N,ава,маці
239,Sohn::N,цёра,сын
240,Tochter::N,тейтерь,дачка
241,Bruder::N,леля,брат
242,Bruder::N,ялакс,брат
243,Schwester::N,сазор,сястра
244,Onkel::N,леля,дзядзька
245,Tante::N,патя,цётка
246,Ehemann::N,мирде,муж
247,Ehefrau::N,ни,жонка
248,Freude::N,кеняркс,радасць
249,Gelächter::N,ракамо,смех
250,Gelächter::N,пейдема,смех
251,Glück::N,уцяска,шчасце
252,Kummer::N,рискс,гора
253,Kummer::N,мелявкс,гора
254,Wunsch::N,мель,жаданне
255,Wunsch::N,бажамо,жаданне
256,Lust::N,бажамо,цяга
257,Geist::N,ойме,дух
258,Gedanke::N,мель,думка
259,Gedächtnis::N,мель,памяць
260,Verstand::N,прев,розум
261,Sinn::N,толк,сэнс
262,Sinn::N,смысла,сэнс
263,Grund::N,тувтал,зачэпка
264,Wahrheit::N,видечи,праўда
265,Gespräch::N,кортнема,размова
266,Märchen::N,ёвкс,казка
267,Erzählung::N,ёвтнема,расказ
268,Erzählung::N,ёвтнема,апавяданне
269,Nachricht::N,куля,вестка
270,Nachricht::N,куля,паведамленне
271,Neuigkeit::N,куля,навіна
272,Name::N,лем,імя
273,Rätsel::N,содамоёвкс,загадка
274,Rede::N,кортамо,прамова
275,Sprache::N,кель,мова
276,Stimme::N,ваигель,голас
277,Wort::N,вал,слова
278,Zeichen::N,теште,знак
279,Ruf::N,тердема,кліч
280,Lärm::N,шалнома,шум
281,Laut::N,вайгель,гук
282,Ton::N,гайнема,гучанне
283,Lied::N,моро,песня
284,Ruhe::N,оймамо,спакой
285,Leute::N,ломанть,людзі
286,Volk::N,народ,народ
287,Arbeit::N,тев,праца
288,Arbeit::N,тев,работа
289,Gast::N,инже,госць
290,Geschenk::N,казне,падарунак
291,Spiel::N,налксема,гульня
292,Gesellschaft::N,община,таварыства
293,Hilfe::N,лездамо,дапамога
294,Freund::N,оя,друг
295,Freund::N,оя,сябар
296,Freund::N,ялга,друг
297,Freund::N,ялга,сябар
298,Kamerad::N,оя,прыяцель
299,Kamerad::N,ялга,прыяцель
300,Angelegenheit::N,тев,справа
301,Anzahl::N,ламоксчи,колькасць
302,Art::N,вид,від
303,Stück::N,пакш,кусок
304,Stück::N,пакш,кавалак
305,Stück::N,пелькс,кусок
306,Stück::N,пелькс,кавалак
307,Teil::N,часть,частка
308,Teil::N,пелькс,частка
309,Hälfte::N,пель,палова
310,Hälfte::N,пель,палавіна
311,Hälfte::N,пелькс,палова
312,Hälfte::N,пелькс,палавіна
313,Kreis::N,кирькс,круг
314,Kreuz::N,крёст,крыж
315,Linie::N,кикс,лінія
316,Strich::N,межа,рыса
317,Abstand::N,ютко,прамежак
318,Entfernung::N,ютко,адлегласць
319,Gegend::N,тарка,мясцовасць
320,Gegend::N,пертьпелькс,мясцовасць
321,Platz::N,васолкс,месца
322,Ort::N,тарка,месца
323,Seite::N,ён,бок
324,Seite::N,чире,бок
325,Mitte::N,куншка,сярэдзіна
326,Gegenstand::N,предмет,прадмет
327,Sache::N,тев,рэч
328,Sache::N,веща,рэч
329,Rand::N,пе,край
330,Rand::N,чире,край
331,Kante::N,ирдез,руб
332,Kante::N,ирдез,кант
333,Ecke::N,ужо,вугал
334,Spitze::N,пряне,кончык
335,Spitze::N,пе,кончык
336,Ende::N,пе,канец
337,Loch::N,варя,дзірка
338,Winkel::N,ужо,вугал
339,Muster::N,сёрма,узор
340,Größe::N,сэрь,памер
341,Größe::N,покшолма,памер
342,Länge::N,кувалмо,даўжыня
343,Höhe::N,сэрь,вышыня
344,Höhe::N,пандо,вышыня
345,Gewicht::N,сталмо,вага
346,Menge::N,лововкс,колькасць
347,Haufen::N,мар,куча
348,Haufen::N,валявкс,куча
349,Reihe::N,ряд,рад
350,Boot::N,венч,лодка
351,Ruder::N,милё,вясло
352,Schlitten::N,нурдт,сані
353,Ski::N,сокс,лыжа
354,Lagerfeuer::N,толбандя,вогнішча
355,Last::N,сталмо,цяжар
356,Last::N,кандома,цяжар
357,Gang::N,молема,ход
358,Gang::N,якамо,ход
359,Schritt::N,эскелькс,шаг
360,Schritt::N,эскелькс,крок
361,Norden::N,якшамо ёнкс,поўнач
362,Süden::N,лембе ёнкс,поўдзень
363,Westen::N,чивалгома,захад
364,Osten::N,чилисема,усход
365,Holz::N,чувто,дрэва
366,Holz::N,чувто,драўніна
367,Brett::N,лаз,дошка
368,Platte::N,плита,пліта
369,Stütze::N,неже,падпорка
370,Stange::N,олга,жэрдка
371,Stock::N,мандо,палка
372,Stab::N,олога,шост
373,Rohr::N,турба,труба
374,Haus::N,кудо,дом
375,Heim::N,кудо,дом
376,Heim::N,кудо,хата
377,Ofen::N,каштомо,печ
378,Fußboden::N,киякс,падлога
379,Tisch::N,столь,стол
380,Stuhl::N,стул,стул
381,Stuhl::N,стул,крэсла
382,Wiege::N,лавсь,калыска
383,Wiege::N,нурямот,калыска
384,Bett::N,ацамо,ложак
385,Bett::N,ацамо,пасцель
386,Regal::N,лався,паліца
387,Regal::N,лавсяланго,паліца
388,Kiste::N,горобия,скрынка
389,Kiste::N,сундук,скрынка
390,Fenster::N,вальма,акно
391,Tür::N,кенкш,дзверы
392,Tor::N,ортат,вароты
393,Zaun::N,пирявт,агароджа
394,Zaun::N,пирвякс,агароджа
395,Dach::N,кудопря,дах
396,Leiter::N,кузтема,лесвіца
397,Besen::N,тенсть,мятла
398,Spaten::N,койме,лапата
399,Spaten::N,койме,жалязняк
400,Schaufel::N,кече,шуфлік
401,Schaufel::N,кече,лапатка
402,Schaufel::N,келей койме,шуфлік
403,Schaufel::N,келей койме,лапатка
404,Gabel::N,сянгине,відэлец
405,Löffel::N,пенч,лыжка
406,Messer::N,пеель,нож
407,Nagel::N,эске,цвік
408,Netz::N,алтыма,сетка
409,Haken::N,кечказ,крук
410,Griff::N,кедне,ручка
411,Schloss::N,замок,замок
412,Schloss::N,панжома,замок
413,Bild::N,картина,карціна
414,Figur::N,рунго,фігура
415,Puppe::N,няка,лялька
416,Beutel::N,кескав,мяшок
417,Bündel::N,керькс,вязка
418,Tasche::N,юдма,торба
419,Eimer::N,ведра,вядро
420,Deckel::N,велькс,накрыўка
421,Geschirr::N,кедьге,пасуда
422,Sack::N,кескав,мех
423,Tasse::N,чакш,кубак
424,Topf::N,кастрюля,каструля
425,Kessel::N,котёл,кацёл
426,Essen::N,ярсамо,ежа
427,Nahrung::N,ярсамопель,харч
428,Speise::N,ярсамопель,страва
429,Fleisch::N,сывель,мяса
430,Getreide::N,сюро,збожжа
431,Brei::N,каша,каша
432,Brot::N,кши,хлеб
433,Scheibe::N,кочом,луста
434,Scheibe::N,кочом,скібка
435,Scheibe::N,сускомо,луста
436,Scheibe::N,сускомо,скібка
437,Fett::N,куя,тлушч
438,Butter::N,ой,масла
439,Öl::N,ой,алей
440,Salz::N,сал,соль
441,Suppe::N,ям,суп
442,Honig::N,медь,мёд
443,Milch::N,ловсо,малако
444,Tee::N,чай,чай
445,Tee::N,чай,гарбата
446,Leder::N,киське,скура
447,Wolle::N,пона,воўна
448,Stoff::N,коцт,тканіна
449,Nadel::N,салмукс,іголка
450,Faden::N,суре,нітка
451,Knopf::N,пов,гузік
452,Knoten::N,сюлмо,вузел
453,Farbe::N,артомапель,фарба
454,Kleidung::N,оршамот,адзенне
455,Hemd::N,панар,кашуля
456,Kragen::N,сиве,каўнер
457,Ärmel::N,ожа,рукаў
458,Hose::N,понкст,штаны
459,Gürtel::N,каркс,пояс
460,Mütze::N,чапка,шапка
461,Schuh::N,туфля,чаравік
462,Stiefel::N,кем,бот
463,Ring::N,суркс,кольца
464,Band::N,лента,стужка
465,Kamm::N,сурсеме,расчоска
466,Spiegel::N,чавачамо,люстра
467,Riemen::N,кшнань каркс,рэмень
468,Schnur::N,пикс,вяроўка
469,Leine::N,ведьме,павадок
470,Decke::N,вельтямо,коўдра
471,Kissen::N,тодов,падушка
472,Tuch::N,паця,хустка
473,Handtuch::N,нардамо,ручнік
474,Kraft::N,вий,сіла
475,Stärke::N,виевчи,моц
476,Gesundheit::N,шумбрачи,здароўе
477,Krankheit::N,орма,хвароба
478,Krankheit::N,сэредема,хвароба
479,Schmerz::N,сэредькс,боль
480,Wunde::N,керявкс,рана
481,Fieber::N,маштыкс,гарачка
482,Fieber::N,маштыкс,ліхаманка
483,Arznei::N,ормаменькс,лекі
484,Brücke::N,сэдь,мост
485,Brücke::N,мадамо,мост
486,Brunnen::N,лисьма,калодзеж
487,Weide::N,ракшань ванома тарка,паша
488,Pfad::N,ян,сцежка
489,Weg::N,ки,шлях
490,Weg::N,ки,дарога
491,Straße::N,ки,вуліца
492,Dorf::N,веле,вёска
493,Stadt::N,ош,горад
494,Brief::N,сёрма,ліст
495,Brief::N,сёрма,пісьмо
496,Buch::N,книга,кніга
497,Buchstabe::N,буква,літара
498,Zeitung::N,газета,газета
499,Leben::N,эрямо,жыццё
500,Tod::N,кулома,смерць
501,Grab::N,калмо,магіла
502,Kirche::N,церькова,касцёл
503,Kirche::N,церькова,царква
504,Sünde::N,чумочи,грэх
505,Gott::N,паз,бог
506,Arbeiter::N,робочей,рабочы
507,Chef::N,прявт,начальнік
508,Meister::N,кол тевень тенця,майстар
509,Arzt::N,врач,урач
510,Lehrer::N,учитель,настаўнік
511,Lehrer::N,тонавтыця,настаўнік
512,Geld::N,ярмак,грошы
513,Geschäft::N,ладязь тев,заняцце
514,Laden::N,лавка,крама
515,Laden::N,лавка,магазін
516,Preis::N,питне,цана
517,Ware::N,миевкс,тавар
518,Ware::N,рамавкс,тавар
519,Nutzen::N,паро,выгада
520,Nutzen::N,лезэ,выгада
521,Reichtum::N,сюпавчи,багацце
522,Welt::N,мир,свет
523,Welt::N,мастор ланго,свет
524,Land::N,мастор,краіна
525,Staat::N,государства,дзяржава
526,König::N,король,кароль
527,Macht::N,азорксчи,улада
528,Grenze::N,буен тешкс,граніца
529,Krieg::N,война,вайна
530,Feind::N,душман,вораг
531,Gewalt::N,нарьгамо,насілле
532,Kampf::N,тюрема,барацьба
533,Bogen[Waffe]::N,нал,лук
534,Pfeil::N,нал,страла
535,Gewehr::N,ружия,ружжо
536,Gewehr::N,винтовка,ружжо
537,Fehler::N,ильведькс,памылка
538,Fehler::N,ильведевкс,памылка
539,Lüge::N,манчема,хлусня
540,Lüge::N,кенгелема,хлусня
541,Schaden::N,зыян,шкода
542,Unglück::N,зыян,ліха
543,Unglück::N,зыян,бядота
544,Schuld::N,чумочи,віна
545,Alter::N,шка,узрост
546,Schluss::N,пе,канец
547,Zeit::N,шка,час
548,Zeit::N,пинге,час
549,Tag::N,чи,дзень
550,Morgen::N,валске,ранак
551,Morgen::N,валске,раніца
552,Mittag::N,чикуншка,паўдня
553,Mittag::N,чикуншка,поўдзень
554,Abend::N,чокшнэ,вечар
555,Nacht::N,ве,ноч
556,Woche::N,недля,тыдзень
557,Monat::N,ков,месяц
558,Jahr::N,ие,год
559,Frühling::N,тундо,вясна
560,Sommer::N,кизэ,лета
561,Herbst::N,сёксь,восень
562,Winter::N,теле,зіма
563,Januar::N,якшамков,студзень
564,Februar::N,февраль,люты
565,März::N,март,сакавік
566,April::N,апрель,красавік
567,Mai::N,май,май
568,Mai::N,май,травень
569,Juni::N,июнь,чэрвень
570,Juli::N,июль,ліпень
571,August::N,август,жнівень
572,September::N,сентября,верасень
573,Oktober::N,октября,кастрычнік
574,November::N,ноября,лістапад
575,Dezember::N,декабря,снежань
576,Montag::N,пондельник,панядзелак
577,Dienstag::N,овторник,аўторак
578,Mittwoch::N,серёда,серада
579,Donnerstag::N,цетьверьг,чацвер
580,Freitag::N,пеця,пятніца
581,Samstag::N,субута,субота
582,Samstag::N,шлямочи,субота
583,Sonntag::N,недлячи,нядзеля
584,groß::A,ине,вялікі
585,groß::A,покш,вялікі
586,klein::A,вишка,маленькі
587,lang::A,кувака,доўгі
588,kurz::A,нурькине,кароткі
589,breit::A,келей,шырокі
590,schmal::A,теине,вузкі
591,dicht::A,тусто,густы
