,Concept_ID,la,hu
0,Auge::N,oculus,szem
1,Ohr::N,auris,fül
2,Nase::N,nasus,orr
3,Mund::N,os,száj
4,Zahn::N,dens,fog
5,Zunge::N,lingua,nyelv
6,Lippe::N,labrum,ajak
7,Wange::N,gena,orca
8,Gesicht::N,vultus,arc
9,Stirn::N,frons,homlok
10,Haar::N,capillus,haj
11,Schnurrbart::N,barba labri superioris,bajusz
12,Bart::N,barba,szakáll
13,Kinn::N,mentum,áll
14,Kiefer[Anatomie]::N,mala,állkapocs
15,Kehle::N,iugulums,gége
16,Kehle::N,iugulums,torok
17,Hals::N,collum,nyak
18,Genick::N,cervices,tarkó
19,Kopf::N,caput,fő
20,Kopf::N,caput,fej
21,Rücken::N,tergum,hát
22,Bauch::N,venter,has
23,Nabel::N,umbilicus,köldök
24,Busen::N,sinus,mell
25,Busen::N,sinus,kebel
26,Brust::N,pectus,mell
27,Schulter::N,umerus,váll
28,Arm::N,bracchium,kar
29,Ellenbogen::N,cubitum,könyök
30,Hand::N,manus,kéz
31,Handfläche::N,palma,tenyér
32,Finger::N,digitus,ujj
33,Fingernagel::N,unguiculus,köröm
34,Nagel[Anatomie]::N,unguis,köröm
35,Zeh::N,digitus,lábujj
36,Fuß::N,pes,láb
37,Ferse::N,calx,sarok
38,Knie::N,genu,térd
39,Oberschenkel::N,femur,comb
40,Bein::N,crus,láb
41,Bein::N,crus,lábszár
42,Körper::N,corpus,test
43,Haut::N,cutis,bőr
44,Haut::N,pellis,bőr
45,Blut::N,sanguis,vér
46,Ader::N,vena,ér
47,Sehne::N,nervus,ín
48,Knochen::N,os,csont
49,Gehirn::N,cerebrum,agy
50,Gehirn::N,cerebrum,agyvelő
51,Herz::N,cor,szív
52,Herz::N,animus,szív
53,Magen::N,stomachus,gyomor
54,Leber::N,iecur,máj
55,Atem::N,spiritus,lehelet
56,Atem::N,spiritus,lélegzet
57,Hunger::N,fames,éhség
58,Träne::N,lacrima,könny
59,Geschmack::N,sapor,íz
60,Geschmack::N,gustus,íz
61,Geruch::N,odor,szag
62,Schlaf::N,somnus,álom
63,Schlaf::N,somnus,alvás
64,Traum::N,somnium,álom
65,Himmel::N,caelum,ég
66,Himmel::N,caelum,menny
67,Sonne::N,sol,nap
68,Mond::N,luna,hold
69,Stern::N,sidus,csillag
70,Stern::N,stella,csillag
71,Luft::N,aer,levegő
72,Wind::N,ventus,szél
73,Welle::N,unda,hullám
74,Wasser::N,aqua,víz
75,Stein::N,lapis,kő
76,Boden::N,solum,föld
77,Boden::N,solum,talaj
78,Erde::N,terra,föld
79,Staub::N,pulvis,por
80,Rauch::N,fumus,füst
81,Funke::N,scintilla,szikra
82,Feuer::N,ignis,tűz
83,Licht::N,lux,fény
84,Licht::N,lumen,fény
85,Schatten::N,umbra,árnyék
86,Wetter::N,caelum,idő
87,Wetter::N,caelum,időjárás
88,Wetter::N,tempestas,idő
89,Wetter::N,tempestas,időjárás
90,Nebel::N,nebula,köd
91,Wolke::N,nubes,felhő
92,Regen::N,imber,eső
93,Regen::N,pluvia,eső
94,Schnee::N,nix,hó
95,Eis::N,glacies,jég
96,Frost::N,gelu,fagy
97,Kälte::N,frigus,hideg
98,Hitze::N,calor,hő
99,Hitze::N,calor,hőség
100,Hitze::N,aestus,hő
101,Hitze::N,aestus,hőség
102,Raureif::N,pruina,zúzmara
103,Regenbogen::N,arcus,szivárvány
104,Donner::N,tonitrus,dörgés
105,Donner::N,tonitrus,mennydörgés
106,Strömung::N,fluctus,áramlat
107,Tropfen::N,gutta,csepp
108,Schaum::N,spuma,hab
109,Schaum::N,spuma,tajték
110,Schmutz::N,sordes,piszok
111,Schmutz::N,squalor,piszok
112,See::N,lacus,tó
113,Sumpf::N,palus,mocsár
114,Moor::N,palus,láp
115,Wiese::N,pratum,rét
116,Wiese::N,pratum,mező
117,Wald::N,silva,erdő
118,Hügel::N,collis,domb
119,Anhöhe::N,specula,magaslat
120,Berg::N,mons,hegy
121,Gipfel::N,vertex,csúcs
122,Höhle::N,caverna,barlang
123,Höhle::N,spelunca,barlang
124,Abhang::N,declivum,lejtő
125,Quelle::N,fons,forrás
126,Bach::N,rivus,patak
127,Fluss::N,flumen,folyó
128,Ufer::N,ripa,part
129,Küste::N,litus,tengerpart
130,Festland::N,continens,szárazföld
131,Meer::N,mare,tenger
132,Bucht::N,sinus,öböl
133,Insel::N,insula,sziget
134,Blume::N,flos,virág
135,Gras::N,herba,fű
136,Gras::N,gramen,fű
137,Wurzel::N,radix,gyökér
138,Baum::N,arbor,fa
139,Stamm::N,truncus,tő
140,Stamm::N,truncus,törzs
