,Concept_ID,mdf,mhr
0,Auge::N,сельме,шинча́
1,Ohr::N,пиле,пы́лыш
2,Nase::N,шалхка,нер
3,Mund::N,курга,умша́
4,Zahn::N,пей,пӱй
5,Zunge::N,кяль,йы́лме
6,Lippe::N,търва́,тӱ́рвӧ
7,Wange::N,щёка,шӱ́ргӧ
8,Gesicht::N,шама,чури́й
9,Stirn::N,коня,саҥга́
10,Haar::N,шя́ярь,ӱп
11,Schnurrbart::N,уса́,ӧ́рыш
12,Bart::N,сакал,понда́ш
13,Kinn::N,ула,оҥыла́ш
14,Kiefer[Anatomie]::N,саласка,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,саласка,пӱйората́
16,Kehle::N,кълдома,лога́р
17,Kehle::N,кърга́парь,лога́р
18,Hals::N,сялдаз,шӱй
19,Genick::N,шовонь,шӱйло́дыш
20,Kopf::N,пря,вуй
21,Rücken::N,копорь,туп
22,Bauch::N,пеке,мӱ́шкыр
23,Nabel::N,по́кон,кы́лымде
24,Busen::N,потя,чы́зе
25,Brust::N,мяште,оҥ
26,Schulter::N,лафту,ва́че
27,Arm::N,кядь,кид
28,Ellenbogen::N,кенерьба́карь,кынерву́й
29,Hand::N,кядь,кид
30,Hand::N,кядь,копа́
31,Handfläche::N,кядьлапш,со́во
32,Finger::N,сур,парня́
33,Fingernagel::N,кенже,кидкӱ́ч
34,Fingernagel::N,кенже,парнягӱ́ч
35,Nagel[Anatomie]::N,кенже,кӱч
36,Zeh::N,пильгосу́р,йолварня́
37,Fuß::N,пильге,йол
38,Fuß::N,пильге,йолкопа́
39,Fuß::N,пильгелапа,йол
40,Fuß::N,пильгелапа,йолкопа́
41,Ferse::N,кочкяря,тага́н
42,Knie::N,эль,пулву́й
43,Knie::N,пълма́нжа,пулву́й
44,Oberschenkel::N,пильгепукша,э́рде
45,Bein::N,пильге,йол
46,Körper::N,ро́нга,кап
47,Körper::N,по́нда,кап
48,Haut::N,киське,кова́ште
49,Blut::N,вер,вӱр
50,Ader::N,сан,шӧн
51,Ader::N,верза́н,шӧн
52,Sehne::N,коське сан,шӧн
53,Sehne::N,коське сан,кӱсе́н
54,Knochen::N,пакарь,лу
55,Gehirn::N,уй,вем
56,Gehirn::N,уй,вуйве́м
57,Herz::N,седи,шӱм
58,Magen::N,коткърдазь,пага́р
59,Leber::N,макса,мокш
60,Atem::N,лекома,шӱ́лыш
61,Atem::N,ваймонь тарксема,шӱ́лыш
62,Hunger::N,вачеши,шужыма́ш
63,Träne::N,сельмове́дь,шинчавӱ́д
64,Geschmack::N,таньф,там
65,Geruch::N,шине,пуш
66,Schlaf::N,удома́,о́мо
67,Traum::N,он,йӱдо́мо
68,Himmel::N,менель,кава́
69,Sonne::N,ши,ке́че
70,Mond::N,ков,ты́лзе
71,Stern::N,тяште,шӱ́дыр
72,Luft::N,кожф,юж
73,Wind::N,варма,марде́ж
74,Welle::N,тавла,то́лкын
75,Wasser::N,ведь,вӱд
76,Stein::N,кев,кӱ
77,Boden::N,мода,рок
78,Boden::N,потмакс,рок
79,Erde::N,мода,мла́нде
80,Erde::N,мастор,мла́нде
81,Staub::N,пуль,пура́к
82,Rauch::N,качам,шикш
83,Funke::N,ця́тка,сеске́м
84,Funke::N,ця́тка,тулйы́п
85,Feuer::N,тол,тул
86,Licht::N,ва́лда,со́то
87,Schatten::N,цильф,ӱ́мыл
88,Wetter::N,уша,иге́че
89,Nebel::N,тума́н,тӱтыра́
90,Wolke::N,ковол,пыл
91,Regen::N,пизем,йӱр
92,Schnee::N,лов,лум
93,Eis::N,эй,ий
94,Frost::N,ке́льме,чатлама́
95,Kälte::N,якшама,йӱ́штӧ
