,Concept_ID,ca,ps
0,Auge::N,ull,سترګه
1,Ohr::N,orella,غوږ
2,Nase::N,nas,پوزه
3,Mund::N,boca,خوله
4,Zahn::N,dent,غاښ
5,Zunge::N,llēngua,جبه
6,Lippe::N,llavi,شونډه
7,Wange::N,galta,باړخو
8,Gesicht::N,cara,مخ
9,Stirn::N,front,تندی
10,Stirn::N,front,وچولی
11,Haar::N,cabēll,وېښته
12,Schnurrbart::N,bigoti,برېت
13,Bart::N,barba,ږیره
14,Kinn::N,mentó,زنه
15,Kinn::N,barbeta,زنه
16,Kiefer[Anatomie]::N,queix,جامه
17,Kiefer[Anatomie]::N,mandíbula,جامه
18,Kehle::N,gola,غاړه
19,Kehle::N,gorja,غاړه
20,Hals::N,coll,غاړه
21,Genick::N,nuca,ورمېږ
22,Kopf::N,cap,سر
23,Rücken::N,esquena,شا
24,Bauch::N,panxa,نس
25,Bauch::N,panxa,ګېډه
26,Nabel::N,llombrígol,نوم
27,Busen::N,pit,تی
28,Busen::N,mama,تی
29,Brust::N,pit,سینه
30,Schulter::N,espatlla,اوږه
31,Arm::N,braç,لاس
32,Ellenbogen::N,colze,څنګل
33,Hand::N,mà,لاس
34,Handfläche::N,palma,ورغوی
35,Finger::N,dit,ګوته
36,Fingernagel::N,ungla,نوک
37,Nagel[Anatomie]::N,ungla,نوک
38,Zeh::N,dit del peu,ګوته
39,Fuß::N,peu,پښه
40,Ferse::N,taló,پونده
41,Knie::N,genoll,زنګون
42,Oberschenkel::N,cuixa,پتون
43,Bein::N,cama,پښه
44,Körper::N,cos,ځان
45,Haut::N,pell,پوټکی
46,Blut::N,sang,وینه
47,Ader::N,vena,رګ
48,Sehne::N,tendó,پله
49,Knochen::N,os,هډوکی
50,Gehirn::N,cervell,ماغزه
51,Herz::N,cor,زړه
52,Magen::N,estómac,معده
53,Leber::N,fetge,ينه
54,Leber::N,fetge,ځیګر
55,Atem::N,alè,نفس
56,Atem::N,hàlit,نفس
57,Hunger::N,fam,ولږه
58,Hunger::N,gana,ولږه
59,Träne::N,llàgrima,اوښکه
60,Geschmack::N,gust,مزه
61,Geschmack::N,gust,خوند
62,Geschmack::N,sabor,مزه
63,Geschmack::N,sabor,خوند
64,Geruch::N,olor,بوی
65,Schlaf::N,son,خوب
66,Traum::N,somni,خوب
67,Himmel::N,celm,اسمان
68,Sonne::N,sol,لمر
69,Mond::N,lluna,سپوږمۍ
70,Stern::N,estel,ستوری
71,Stern::N,estrella,ستوری
72,Luft::N,aire,هوا
73,Wind::N,vent,ورښ
74,Welle::N,ona,موج
75,Wasser::N,āigua,اوبه
76,Stein::N,pedra,ډبره
77,Boden::N,sòl,مځکه
78,Erde::N,terra,خاوره
79,Staub::N,pols,ګرد
80,Staub::N,pols,خاوره
81,Rauch::N,fum,دود
82,Rauch::N,fum,لوګی
83,Funke::N,guspira,سپرغۍ
84,Funke::N,centella,سپرغۍ
85,Feuer::N,foc,اور
86,Licht::N,llum,رڼا
87,Schatten::N,ombra,سیوری
88,Wetter::N,temps,هوا
89,Nebel::N,boira,لړه
90,Wolke::N,núvol,ورېځ
91,Regen::N,pluja,وریا
92,Regen::N,pluja,باران
93,Schnee::N,neu,واوره
94,Eis::N,gel,یخ
95,Eis::N,gel,کنګل
96,Eis::N,glaç,یخ
97,Eis::N,glaç,کنګل
98,Frost::N,glaçada,یخ
99,Kälte::N,fred,ساړه
100,Hitze::N,calor,تودوخي
101,Raureif::N,gebre,سپینه پرخه
102,Regenbogen::N,arc iris,بوډۍ ټال
103,Regenbogen::N,arc iris,سره زرغونه
104,Donner::N,tro,تالنده
105,Strömung::N,corrent,بهېدنه
106,Tropfen::N,gota,قطره
107,Tropfen::N,gota,څاڅکی
108,Schaum::N,escuma,ځګ
109,Schmutz::N,brutícia,ناپاکي
110,See::N,llac,جهیل
111,Sumpf::N,pantà,جبه
112,Moor::N,pantà,جبه
113,Wiese::N,prat,چمن
114,Wiese::N,prat,شنېلی
115,Wiese::N,prada,چمن
116,Wiese::N,prada,شنېلی
117,Wald::N,bosc,ځنګل
118,Hügel::N,puig,تپه
119,Hügel::N,pujol,تپه
120,Anhöhe::N,turó,غونډۍ
121,Berg::N,muntanya,غ‍‍‍‍‍ر
122,Gipfel::N,cim,څوکه
123,Höhle::N,cova,کاز
124,Abhang::N,coster,لمن
125,Quelle::N,font,چینه
126,Bach::N,riera,واله
127,Fluss::N,riu,سیند
128,Ufer::N,riba,غاړه
129,Küste::N,costa,ساحل
130,Festland::N,terra ferma,وچه
131,Meer::N,mar,بحر
132,Meer::N,mar,سمندر
133,Bucht::N,cala,کارۍ
134,Bucht::N,badia,کارۍ
135,Insel::N,illa,ټاپو
136,Insel::N,illa,جزيره
137,Blume::N,flor,ګل
138,Gras::N,herba,واښه
139,Wurzel::N,rel,ریښه
140,Wurzel::N,arrel,ریښه
141,Baum::N,arbre,ونه
142,Stamm::N,tronc,ډډ
143,Rinde::N,escorça,پوستکی
144,Ast::N,branca,ښاخ
145,Zweig::N,ram,څانګه
146,Blatt::N,fulla,پاڼه
147,Birke::N,bedoll,توس
148,Kiefer[Baum]::N,pi,نښتر
149,Weide[Baum]::N,salze,وله
150,Tanne::N,avet,ناجو
151,Horn::N,corn,ښکر
152,Horn::N,banya,ښکر
153,Feder::N,ploma,بڼکه
154,Fell::N,pell,پوستکی
155,Flügel::N,ala,وزر
156,Klaue::N,urpa,پنجه
157,Klaue::N,urpa,منګول
158,Kralle::N,grapa,پنجه
159,Kralle::N,grapa,منګول
160,Schwanz::N,cua,لکۍ
161,Ei::N,ou,وۍ
162,Ei::N,ou,هګۍ
163,Nest::N,niu,جاله
164,Bau::N,cau,کاز
165,Tier::N,animāl,ژوی
166,Tier::N,animāl,حیوان
167,Herde::N,ramat,رمه
168,Herde::N,ramat,غېله
169,Kuh::N,vaca,غوا
170,Bulle::N,toro,غوئی
171,Pferd::N,cavāll,آس
172,Schaf::N,be,پسه
173,Schaf::N,ovella,پسه
174,Schwein::N,bacó,سرکوزی
175,Hund::N,ca,سپی
176,Hund::N,gos,سپی
177,Katze::N,gat,پشه
178,Bär::N,ós,خرس
179,Eichhörnchen::N,esquirol,خړ لمی
180,Elch::N,ant,ګوزن
181,Fuchs::N,guilla,سپلم
182,Hase::N,llebre,سوی
183,Maus::N,ratolí,مږک
184,Wolf::N,llop,لېوه
185,Vogel::N,au,مرغه
186,Vogel::N,ocēll,مرغه
187,Schwarm::N,bandada,سېل
188,Huhn::N,gallina,چرګه
189,Hahn::N,gall,چرګ
190,Gans::N,oca,بته
191,Adler::N,àguila,عقاب
192,Ente::N,ànec,ایلۍ
193,Eule::N,òliba,ګونګی
194,Eule::N,mussol,ګونګی
195,Kranich::N,grua,کلنګ
196,Krähe::N,cornella,کارغه
197,Kuckuck::N,cucut,فاخته
198,Schwan::N,cigne,قو
199,Fisch::N,peix,کب
200,Fisch::N,peix,ماهی
201,Barsch::N,perca,
202,Hecht::N,lluç,
203,Schlange[Tier]::N,serp,مار
204,Wurm::N,cuc,چینجی
205,Spinne::N,aranya,غڼه
206,Spinne::N,aranya,تارکښ
207,Ameise::N,formiga,مېږی
208,Laus::N,poll,سپږه
209,Mücke::N,mosquit,ماشی
210,Fliege::N,mosca,مچ
211,Schmetterling::N,papallona,پتنګ
212,Beere::N,baia,مېوۍ
213,Apfel::N,poma,مڼه
214,Pilz::N,bolet,خرېړی
215,Zwiebel::N,ceba,پیاز
216,Saat::N,sembra,تخم
217,Korn::N,gra,تخم
218,Korn::N,gra,دانه
219,Heu::N,fenc,بوس
220,Heu::N,fenc,پروړه
221,Schale::N,closca,پوستکی
222,Grube::N,sot,کنده
223,Grube::N,clot,کنده
224,Falle::N,trampa,دام
225,Falle::N,trampa,لومه
226,Schlinge::N,baga,کړۍ
227,Spur::N,traça,نښه
228,Asche::N,cendra,آس
229,Asche::N,cendra,ایره
230,Dreck::N,llot,ناپاکي
231,Eisen::N,ferro,اوسپنه
232,Gold::N,or,سره زر
233,Silber::N,plata,نقره
234,Silber::N,plata,سپین زر
235,Kohle::N,carbó,سکور
236,Kohle::N,carbó,سکاره
237,Glas::N,vidre,ښيښه
238,Lehm::N,fang,خټه
239,Lehm::N,argila,خټه
240,Sand::N,arena,شګه
241,Mensch::N,humà,انسان
242,Mensch::N,persona,انسان
243,Mann::N,home,سړی
244,Mann::N,home,نارینه
245,Frau::N,dona,ښځه
246,Kind::N,nen,بچی
247,Kind::N,nen,ماشوم
248,Junge::N,noi,هلک
249,Mädchen::N,noia,نجلۍ
250,Familie::N,família,کورنۍ
251,Großvater::N,avi,بابا
252,Großmutter::N,àvia,انا
253,Eltern::N,pares,مور او پلار
254,Vater::N,pare,پلار
255,Mutter::N,mare,مور
256,Sohn::N,fill,زوی
257,Tochter::N,filla,لور
258,Bruder::N,germà,ورور
259,Schwester::N,germana,خور
260,Onkel::N,oncle,تره
261,Onkel::N,oncle,ماما
262,Tante::N,tia,خاله
263,Ehemann::N,espòs,مېړه
264,Ehefrau::N,muller,مېرمن
265,Freude::N,goig,خوشحالي
266,Freude::N,alegria,خوشحالي
267,Gelächter::N,riallada,خندا
268,Glück::N,felicitat,بخت
269,Kummer::N,pena,غم
270,Wunsch::N,desig,هيله
271,Wunsch::N,desig,غوښتنه
272,Lust::N,ganes,شوق
273,Lust::N,ganes,مینه
274,Geist::N,ment,روح
275,Geist::N,esperit,روح
276,Gedanke::N,pensament,فکر
277,Gedächtnis::N,memòria,یاد
278,Gedächtnis::N,memòria,حافظه
279,Verstand::N,raó,عقل
280,Verstand::N,raó,شعور
281,Verstand::N,seny,عقل
282,Verstand::N,seny,شعور
283,Sinn::N,solta,معنی
284,Sinn::N,sentit,معنی
285,Grund::N,raó,علت
286,Grund::N,raó,اساس
287,Grund::N,causa,علت
288,Grund::N,causa,اساس
289,Wahrheit::N,veritāt,حقیقت
290,Gespräch::N,conversa,مرکه
291,Gespräch::N,conversa,خبرې اترې
292,Märchen::N,conte,افسانه
293,Erzählung::N,narració,قصه
294,Erzählung::N,narració,کیسه
295,Nachricht::N,missatge,خبر
296,Neuigkeit::N,novetat,نوی خبر
297,Name::N,nom,نوم
298,Rätsel::N,endevinalla,کیسۍ
299,Rätsel::N,endevinalla,چیستان
300,Rede::N,discurs,وینا
301,Sprache::N,llēngua,ژبه
302,Stimme::N,veu,غږ
303,Stimme::N,veu,اواز
304,Wort::N,mot,لغت
305,Wort::N,mot,کلمه
306,Wort::N,paraula,لغت
307,Wort::N,paraula,کلمه
308,Zeichen::N,signe,نښه
309,Zeichen::N,signe,اشاره
310,Zeichen::N,senyal,نښه
311,Zeichen::N,senyal,اشاره
312,Ruf::N,crida,ږغ
313,Ruf::N,crida,بلنه
314,Lärm::N,sorōll,غالمغال
315,Laut::N,so,ږغ
316,Ton::N,to,اواز
317,Lied::N,cançó,غزله
318,Lied::N,cançó,سندره
319,Ruhe::N,calma,ارامي
320,Ruhe::N,silenci,ارامي
321,Leute::N,gent,خلک
322,Volk::N,poble,ولس
323,Arbeit::N,labor,کار
324,Arbeit::N,treball,کار
325,Gast::N,hoste,مېلمه
326,Geschenk::N,regal,تحفه
327,Geschenk::N,regal,سوغات
328,Geschenk::N,obsequi,تحفه
329,Geschenk::N,obsequi,سوغات
330,Spiel::N,joc,لوبه
331,Gesellschaft::N,companyia,ډله
332,Hilfe::N,ajut,کومک
333,Hilfe::N,ajut,مرسته
334,Freund::N,amīc,ملګری
