,Concept_ID,tt,ku
0,Auge::N,күз,çav
1,Ohr::N,колак,guh
2,Nase::N,борын,bêvil
3,Mund::N,авыз,dev
4,Mund::N,тамак,dev
5,Zahn::N,теш,didan
6,Zunge::N,тел,ziman
7,Lippe::N,ирен,lêv
8,Wange::N,яңак,dêm
9,Wange::N,яңак,hinarik
10,Gesicht::N,йөз,rû
11,Stirn::N,маңгай,enî
12,Haar::N,чәч,por
13,Schnurrbart::N,мыек,simbêl
14,Bart::N,сакал,rih
15,Kinn::N,ияк,zenî
16,Kiefer[Anatomie]::N,казналык,arguşk
17,Kehle::N,тамак,qirik
18,Hals::N,бугаз,stû
19,Hals::N,бугаз,qirik
20,Genick::N,җилкә,stû
21,Kopf::N,баш,serî
22,Rücken::N,сырт,pişt
23,Bauch::N,корсак,ûr
24,Bauch::N,корсак,zik
25,Nabel::N,кендек,navik
26,Busen::N,түш,sîng
27,Brust::N,имчәк,sîng
28,Brust::N,күкрәк,sîng
29,Schulter::N,иңбаш,mil
30,Schulter::N,кулбаш,mil
31,Arm::N,кул,çepil
32,Ellenbogen::N,терсәк,enîşk
33,Hand::N,кул,dest
34,Handfläche::N,уч,kefadest
35,Finger::N,бармак,tilî
36,Fingernagel::N,тырнак,neynuk
37,Nagel[Anatomie]::N,тырнак,bizmar
38,Zeh::N,бармак,tilî linga
39,Fuß::N,табан,ling
40,Ferse::N,үкчә,pahnî
41,Knie::N,тез,kabok
42,Oberschenkel::N,бот,rahn
43,Bein::N,аяк,çip
44,Körper::N,тән,laş
45,Körper::N,тән,gowde
46,Körper::N,җисем,laş
47,Körper::N,җисем,gowde
48,Haut::N,тире,çerm
49,Blut::N,кан,xwîn
50,Ader::N,тамыр,reh
51,Sehne::N,сеңер,reh
52,Knochen::N,сөяк,hestî
53,Gehirn::N,ми,mêjî
54,Herz::N,йөрәк,dil
55,Magen::N,ашказаны,navêş
56,Leber::N,бавыр,kezeb
57,Atem::N,сулыш,hilm
58,Hunger::N,ачлык,birçîtî
59,Träne::N,яшь,hêstir
60,Geschmack::N,тәм,tam
61,Geschmack::N,зәвык,tam
62,Geruch::N,ис,bêhn
63,Schlaf::N,йокы,xew
64,Traum::N,төш,xewn
65,Himmel::N,күк,ezman
66,Sonne::N,кояш,roj
67,Mond::N,ай,heyv
68,Stern::N,йолдыз,stêrk
69,Luft::N,һава,ba
70,Wind::N,җил,ba
71,Welle::N,дулкын,şewl
72,Wasser::N,су,av
73,Stein::N,таш,kevir
74,Boden::N,туфрак,herd
75,Erde::N,җир,ax
76,Staub::N,тузан,toz
77,Rauch::N,төтен,dû
78,Funke::N,очкын,çirûşk
79,Feuer::N,ут,agir
80,Licht::N,якты,ronahî
81,Schatten::N,күләгә,sî
82,Wetter::N,һава,hewa
83,Nebel::N,томан,mij
84,Wolke::N,болыт,ewr
85,Regen::N,яңгыр,baran
86,Schnee::N,кар,berf
87,Eis::N,боз,qeşa
88,Frost::N,суык,xûsik
89,Frost::N,салкын,xûsik
90,Kälte::N,суык,serma
91,Kälte::N,салкын,serma
92,Hitze::N,эсселек,germayî
93,Raureif::N,бәс,şext
94,Raureif::N,сыкы,şext
95,Regenbogen::N,салават күпере,heftreng
96,Donner::N,күкрәү,gire-gir
97,Strömung::N,агыш'агым,şewl
98,Tropfen::N,тамчы,dilop
99,Schaum::N,күбек,kef
100,Schmutz::N,пычрак,gemar
101,See::N,күл,gol
102,Sumpf::N,саз,hezek
103,Moor::N,торфлык,mafêl
104,Wiese::N,болын,sûrik
105,Wald::N,урман,çiya
106,Wald::N,урман,daristan
107,Hügel::N,калку,gir
108,Anhöhe::N,үр,sere gir
109,Berg::N,тау,kaş
110,Gipfel::N,оч,sere gir
111,Höhle::N,мәгарә,şikeft
112,Abhang::N,кабырга,kaş
113,Quelle::N,чишмә,kanî
114,Bach::N,елга,çem
115,Fluss::N,дәрья,çem
116,Fluss::N,дәрья,rûbar
117,Ufer::N,су кырые,kevî
118,Küste::N,яр буе,berav
119,Festland::N,коры җир,bejahî
