,Concept_ID,br,fi
0,Auge::N,lagad,silmä
1,Ohr::N,skouarn,korva
2,Nase::N,fri,nenä
3,Mund::N,genoù,suu
4,Zahn::N,dant,hammas
5,Zunge::N,teod,kieli
6,Lippe::N,muzell,huuli
7,Wange::N,chot,poski
8,Gesicht::N,dremm,naama
9,Gesicht::N,dremm,kasvot
10,Stirn::N,tal,otsa
11,Haar::N,blev,hius
12,Haar::N,blev,tukka
13,Schnurrbart::N,mourenn,viikset
14,Bart::N,barv,parta
15,Kinn::N,groñj,leuka
16,Kiefer[Anatomie]::N,javed,leukaluu
17,Kehle::N,gouzoug,kurkku
18,Hals::N,gouzoug,kaula
19,Genick::N,choug,niska
20,Kopf::N,penn,pää
21,Rücken::N,kein,selkä
22,Bauch::N,kof,maha
23,Bauch::N,kof,vatsa
24,Nabel::N,begel,napa
25,Busen::N,bronn,rinta
26,Brust::N,bruched,rinta
27,Schulter::N,skoaz,olka
28,Schulter::N,skoaz,hartia
29,Schulter::N,skoaz,olkapää
30,Arm::N,brec'h,käsivarsi
31,Ellenbogen::N,ilin,kyynärpää
32,Hand::N,dorn,käsi
33,Handfläche::N,palv,kämmen
34,Finger::N,biz,sormi
35,Fingernagel::N,ivin,kynsi
36,Nagel[Anatomie]::N,ivin,kynsi
37,Zeh::N,biz-troad,varvas
38,Fuß::N,troad,jalka
39,Ferse::N,seul,kantapää
40,Knie::N,glin,polvi
41,Oberschenkel::N,morzhed,reisi
42,Bein::N,gar,jalka
43,Körper::N,korf,keho
44,Körper::N,korf,ruumis
45,Haut::N,kroc'hen,iho
46,Blut::N,gwad,veri
47,Ader::N,gwazhi,suoni
48,Sehne::N,stir,jänne
49,Knochen::N,askorn,luu
50,Gehirn::N,empenn,aivot
51,Herz::N,kalon,sydän
52,Magen::N,stomog,maha
53,Magen::N,stomog,vatsa
54,Leber::N,avu,maksa
55,Atem::N,anal,henki
56,Atem::N,anal,hengitys
57,Hunger::N,naon,nälkä
58,Träne::N,daer,kyynel
59,Geschmack::N,blaz,maku
60,Geruch::N,c'hwezh,haju
61,Schlaf::N,kousked,uni
62,Traum::N,hune,uni
63,Himmel::N,oabl,taivas
64,Sonne::N,heol,aurinko
65,Mond::N,loar,kuu
66,Stern::N,steredenn,tähti
67,Luft::N,aer,ilma
68,Wind::N,avel,tuuli
69,Welle::N,houlenn,aalto
70,Wasser::N,dour,vesi
71,Stein::N,maen,kivi
72,Boden::N,tachenn,maa
73,Boden::N,tachenn,maaperä
74,Erde::N,douar,maa
75,Staub::N,poultr,pöly
76,Rauch::N,moged,savu
77,Funke::N,ful,kipinä
78,Feuer::N,tan,tuli
79,Licht::N,gouloù,valo
80,Schatten::N,disheol,varjo
81,Wetter::N,amzer,sää
82,Nebel::N,brumenn,sumu
83,Wolke::N,koumoulenn,pilvi
84,Regen::N,glav,sade
85,Schnee::N,erc'h,lumi
86,Eis::N,skorn,jää
87,Frost::N,rev,halla
88,Frost::N,rev,pakkanen
89,Kälte::N,yen,vilu
90,Kälte::N,yen,kylmyys
91,Hitze::N,tommder,helle
92,Hitze::N,tommder,kuumuus
93,Raureif::N,frim,huurre
94,Regenbogen::N,gwareg-ar-glav,sateenkaari
95,Donner::N,kurun,jyrinä
