,Concept_ID,,mrj
0,Auge::N,,сӹнзӓ
1,Ohr::N,,пӹлӹш
2,Nase::N,,нер
3,Mund::N,,ышма
4,Zahn::N,,пӱ
5,Zunge::N,,йӹлмӹ
6,Lippe::N,,тӹрвӹ
7,Wange::N,,шӹргӹ
8,Gesicht::N,,лицӓ
9,Stirn::N,,лепкӓ
10,Haar::N,,ӱп
11,Schnurrbart::N,,öрш
12,Bart::N,,пандаш
13,Kinn::N,,онгылаш
14,Kiefer[Anatomie]::N,,пӱ арата
15,Kehle::N,,логер
16,Hals::N,,шӱ
17,Genick::N,,ланга
18,Kopf::N,,вуй
19,Rücken::N,,туп
20,Bauch::N,,мӹшкӹр
21,Nabel::N,,кӹлӹмдӹ
22,Busen::N,,цӹзӹ
23,Brust::N,,мел
24,Schulter::N,,ӹнгӹжӓ
25,Arm::N,,кид
26,Ellenbogen::N,,кӹнервуй
27,Hand::N,,лапа
28,Handfläche::N,,кид лапа
29,Finger::N,,парня
30,Fingernagel::N,,кӹч
31,Nagel[Anatomie]::N,,кӹч
32,Zeh::N,,парня
33,Fuß::N,,ял лапа
34,Ferse::N,,ялгавал
35,Ferse::N,,ял кавал
36,Knie::N,,пылвуй
37,Oberschenkel::N,,ӓрдӹ
38,Bein::N,,ял
39,Körper::N,,монгыр
40,Haut::N,,кавашты
41,Blut::N,,вӹр
42,Ader::N,,вӹршӓр
43,Sehne::N,,кукшышӱн
44,Knochen::N,,лу
45,Gehirn::N,,вим
46,Herz::N,,шӱм
47,Magen::N,,шӱм
48,Leber::N,,мокш
49,Atem::N,,шӱлӹш
50,Hunger::N,,шужымаш
51,Träne::N,,сӹнзӓвӹд
52,Geschmack::N,,тот
53,Geruch::N,,пыш
54,Schlaf::N,,ом
55,Traum::N,,ом
56,Himmel::N,,пӹлгом
57,Sonne::N,,кечӹ
58,Mond::N,,тӹлзӹ
59,Stern::N,,шӹдӹр
60,Luft::N,,юж
61,Luft::N,,воздух
62,Wind::N,,мардеж
63,Welle::N,,ко
64,Welle::N,,коэ
65,Wasser::N,,вӹд
66,Stein::N,,кӱ
67,Boden::N,,рок
68,Erde::N,,свет
69,Staub::N,,пырак
70,Rauch::N,,шӹкш
71,Funke::N,,ип
72,Funke::N,,тылип
73,Feuer::N,,тыл
74,Licht::N,,соты
75,Licht::N,,валгыды
76,Schatten::N,,ӹмӹл
77,Wetter::N,,игечӹ
78,Nebel::N,,тӹтӹрӓ
79,Wolke::N,,пӹл
80,Regen::N,,юр
81,Schnee::N,,лым
82,Eis::N,,и
83,Frost::N,,ӱштӹ
