,Concept_ID,fi,ta
0,Auge::N,silmä,கண்
1,Ohr::N,korva,காது
2,Nase::N,nenä,மூக்கு
3,Mund::N,suu,வாய்
4,Zahn::N,hammas,பல்
5,Zunge::N,kieli,நாக்கு
6,Lippe::N,huuli,உதடு
7,Wange::N,poski,கன்னம்
8,Gesicht::N,naama,முகம்
9,Gesicht::N,kasvot,முகம்
10,Stirn::N,otsa,முன்னெற்றி
11,Haar::N,hius,முடி
12,Haar::N,tukka,முடி
13,Schnurrbart::N,viikset,மீசை
14,Bart::N,parta,தாடி
15,Kinn::N,leuka,கீழதாடை
16,Kiefer[Anatomie]::N,leukaluu,தாடை
17,Kehle::N,kurkku,தொண்டை
18,Hals::N,kaula,கழுத்து
19,Genick::N,niska,கழுத்து
20,Kopf::N,pää,தலை
21,Rücken::N,selkä,முதுகு
22,Bauch::N,maha,வயிறு
23,Bauch::N,vatsa,வயிறு
24,Nabel::N,napa,தொப்புள்
25,Busen::N,rinta,மார்பகம்
26,Brust::N,rinta, மார்பு
27,Schulter::N,olka,தோள்பட்டை
28,Schulter::N,hartia,தோள்பட்டை
29,Schulter::N,olkapää,தோள்பட்டை
30,Arm::N,käsivarsi,கரம்
31,Ellenbogen::N,kyynärpää,முழங்கை
32,Hand::N,käsi,கை
33,Handfläche::N,kämmen,உள்ளங்கை
34,Finger::N,sormi,விரல்
35,Fingernagel::N,kynsi,விரல் நகம்
36,Nagel[Anatomie]::N,kynsi,நகம்
37,Zeh::N,varvas,கால்விரல்
38,Fuß::N,jalka,கால்
39,Ferse::N,kantapää,குதிகால்
40,Knie::N,polvi,முழங்கால்
41,Oberschenkel::N,reisi,தொடை
42,Bein::N,jalka,கால்
43,Körper::N,keho,உடல்
44,Körper::N,ruumis,உடல்
45,Haut::N,iho,சருமம்
46,Blut::N,veri,இரத்தம்
47,Ader::N,suoni,நாளம்
48,Sehne::N,jänne,தசைநார்
49,Knochen::N,luu,எலுமபு
50,Gehirn::N,aivot,மூனை
51,Herz::N,sydän,இதயம
52,Magen::N,maha,வயிறு
53,Magen::N,vatsa,வயிறு
54,Leber::N,maksa,கல்லீரல்
55,Atem::N,henki,மூச்சு
56,Atem::N,hengitys,மூச்சு
57,Hunger::N,nälkä,பசி
58,Träne::N,kyynel,கண்ணீர்
59,Geschmack::N,maku,நறுமணம்
60,Geruch::N,haju,துர்நாற்றம்
61,Schlaf::N,uni,தூக்கம்
62,Traum::N,uni,கனவு
63,Himmel::N,taivas,வானம்
64,Sonne::N,aurinko,சூரியன்
65,Mond::N,kuu,சந்திரன்
66,Stern::N,tähti,நட்சத்திரம்
67,Luft::N,ilma,காறறு
68,Wind::N,tuuli,காற்று
69,Welle::N,aalto,அலை
70,Wasser::N,vesi,நீர்
71,Stein::N,kivi,கல்
72,Boden::N,maa,தரை
73,Boden::N,maaperä,தரை
74,Erde::N,maa,மண்
75,Staub::N,pöly,தூசி
76,Rauch::N,savu,புகை
77,Funke::N,kipinä,தீப்பொறி
78,Feuer::N,tuli,தீ
79,Licht::N,valo,வெளிச்சம்
80,Schatten::N,varjo,நிழல்
81,Wetter::N,sää,வானிலை
82,Nebel::N,sumu,பனிமூட்டம்
83,Wolke::N,pilvi,மேகம்
84,Regen::N,sade,மழை
85,Schnee::N,lumi,உறைபனி
86,Eis::N,jää,பனிக்கட்டி
87,Frost::N,halla,உறைபனி
88,Frost::N,pakkanen,உறைபனி
89,Kälte::N,vilu,குளிர்ந்த
90,Kälte::N,kylmyys,குளிர்ந்த
91,Hitze::N,helle,சூடு
92,Hitze::N,kuumuus,சூடு
93,Raureif::N,huurre,உறைபனி வெண்திரை
94,Regenbogen::N,sateenkaari,வானவில்
95,Donner::N,jyrinä,இடி
96,Strömung::N,virtaus,நீரோட்டம்
97,Tropfen::N,tippa,துளி
98,Tropfen::N,pisara,துளி
99,Schaum::N,vaahto,நுரை
100,Schmutz::N,loka,அழுக்கு
101,See::N,järvi,ஏரி
102,Sumpf::N,suo,சதுப்பு நிலம்
103,Moor::N,räme,முட்புதற்காடு
104,Wiese::N,niitty,பசும் புல்தரை
105,Wald::N,metsä,காடு
106,Hügel::N,mäki,குன்று
107,Hügel::N,kumpu,குன்று
108,Hügel::N,kukkula,குன்று
109,Anhöhe::N,mäki,பதுக்கை
110,Anhöhe::N,kumpare,பதுக்கை
111,Berg::N,mäki,மலை
112,Berg::N,vuori,மலை
113,Gipfel::N,laki,உச்சி மாநாடு
114,Gipfel::N,huippu,உச்சி மாநாடு
115,Höhle::N,luola,குகை
116,Abhang::N,rinne,சரிவு
117,Quelle::N,lähde,மூலம்
118,Bach::N,puro,ஓடை
119,Fluss::N,joki,ஆறு
120,Ufer::N,ranta,நீர்க்கரை
121,Küste::N,rannikko,கடற்கரை
122,Festland::N,manner,நிலம்
123,Meer::N,meri,கடல்
124,Bucht::N,lahti,சிறுகுடா
125,Insel::N,saari,தீவு
126,Blume::N,kukka,பூ
127,Gras::N,ruoho,புல்தரை
128,Wurzel::N,juuri,வேர்
129,Baum::N,puu,மரம்
130,Stamm::N,runko,அடிமரம்
131,Rinde::N,kuori,பட்டை
132,Rinde::N,kuori,மரப்பட்டை
133,Rinde::N,parkki,பட்டை
134,Rinde::N,parkki,மரப்பட்டை
135,Ast::N,oksa,கினை
136,Zweig::N,haara,குச்சி
137,Blatt::N,lehti,இலை
138,Birke::N,koivu,பிர்ச் மரம்
139,Kiefer[Baum]::N,mänty,தேவதாரு மரம்
140,Kiefer[Baum]::N,petäjä,தேவதாரு மரம்
141,Weide[Baum]::N,paju,மர வகைகளுள் ஒன்று
142,Tanne::N,kuusi,சாதிக்கய்
143,Horn::N,sarvi,கொம்பு
144,Feder::N,sulka,இறகு
145,Feder::N,höyhen,இறகு
146,Fell::N,talja,மென்முடி
147,Flügel::N,siipi,இறக்கை
148,Klaue::N,kynsi,நகம்
149,Kralle::N,kynsi,நகம்
150,Schwanz::N,häntä,வால்
151,Schwanz::N,pyrstö,வால்
152,Ei::N,muna,முட்டை
153,Nest::N,pesä,கூடு
154,Bau::N,pesä,குகை
155,Tier::N,eläin,விலங்கு
156,Herde::N,lauma,கூட்டம்
157,Kuh::N,lehmä,பசு
158,Bulle::N,sonni,காளை
159,Pferd::N,hevonen,குதிரை
160,Schaf::N,lammas,செம்மறிஆடு
161,Schwein::N,sika,பன்றி
162,Hund::N,koira,நாய்
163,Katze::N,kissa,பூனை
164,Bär::N,karhu,கரடி
165,Eichhörnchen::N,orava,அணில்
166,Elch::N,hirvi,கடம்பை
167,Fuchs::N,kettu,நரி
168,Hase::N,jänis,முயல்
169,Maus::N,hiiri,எலி
170,Wolf::N,susi,ஓநாய்
171,Vogel::N,lintu,பறவை
172,Schwarm::N,parvi,தொகுதி
173,Huhn::N,kana,கோழிக்குஞசு
174,Hahn::N,kukko,சேவல்
175,Gans::N,hanhi,பெண் வாத்து
176,Adler::N,kotka,பருநது
177,Ente::N,ankka,வாத்து
178,Eule::N,pöllö,ஆந்தை
179,Kranich::N,kurki,நாரை
180,Krähe::N,varis,காகம்
181,Kuckuck::N,käki,குயில்
182,Schwan::N,joutsen,அன்னம்
183,Fisch::N,kala,மீன்
184,Barsch::N,ahven,பேர்ச்
185,Hecht::N,hauki,கோலாச்சி மீன்
186,Schlange[Tier]::N,käärme,பாம்பு
187,Wurm::N,mato,புழு
188,Spinne::N,hämähäkki,சிலந்தி
189,Ameise::N,muurahainen,எறும்பு
190,Laus::N,täi,பேன்
191,Mücke::N,sääski,கொசுவினப்பூச்சி
192,Mücke::N,hyttynen,கொசுவினப்பூச்சி
193,Fliege::N,kärpänen,ஈ
194,Schmetterling::N,perhonen,வண்ணத்துப்பூச்சி
195,Beere::N,marja,சதைப்பழம்
196,Apfel::N,omena,ஆப்பிள பழம்
197,Pilz::N,sieni,காளான்
198,Zwiebel::N,sipuli,வெங்காயம்
199,Saat::N,siemenet,விதை
200,Korn::N,jyvä,தானியம்
201,Korn::N,vilja,தானியம்
202,Heu::N,heinä,வைக்கோல்
203,Schale::N,kuori,தோல்
204,Grube::N,kuoppa,குழி
205,Falle::N,loukku,பொறி
206,Schlinge::N,ansa,கண்ணி
207,Spur::N,jälki,சுவடு
208,Asche::N,tuhka,சாம்பல்
209,Dreck::N,lika,அழுக்கு
210,Eisen::N,rauta,இரும்பு
211,Gold::N,kulta,தங்கம்
212,Silber::N,hopea,வெள்ளி
213,Kohle::N,hiili,நிலக்கரி
214,Glas::N,lasi,கண்ணாடி
215,Lehm::N,savi,களிமண்
216,Sand::N,hiekka,மணல்
217,Mensch::N,ihminen,மனிதர்கள்
218,Mann::N,mies,மனிதன்
219,Frau::N,nainen,பெண்
220,Kind::N,lapsi,குழந்தை
221,Junge::N,poika,பையன்
222,Mädchen::N,tyttö,சிறுமி
223,Familie::N,perhe,குடும்பம்
224,Großvater::N,isoisä,தாத்தா
225,Großmutter::N,isoäiti,பாட்டி
226,Eltern::N,vanhemmat,பெற்றோர்
227,Vater::N,isä,தந்தை
228,Mutter::N,äiti,தாய்
229,Sohn::N,poika,மகன்
230,Tochter::N,tytär,மகள்
231,Bruder::N,veli,சகோதரன்
232,Schwester::N,sisko,அக்கா
233,Onkel::N,eno,தாய் மாமன்
234,Onkel::N,setä,தாய் மாமன்
235,Tante::N,täti,அத்தை
236,Ehemann::N,mies,கணவன்
237,Ehemann::N,aviomies,கணவன்
238,Ehefrau::N,vaimo,மனைவி
239,Ehefrau::N,aviovaimo,மனைவி
240,Freude::N,ilo,கொண்டாட்டம்
241,Freude::N,riemu,கொண்டாட்டம்
242,Gelächter::N,nauru,சிரிப்பு
243,Glück::N,onni,மகிழ்ச்சி
244,Kummer::N,suru,துயரம்
245,Kummer::N,murhe,துயரம்
246,Wunsch::N,toive,விருப்பம்
247,Wunsch::N,toivomus,விருப்பம்
248,Lust::N,himo,விருப்பம்
249,Geist::N,henki,ஆன்மா
250,Gedanke::N,aate,எண்ணம்
251,Gedanke::N,ajatus,எண்ணம்
252,Gedächtnis::N,muisti,ஞாபகம்
253,Verstand::N,äly,மனம்
254,Verstand::N,järki,மனம்
255,Verstand::N,ymmärrys,மனம்
256,Sinn::N,merkitys,அர்த்தம்
257,Grund::N,syy,காரணம்
258,Grund::N,peruste,காரணம்
259,Wahrheit::N,tosi,உண்நை
260,Wahrheit::N,totuus,உண்நை
261,Gespräch::N,puhelu,பெசு
262,Gespräch::N,keskustelu,பெசு
263,Märchen::N,satu,நம்பத்தகாத கதை
264,Erzählung::N,tarina,கதை
265,Erzählung::N,kertomus,கதை
266,Nachricht::N,tieto,செய்தி
267,Nachricht::N,ilmoitus,செய்தி
