,Concept_ID,uz,udm
0,Auge::N,ko'z,син
1,Ohr::N,quloq,пель
2,Nase::N,burun,ныр
3,Mund::N,og'iz,ым
4,Zahn::N,tish,пинь
5,Zunge::N,til,кыл
6,Lippe::N,dudoq,ымдур
7,Wange::N,bet,бам
8,Gesicht::N,yuz,ымныр
9,Stirn::N,manglay,кымес
10,Haar::N,soch,йырси
11,Schnurrbart::N,mo'ylov,мыйык
12,Bart::N,soqol,туш
13,Kinn::N,ängak,ангес
14,Kiefer[Anatomie]::N,iyak,ан
15,Kiefer[Anatomie]::N,iyak,анлы
16,Kehle::N,bo'g'iz,гульым
17,Hals::N,bo'yin,чырты
18,Genick::N,gardan,йырбер
19,Kopf::N,bosh,йыр
20,Rücken::N,orqa,мыш
21,Bauch::N,qorin,кӧт
22,Nabel::N,kindik,гогы
23,Busen::N,ämchak,ноны
24,Brust::N,ko'krak,мӧля
25,Schulter::N,elka,пельпум
26,Arm::N,bilak,суй
27,Ellenbogen::N,tirsak,гырпум
28,Hand::N,qo'l,ки
29,Handfläche::N,kaft,ки пыдэс
30,Handfläche::N,kaft,кырым пыдэс
31,Finger::N,barmoq,чиньы
32,Fingernagel::N,tirnoq,гижы
33,Fingernagel::N,tirnoq,гиждӥнь
34,Nagel[Anatomie]::N,tirnoq,гижы
35,Zeh::N,oyoq barmog'i,пыдчиньы
36,Fuß::N,oyoq,пыд
37,Ferse::N,tovon,пыдбер
38,Knie::N,tiz,пыдес
39,Oberschenkel::N,son,макес
40,Bein::N,oyoq,пыд
41,Körper::N,badna,мугор
42,Körper::N,badna,вылтыр
43,Haut::N,teri,ку
44,Blut::N,qon,вир
45,Ader::N,qon tomir,вирсэр
46,Sehne::N,tomir,вуж
47,Knochen::N,suyak,лы
48,Gehirn::N,miya,вим
49,Herz::N,qalb,сюлэм
50,Magen::N,oshqozon,ӝуш
51,Leber::N,bag'ir,мус
52,Atem::N,dam,лул
53,Atem::N,dam,шокан
54,Hunger::N,ochlik,кӧтсюман
55,Träne::N,yosh,синкыли
56,Geschmack::N,tam,шӧм
57,Geruch::N,jid,зын
58,Schlaf::N,uyqu,вӧт
59,Traum::N,tush,уйвӧт
60,Himmel::N,osmon,ин
61,Sonne::N,quyosh,шунды
62,Mond::N,oy,толэзь
63,Stern::N,yulduz,кизили
64,Luft::N,havo,омыр
65,Wind::N,el,тӧл
66,Welle::N,to'lqin,тулкым
67,Wasser::N,suv,ву
68,Stein::N,tosh,из
69,Boden::N,tuproq,музъем
70,Erde::N,er,му
71,Staub::N,chang,пыль
72,Rauch::N,tutun,ӵын
73,Funke::N,yalt,гизьы
74,Feuer::N,o't,тыл
75,Licht::N,yorug',тыл
76,Schatten::N,soya,вужер
77,Wetter::N,havo,куазь
78,Nebel::N,tuman,бус
79,Wolke::N,bulut,пилем
80,Regen::N,yomg'ir,зор
81,Schnee::N,qor,лымы
82,Eis::N,muz,йӧ
83,Frost::N,ajoz,кезьыт
84,Kälte::N,ajoz,кезьыт
85,Hitze::N,issiq,пӧсь
86,Raureif::N,qirov,гӧр
87,Regenbogen::N,kamalak,вуюись
88,Donner::N,guldur,гудыри
89,Strömung::N,oqim,бызён
90,Tropfen::N,tomchi,шапык
91,Schaum::N,ko'pik,шукы
92,Schmutz::N,gard,нӧд
93,Schmutz::N,gard,дэри
94,See::N,ko'l,ты
95,Sumpf::N,botqoq,нюр
96,Moor::N,qir-adir,нюр
97,Wiese::N,o'tzor,возь
98,Wiese::N,o'tzor,возьвыл
99,Wald::N,o'rmon,сик
100,Wald::N,o'rmon,нюлэс
101,Hügel::N,tepa,выр
102,Hügel::N,tepa,вырйыл
103,Anhöhe::N,adir,выр
104,Anhöhe::N,adir,вырйыл
105,Berg::N,tog',гурезь
106,Gipfel::N,cho'qqi,йыл
107,Höhle::N,kavak,гу
108,Abhang::N,to'sh,бам
109,Quelle::N,buloq,ошмес
110,Bach::N,o'zan,пичи шур
111,Fluss::N,daryo,шур
112,Ufer::N,sohil,ярдур
113,Küste::N,qirg'oq,вудур
114,Festland::N,materik,мувыр
115,Meer::N,dengiz,зарезь
116,Bucht::N,qo'ltiq,вукож
117,Insel::N,orol,вумуӵ
118,Insel::N,orol,шормуӵ
119,Blume::N,gul,сяська
120,Gras::N,sabza,турын
121,Wurzel::N,tub,выжы
122,Wurzel::N,tomir,выжы
123,Baum::N,daraxt,пу
124,Stamm::N,o'simta,модос
125,Rinde::N,qobiq,сул
126,Ast::N,shox,ул
127,Zweig::N,butoq,вай
