,Concept_ID,ga,ar
0,Auge::N,súil,عين
1,Ohr::N,cluas,أذن
2,Nase::N,soc,أنف
3,Mund::N,béal,فم
4,Zahn::N,fiacail,سن
5,Zunge::N,teanga,لسان
6,Lippe::N,liopa,شفة
7,Wange::N,grua,خد
8,Wange::N,grua,وجنة
9,Wange::N,leiceann,خد
10,Wange::N,leiceann,وجنة
11,Gesicht::N,éadan,وجه
12,Gesicht::N,aghaidh,وجه
13,Stirn::N,baithis,جبين
14,Stirn::N,clár éadain,جبين
15,Haar::N,gruaig,شعر
16,Schnurrbart::N,croiméal,شارب
17,Bart::N,féasóg,لحية
18,Kinn::N,smig,ذقن
19,Kiefer[Anatomie]::N,giall,فك
20,Kehle::N,scornach,حلق
21,Hals::N,muinéal,عنق
22,Hals::N,muinéal,رقبة
23,Genick::N,baic,قفا
24,Kopf::N,ceann,رأس
25,Rücken::N,droim,ظهر
26,Bauch::N,bolg,بطن
27,Nabel::N,imleacán,سرة
28,Busen::N,cíoch,ثدي
29,Brust::N,brollach,صدر
30,Schulter::N,gualainn,كتف
31,Arm::N,lámh,ذراع
32,Ellenbogen::N,uillinn,كوع
33,Hand::N,lámh,يد
34,Handfläche::N,bos,كف
35,Finger::N,méar,إصبع
36,Fingernagel::N,ionga,ظفر
37,Nagel[Anatomie]::N,ionga,ظفر
38,Zeh::N,ladhar,إصبع القدم
39,Fuß::N,cos,قدم
40,Fuß::N,troigh,قدم
41,Ferse::N,sáil,كعب
42,Knie::N,glúin,ركبة
43,Oberschenkel::N,ceathrú,فخذ
44,Bein::N,cos,ساق
45,Körper::N,corp,جسم
46,Körper::N,colainn,جسم
47,Haut::N,cneas,بشرة
48,Haut::N,craiceann,بشرة
49,Blut::N,fuil,دم
50,Sehne::N,teannán,طنب
51,Sehne::N,féitheog,طنب
52,Knochen::N,cnámh,عظم
53,Gehirn::N,inchinn,دماغ
54,Herz::N,croí,قلب
55,Magen::N,bolg,معدة
56,Magen::N,goile,معدة
57,Leber::N,ae,كبد
58,Atem::N,anáil,نفس
