,Concept_ID,sl,he
0,Auge::N,okó,עין
1,Ohr::N,uhó,אזן
2,Nase::N,nós,אף
3,Nase::N,nós,חטם
4,Mund::N,ústa,פה
5,Zahn::N,zób,שן
6,Zunge::N,jêzik,לשון
7,Lippe::N,ústnica,שפה
8,Wange::N,líce,לחי
9,Gesicht::N,oblíčje,פנים
10,Stirn::N,čêlo,מצח
11,Haar::N,lás,שערה
12,Schnurrbart::N,bŕki,שפם
13,Bart::N,bráda,זקן
14,Kinn::N,bráda,סנטר
15,Kiefer[Anatomie]::N,čeljúst,לסת
16,Kehle::N,gŕlo,גרון
17,Hals::N,vrát,צואר
18,Genick::N,zatílnik,ערף
19,Kopf::N,gláva,ראש
20,Rücken::N,hrbèt,גב
21,Bauch::N,trébuh,בטן
22,Nabel::N,pópek,טבור
23,Busen::N,nédrja,שד
24,Brust::N,pŕsi,חזה
25,Schulter::N,ráma,כתף
26,Schulter::N,plêče,כתף
27,Arm::N,rôka,זרוע
28,Ellenbogen::N,komólec,מרפק
29,Hand::N,rôka,יד
30,Handfläche::N,dlán,כף יד
31,Finger::N,pŕst,אצבע
32,Fingernagel::N,nóht na rôki,צפרן
33,Nagel[Anatomie]::N,nóht,צפרן
34,Zeh::N,pŕst na nôgi,אצבע
35,Fuß::N,nôga,רגל
36,Ferse::N,pêta,עקב
37,Knie::N,koléno,ברך
38,Oberschenkel::N,stêgno,ירך
39,Bein::N,nôga,רגל
40,Körper::N,teló,גוף
41,Haut::N,kóža,עור
42,Blut::N,krí,דם
43,Ader::N,žíla,וריד
44,Sehne::N,kíta,גיד
45,Knochen::N,kóst,עצם
46,Gehirn::N,možgáni,מוח
47,Herz::N,srcé,לב
48,Magen::N,želódec,קבה
49,Leber::N,jétra,כבד
50,Atem::N,díh,נשימה
51,Hunger::N,glád,רעב
52,Träne::N,sólza,דמעה
53,Geschmack::N,okús,טעם
54,Geruch::N,vónj,ריח
55,Schlaf::N,sèn,שנה
56,Schlaf::N,spánec,שנה
57,Traum::N,sánje,חלום
58,Himmel::N,nebó,שמים
59,Sonne::N,sónce,שמש
60,Mond::N,lúna,ירח
61,Mond::N,mésec,ירח
62,Stern::N,zvézda,כוכב
63,Luft::N,zràk,אויר
64,Wind::N,véter,רוח
65,Welle::N,vál,גל
66,Wasser::N,vôda,מים
67,Stein::N,kámen,אבן
68,Boden::N,tlà,קרקע
69,Erde::N,pŕst,אדמה
70,Erde::N,zêmlja,אדמה
71,Staub::N,práh,אבק
72,Rauch::N,dìm,עשן
73,Funke::N,ískra,ניצוץ
74,Feuer::N,ôgenj,אש
75,Licht::N,lúč,אור
76,Schatten::N,sénca,צל
77,Wetter::N,vrême,מזג אויר
78,Nebel::N,meglà,ערפל
79,Wolke::N,oblák,ענן
80,Regen::N,dèž,גשם
81,Schnee::N,snég,שלג
82,Eis::N,léd,קרח
83,Frost::N,zmrzál,צנה
84,Kälte::N,mràz,קר
85,Hitze::N,pripéka,חם
86,Raureif::N,ívje,כפור
87,Raureif::N,slána,כפור
88,Regenbogen::N,mávrica,קשת
89,Donner::N,gròm,רעם
90,Strömung::N,strúja,זרימה
91,Tropfen::N,káplja,טפה
92,Schaum::N,péna,קצף
93,Schmutz::N,nesnága,לכלוך
94,See::N,jézero,אגם
95,Sumpf::N,močvírje,בצה
96,Moor::N,bárje,בצה
97,Wiese::N,trávnik,מרעה
98,Wald::N,lés,יער
99,Wald::N,gòzd,יער
100,Hügel::N,brég,תל
101,Hügel::N,goríca,תל
102,Anhöhe::N,gríč,מעלה
103,Anhöhe::N,višína,מעלה
104,Berg::N,gôra,הר
