,Concept_ID,ab,pl
0,Auge::N,ала,oko
1,Ohr::N,алымҳа,ucho
2,Nase::N,аҧынҵа,nos
3,Mund::N,аҧышə,usta
4,Zahn::N,ахаҧыц,ząb
5,Zunge::N,абз,język
6,Lippe::N,ақьышə,warga
7,Wange::N,аӡамҩа,policzek
8,Gesicht::N,аҿы,twarz
9,Stirn::N,алахь,czoło
10,Haar::N,ахəыц,włos
11,Haar::N,ахəыц,włosy
12,Schnurrbart::N,аҧаҵа,wąsy
13,Bart::N,ажакьа,broda
14,Kinn::N,ацламкəыгə,podbródek
15,Kiefer[Anatomie]::N,ацламҳəа,czeluść
16,Kehle::N,ахəда,gardło
17,Hals::N,ахəда,szyja
18,Genick::N,ахəдаџьал,kark
19,Kopf::N,ахы,głowa
20,Rücken::N,азқəа,plecy
21,Rücken::N,азқəа,grzbiet
22,Bauch::N,амгəа,brzuch
23,Nabel::N,аҷапан,pępek
24,Busen::N,агəыҧҳəы,biust
25,Brust::N,агəышҧы,pierś
26,Schulter::N,ажəҩахыр,bark
27,Schulter::N,ажəҩахыр,ramię
28,Arm::N,амахəар,ręka
29,Arm::N,амахəар,ramię
30,Ellenbogen::N,амашьхəылҵ,łokieć
31,Hand::N,анапы,dłoń
32,Handfläche::N,анапсаргəыҵа,dłoń
33,Finger::N,анацəа,palec
34,Fingernagel::N,анапхыц,paznokieć
35,Nagel[Anatomie]::N,ашьапхыц,paznokieć
36,Zeh::N,ашьацəа,palec
37,Fuß::N,ашьапсыргəыҵа,stopa
38,Ferse::N,ашьхəа,pięta
39,Knie::N,ашьамхы,kolano
40,Oberschenkel::N,ауаҭəа,udo
41,Bein::N,ашьапы,noga
42,Körper::N,ацəеижь,ciało
43,Haut::N,ацəа,skóra
44,Blut::N,ашьа,krew
45,Ader::N,ада,żyła
46,Sehne::N,адаш,ścięgno
47,Knochen::N,абаҩ,kość
48,Gehirn::N,ахшлыбаҩ,mózg
49,Gehirn::N,ахшыбаҩ,mózg
50,Herz::N,агəы,serce
51,Magen::N,аца,żołądek
52,Magen::N,ацар,żołądek
53,Leber::N,агəаҵəа,wątroba
54,Atem::N,аҧсыҧлагаҩгара,dech
55,Atem::N,аҧсыҧлагаҩгара,oddech
56,Hunger::N,амла,głód
57,Träne::N,алабжыш,łza
