,Concept_ID,tt,da
0,Auge::N,күз,øje
1,Ohr::N,колак,øre
2,Nase::N,борын,næse
3,Mund::N,авыз,mund
4,Mund::N,тамак,mund
5,Zahn::N,теш,tand
6,Zunge::N,тел,tunge
7,Lippe::N,ирен,læbe
8,Wange::N,яңак,kind
9,Gesicht::N,йөз,ansigt
10,Stirn::N,маңгай,pande
11,Haar::N,чәч,hår
12,Schnurrbart::N,мыек,overskæg
13,Bart::N,сакал,skæg
14,Kinn::N,ияк,hage
15,Kiefer[Anatomie]::N,казналык,kæbe
16,Kehle::N,тамак,strube
17,Hals::N,бугаз,hals
18,Genick::N,җилкә,nakke
19,Kopf::N,баш,hoved
20,Rücken::N,сырт,ryg
21,Bauch::N,корсак,mave
22,Nabel::N,кендек,navle
23,Busen::N,түш,barm
24,Brust::N,имчәк,bryst
25,Brust::N,күкрәк,bryst
26,Schulter::N,иңбаш,skulder
27,Schulter::N,кулбаш,skulder
28,Arm::N,кул,arm
29,Ellenbogen::N,терсәк,albue
30,Hand::N,кул,hånd
31,Handfläche::N,уч,håndflade
32,Finger::N,бармак,finger
33,Fingernagel::N,тырнак,fingernegl
34,Nagel[Anatomie]::N,тырнак,negl
35,Zeh::N,бармак,tå
36,Fuß::N,табан,fod
37,Ferse::N,үкчә,hæl
38,Knie::N,тез,knæ
39,Oberschenkel::N,бот,lår
40,Bein::N,аяк,ben
41,Körper::N,тән,krop
42,Körper::N,тән,legeme
43,Körper::N,җисем,krop
44,Körper::N,җисем,legeme
45,Haut::N,тире,hud
46,Blut::N,кан,blod
47,Ader::N,тамыр,åre
48,Sehne::N,сеңер,sene
49,Knochen::N,сөяк,ben
50,Gehirn::N,ми,hjerne
51,Herz::N,йөрәк,hjerte
52,Magen::N,ашказаны,mave
53,Leber::N,бавыр,lever
54,Atem::N,сулыш,ånde
55,Hunger::N,ачлык,sult
56,Träne::N,яшь,tåre
57,Geschmack::N,тәм,smag
58,Geschmack::N,зәвык,smag
59,Geruch::N,ис,lugt
60,Schlaf::N,йокы,søvn
61,Traum::N,төш,drøm
62,Himmel::N,күк,himmel
63,Sonne::N,кояш,sol
64,Mond::N,ай,måne
65,Stern::N,йолдыз,stjerne
66,Luft::N,һава,luft
67,Wind::N,җил,vind
68,Welle::N,дулкын,bølge
69,Wasser::N,су,vand
70,Stein::N,таш,sten
71,Boden::N,туфрак,jord
72,Erde::N,җир,jord
73,Staub::N,тузан,støv
74,Rauch::N,төтен,røg
75,Funke::N,очкын,gnist
76,Feuer::N,ут,ild
77,Licht::N,якты,lys
78,Schatten::N,күләгә,skygge
79,Wetter::N,һава,vejr
80,Nebel::N,томан,tåge
81,Wolke::N,болыт,sky
82,Regen::N,яңгыр,regn
83,Schnee::N,кар,sne
84,Eis::N,боз,is
85,Frost::N,суык,frost
86,Frost::N,салкын,frost
87,Kälte::N,суык,kulde
88,Kälte::N,салкын,kulde
89,Hitze::N,эсселек,hede
90,Raureif::N,бәс,rimfrost
91,Raureif::N,сыкы,rimfrost
92,Regenbogen::N,салават күпере,regnbue
93,Donner::N,күкрәү,torden
94,Strömung::N,агыш'агым,strømning
95,Tropfen::N,тамчы,dråbe
96,Schaum::N,күбек,skum
97,Schmutz::N,пычрак,snavs
98,See::N,күл,sø
99,Sumpf::N,саз,sump
100,Moor::N,торфлык,mose
101,Wiese::N,болын,eng
102,Wald::N,урман,skov
103,Hügel::N,калку,høj
104,Hügel::N,калку,bakke
105,Anhöhe::N,үр,høj
106,Anhöhe::N,үр,bakke
107,Berg::N,тау,bjerg
108,Gipfel::N,оч,top
109,Höhle::N,мәгарә,hule
110,Abhang::N,кабырга,skrænt
111,Abhang::N,кабырга,skråning
112,Quelle::N,чишмә,kilde
113,Bach::N,елга,bæk
114,Fluss::N,дәрья,flod
115,Ufer::N,су кырые,bred
116,Küste::N,яр буе,kyst
117,Festland::N,коры җир,fastland
118,Meer::N,диңгез,hav
119,Bucht::N,бухта,bugt
120,Bucht::N,култык,bugt
121,Insel::N,атау,ø
122,Insel::N,утрау,ø
123,Blume::N,чәчкә,blomst
124,Gras::N,үлән,græs
125,Wurzel::N,тамыр,rod
126,Baum::N,агач,træ
127,Stamm::N,кәүсә,stamme
128,Rinde::N,кабык,bark
129,Ast::N,ботак,gren
130,Zweig::N,ботак,kvist
131,Zweig::N,тармак,kvist
132,Blatt::N,яфрак,blad
133,Birke::N,каен,birk
134,Kiefer[Baum]::N,нарат,fyrretræ
135,Weide[Baum]::N,тал,piletræ
136,Tanne::N,чыршы,gran
137,Horn::N,мөгез,horn
138,Feder::N,йон,fjer
139,Fell::N,тире,skind
140,Flügel::N,канат,vinge
141,Klaue::N,тырнак,klov
142,Kralle::N,тырнак,klo
143,Schwanz::N,койрык,hale
144,Ei::N,күкәй,æg
145,Ei::N,йомырка,æg
146,Nest::N,оя,rede
147,Bau::N,өн,bo
148,Tier::N,хайван,dyr
149,Herde::N,көтү,flok
150,Kuh::N,сыер,ko
151,Bulle::N,үгез,tyr
152,Pferd::N,ат,hest
153,Schaf::N,сарык,får
154,Schwein::N,дуңгыз,gris
155,Hund::N,эт,hund
156,Katze::N,песи,kat
157,Bär::N,аю,bjørn
158,Eichhörnchen::N,тиен,egern
159,Elch::N,поши,elg
160,Fuchs::N,төлке,ræv
161,Hase::N,куян,hare
162,Maus::N,тычкан,mus
163,Wolf::N,бүре,ulv
164,Vogel::N,кош,fugl
165,Schwarm::N,көтү,sværm
166,Huhn::N,тавык,høne
167,Hahn::N,әтәч,hane
168,Gans::N,каз,gås
169,Adler::N,каракош,ørn
170,Ente::N,үрдәк,and
171,Eule::N,ябалак,ugle
172,Kranich::N,торна,trane
173,Krähe::N,карга,krage
174,Kuckuck::N,күке,gøg
175,Kuckuck::N,кәккүк,gøg
176,Schwan::N,аккош,svane
177,Fisch::N,балык,fisk
178,Barsch::N,алабуга,aborre
179,Hecht::N,чуртан,gedde
180,Schlange[Tier]::N,елан,slange
181,Wurm::N,корт,orm
182,Spinne::N,үрмәкүч,edderkop
183,Ameise::N,кырмыска,myre
184,Laus::N,бет,lus
185,Mücke::N,черки,myg
186,Mücke::N,озынборын,myg
187,Fliege::N,чебен,flue
188,Schmetterling::N,күбәләк,sommerfugl
189,Beere::N,җиләк,bær
190,Apfel::N,алма,æble
191,Pilz::N,гөмбә,svamp
192,Zwiebel::N,суган,løg
193,Zwiebel::N,суганбаш,løg
194,Saat::N,орлык,sæd
195,Korn::N,иген,korn
196,Korn::N,орлык,korn
197,Heu::N,печән,hø
198,Schale::N,кабык,skræl
199,Grube::N,баз,grav
200,Grube::N,чокыр,grav
201,Falle::N,тозак,fælde
