,Concept_ID,sl,ady
0,Auge::N,okó,нэ
1,Ohr::N,uhó,тхьакӏу́м
2,Nase::N,nós,пэ
3,Mund::N,ústa,жэ
4,Zahn::N,zób,цэ
5,Zunge::N,jêzik,бзэгу
6,Lippe::N,ústnica,ӏупшӏэ́
7,Wange::N,líce,нэкӏу́шъу
8,Gesicht::N,oblíčje,нэ́гу
9,Stirn::N,čêlo,натӏэ́
10,Haar::N,lás,шъхьацы́
11,Schnurrbart::N,bŕki,
12,Bart::N,bráda,жакӏэ́
13,Kinn::N,bráda,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,čeljúst,жэпкъы́
15,Kehle::N,gŕlo,чый
16,Hals::N,vrát,пшъэ
17,Genick::N,zatílnik,шъхьэпхэтыку
18,Kopf::N,gláva,шъхьэ́
19,Rücken::N,hrbèt,кӏыбы́
20,Bauch::N,trébuh,ныбэ́
21,Nabel::N,pópek,
22,Busen::N,nédrja,бгъэ́
23,Brust::N,pŕsi,бгъэ́
24,Schulter::N,ráma,блыпкъ
25,Schulter::N,plêče,блыпкъ
26,Arm::N,rôka,ӏэ
27,Ellenbogen::N,komólec,ӏэнтэ́гъу
28,Hand::N,rôka,ӏэтхьэцу
29,Handfläche::N,dlán,ӏэ́гу
30,Finger::N,pŕst,ӏэхъуа́мб
31,Fingernagel::N,nóht na rôki,ӏэбжъа́н
32,Nagel[Anatomie]::N,nóht,ӏэбжъа́н
33,Zeh::N,pŕst na nôgi,ӏэхъуа́мб
34,Fuß::N,nôga,лъэгу
35,Ferse::N,pêta,лъэдакъэ
36,Knie::N,koléno,лъагуа́ндж
37,Oberschenkel::N,stêgno,ко
38,Bein::N,nôga,лъакъо́
39,Körper::N,teló,пкъышъол
40,Haut::N,kóža,кӏы́шъу
41,Blut::N,krí,лъы
42,Ader::N,žíla,льытф
43,Sehne::N,kíta,фэ
44,Knochen::N,kóst,къупшъхьэ́
45,Gehirn::N,možgáni,куцӏы
46,Herz::N,srcé,гу
47,Magen::N,želódec,мышкӏу
48,Leber::N,jétra,шӏу
49,Atem::N,díh,къэщэныр
50,Hunger::N,glád,гъаблэ́
51,Träne::N,sólza,нэпсы
52,Geschmack::N,okús,ӏэшӏугъа́кӏ
53,Geruch::N,vónj,мэ
54,Schlaf::N,sèn,пчыхьы́пӏ
55,Schlaf::N,spánec,пчыхьы́пӏ
56,Traum::N,sánje,пчыхьы́пӏ
57,Himmel::N,nebó,уашъо́
58,Sonne::N,sónce,тыгъэ
59,Mond::N,lúna,мазэ
60,Mond::N,mésec,мазэ
61,Stern::N,zvézda,жъуагъо́
62,Luft::N,zràk,жьы
63,Wind::N,véter,жьыбгъэ́
64,Welle::N,vál,ор
65,Welle::N,vál,оры
66,Wasser::N,vôda,псы
67,Stein::N,kámen,мыжъо́
68,Boden::N,tlà,чӏ́ыгу
69,Erde::N,pŕst,чӏ́ыгу
70,Erde::N,zêmlja,чӏ́ыгу
71,Staub::N,práh,сап
72,Rauch::N,dìm,ӏугъо́
73,Funke::N,ískra,мэшӏуа́ч
74,Feuer::N,ôgenj,машӏо́
75,Licht::N,lúč,нэфы
76,Licht::N,lúč,нэфын
77,Schatten::N,sénca,жьау́
78,Schatten::N,sénca,ныбжьыкъу
79,Wetter::N,vrême,
80,Nebel::N,meglà,пща́гъу
81,Wolke::N,oblák,ошъуапщэ
82,Regen::N,dèž,ощхы
83,Schnee::N,snég,осы́
84,Eis::N,léd,мылы
85,Frost::N,zmrzál,
86,Kälte::N,mràz,чъыӏэ́
87,Hitze::N,pripéka,фэба́е
88,Raureif::N,ívje,
89,Raureif::N,slána,
90,Regenbogen::N,mávrica, лэгъупэкъо́пс
91,Donner::N,gròm,шыблэ́
92,Strömung::N,strúja,ток
93,Tropfen::N,káplja,ткӏопс
94,Tropfen::N,káplja,гъуаткӏу
95,Schaum::N,péna,тхъурбэ
96,Schmutz::N,nesnága,псынжъы
97,See::N,jézero,хыку́м
98,See::N,jézero,псыхъура́й
