,Concept_ID,ba,it
0,Auge::N,күҙ,occhio
1,Ohr::N,ҡолаҡ,orecchio
2,Nase::N,танау,naso
3,Mund::N,ауыҙ,bocca
4,Zahn::N,теш,dente
5,Zunge::N,тел,lingua
6,Lippe::N,ирен,labbro
7,Wange::N,яцаҡтар,guancia
8,Gesicht::N,бит,viso
9,Gesicht::N,бит,faccia
10,Stirn::N,маңлай,fronte
11,Haar::N,сәс,capello
12,Schnurrbart::N,мылтыҡ,baffi
13,Schnurrbart::N,мылтыҡ,mustacchi
14,Bart::N,һаҡал,barba
15,Kinn::N,эйэк,mento
16,Kiefer[Anatomie]::N,яңаҡ һөйәге,mascella
17,Kehle::N,тамаҡ,gola
18,Hals::N,муйын,collo
19,Genick::N,соңҡа,nuca
20,Kopf::N,баш,capo
21,Kopf::N,баш,testa
22,Rücken::N,арҡа,dorso
23,Rücken::N,арҡа,schiena
24,Bauch::N,ҡорһаҡ,ventre
25,Nabel::N,кендек,ombelico
26,Busen::N,күкрәк,seno
27,Brust::N,түш,petto
28,Schulter::N,яурын,spalla
29,Arm::N,ҡул,braccio
30,Ellenbogen::N,терһәк,gomito
31,Hand::N,ҡул,mano
32,Hand::N,ҡул суғы,mano
33,Handfläche::N,ус төбө,palma
34,Finger::N,бармаҡ,dito
35,Fingernagel::N,тырнаҡ,unghia
36,Nagel[Anatomie]::N,тырнаҡ,unghia
37,Zeh::N,бармаҡ,dito del piede
38,Fuß::N,табан,piede
39,Ferse::N,үксә,tallone
40,Ferse::N,үксә,calcagno
41,Knie::N,тубыҡ,ginocchio
42,Oberschenkel::N,сандыр,fèmore
43,Bein::N,аяҡ,gamba
44,Körper::N,тән,corpo
45,Haut::N,тире,pelle
46,Blut::N,ҡан,sangue
47,Ader::N,тамыр,vena
48,Sehne::N,һеңер,tèndine
49,Sehne::N,тарамыш,tèndine
50,Knochen::N,һойәк,osso
51,Gehirn::N,мейе,cervello
52,Herz::N,йорәк,cuore
53,Magen::N,ашҡаҙан,stòmaco
54,Leber::N,бауыр,fegato
55,Atem::N,һулыш,fiato
56,Atem::N,һулыш,respiro
57,Hunger::N,аслыҡ,fame
58,Träne::N,күҙ иәше,làcrima
59,Geschmack::N,тәм,gusto
60,Geschmack::N,тәм,sapore
61,Geruch::N,еҫ,odore
62,Schlaf::N,йоҡлау,sonno
63,Traum::N,төш,sogno
64,Himmel::N,күк,cielo
65,Sonne::N,ҡояш,sole
66,Mond::N,ай,luna
67,Stern::N,йондоҙ,stella
68,Luft::N,һауа,aria
69,Wind::N,ел,vento
70,Welle::N,тулҡын,onda
71,Wasser::N,һыу,acqua
72,Stein::N,таш,sasso
73,Stein::N,таш,pietra
74,Boden::N,тупраҡ,suolo
75,Boden::N,тупраҡ,terreno
76,Erde::N,балсҡ,terra
77,Staub::N,туҙан,polvere
78,Rauch::N,төтөн,fumo
79,Funke::N,осҡон,scintilla
80,Feuer::N,ут,fuoco
81,Licht::N,яҡтылыҡ,luce
82,Schatten::N,күләгә,ombra
83,Wetter::N,һауа торошо,tempo
84,Nebel::N,төман,nebbia
85,Wolke::N,болот,nube
86,Wolke::N,болот,nùvola
87,Regen::N,ямғыр,pioggia
88,Schnee::N,ҡар,neve
89,Eis::N,боҙ,ghiaccio
90,Frost::N,һалҡын,gelo
91,Kälte::N,һыуыҡ,freddo
92,Hitze::N,томра,caldo
93,Hitze::N,томра,calura
94,Hitze::N,эҫелек,caldo
95,Hitze::N,эҫелек,calura
96,Raureif::N,ҡырау,brina
97,Regenbogen::N,йәйғор,arcobaleno
98,Donner::N,күк күкрәү,tuono
99,Strömung::N,ағым,corrente
100,Tropfen::N,тамсы,goccia
101,Schaum::N,күбек,spuma
102,Schaum::N,күбек,schiuma
103,Schmutz::N,батҡаҡ,sudiciume
104,See::N,күл,lago
105,Sumpf::N,һаҙлык,palude
106,Moor::N,һаҙ,torbiera
107,Wiese::N,болон,prato
108,Wald::N,урман,bosco
109,Wald::N,урман,foresta
110,Hügel::N,түбә,colle
111,Hügel::N,түбә,collina
112,Anhöhe::N,түбә,altura
113,Anhöhe::N,ҡалҡыулыҡ,altura
114,Berg::N,тау,monte
115,Berg::N,тау,montagna
116,Gipfel::N,түбә,cima
117,Höhle::N,мәмерйә,grotta
118,Höhle::N,мәмерйә,caverna
119,Abhang::N,ипкен,pendìo
120,Quelle::N,шишмә,sorgente
121,Bach::N,шишмә,ruscello
122,Fluss::N,йылға,fiume
123,Ufer::N,яр,riva
124,Küste::N,яр буйы,costa
125,Festland::N,ҡоро ер,terraferma
126,Meer::N,диңгез,mare
127,Bucht::N,бухта,cala
128,Insel::N,үтрау,ìsola
129,Blume::N,сәскә,fiore
130,Gras::N,үлән,erba
131,Wurzel::N,тамыр,radice
132,Baum::N,ағас,àlbero
133,Stamm::N,олон,tronco
134,Stamm::N,көбәк,tronco
135,Rinde::N,ҡабыҡ,corteccia
136,Ast::N,ботаҡ,ramo
137,Zweig::N,ботаҡ,ramo
138,Zweig::N,тармаҡ,ramo
139,Blatt::N,япраҡ,foglia
140,Birke::N,ҡайын,betulla
141,Kiefer[Baum]::N,ҡарғай,pino
142,Weide[Baum]::N,тал,sàlice
143,Tanne::N,шыршы,abete
144,Horn::N,мөғөҙ,corno
145,Feder::N,ҡауырһын,penna
146,Fell::N,тире,manto
147,Fell::N,тире,pelame
148,Flügel::N,ҡанат,ala
149,Klaue::N,тырнаҡ,grinfia
150,Kralle::N,аяҡ,unghia
151,Kralle::N,аяҡ,artiglio
152,Schwanz::N,ҡойроҡ,coda
153,Ei::N,йомортҡа,uovo
154,Nest::N,оя,nido
155,Bau::N,оң,covo
