,Concept_ID,lez,lez
0,Auge::N,вил,вил
1,Ohr::N,яб,яб
2,Nase::N,нер,нер
3,Mund::N,сив,сив
4,Zahn::N,сас,сас
5,Zahn::N,сас,свах
6,Zahn::N,свах,сас
7,Zahn::N,свах,свах
8,Zunge::N,мез,мез
9,Lippe::N,пӏуз,пӏуз
10,Wange::N,хъвехъ,хъвехъ
11,Gesicht::N,ччин,ччин
12,Stirn::N,пел,пел
13,Haar::N,чӏар,чӏар
14,Schnurrbart::N,спел,спел
15,Schnurrbart::N,спел,спелар
16,Schnurrbart::N,спелар,спел
17,Schnurrbart::N,спелар,спелар
18,Bart::N,ччуру,ччуру
19,Kinn::N,чене,чене
20,Kiefer[Anatomie]::N,чене,чене
21,Kehle::N,туьд,туьд
22,Hals::N,гардан,гардан
23,Genick::N,кьам,кьам
24,Kopf::N,кьил,кьил
25,Rücken::N,далу,далу
26,Bauch::N,руфун,руфун
27,Nabel::N,пицӏ,пицӏ
28,Busen::N,мам,мам
29,Brust::N,хур,хур
30,Schulter::N,къуьн,къуьн
31,Arm::N,гъил,гъил
32,Ellenbogen::N,кьуьнт,кьуьнт
33,Hand::N,капаш,капаш
34,Handfläche::N,капан юкь,капан юкь
35,Finger::N,тӏуб,тӏуб
36,Fingernagel::N,кек,кек
37,Nagel[Anatomie]::N,кек,кек
38,Zeh::N,кул,кул
39,Fuß::N,кӏвач,кӏвач
40,Ferse::N,дабан,дабан
41,Knie::N,мет,мет
42,Bein::N,кӏвач,кӏвач
43,Körper::N,беден,беден
44,Haut::N,хам,хам
45,Blut::N,иви,иви
46,Ader::N,дамар,дамар
47,Sehne::N,кьуру дамар,кьуру дамар
48,Knochen::N,кӏараб,кӏараб
49,Gehirn::N,мефт,мефт
50,Herz::N,рикӏ,рикӏ
51,Magen::N,хук,хук
52,Leber::N,лекь,лекь
53,Atem::N,ял,ял
54,Atem::N,ял,нефес
55,Atem::N,нефес,ял
56,Atem::N,нефес,нефес
57,Hunger::N,каш,каш
58,Träne::N,вилин нагъв,вилин нагъв
59,Geschmack::N,дад,дад
60,Geschmack::N,дад,тӏям
61,Geschmack::N,тӏям,дад
62,Geschmack::N,тӏям,тӏям
63,Geruch::N,ни,ни
64,Schlaf::N,ахвар,ахвар
65,Traum::N,ахвар,ахвар
66,Himmel::N,цав,цав
67,Sonne::N,рагъ,рагъ
68,Mond::N,варз,варз
69,Stern::N,гъед,гъед
70,Luft::N,гьава,гьава
71,Wind::N,гар,гар
72,Welle::N,лепе,лепе
73,Wasser::N,яд,яд
74,Stein::N,къван,къван
75,Boden::N,накьв,накьв
76,Erde::N,ччил,ччил
77,Staub::N,руг,руг
78,Rauch::N,гум,гум
79,Funke::N,цӏелхем,цӏелхем
80,Feuer::N,цӏай,цӏай
81,Licht::N,экв,экв
82,Schatten::N,серин,серин
83,Wetter::N,гьава,гьава
84,Nebel::N,ччилин циф,ччилин циф
85,Wolke::N,циф,циф
86,Regen::N,марф,марф
87,Schnee::N,жив,жив
88,Eis::N,мурк,мурк
89,Frost::N,аяз,аяз
90,Kälte::N,мекь,мекь
91,Kälte::N,мекь,мекьивал
92,Kälte::N,мекьивал,мекь
93,Kälte::N,мекьивал,мекьивал
94,Hitze::N,зегьем,зегьем
95,Raureif::N,къирав,къирав
96,Regenbogen::N,яргъируш,яргъируш
97,Donner::N,цавун ван,цавун ван
98,Tropfen::N,стӏал,стӏал
99,Schaum::N,каф,каф
100,Schmutz::N,чирк,чирк
101,Schmutz::N,чирк,кьуруш
102,Schmutz::N,кьуруш,чирк
103,Schmutz::N,кьуруш,кьуруш
104,See::N,вир,вир
105,Sumpf::N,уьлен,уьлен
106,Wiese::N,векь,векь
107,Wald::N,там,там
108,Hügel::N,кӏунтӏ,кӏунтӏ
109,Anhöhe::N,тепе,тепе
110,Anhöhe::N,тепе,гьуьндуьрвал
111,Anhöhe::N,гьуьндуьрвал,тепе
112,Anhöhe::N,гьуьндуьрвал,гьуьндуьрвал
113,Berg::N,дагъ,дагъ
114,Gipfel::N,кӏукӏ,кӏукӏ
115,Höhle::N,кьветӏ,кьветӏ
116,Abhang::N,гуьне,гуьне
117,Quelle::N,чешме,чешме
118,Bach::N,булах,булах
119,Fluss::N,вацӏ,вацӏ
120,Ufer::N,къерех,къерех
121,Küste::N,къерех,къерех
122,Festland::N,кьурамат,кьурамат
123,Meer::N,гьуьл,гьуьл
124,Bucht::N,бухта,бухта
125,Insel::N,остров,остров
126,Blume::N,цуьк,цуьк
127,Gras::N,хъач,хъач
128,Wurzel::N,дувул,дувул
129,Baum::N,ттар,ттар
130,Stamm::N,тан,тан
131,Rinde::N,чкал,чкал
132,Ast::N,тӏур,тӏур
133,Zweig::N,хел,хел
134,Blatt::N,пеш,пеш
135,Birke::N,верх,верх
136,Kiefer[Baum]::N,шамагъаж,шамагъаж
137,Weide[Baum]::N,цӏвелин ттар,цӏвелин ттар
138,Tanne::N,ель,ель
139,Horn::N,карч,карч
140,Feder::N,цӏакул,цӏакул
141,Fell::N,хам,хам
142,Flügel::N,лув,лув
143,Klaue::N,къармах,къармах
144,Kralle::N,пац,пац
145,Kralle::N,пац,тапас
146,Kralle::N,тапас,пац
147,Kralle::N,тапас,тапас
148,Schwanz::N,ттум,ттум
149,Ei::N,кака,кака
150,Nest::N,муг,муг
151,Bau::N,тӏеквен,тӏеквен
152,Tier::N,гьайван,гьайван
153,Herde::N,суьруь,суьруь
154,Kuh::N,ккал,ккал
155,Bulle::N,яц,яц
156,Bulle::N,яц,бугъа
157,Bulle::N,бугъа,яц
158,Bulle::N,бугъа,бугъа
159,Pferd::N,балкӏан,балкӏан
160,Schaf::N,хеб,хеб
161,Schwein::N,вак,вак
162,Hund::N,кицӏ,кицӏ
163,Katze::N,кац,кац
164,Bär::N,сев,сев
165,Eichhörnchen::N,белка,белка
166,Elch::N,лось,лось
167,Fuchs::N,сикӏ,сикӏ
168,Hase::N,къуьр,къуьр
169,Maus::N,кьиф,кьиф
170,Wolf::N,жанавур,жанавур
171,Vogel::N,луван ничхир,луван ничхир
172,Schwarm::N,луж,луж
173,Huhn::N,верч,верч
174,Hahn::N,кӏек,кӏек
175,Gans::N,къаз,къаз
176,Adler::N,лекь,лекь
177,Ente::N,пӏатӏ,пӏатӏ
178,Eule::N,тӏиб,тӏиб
179,Kranich::N,дурна,дурна
180,Krähe::N,къаргъа,къаргъа
181,Kuckuck::N,кукупӏ,кукупӏ
182,Schwan::N,къугь,къугь
183,Fisch::N,гъед,гъед
184,Barsch::N,окунь,окунь
185,Hecht::N,щука,щука
186,Schlange[Tier]::N,илан,илан
187,Schlange[Tier]::N,илан,гъуьлягъ
188,Schlange[Tier]::N,гъуьлягъ,илан
189,Schlange[Tier]::N,гъуьлягъ,гъуьлягъ
190,Wurm::N,квак,квак
191,Spinne::N,хуьшрекан,хуьшрекан
192,Ameise::N,цегв,цегв
193,Laus::N,нет,нет
194,Mücke::N,ветӏ,ветӏ
195,Fliege::N,тӏветӏ,тӏветӏ
196,Schmetterling::N,чепелукь,чепелукь
197,Beere::N,куьлуь емиш,куьлуь емиш
198,Apfel::N,ич,ич
199,Pilz::N,къарникъуз,къарникъуз
200,Zwiebel::N,чичӏек,чичӏек
201,Saat::N,тумар,тумар
202,Korn::N,твар,твар
203,Heu::N,векь,векь
204,Heu::N,векь,векьер
205,Heu::N,векьер,векь
206,Heu::N,векьер,векьер
207,Schale::N,пириш,пириш
208,Schale::N,пириш,хъуьруьш
209,Schale::N,хъуьруьш,пириш
